,identifier,parent_id,question
0,S112.Q1,S112,What is your rank or grade?
1,S112.Q2,S112,How old were you on your last birthday?
2,S112.Q3,S112,Are you:
3,S112.Q4,S112,Check the answer that tells best how far you went in school:
4,S112.Q5,S112,About how long have you been in the Army?
5,S112.Q6,S112,About how long have you been in the British Isles?
6,S112.Q7,S112,On the whole how do you feel about the Army?
7,S112.Q8,S112,Do you think you might want to stay in the Army after the war?
8,S112.Q9,S112,"On the whole, do you think the Army is giving you a chance to show what you can do?"
9,S112.Q10,S112,Do you feel proud of your company?
10,S112.Q11,S112,How well have you been able to fit yourself into Army life?
11,S112.Q12,S112,"When you are on your job, how enthusiastic do you usually feel about what you are doing?"
12,S112.Q13,S112,Which of the following would you say best applies to your job?
13,S112.Q14,S112,"On the whole, how is the morale of the men in your company?"
14,S112.Q15,S112,About how much of the time do you have work enough to keep you busy?
15,S112.Q16,S112,"In general, how would you say you feel most of the time, in good spirits or in low spirits?"
16,S112.Q17,S112,Do you feel that you really belong in your company and are an important part of it?
17,S112.Q18,S112,What sort of teamwork and cooperation do the men in your company have on the job?
18,S112.Q19,S112,"If you are ordered to do something and not told the reason why, how do you feel?"
19,S112.Q20,S112,How important a part do you think your company will play in winning the war?
20,S112.Q21,S112,How successful are your officers in getting willing and wholehearted cooperation from the men?
21,S112.Q22,S112,How successful are your noncoms in getting willing and wholehearted cooperation from the men?
22,S112.Q23,S112,Do you usually feel that what you are doing in the Army is worthwhile or not?
23,S112.Q24,S112,Do you ever feel that you are not as good a soldier as most of the other men in your outfit?
24,S112.Q25,S112,Which comes closest to your idea of how hard it is going to be to beat the Germans?
25,S112.Q26,S112,Do you think the equipment of the American Army is better or worse than the equipment of the German Army?
26,S112.Q27,S112,How much do the things that this war is being fought over mean to you personally?
27,S112.Q28,S112,How much chance do you feel there is that after the war things will be worked out pretty much to the best interests of the most people?
28,S112.Q29,S112,"In general, how well do you like working in your present Army job?"
29,S112.Q30,S112,"Would you say that most of the men in your company usually put all that they have into their regular duties, or do they usually work just hard enough to get by?"
30,S112.Q31,S112,"How about yourself - would you honestly say that you usually put all you have into your regular duties, or do you usually work just hard enough to get by?"
31,S112.Q32,S112,How much pride do most of the men in your company take in the way they handle their job or assignment?
32,S112.Q33,S112,How satisfied are you about being in your present Army job instead of some other Army job?
33,S112.Q34,S112,How much effort do you feel has been made to place you in the kind of Army job where you can fit in best and be of most value?
34,S112.Q35,S112,Do you feel your officers know what your abilities are and what you are able to do?
35,S112.Q36,S112,Do you feel that your noncoms know what your abilities are and what you are able to do?
36,S112.Q37,S112,"Do you think that most of the men in your company would ""go to bat"" for their noncoms?"
37,S112.Q38,S112,"Do you think that most of the men in your company would ""go to bat"" for their officers?"
38,S112.Q39,S112,Do you think your officers are interested in what you think and how you feel about things?
39,S112.Q40,S112,Do you think your non-coms are interested in what you think and how you feel about things?
40,S112.Q41,S112,Which of the following statements best tells the way you feel about getting into an actual battle zone?
41,S112.Q42,S112,If and when you get into combat how well do you think you will stand up under battle conditions?
42,S112.Q43,S112,Do you think the men in your platoon have been given enough training and experience so that they could do a good job of taking charge of a group of men on their own in combat?
43,S112.Q44,S112,How about yourself - do you think you have been given enough training and experience so that you could do a good job of taking charge of a group of men on your own in combat?
44,S112.Q45,S112,If your squad or platoon were to get separated from your officers in combat how good a job do you think the men would be able to do in going ahead and carrying out their mission?
45,S112.Q46A,S112,Do you feel that you are now trained and ready for combat or do you need more training?
46,S112.Q46B.n,S112,"How about the kinds of training you are getting? Are there any kinds you're getting too much of, too little of?"
47,S112.Q47,S112,Which of the following best described your own feeling about getting into combat against the Germans?
48,S112.Q48,S112,"If you were given a squad of men and told to take charge of them all by yourself in a combat mission under enemy fire, how well do you think you would do?"
49,S112.Q49,S112,How many of the men in your platoon do you think would do a good job if they were given a squad of men and told to take charge of them in a combat mission under enemy fire?
50,S112.Q50,S112,How many of the officers in your company are the kind you would want to serve under in combat?
51,S112.Q51,S112,How many of the non-coms in your company are the kind you would want to serve under in combat?
52,S112.Q52,S112,"Do you feel the most deserving men usually get the best ""breaks"" in your outfit?"
53,S112.Q53,S112,"When you are given a job to do, are you told enough about it so that you can do a good job?"
54,S112.Q54,S112,How well do you think your non-coms know their stuff?
55,S112.Q55,S112,How well do you think your officers know their stuff?
56,S112.Q56,S112,Are you usually told why the things you do and the things that are done in your outfit are necessary?
57,S112.Q57,S112,How easy do you feel it is to get suggestions brought to the attention of those in your company who could put them to use?
58,S112.Q58,S112,When you do a particularly good job do you usually get recognition or praise for it?
59,S112.Q59,S112,When a man in your outfit makes a good suggestion does he usually get the credit he deserves?
60,S112.Q60,S112,Do too many of the things you have to do seem unnecessary for making your outfit a better fighting unit?
