,CARD,DECK,BALLOT,S193.Q1,S193.Q2,S193.Q3,S193.Q4,S193.Q5,S193.Q6,S193.Q7,S193.Q8,S193.Q9,S193.Q10,S193.Q11A,S193.Q11B,S193.Q12,S193.Q13,S193.Q14,S193.Q15,S193.Q16,S193.Q17,S193.Q18,S193.Q19,S193.Q20,S193.Q21,S193.Q22,S193.Q23,S193.Q24,S193.Q25,S193.Q26,S193.Q27,S193.Q28A,S193.Q28B.1,S193.Q28B.2,S193.Q28B.3,S193.Q28B.4,S193.Q28B.5,S193.Q28B.6,S193.Q28B.7,S193.Q28B.8,S193.Q28B.9,S193.Q28B.10,S193.Q28B.11,S193.Q29,S193.Q30,S193.Q31,S193.Q32.1,S193.Q32.2,S193.Q32.3,S193.Q32.4,S193.Q32.5,S193.Q32.6,S193.Q32.7,S193.Q32.8,S193.Q32.9,S193.Q32.10,S193.Q32.11,S193.Q32.12,S193.Q33A,S193.Q33B.n,S193.Q34,S193.Q35,S193.Q36,S193.Q37,S193.Q38,S193.Q39,S193.Q40,S193.Q41,S193.Q42A,S193.Q42B.n,S193.Q43A,S193.Q43B.n,S193.Q44A,S193.Q44B.n,S193.Q45,CARD..1,DECK..1,BALLOT..1,S193.Q46,S193.Q47,S193.Q48.1,S193.Q48.2,S193.Q48.3,S193.Q48.4,S193.Q48.5,S193.Q48.6,S193.Q48.7,S193.Q48.8,S193.Q48.9,S193.Q48.10,S193.Q48.11,S193.Q48.12,S193.Q49,S193.Q50,S193.Q51,S193.Q52,S193.Q53,S193.Q54,S193.Q55,S193.Q56.n,S193.V57,S193.V58,S193.V59
10,1.0,193.0,11.0,1.0,7.0,4.0,4.0,5.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,,3.0,,1.0,,2.0,2.0,193.0,11.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,,12.0,1142.0,1.0
11,1.0,193.0,12.0,1.0,2.0,5.0,1.0,8.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,2.0,2.0,5.0,3.0,0.0,1.0,6.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,3.0,1.0,3.0,1.0,1.0,1.0,2.0,7.0,1.0,,3.0,,1.0,,3.0,2.0,193.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,3.0,2.0,5.0,2.0,1.0,1.0,,3.0,2126.0,3.0
12,1.0,193.0,13.0,1.0,9.0,4.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,6.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,0.0,1.0,3.0,3.0,3.0,0.0,2.0,7.0,3.0,,3.0,,1.0,,3.0,2.0,193.0,13.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,3.0,3.0,3.0,1.0,,2.0,1165.0,2.0
13,1.0,193.0,14.0,1.0,10.0,4.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,7.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,,3.0,2.0,3.0,3.0,3.0,2.0,2.0,7.0,1.0,,3.0,,1.0,,1.0,2.0,193.0,14.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,1.0,,5.0,2162.0,3.0
14,1.0,193.0,15.0,1.0,8.0,6.0,0.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,7.0,2.0,10.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,3.0,0.0,3.0,3.0,3.0,2.0,2.0,7.0,2.0,,3.0,,1.0,,1.0,2.0,193.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,3.0,1.0,2.0,2.0,1.0,,5.0,1107.0,1.0
15,1.0,193.0,16.0,1.0,10.0,2.0,3.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,3.0,2.0,3.0,1.0,3.0,1.0,2.0,7.0,3.0,,3.0,,1.0,,3.0,2.0,193.0,16.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,5.0,3.0,2.0,0.0,,6.0,1105.0,2.0
16,1.0,193.0,17.0,1.0,6.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,5.0,3.0,2.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,2.0,3.0,2.0,2.0,3.0,1.0,5.0,3.0,,3.0,,1.0,,2.0,2.0,193.0,17.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,0.0,,6.0,1196.0,2.0
17,1.0,193.0,18.0,3.0,0.0,4.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,3.0,2.0,7.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,3.0,2.0,3.0,1.0,1.0,0.0,2.0,7.0,3.0,,3.0,,1.0,,2.0,2.0,193.0,18.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,,5.0,1206.0,2.0
18,1.0,193.0,19.0,1.0,11.0,4.0,5.0,7.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,,3.0,2.0,3.0,1.0,1.0,2.0,2.0,7.0,3.0,,3.0,,1.0,,3.0,2.0,193.0,19.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,,4.0,1110.0,2.0
19,1.0,193.0,20.0,1.0,3.0,6.0,1.0,9.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,5.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,,3.0,,1.0,,2.0,2.0,193.0,20.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,,6.0,1237.0,2.0
20,1.0,193.0,21.0,1.0,9.0,6.0,5.0,14.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,2.0,3.0,3.0,2.0,4.0,2.0,5.0,3.0,,3.0,,1.0,,1.0,2.0,193.0,21.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,,6.0,1236.0,2.0
21,1.0,193.0,22.0,4.0,10.0,6.0,2.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,3.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0,3.0,,3.0,,1.0,,3.0,2.0,193.0,22.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,,2.0,1166.0,2.0
22,1.0,193.0,23.0,4.0,6.0,7.0,1.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,2.0,7.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,0.0,2.0,3.0,1.0,3.0,1.0,2.0,7.0,2.0,,3.0,,1.0,,3.0,2.0,193.0,23.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,,5.0,1196.0,1.0
23,1.0,193.0,24.0,2.0,7.0,7.0,1.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,5.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,2.0,3.0,3.0,1.0,2.0,3.0,7.0,3.0,,3.0,,1.0,,2.0,2.0,193.0,24.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,1.0,,5.0,2158.0,3.0
24,1.0,193.0,25.0,1.0,11.0,3.0,3.0,7.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,,3.0,,1.0,,3.0,2.0,193.0,25.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,,4.0,2103.0,3.0
25,1.0,193.0,26.0,4.0,4.0,6.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,,3.0,,1.0,,1.0,2.0,193.0,26.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,4.0,3.0,0.0,,11.0,1127.0,1.0
26,1.0,193.0,27.0,1.0,5.0,4.0,5.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,,3.0,,1.0,,3.0,2.0,193.0,27.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,5.0,1.0,,12.0,1161.0,1.0
27,1.0,193.0,28.0,3.0,7.0,6.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,0.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,,3.0,,1.0,,2.0,2.0,193.0,28.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,,5.0,1180.0,1.0
28,1.0,193.0,29.0,1.0,11.0,3.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,5.0,3.0,10.0,4.0,6.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,3.0,2.0,2.0,2.0,1.0,1.0,1.0,7.0,3.0,,3.0,,1.0,,1.0,2.0,193.0,29.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,1.0,1.0,,5.0,2140.0,3.0
29,1.0,193.0,30.0,1.0,9.0,4.0,5.0,8.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,5.0,3.0,4.0,1.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,3.0,3.0,2.0,3.0,7.0,3.0,,3.0,,1.0,,2.0,2.0,193.0,30.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,,6.0,2136.0,3.0
