"file","qid","new_label"
"AMS35_CLEAN_NOM_nocounts.sav","S35.Q26.2","WHICH BRANCH OF SERVICE DO YOU LIKE MOST? E. LIKES SECOND BEST:"
"AMS35_CLEAN_NOM_nocounts.sav","S35.Q48G.2","LAST NIGHT (SATURDAY NIGHT) AFTER SUPPER DID YOU READ OR LOOK THROUGH A MAGAZINE OR MAGAZINES? WHICH ONE OR ONES? E. FIRST LIST (FIRST CHOICE):"
"AMS35_CLEAN_NOM_nocounts.sav","S35.Q48G.3","LAST NIGHT (SATURDAY NIGHT) AFTER SUPPER DID YOU READ OR LOOK THROUGH A MAGAZINE OR MAGAZINES? WHICH ONE OR ONES? E. FIRST LIST (FIRST CHOICE):"
"AMS35_CLEAN_NOM_nocounts.sav","S35.Q48G.4","LAST NIGHT (SATURDAY NIGHT) AFTER SUPPER DID YOU READ OR LOOK THROUGH A MAGAZINE OR MAGAZINES? WHICH ONE OR ONES? E. FIRST LIST (FIRST CHOICE):"
"AMS35_CLEAN_NOM_nocounts.sav","S35.Q48M.2","MISCELLANEOUS OTHER RADIO PROGRAMS LISTENED TO LAST NIGHT (SATURDAY NIGHT). E. SECOND CHOICE:"
"AMS35_CLEAN_NOM_nocounts.sav","S35.Q49.2","WHICH OF THESE THINGS DO YOU MOST LIKE TO DO? Z. IF 2 OR 3 THINGS CHECKED BUT NO INDICATION OF RANK CODE AS ""NO ANSWER"". E. SECOND CHOICE:"
"AMS35_CLEAN_NOM_nocounts.sav","S35.Q49.3","WHICH OF THESE THINGS DO YOU MOST LIKE TO DO? Z. IF 2 OR 3 THINGS CHECKED BUT NO INDICATION OF RANK CODE AS ""NO ANSWER"". E. THIRD CHOICE:"
"AMS35_CLEAN_NOM_nocounts.sav","S35.Q54.2","WHAT ARE YOUR THREE FAVORITE ATHLETICS OR SPORTS -- EITHER INDOOR OR OUTDOOR? E. SECOND CHOICE:"
"AMS35_CLEAN_NOM_nocounts.sav","S35.Q54.3","WHAT ARE YOUR THREE FAVORITE ATHLETICS OR SPORTS -- EITHER INDOOR OR OUTDOOR? E. THIRD CHOICE:"
"AMS35_CLEAN_NOM_nocounts.sav","S35.Q55.2","WHAT ARE YOUR THREE FAVORITE KINDS OF MUSIC? E. SECOND CHOICE:"
"AMS35_CLEAN_NOM_nocounts.sav","S35.Q55.3","WHAT ARE YOUR THREE FAVORITE KINDS OF MUSIC? E. THIRD CHOICE:"
"AMS44T_CLEAN_NOM_nocounts.sav","S44T.Q20A.13","WHY WOULD YOU CHOOSE THIS BRANCH? E. OTHER MOTIVATION:"
"AMS44T_CLEAN_NOM_nocounts.sav","S44T.Q20A.14","WHY WOULD YOU CHOOSE THIS BRANCH? E. OTHER MOTIVATION:"
"AMS44T_CLEAN_NOM_nocounts.sav","S44T.Q20A.15","WHY WOULD YOU CHOOSE THIS BRANCH? E. OTHER MOTIVATION:"
"AMS44T_CLEAN_NOM_nocounts.sav","S44T.Q20A.16","WHY WOULD YOU CHOOSE THIS BRANCH? E. GENERAL:"
"AMS44T_CLEAN_NOM_nocounts.sav","S44T.Q20A.17","WHY WOULD YOU CHOOSE THIS BRANCH? E. GENERAL:"
"AMS44T_CLEAN_NOM_nocounts.sav","S44T.Q20A.18","WHY WOULD YOU CHOOSE THIS BRANCH? E. GENERAL:"
"AMS83_CLEAN_NOM_nocounts.sav","S83.Q2.2","WHEN WERE YOU ORIGINALLY COMMISSIONED? E. MONTH COMMISSIONED.  ANP (LAST TWO DIGITS OF YEAR)"
"AMS83_CLEAN_NOM_nocounts.sav","S83.Q5.1"," WHEN WERE YOU BORN? E. YEAR COMMISSIONED."
"AMS83_CLEAN_NOM_nocounts.sav","S83.Q5.2","WHEN WERE YOU BORN? E. MONTH OF BIRTH.  ANP (LAST TWO DIGITS OF YEAR)"
"AMS83_CLEAN_NOM_nocounts.sav","S83.Q6.1"," IN WHICH STATE DID YOU LIVE DURING MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE? E. YEAR COMMISSIONED."
"AMS83_CLEAN_NOM_nocounts.sav","S83.Q6.2","IN WHICH STATE DID YOU LIVE DURING MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE? E. YEAR COMMISSIONED."
"AMS83_CLEAN_NOM_nocounts.sav","S83.Q6.2","IN WHICH STATE DID YOU LIVE DURING MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE? E. STATE."
"AMS141_CLEAN_NOM_nocounts.sav","S141.Q7.2","IN WHAT STATE OF THE UNITED STATES DID YOU SPEND MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY? E. STATE:"
"AMS141_CLEAN_NOM_nocounts.sav","S141.Q8B.1"," IF NOT, WHAT STATE WERE YOU LIVING IN JUST BEFORE YOU CAME INTO THE ARMY? E. STATE:"
"AMS141_CLEAN_NOM_nocounts.sav","S141.Q9.1"," WHAT STATE IN THE UNITED STATES DO YOU THINK YOU WILL LIVE IN RIGHT AFTER YOU GET OUT OF THE ARMY? E. STATE:"
"AMS141_CLEAN_NOM_nocounts.sav","S141.Q9.2","WHAT STATE IN THE UNITED STATES DO YOU THINK YOU WILL LIVE IN RIGHT AFTER YOU GET OUT OF THE ARMY? E. STATE:"
