identifier,question_id,label,position
S106EE.Q21:0.0,S106EE.Q21,NO ANSWER P. IN THE QUESTIONS ABOVE WE ASKED YOU ABOUT THE KIND OF WORK YOU EXPECT TO DO. HERE ARE SOME QUESTIONS ABOUT YOUR PLANS FOR A SPECIFIC JOB.  BE SURE TO GIVE SOME ANSWER TO EVERY QUESTION.,0
S106EH.Q28A.9:1.0,S106EH.Q28A.9,"TRADE, TRANSPORTATION, CONSTRUCTIONS, MANUFACTURING OTHER THAN RADIO AND AVIATIONS (ONE MENTION - NOT LISTED ELSEWHERE)",1
S133A.V116:8.0,S133A.V116,"ALEUTIANS - FT. GLENN, SUBPOST (A SMALL POST WITH PRINCIPALLY PORT ACTIVITIES. REACHED BY A TWO-HOUR BOAT TRIP FROM UMNAK.)",8
S157E.Q28B.1:1.0,S157E.Q28B.1,"I WANT TO GET INTO THIS FIGHT; I'VE BEEN IN THE STATES LONG ENOUGH; I WANT TO SOLDIER (REPEATS CODE ""1"" CATEGORY Q.28A)",1
S157E.Q31B.1:1.0,S157E.Q31B.1,"I WANT TO GET INTO THIS FIGHT; I'VE BEEN IN THE STATES LONG ENOUGH; I WANT TO SOLDIER (REPEATS CODE ""1"" CATEGORY Q.31A)",1
S157O.Q24B.1:1.0,S157O.Q24B.1,"I WANT TO GET INTO THIS FIGHT; I'VE BEEN IN THE STATES LONG ENOUGH; I WANT TO SOLDIER (REPEATS CODE ""1"" CATEGORY Q.24A)",1
S157O.Q27B.1:1.0,S157O.Q27B.1,"I WANT TO GET INTO THIS FIGHT; I'VE BEEN IN THE STATES LONG ENOUGH; I WANT TO SOLDIER (REPEATS CODE ""1"" CATEGORY Q.27A)",1
S194.Q15B:20.0,S194.Q15B,"MANAGERS OR OWNERS, WHOLESALE AND RETAIL TRADE, INCLUDES INSURANCE AND REAL ESTATE, (BUYERS AND DEPARTMENT STORE HEADS)",20
S214.Q64A:3.0,S214.Q64A,FEWER SOLDIERS WHO WERE FAMOUS ATHLETES SHOULD BE GIVEN ARMY JOBS OF COACHING OR DEMONSTRATING SPORTS TO OTHER SOLDIERS,3
S32N.Q51A:11.0,S32N.Q51A,"About the same: an historical answer (nothing changed after the last war, haven't seen any sign of change so far, etc.)",11
