,identifier,parent_id,question
0,S112.Q1,S112, WHAT IS YOUR RANK OR GRADE?
1,S112.Q2,S112, HOW OLD WERE YOU ON YOUR LAST BIRTHDAY?
2,S112.Q3,S112, ARE YOU:
3,S112.Q4,S112, CHECK THE ANSWER THAT TELLS BEST HOW FAR YOU WENT IN SCHOOL:
4,S112.Q5,S112, ABOUT HOW LONG HAVE YOU BEEN IN THE ARMY?
5,S112.Q6,S112, ABOUT HOW LONG HAVE YOU BEEN IN THE BRITISH ISLES?
6,S112.Q7,S112, ON THE WHOLE HOW DO YOU FEEL ABOUT THE ARMY?
7,S112.Q8,S112, DO YOU THINK YOU MIGHT WANT TO STAY IN THE ARMY AFTER THE WAR?
8,S112.Q9,S112," ON THE WHOLE, DO YOU THINK THE ARMY IS GIVING YOU A CHANCE TO SHOW WHAT YOU CAN DO?"
9,S112.Q10,S112, DO YOU FEEL PROUD OF YOUR COMPANY?
10,S112.Q11,S112, HOW WELL HAVE YOU BEEN ABLE TO FIT YOURSELF INTO ARMY LIFE?
11,S112.Q12,S112," WHEN YOU ARE ON YOUR JOB, HOW ENTHUSIASTIC DO YOU USUALLY FEEL ABOUT WHAT YOU ARE DOING?"
12,S112.Q13,S112, WHICH OF THE FOLLOWING WOULD YOU SAY BEST APPLIES TO YOUR JOB?
13,S112.Q14,S112," ON THE WHOLE, HOW IS THE MORALE OF THE MEN IN YOUR COMPANY?"
14,S112.Q15,S112, ABOUT HOW MUCH OF THE TIME DO YOU HAVE WORK ENOUGH TO KEEP YOU BUSY?
15,S112.Q16,S112," IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS OR IN LOW SPIRITS?"
16,S112.Q17,S112, DO YOU FEEL THAT YOU REALLY BELONG IN YOUR COMPANY AND ARE AN IMPORTANT PART OF IT?
17,S112.Q18,S112, WHAT SORT OF TEAMWORK AND COOPERATION DO THE MEN IN YOUR COMPANY HAVE ON THE JOB?
18,S112.Q19,S112," IF YOU ARE ORDERED TO DO SOMETHING AND NOT TOLD THE REASON WHY, HOW DO YOU FEEL?"
19,S112.Q20,S112, HOW IMPORTANT A PART DO YOU THINK YOUR COMPANY WILL PLAY IN WINNING THE WAR?
20,S112.Q21,S112, HOW SUCCESSFUL ARE YOUR OFFICERS IN GETTING WILLING AND WHOLEHEARTED COOPERATION FROM THE MEN?
21,S112.Q22,S112, HOW SUCCESSFUL ARE YOUR NONCOMS IN GETTING WILLING AND WHOLEHEARTED COOPERATION FROM THE MEN?
22,S112.Q23,S112, DO YOU USUALLY FEEL THAT WHAT YOU ARE DOING IN THE ARMY IS WORTHWHILE OR NOT?
23,S112.Q24,S112, DO YOU EVER FEEL THAT YOU ARE NOT AS GOOD A SOLDIER AS MOST OF THE OTHER MEN IN YOUR OUTFIT?
24,S112.Q25,S112, WHICH COMES CLOSEST TO YOUR IDEA OF HOW HARD IT IS GOING TO BE TO BEAT THE GERMANS?
25,S112.Q26,S112, DO YOU THINK THE EQUIPMENT OF THE AMERICAN ARMY IS BETTER OR WORSE THAN THE EQUIPMENT OF THE GERMAN ARMY?
26,S112.Q27,S112, HOW MUCH DO THE THINGS THAT THIS WAR IS BEING FOUGHT OVER MEAN TO YOU PERSONALLY?
27,S112.Q28,S112, HOW MUCH CHANCE DO YOU FEEL THERE IS THAT AFTER THE WAR THINGS WILL BE WORKED OUT PRETTY MUCH TO THE BEST INTERESTS OF THE MOST PEOPLE?
28,S112.Q29,S112," IN GENERAL, HOW WELL DO YOU LIKE WORKING IN YOUR PRESENT ARMY JOB?"
29,S112.Q30,S112," WOULD YOU SAY THAT MOST OF THE MEN IN YOUR COMPANY USUALLY PUT ALL THAT THEY HAVE INTO THEIR REGULAR DUTIES, OR DO THEY USUALLY WORK JUST HARD ENOUGH TO GET BY?"
30,S112.Q31,S112," HOW ABOUT YOURSELF - WOULD YOU HONESTLY SAY THAT YOU USUALLY PUT ALL YOU HAVE INTO YOUR REGULAR DUTIES, OR DO YOU USUALLY WORK JUST HARD ENOUGH TO GET BY?"
31,S112.Q32,S112, HOW MUCH PRIDE DO MOST OF THE MEN IN YOUR COMPANY TAKE IN THE WAY THEY HANDLE THEIR JOB OR ASSIGNMENT?
32,S112.Q33,S112, HOW SATISFIED ARE YOU ABOUT BEING IN YOUR PRESENT ARMY JOB INSTEAD OF SOME OTHER ARMY JOB?
33,S112.Q34,S112, HOW MUCH EFFORT DO YOU FEEL HAS BEEN MADE TO PLACE YOU IN THE KIND OF ARMY JOB WHERE YOU CAN FIT IN BEST AND BE OF MOST VALUE?
34,S112.Q35,S112, DO YOU FEEL YOUR OFFICERS KNOW WHAT YOUR ABILITIES ARE AND WHAT YOU ARE ABLE TO DO?
