,CARD,DECK,BALLOT,S159.Q1,S159.Q2,S159.Q3.x,S159.Q5,S159.Q6,S159.Q7,S159.Q8,S159.Q9,S159.Q10,S159.Q11,S159.Q12,S159.Q13,S159.Q14A,S159.Q14B,S159.Q14C,S159.Q15A.1,S159.Q15A.2,S159.Q15A.3,S159.Q15A.4,S159.Q15A.5,S159.Q15A.6,S159.Q15A.7,S159.Q15A.8,S159.V15A1,S159.Q15B,S159.Q15C,S159.Q16,S159.Q17,S159.Q18,S159.Q19,S159.Q20,S159.Q21,S159.Q22,S159.Q23,S159.Q24,S159.Q25A,S159.Q25B,S159.Q25C,S159.Q26,S159.Q27,S159.Q28,S159.Q29A,S159.Q29B,S159.Q30,S159.Q31,S159.Q32,S159.Q33,S159.Q34,S159.Q35,S159.Q36,S159.Q37,S159.Q38,S159.Q39,S159.Q40,S159.Q41,S159.Q42,S159.Q43,S159.Q44,S159.Q45,S159.Q46,S159.Q47,S159.Q48,CARD..1,DECK..1,BALLOT..1,S159.Q49,S159.Q50,S159.Q51,S159.Q52A,S159.Q52B,S159.Q52C,S159.Q52D,S159.Q52E,S159.Q52F,S159.Q53,S159.Q54,S159.Q55,S159.Q56.n,S159.Q57.n,S159.Q57A.n,S159.Q57B.n,S159.V58,S159.V59,S159.V60,S159.V61,S159.V62,S159.V63
15,1.0,159.0,16.0,1.0,4.0,1.0,1.0,6.0,4.0,5.0,1.0,6.0,5.0,10.0,3.0,5.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,8.0,7.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,9.0,6.0,4.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,6.0,3.0,2.0,159.0,16.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,6.0,4.0,1.0,0.0,5.0,0.0
16,1.0,159.0,17.0,2.0,2.0,1.0,1.0,6.0,1.0,4.0,5.0,6.0,5.0,10.0,3.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,9.0,1.0,1.0,3.0,1.0,2.0,3.0,8.0,7.0,2.0,4.0,4.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,5.0,8.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,1.0,5.0,2.0,2.0,159.0,17.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,6.0,0.0,6.0,0.0,5.0,0.0
17,1.0,159.0,18.0,4.0,10.0,5.0,3.0,6.0,7.0,5.0,1.0,4.0,4.0,10.0,3.0,6.0,5.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,1.0,2.0,4.0,1.0,0.0,3.0,8.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,0.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0,159.0,18.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,,,,,6.0,1.0,7.0,5.0,2.0,0.0
18,1.0,159.0,19.0,4.0,9.0,5.0,2.0,6.0,7.0,5.0,2.0,3.0,5.0,10.0,3.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,5.0,9.0,1.0,1.0,3.0,2.0,2.0,3.0,8.0,7.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,5.0,7.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,7.0,2.0,2.0,159.0,19.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,,,,,6.0,2.0,4.0,0.0,2.0,0.0
19,1.0,159.0,20.0,4.0,9.0,1.0,1.0,6.0,7.0,7.0,3.0,5.0,4.0,10.0,3.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,6.0,1.0,3.0,3.0,1.0,1.0,3.0,8.0,7.0,5.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0,159.0,20.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,6.0,3.0,7.0,0.0,3.0,0.0
20,1.0,159.0,21.0,4.0,9.0,5.0,3.0,7.0,7.0,5.0,1.0,2.0,4.0,10.0,3.0,10.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,8.0,8.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,8.0,7.0,5.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,7.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,159.0,21.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,6.0,3.0,5.0,0.0,5.0,0.0
21,1.0,159.0,22.0,1.0,11.0,5.0,3.0,6.0,7.0,2.0,1.0,6.0,5.0,10.0,3.0,3.0,6.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,11.0,6.0,7.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,0.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,159.0,22.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,6.0,3.0,8.0,2.0,5.0,0.0
22,1.0,159.0,23.0,2.0,10.0,5.0,2.0,6.0,7.0,5.0,1.0,4.0,5.0,10.0,3.0,8.0,6.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,11.0,6.0,8.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,159.0,23.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,6.0,3.0,6.0,2.0,5.0,0.0
23,1.0,159.0,24.0,4.0,10.0,1.0,1.0,6.0,7.0,5.0,1.0,5.0,4.0,10.0,3.0,8.0,6.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,8.0,5.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,5.0,4.0,2.0,1.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,1.0,3.0,5.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,159.0,24.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,,6.0,6.0,1.0,2.0,5.0,0.0
24,1.0,159.0,25.0,2.0,6.0,5.0,2.0,6.0,5.0,5.0,2.0,3.0,4.0,10.0,3.0,11.0,3.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,8.0,9.0,2.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,159.0,25.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,6.0,4.0,2.0,2.0,3.0,0.0
25,1.0,159.0,26.0,1.0,9.0,5.0,2.0,6.0,7.0,5.0,1.0,6.0,5.0,10.0,3.0,10.0,4.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,8.0,9.0,2.0,1.0,4.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,5.0,8.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,159.0,26.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,,,,,6.0,3.0,8.0,2.0,5.0,0.0
26,1.0,159.0,27.0,2.0,1.0,1.0,1.0,6.0,2.0,4.0,5.0,1.0,5.0,10.0,3.0,0.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,9.0,7.0,9.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,0.0,4.0,1.0,1.0,3.0,3.0,4.0,4.0,7.0,0.0,3.0,5.0,3.0,3.0,2.0,2.0,1.0,7.0,8.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,10.0,3.0,2.0,159.0,27.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,,,,,0.0,5.0,5.0,3.0,4.0,0.0
27,1.0,159.0,28.0,4.0,4.0,1.0,1.0,6.0,2.0,5.0,1.0,4.0,5.0,10.0,3.0,6.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,9.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,7.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,159.0,28.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,,,,,3.0,3.0,5.0,0.0,4.0,0.0
28,1.0,159.0,29.0,2.0,1.0,1.0,1.0,6.0,2.0,4.0,2.0,5.0,3.0,10.0,3.0,6.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,7.0,2.0,5.0,2.0,3.0,7.0,2.0,2.0,4.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,7.0,8.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,3.0,11.0,0.0,2.0,159.0,29.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,,,,6.0,4.0,2.0,0.0,4.0,0.0
29,1.0,159.0,30.0,4.0,6.0,5.0,2.0,6.0,7.0,5.0,2.0,6.0,3.0,6.0,3.0,5.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,0.0,0.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,4.0,4.0,0.0,3.0,1.0,2.0,1.0,2.0,7.0,0.0,3.0,0.0,4.0,3.0,3.0,3.0,3.0,6.0,7.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,159.0,30.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,,,,,2.0,5.0,3.0,0.0,9.0,0.0
30,1.0,159.0,31.0,2.0,9.0,1.0,1.0,5.0,7.0,5.0,1.0,6.0,5.0,10.0,3.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,9.0,5.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,7.0,8.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,159.0,31.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,,,,,6.0,5.0,2.0,0.0,2.0,0.0
31,1.0,159.0,32.0,4.0,10.0,5.0,2.0,5.0,7.0,6.0,1.0,6.0,5.0,10.0,3.0,6.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,8.0,9.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,159.0,32.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,,6.0,5.0,5.0,5.0,5.0,0.0
32,1.0,159.0,33.0,2.0,7.0,1.0,1.0,6.0,5.0,3.0,1.0,4.0,5.0,10.0,3.0,6.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,0.0,0.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,2.0,0.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,8.0,8.0,2.0,2.0,1.0,4.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,159.0,33.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,3.0,3.0,3.0,0.0,1.0,0.0
33,1.0,159.0,34.0,6.0,9.0,5.0,2.0,6.0,7.0,5.0,2.0,4.0,5.0,10.0,3.0,8.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,5.0,8.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,159.0,34.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,5.0,0.0,7.0,0.0,3.0,0.0
34,1.0,159.0,35.0,8.0,9.0,6.0,2.0,6.0,7.0,7.0,1.0,5.0,5.0,3.0,3.0,11.0,4.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,7.0,4.0,9.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,5.0,0.0,0.0,0.0,3.0,4.0,1.0,3.0,1.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,7.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,159.0,35.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,,,,,4.0,5.0,5.0,0.0,5.0,90.0
35,1.0,159.0,36.0,3.0,3.0,1.0,1.0,6.0,3.0,5.0,1.0,6.0,1.0,4.0,3.0,7.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,8.0,8.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,7.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,7.0,3.0,2.0,159.0,36.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,,,,,4.0,6.0,1.0,0.0,5.0,98.0
