S195C.CARD.  1. CARD ONE 
S195C.DECK.  195. SURVEY NUMBER 
S195C.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S195C.FORM:  1. S-195A 2. S-195B 3. S-195C 
S195C.Q1. WHAT IS YOUR ARMY RANK OR GRADE?  1. PRIVATE 2. PRIVATE FIRST CLASS 3. NONCOM (CORPORAL OR ANY GRADE OF SERGEANT OR TECHNICIAN) 4. SOME OTHER RANK OR GRADE 0. NO ANSWER 
S195C.Q2. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY?  1. 19 YEARS OR YOUNGER 2. 20 TO 24 YEARS 3. 25 TO 29 YEARS 4. 30 TO 34 YEARS 5. 35 YEARS OR OLDER 0. NO ANSWER 
S195C.Q3. HOW FAR DID YOU GO IN SCHOOL? (CHECK ONLY ONE ANSWER - THE HIGHEST GRADE OF SCHOOL YOU COMPLETED.)  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 0. NO ANSWER 
S195C.Q4A. IN YOUR OPINION HOW NECESSARY IS IT FOR THE WAR EFFORT TO HAVE WOMEN IN THE ARMY?  1. VERY NECESSARY 2. PRETTY NECESSARY 3. NOT SO NECESSARY 4. NOT NECESSARY AT ALL 5. UNDECIDED 0. NO ANSWER 
S195C.Q4B. HOW STRONGLY DO YOU FEEL ABOUT THIS?  1. NOT STRONGLY AT ALL 2. NOT SO STRONGLY 3. FAIRLY STRONGLY 4. VERY STRONGLY 0. NO ANSWER 
"S195C.Q5A. SUPPOSE A GIRL FRIEND OF YOURS WAS CONSIDERING JOINING THE WAC, WOULD YOU ADVISE HER TO JOIN OR NOT TO JOIN?  1. I WOULD ADVISE HER TO JOIN 2. I WOULD ADVISE HER NOT TO JOIN 3. UNDECIDED 0. NO ANSWER "
S195C.Q5B. HOW STRONGLY DO YOU FEEL ABOUT THIS?  1. NOT STRONGLY AT ALL 2. NOT SO STRONGLY 3. FAIRLY STRONGLY 4. VERY STRONGLY 0. NO ANSWER 
