S077A.CARD.  1. CARD ONE 
S077A.DECK.  077. SURVEY NUMBER 
S077A.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S077A.FORM.  1. S-077A - A FORM 2. S-077B - B FORM 
S077A.Q1. WHAT IS YOUR ARMY RANK OR GRADE?  1. PRIVATE 2. PRIVATE FIRST CLASS 3. NONCOM (CORPORAL OR ANY GRADE OF SERGEANT OR TECHNICIAN) 4. SOME OTHER RANK OR GRADE 0. NO ANSWER 
S077A.Q2. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY?  01. 18 YEARS OR YOUNGER 02. 19 YEARS 03. 20 04. 21 05. 22 06. 23 07. 24 08. 25 09. 26-29 YEARS 10. 30-34 YEARS 11. 35 YEARS AND OVER 00. NO ANSWER 
S077A.Q3. HOW FAR DID YOU GO IN SCHOOL?  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 0. NO ANSWER 
S077A.Q4. IN WHAT STATE OF THE UNITED STATES DID YOU SPEND MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY? E. FIRST COLUMN:  01. ORIGINAL PUNCH OF 1 02. ORIGINAL PUNCH OF 2 03. ORIGINAL PUNCH OF 3 04. ORIGINAL PUNCH OF 4 05. ORIGINAL PUNCH OF 5 06. ORIGINAL PUNCH OF 6 07. ORIGINAL PUNCH OF 7 08. ORIGINAL PUNCH OF 8 09. ORIGINAL PUNCH OF 9 10. ORIGINAL PUNCH OF 0 11. ORIGINAL PUNCH OF X 12. ORIGINAL PUNCH OF V E. SECOND COLUMN: 
S077A.Q4. IN WHAT STATE OF THE UNITED STATES DID YOU SPEND MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY? E. FIRST COLUMN:  428 01. ORIGINAL PUNCH OF 1 281 02. ORIGINAL PUNCH OF 2 422 03. ORIGINAL PUNCH OF 3 321 04. ORIGINAL PUNCH OF 4 90 05. ORIGINAL PUNCH OF 5 85 06. ORIGINAL PUNCH OF 6 34 07. ORIGINAL PUNCH OF 7 47 08. ORIGINAL PUNCH OF 8 16 09. ORIGINAL PUNCH OF 9 10. ORIGINAL PUNCH OF 0 11. ORIGINAL PUNCH OF X 12. ORIGINAL PUNCH OF V X. CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS. 
"S077A.Q5. WHERE WERE YOU LIVING MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY - WAS IT IN THE COUNTRY, IN A TOWN, OR IN A CITY?  1. ON A FARM OR IN THE COUNTRY 2. IN A SMALL TOWN (FEWER THAN 2,500 PEOPLE) 3. IN A LARGE TOWN (WITH BETWEEN 2,500 AND 25,000 PEOPLE) 4. IN A CITY (BETWEEN 25,000 AND 100,000 PEOPLE) 5. IN A LARGE CITY (MORE THAN 100,000 PEOPLE) 0. NO ANSWER X. QUESTIONS 6 AND 7 CODED TOGETHER. "
"S077A.Q6. ARE YOU SINGLE, MARRIED, DIVORCED OR SEPARATED, OR WIDOWED? Q.7. WERE YOU MARRIED BEFORE OR AFTER ENTERING THE ARMY?  1. SINGLE 2. DIVORCED OR SEPARATED 3. WIDOWED 4. MARRIED BEFORE ENTERING THE ARMY 5. MARRIED AFTER ENTERING THE ARMY 6. MARRIED, NO ANSWER AS TO WHEN 0. NO ANSWER "
S077A.Q8. HOW DID YOU COME INTO THE ARMY?  1. I WAS DRAFTED 2. I VOLUNTEERED 3. I WAS IN THE NATIONAL GUARD 0. NO ANSWER 
"S077A.Q9. HOW LONG HAVE YOU BEEN IN THE ARMY? E. IF YOU HAVE BEEN IN THE ARMY BEFORE, THEN WERE OUT FOR A WHILE, JUST CHECK THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. IF YOU WERE IN THE NATIONAL GUARD, CHECK THE LENGTH OF TIME SINCE YOUR OUTFIT CAME INTO THE ARMY.  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 9 MONTHS 4. OVER 9 MONTHS UP TO 1 YEAR 5. OVER 1 YEAR UP TO 2 YEARS 6. OVER 2 YEARS UP TO 5 YEARS 7. OVER 5 YEARS 0. NO ANSWER "
S077A.Q10. WHAT BRANCH OF THE ARMY WERE YOU IN BEFORE YOU CAME TO THE HOSPITAL?  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. OTHER 00. NO ANSWER 
S077A.Q11. HOW LONG HAVE YOU BEEN A PATIENT IN THIS HOSPITAL?  1. TWO WEEKS OR LESS 2. OVER TWO WEEKS UP TO A MONTH 3. OVER A MONTH UP TO 2 MONTHS 4. OVER 2 MONTHS UP TO 3 MONTHS 5. OVER 3 MONTHS UP TO 6 MONTHS 6. OVER 6 MONTHS 0. NO ANSWER 
S077A.Q12. HOW MUCH TIME - ALTOGETHER - HAVE YOU SPENT IN ARMY HOSPITALS (INCLUDING THIS ONE) ON ACCOUNT OF YOUR PRESENT SICKNESS OR INJURY?  1. ONE MONTH OR LESS 2. OVER A MONTH UP TO 2 MONTHS 3. OVER 2 MONTHS UP TO 3 MONTHS 4. OVER 3 MONTHS UP TO 6 MONTHS 5. OVER 6 MONTHS 0. NO ANSWER 
"S077A.Q13. AS FAR AS YOU KNOW NOW, ABOUT HOW MUCH LONGER WOULD YOU GUESS YOU WILL HAVE TO STAY IN A HOSPITAL FOR YOUR PRESENT SICKNESS OR INJURY?  1. PROBABLY JUST A FEW DAYS 2. PROBABLY LESS THAN A MONTH 3. PROBABLY ABOUT A MONTH 4. PROBABLY MORE THAN A MONTH BUT NO MORE THAN 3 MONTHS 5. PROBABLY MORE THAN 3 MONTHS 0. NO ANSWER "
"S077A.Q14. WHERE DID YOU GET THE SICKNESS OR INJURY THAT BROUGHT YOU TO THIS HOSPITAL?  1. IN THE U.S., WHILE ON DUTY 2. IN THE U.S., WHILE OFF DUTY 3. OUTSIDE THE U.S., BY ENEMY ACTION 4. OUTSIDE THE U.S., NOT BY ENEMY ACTION 5. I HAD IT BEFORE I CAME INTO THE ARMY 0. NO ANSWER X. QUESTION 15 NOT CODED. "
"S077A.Q16. DO YOU THINK YOUR PRESENT SICKNESS OR INJURY WILL AFFECT ANY PART OF YOUR BODY FOR THE REST OF YOUR LIFE IN A WAY THAT PEOPLE WILL NOTICE IT? IF YES, WHAT PART OF YOUR BODY AND IN WHAT WAY?  01. YES, ORTHOPEDIC DISABILITY (BONE INJURY, LOSS OF LIMB, ""LIMPING"", BACK OR SPINE, PARALYSES OF ANY KIND, ETC.) 02. YES, FACIAL DISFIGUREMENT OR HEAD DISFIGUREMENT (I.E. ""MY EYES STAY BLOODSHOT"") 03. YES, NERVOUSNESS (I.E. ""ALWAYS JUMPY"") 04. YES, DISFIGUREMENT OTHER THAN FACE, BURNS, ETC. 05. YES, MIND AFFECTED 06. YES, RESPIRATORY TROUBLE 07. YES, IMPAIRMENT OF HEARING 08. YES, OTHER 09. YES, NO ANSWER 10. NO 11. DON'T KNOW 00. NO ANSWER "
S077A.Q17. HOW MUCH TIME DURING THE DAY DO YOU HAVE TO SPEND IN BED AT THE PRESENT TIME?  1. ALL DAY 2. MOST OF THE DAY 3. ABOUT HALF OF THE DAY 4. A FEW HOURS A DAY 5. I DON'T HAVE TO BE IN BED AT ALL DURING THE DAY 0. NO ANSWER 
"S077A.Q18. SINCE YOU HAVE BEEN IN THE HOSPITAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME - IN GOOD SPIRITS OR IN LOW SPIRITS?  1. I AM USUALLY IN GOOD SPIRITS 2. I AM IN GOOD SPIRITS SOME OF THE TIME AND IN LOW SPIRITS SOME OF THE TIME 3. I AM USUALLY IN LOW SPIRITS 0. NO ANSWER "
"S077A.Q19. SINCE YOU HAVE BEEN IN THE HOSPITAL, ARE YOU EVER WORRIED AND UPSET?  1. I AM HARDLY EVER WORRIED AND UPSET 2. I AM SOMETIMES WORRIED AND UPSET 3. I AM OFTEN WORRIED AND UPSET 0. NO ANSWER "
"S077A.Q20. SINCE YOU HAVE BEEN IN THE HOSPITAL, HOW OFTEN DO YOU FEEL LONESOME?  1. I AM HARDLY EVER LONESOME 2. I AM SOMETIMES LONESOME 3. I AM OFTEN LONESOME 0. NO ANSWER "
"S077A.Q21. FROM WHAT YOU KNOW NOW, DO YOU THINK YOUR PRESENT SICKNESS OR INJURY IS SERIOUS ENOUGH THAT YOU OUGHT TO BE DISCHARGED FROM THE ARMY?  1. YES 2. NO 3. DON'T KNOW 0. NO ANSWER "
S077A.Q22. DO YOU THINK YOU REALLY WILL BE DISCHARGED FROM THE ARMY BECAUSE OF YOUR PRESENT SICKNESS OR INJURY?  1. YES 2. NO 3. HAVE NO IDEA 0. NO ANSWER 
"S077A.Q23. SINCE YOU HAVE BEEN IN THIS HOSPITAL, DO YOU HAVE TROUBLE FINDING INTERESTING THINGS TO DO?  1. MOST OF THE TIME 2. MUCH OF THE TIME 3. NOT VERY OFTEN 4. NEVER 0. NO ANSWER "
"S077A.Q24. IN GENERAL, WOULD YOU SAY THAT THE PATIENTS IN THIS HOSPITAL HAVE TOO MUCH ENTERTAINMENT, NOT ENOUGH ENTERTAINMENT OR ABOUT THE RIGHT AMOUNT?  1. TOO MUCH 2. ABOUT THE RIGHT AMOUNT 3. NOT ENOUGH 4. DON'T KNOW 0. NO ANSWER "
"S077A.Q25. IN GENERAL, WOULD YOU SAY THAT THE ENLISTED MEN WHO WORK IN THIS HOSPITAL HAVE TOO MUCH ENTERTAINMENT, NOT ENOUGH ENTERTAINMENT, OR ABOUT THE RIGHT AMOUNT?  1. TOO MUCH 2. ABOUT THE RIGHT AMOUNT 3. NOT ENOUGH 4. DON'T KNOW 0. NO ANSWER "
"S077A.Q26. DOES THIS HOSPITAL HAVE A REGULAR ORGANIZED PROGRAM OF SPORTS AND ATHLETICS IN WHICH THE PATIENTS CAN TAKE PART?  1. YES, THERE IS A GOOD PROGRAM 2. YES, THERE IS A PROGRAM, BUT IT'S NOT VERY GOOD 3. NO, THERE IS NO PROGRAM 4. DON'T KNOW 0. NO ANSWER "
