,CARD,DECK,BALLOT,FORM,S132A.Q1,S132A.Q2A,S132A.Q2B,S132A.Q3,S132A.Q4,S132A.Q5,S132A.Q6,S132A.Q7,S132A.Q8,S132A.Q9,S132A.Q10,S132A.Q11,S132A.Q12,S132A.Q13,S132A.Q14,S132A.Q15.1,S132A.Q15.2,S132A.Q15.3,S132A.Q15.4,S132A.Q15.5,S132A.Q15.6,S132A.Q15.7,S132A.Q15.8,S132A.Q15.9,S132A.Q15.10,S132A.Q15.11,S132A.Q16,S132A.Q17,S132A.Q18,S132A.Q19.1,S132A.Q19.2,S132A.Q19.3,S132A.Q19.4,S132A.Q19.5,S132A.Q19.6,S132A.Q20,S132A.Q21A,S132A.Q21B,S132A.Q21C,S132A.Q22A,S132A.Q22B,S132A.Q22C,S132A.Q23,S132A.Q24,S132A.Q25,S132A.Q26,S132A.Q27,S132A.Q28A,S132A.Q28B.1,S132A.Q28B.2,S132A.Q28B.3,S132A.Q28B.4,S132A.Q28B.5,S132A.Q28B.6,S132A.Q28B.7,S132A.Q28B.8,S132A.Q28B.9,S132A.Q28B.10,S132A.Q28B.11,S132A.Q28B.12,S132A.Q29,S132A.Q30,S132A.Q31,S132A.Q32,S132A.Q33,S132A.Q34,CARD..1,DECK..1,BALLOT..1,FORM.1,S132A.Q35,S132A.Q36.n,S132A.Q37,S132A.Q38,S132A.Q39,S132A.Q40,S132A.Q41.1,S132A.Q41.2,S132A.Q41.3,S132A.Q41.4,S132A.Q41.5,S132A.Q41.6,S132A.Q41.7,S132A.Q41.8,S132A.Q41.9,S132A.Q41.10,S132A.Q42A,S132A.Q42B,S132A.Q43,S132A.Q44,S132A.Q45,S132A.Q46,S132A.Q47A,S132A.Q47B,S132A.Q47C,S132A.Q47D,S132A.Q47E,S132A.Q47F,S132A.Q47G,S132A.Q47H,S132A.Q48,S132A.Q49,S132A.Q50,S132A.Q51,S132A.Q52,S132A.Q53A.n,S132A.Q53B.n,S132A.Q53C.n,S132A.Q54A.1,S132A.Q54A.2,S132A.Q54A.3,S132A.Q54A.4,S132A.Q54A.5,S132A.Q54A.6,S132A.Q54A.7,S132A.Q54A.8,S132A.Q54A.9,S132A.Q54A.10,S132A.Q54A.11,S132A.Q54A.12,S132A.Q54A.13,S132A.Q54A.14,S132A.Q54A.15,S132A.Q54A.16,S132A.Q54A.17,S132A.Q54A.18,S132A.Q54A.19,S132A.Q54A.20,S132A.Q54A.21,S132A.Q54A.22,S132A.Q54A.23,S132A.Q54A.24,S132A.Q54A.25,S132A.Q54A.26,S132A.Q54A.27,S132A.Q54A.28,S132A.Q54B,S132A.Q54C.n,S132A.Q54D,S132A.V55
0,1.0,132.0,1.0,1.0,5.0,1.0,8.0,11.0,7.0,1.0,1.0,4.0,12.0,3.0,2.0,2.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,9.0,1.0,4.0,5.0,5.0,6.0,3.0,2.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,132.0,1.0,1.0,3.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,0.0,2.0,3.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,27145.0
1,1.0,132.0,2.0,1.0,3.0,6.0,1.0,9.0,6.0,1.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,132.0,2.0,1.0,3.0,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,23089.0
2,1.0,132.0,3.0,1.0,2.0,3.0,10.0,3.0,4.0,4.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,132.0,3.0,1.0,3.0,,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,27092.0
3,1.0,132.0,4.0,1.0,6.0,3.0,1.0,3.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,1.0,2.0,5.0,3.0,6.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,132.0,4.0,1.0,3.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,27261.0
4,1.0,132.0,5.0,1.0,8.0,4.0,0.0,9.0,5.0,1.0,3.0,5.0,4.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,5.0,5.0,6.0,2.0,1.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,132.0,5.0,1.0,3.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,1.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,27090.0
5,1.0,132.0,6.0,1.0,6.0,4.0,0.0,5.0,6.0,1.0,2.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,8.0,5.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,132.0,6.0,1.0,3.0,,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,27293.0
6,1.0,132.0,7.0,1.0,8.0,3.0,5.0,10.0,4.0,2.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,10.0,1.0,4.0,5.0,5.0,6.0,4.0,2.0,3.0,3.0,0.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,132.0,7.0,1.0,3.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,27040.0
7,1.0,132.0,8.0,1.0,6.0,3.0,3.0,8.0,3.0,3.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,10.0,1.0,4.0,5.0,5.0,6.0,4.0,2.0,3.0,3.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,132.0,8.0,1.0,3.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,1.0,3.0,1.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,27041.0
8,1.0,132.0,9.0,1.0,1.0,7.0,0.0,10.0,3.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,5.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,0.0,3.0,4.0,3.0,4.0,1.0,3.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,132.0,9.0,1.0,3.0,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,,0.0,21076.0
9,1.0,132.0,10.0,1.0,2.0,6.0,10.0,4.0,2.0,1.0,3.0,5.0,4.0,5.0,2.0,2.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,132.0,10.0,1.0,3.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,1.0,2.0,,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,11.0,26066.0
