CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6A.,Q.6B.,Q.7.,Q.8.,Q.9A.,Q.9B.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23A.,Q.23B.,Q.23C.,Q.24A.,Q.24B.,Q.25A.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31A.,Q.31B.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36A.,Q.36B.,Q.37.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.41.,Q.42.,Q.43.,Q.44A.,Q.44B.,Q.44C.,Q.45.,Q.47.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.54.,Q.54..1,Q.1A.,Q.1B.,Q.1C.,Q.1D.,Q.1E.,Q.1F.,Q.1G.,Q.1H.,Q.2A.,Q.2B.,Q.2C.,Q.2D.,Q.3..1,Q.4..1,Q.5..1,Q.5..2,Q.6.,Q.7A.,Q.7B.,Q.7C.,Q.7D.,Q.7E.,Q.9.,V.10.,V.12.
1,198,1,4,3,4,5,1,3,4,3,6,26,2,3,8,6,2,1,3,2,3,4,2,3,1,2,1,0,9,1,3,2,9,4,3,3,3,20,3,2,0,0,3,3,9,2,2,2,6,5,1,1,3,1,4,1,1,6,1,2,2,4,1,2,198,1,4,9,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,9,2,9,9,9,9,9,9,9,0,77
1,198,2,4,3,2,3,5,4,3,3,5,24,1,1,8,1,4,1,3,2,2,4,1,1,2,4,2,0,9,2,3,4,2,99,9,9,9,99,9,9,0,0,2,4,9,3,4,4,5,3,1,1,3,1,4,2,1,0,1,2,3,5,1,2,198,2,4,9,1,2,2,1,2,2,1,2,2,3,1,2,2,1,1,9,1,9,9,9,9,9,9,9,0,77
1,198,3,4,4,3,5,1,3,4,3,6,30,2,3,9,4,3,1,3,2,2,2,2,2,3,4,1,0,9,2,4,2,9,1,4,2,4,1,2,3,0,0,2,4,9,3,1,1,1,5,1,1,2,1,4,2,1,5,1,2,2,3,1,2,198,3,4,9,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,9,1,9,9,9,9,9,9,9,0,77
1,198,4,4,3,3,4,6,4,3,1,5,24,1,1,9,6,1,1,3,2,2,4,6,6,2,2,1,5,9,1,2,1,9,10,4,1,2,13,1,1,0,0,1,1,2,1,17,17,6,4,1,1,3,1,5,3,1,5,1,2,1,6,1,2,198,4,4,9,1,1,1,2,2,2,2,2,2,1,1,3,2,1,1,9,2,9,9,9,9,9,9,9,0,77
1,198,5,4,3,3,4,1,3,4,3,5,26,2,2,8,6,1,1,3,2,1,2,1,4,2,2,1,0,9,2,3,3,3,99,9,9,9,99,9,9,0,0,2,2,3,3,16,16,5,4,1,1,3,1,4,1,1,7,1,2,2,4,1,2,198,5,4,9,1,2,1,2,2,2,2,2,2,1,1,2,1,1,1,9,1,9,9,9,9,9,9,9,0,77
1,198,6,4,2,4,3,6,4,7,1,3,26,2,2,9,5,1,1,2,2,1,3,1,3,4,3,2,5,9,1,2,2,9,8,3,1,2,4,2,2,0,0,2,3,9,2,4,4,7,3,1,1,3,1,3,3,3,7,1,2,2,1,1,2,198,6,4,9,1,0,1,1,0,2,2,0,1,3,3,2,2,1,1,9,2,9,9,9,9,9,9,9,0,77
1,198,7,4,3,4,5,1,3,4,0,6,26,2,3,7,5,1,1,2,2,1,1,2,2,2,2,1,2,9,1,3,2,9,9,3,2,3,1,3,2,0,0,2,3,9,2,1,1,6,5,1,1,2,1,3,1,1,5,1,2,2,12,3,2,198,7,4,9,1,2,1,2,2,2,1,2,2,1,1,2,3,2,2,9,1,9,9,9,9,9,9,9,0,77
1,198,8,4,6,2,5,1,3,4,4,6,42,2,3,9,6,3,1,2,2,1,1,1,1,4,2,1,5,9,2,6,4,3,99,9,9,9,99,9,9,0,0,2,1,4,1,4,4,1,5,1,1,3,1,4,1,1,7,1,2,2,3,3,2,198,8,4,9,1,2,2,1,2,2,1,2,1,1,1,2,2,1,1,9,2,9,9,9,9,9,9,9,0,77
1,198,9,4,4,4,6,1,4,6,1,4,30,2,5,8,4,1,1,2,1,1,5,2,3,4,4,3,99,2,1,3,3,3,99,9,9,9,99,9,9,0,0,1,1,1,1,4,4,0,6,1,0,3,1,5,3,1,6,1,2,1,6,1,2,198,9,4,9,1,1,2,1,2,2,2,2,2,2,1,3,2,2,1,9,1,9,9,9,9,9,9,9,0,77
1,198,10,4,5,2,5,1,3,4,3,6,28,1,1,4,3,1,1,2,2,2,0,4,4,2,2,1,8,9,1,4,3,3,99,9,9,9,99,9,9,0,0,1,1,3,1,1,1,1,5,1,1,3,1,5,3,1,5,1,2,2,2,1,2,198,10,4,9,1,2,2,1,2,2,2,2,2,1,1,2,3,1,1,9,2,9,9,9,9,9,9,9,0,77
1,198,11,4,5,3,5,1,3,4,3,6,31,2,3,9,4,4,1,2,2,2,1,1,3,4,2,2,5,9,2,5,3,1,99,9,9,9,99,9,9,0,0,2,3,9,6,1,1,1,5,1,1,2,1,4,1,1,7,2,2,3,5,1,2,198,11,4,9,1,1,0,1,1,2,1,1,2,1,1,2,1,1,1,9,2,9,9,9,9,9,9,9,0,77
1,198,12,4,4,3,6,7,2,6,1,4,31,2,2,9,6,1,1,2,2,1,1,1,2,2,2,1,6,9,1,3,2,9,5,4,3,3,19,3,2,0,0,2,1,2,1,4,4,0,6,2,1,3,1,4,2,1,9,1,0,2,6,3,2,198,12,4,9,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,9,1,9,9,9,9,9,9,9,0,77
1,198,13,4,2,4,4,1,4,9,1,6,29,1,1,4,4,4,1,2,1,1,5,1,4,4,2,1,0,9,1,2,1,9,0,4,1,2,9,0,1,0,0,1,1,1,9,9,9,0,4,1,0,3,1,3,2,1,0,1,2,1,5,1,2,198,13,4,9,1,1,1,0,0,0,0,0,0,0,3,1,0,1,1,9,3,9,9,9,9,9,9,9,0,77
1,198,14,4,3,2,3,5,4,3,1,5,28,2,2,9,6,1,1,2,2,1,3,1,4,3,3,2,2,9,3,3,2,9,3,4,3,3,4,3,2,0,0,2,2,2,1,4,4,4,3,1,2,3,1,4,3,1,5,2,2,2,3,2,2,198,14,4,9,1,2,2,1,2,2,1,2,2,2,1,2,2,1,1,9,1,9,9,9,9,9,9,9,0,77
1,198,15,4,1,4,4,5,4,8,1,4,29,2,2,8,4,4,1,2,2,1,1,1,1,4,2,1,2,9,1,1,2,9,0,4,1,1,15,1,2,0,0,1,3,9,2,19,21,7,4,1,1,3,1,4,2,1,9,1,1,3,2,1,2,198,15,4,9,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,9,1,9,9,9,9,9,9,9,0,77
1,198,16,4,1,1,3,7,4,8,1,3,0,2,5,8,4,2,1,1,1,0,5,6,6,4,2,1,5,9,1,4,1,9,2,4,2,4,18,1,1,0,0,1,1,1,1,19,20,7,3,1,2,3,1,4,2,3,8,1,2,1,1,1,2,198,16,4,9,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,9,3,9,9,9,9,9,9,9,0,77
1,198,17,4,4,4,6,1,3,9,1,7,33,2,3,9,4,3,1,5,2,1,4,5,5,1,4,4,99,1,2,8,4,2,99,9,9,9,99,9,9,0,0,1,4,9,5,8,8,0,6,1,1,2,1,3,1,1,7,2,2,3,3,3,2,198,17,4,9,1,2,1,1,2,2,1,2,1,2,1,2,2,2,2,9,2,9,9,9,9,9,9,9,0,77
1,198,18,4,3,2,3,4,4,3,3,6,30,1,1,8,4,4,3,5,2,1,3,5,5,3,3,1,1,9,2,3,2,9,11,4,2,3,1,3,2,0,0,2,2,2,3,1,1,0,3,1,2,2,1,4,2,1,9,1,2,2,1,1,2,198,18,4,9,3,2,2,1,2,2,1,1,1,1,1,1,1,2,2,9,2,9,9,9,9,9,9,9,0,77
1,198,19,4,5,4,6,1,3,4,2,6,34,2,3,7,5,1,1,2,2,2,5,1,2,3,4,1,5,9,2,6,1,9,11,4,2,5,1,1,2,0,0,1,2,2,2,2,2,1,6,2,1,3,1,5,3,1,7,1,2,1,5,2,2,198,19,4,9,1,1,2,1,2,2,1,2,1,2,1,1,2,1,2,9,2,9,9,9,9,9,9,9,0,77
1,198,20,4,3,3,3,4,4,3,1,4,24,2,3,7,4,4,1,6,2,3,6,5,5,2,4,3,99,1,2,3,4,6,99,9,9,9,99,9,9,0,0,1,2,3,5,4,4,5,3,1,1,3,1,3,3,1,0,2,1,4,12,1,2,198,20,4,9,1,2,1,1,2,2,2,2,1,1,1,2,2,2,1,9,2,9,9,9,9,9,9,9,0,77
1,198,21,4,4,2,4,6,4,8,1,4,28,2,2,8,5,4,1,2,2,1,3,2,4,4,3,1,0,9,1,3,2,9,11,4,1,3,12,0,2,0,0,1,1,1,2,2,2,6,4,1,2,3,1,5,3,1,5,1,2,1,8,3,2,198,21,4,9,1,1,0,2,2,2,1,2,2,1,3,1,2,1,1,9,1,9,9,9,9,9,9,9,0,77
1,198,22,4,5,2,5,1,3,4,3,6,32,2,4,9,6,1,1,2,2,1,1,1,1,4,2,2,5,9,2,5,4,2,99,9,9,9,99,9,9,0,0,2,2,3,3,4,4,0,5,1,0,3,1,4,1,1,8,1,2,2,1,1,2,198,22,4,9,1,2,1,1,2,2,1,2,2,2,2,1,2,1,1,9,2,9,9,9,9,9,9,9,0,77
1,198,23,4,3,3,5,1,3,4,3,6,26,2,2,9,6,4,1,2,2,1,1,1,1,4,2,5,0,9,2,3,3,6,99,9,9,9,99,9,9,0,0,2,4,9,3,4,15,0,4,2,1,2,1,4,2,1,9,1,2,3,3,2,2,198,23,4,9,1,0,1,1,2,2,2,1,1,2,2,1,2,2,2,9,1,9,9,9,9,9,9,9,0,77
1,198,24,4,4,3,5,1,3,4,4,5,26,2,2,9,5,4,1,3,2,1,4,6,6,1,0,1,5,9,1,3,2,9,8,2,1,3,13,3,4,0,0,1,2,2,3,4,13,0,4,2,1,2,1,4,1,1,7,1,3,2,1,0,2,198,24,4,9,1,0,2,2,1,2,1,1,2,2,1,1,2,1,1,9,1,9,9,9,9,9,9,9,0,77
1,198,25,4,4,3,4,1,4,10,3,7,38,2,2,8,4,1,2,5,2,1,3,1,1,3,1,4,99,1,2,8,4,0,99,9,9,9,99,9,9,0,0,3,4,9,5,8,8,0,4,1,1,2,1,4,1,1,6,3,2,2,4,2,2,198,25,4,9,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,9,2,9,9,9,9,9,9,9,0,77
