S0189.CARD.  1. CARD ONE 
S0189.DECK.  189. SURVEY NUMBER 
S0189.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S0189.Q1. HOW LONG HAVE YOU BEEN OVERSEA?  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 1 YEAR 4. OVER 1 YEAR UP TO 2 YEARS 5. OVER TWO YEARS 0. NO ANSWER 
"S0189.Q2. IN GENERAL, HOW OFTEN WOULD YOU SAY YOU HAVE LISTENED TO THE RADIO DURING THE PAST FOUR WEEK?  1. VERY OFTEN 2. OFTEN 3. ONCE IN A WHILE 4. SELDOM OR NEVER 5. NO ANSWER 0. NO CODE OR NO DATA "
"S0189.Q3. DURING THE PAST FOUR WEEKS, HOW MUCH OF THE TIME YOU HAVE SPENT LISTENING TO THE RADIO WAS SPENT LISTENING TO THE ALLIED EXPEDITIONARY FORCES PROGRAM?  1. ALMOST ALL OF THE TIME 2. MOST OF THE TIME 3. SOME OF THE TIME 4. NONE OF THE TIME 5. NOT SURE 0. NO ANSWER "
"S0189.Q4. IF YOU HAVE LISTENED TO THE ALLIED EXPEDITIONARY FORCES PROGRAMS AT ANY TIME SINCE YOU'VE BEEN ON THE CONTINENT, IS THERE ANYTHING ABOUT THE KIND OF BROADCASTS, OR ABOUT THE WAY THEY ARE PRESENTED, THAT YOU PARTICULARLY LIK?  1. I HAVEN'T LISTENED TO THE ALLIED EXPEDITIONARY FORCES PROGRAMS 2. NO, NOTHING I PARTICULARLY LIKE 3. YES - I PARTICULARLY LIKE (SOMETHING WRITTEN IN) 4. YES, NOTHING WRITTEN IN 0. NO ANSWER "
"S0189.Q5. IF YOU HAVE LISTENED TO THE ALLIED EXPEDITIONARY FORCES PROGRAMS AT ANY TIME SINCE YOU'VE BEEN ON THE CONTINENT, IS THERE ANYTHING ABOUT THE KIND OF BROADCASTS, OR ABOUT THE WAY THEY ARE PRESENTED, THAT YOU PARTICULARLY DISLIK?  1. I HAVEN'T LISTENED TO THE ALLIED EXPEDITIONARY FORCES PROGRAMS 2. NO, NOTHING I PARTICULARLY DISLIKE 3. YES, I PARTICULARLY DISLIKE (SOMETHING WRITTEN IN) 4. YES, NOTHING WRITTEN IN 0. NO ANSWER "
S0189.Q6A. AMERICAN COMEDY PROGRAM?  1. I LIKE THEM 2. I DISLIKE THEM 3. I NEITHER LIKE NOR DISLIKE THEM 4. I HAVE NEVER HEARD ANY 0. NO ANSWER 
S0189.Q6B. BRITISH COMEDY PROGRAM?  1. I LIKE THEM 2. I DISLIKE THEM 3. I NEITHER LIKE NOR DISLIKE THEM 4. I HAVE NEVER HEARD ANY 0. NO ANSWER 
S0189.Q6C. BRITISH VOICE ON NEWS BROADCAST?  1. I LIKE THEM 2. I DISLIKE THEM 3. I NEITHER LIKE NOR DISLIKE THEM 4. I HAVE NEVER HEARD ANY 0. NO ANSWER 
S0189.Q6D. AMERICAN VOICE ON NEWS BROADCAST?  1. I LIKE THEM 2. I DISLIKE THEM 3. I NEITHER LIKE NOR DISLIKE THEM 4. I HAVE NEVER HEARD ANY 0. NO ANSWER 
S0189.Q6E. AMERICAN SYMPHONIC MUSIC PROGRAM?  1. I LIKE THEM 2. I DISLIKE THEM 3. I NEITHER LIKE NOR DISLIKE THEM 4. I HAVE NEVER HEARD ANY 0. NO ANSWER 
S0189.Q6F. BRITISH SYMPHONIC MUSIC PROGRAM?  1. I LIKE THEM 2. I DISLIKE THEM 3. I NEITHER LIKE NOR DISLIKE THEM 4. I HAVE NEVER HEARD ANY 0. NO ANSWER 
S0189.Q6G. BRITISH POPULAR MUSIC PROGRAM?  1. I LIKE THEM 2. I DISLIKE THEM 3. I NEITHER LIKE NOR DISLIKE THEM 4. I HAVE NEVER HEARD ANY 0. NO ANSWER 
S0189.Q6H. AMERICAN POPULAR MUSIC PROGRAM?  1. I LIKE THEM 2. I DISLIKE THEM 3. I NEITHER LIKE NOR DISLIKE THEM 4. I HAVE NEVER HEARD ANY 0. NO ANSWER 
S0189.Q6I. AMERICAN SPORTS BROADCAST?  1. I LIKE THEM 2. I DISLIKE THEM 3. I NEITHER LIKE NOR DISLIKE THEM 4. I HAVE NEVER HEARD ANY 0. NO ANSWER 
