CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22A.,Q.22B.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48A.,Q.48B.,Q.48B..1,Q.49.,Q.50.,V.51.,V.52.
1,186,1,1,5,1,12,8,5,4,3,2,3,3,2,2,2,6,1,2,4,2,3,3,3,2,1,2,1,3,2,3,3,1,4,2,3,1,1,1,1,3,2,1,2,2,3,99,99,9,9,99,99,9,9,12,141
1,186,2,1,3,2,3,8,5,4,3,2,2,3,2,1,1,2,3,3,1,3,4,1,2,3,3,2,2,2,1,1,1,1,5,1,4,2,1,2,2,3,1,1,2,4,6,99,99,9,9,99,99,9,9,12,111
1,186,3,1,5,2,5,8,7,4,3,1,5,5,1,2,2,6,2,2,4,3,4,1,2,0,2,2,2,3,1,1,2,1,3,1,3,1,1,2,1,3,2,1,2,4,3,99,99,9,9,99,99,9,9,12,49
1,186,4,1,5,1,2,8,7,4,2,2,3,3,2,2,1,9,1,3,2,3,4,3,2,3,3,2,2,2,2,1,1,2,3,1,2,1,1,2,1,3,1,1,2,4,6,99,99,9,9,99,99,9,9,12,152
1,186,5,4,5,2,4,8,4,4,1,2,2,2,2,2,1,2,2,2,1,2,3,2,2,2,3,2,2,2,1,1,2,1,3,1,0,0,0,0,0,0,0,0,2,9,9,99,99,9,9,99,99,9,9,12,100
1,186,6,3,4,2,2,8,4,4,2,2,3,5,2,2,2,2,2,3,4,2,4,3,2,2,1,2,1,2,2,2,3,1,3,3,3,4,2,2,2,3,2,1,2,2,3,99,99,9,9,99,99,9,9,12,97
1,186,7,3,5,1,3,8,4,4,2,2,3,4,2,2,2,2,2,2,1,3,2,1,1,2,2,3,2,1,2,1,1,1,6,2,3,2,1,2,4,4,1,1,2,2,4,99,99,9,9,99,99,9,9,12,106
1,186,8,4,6,2,6,8,5,4,3,1,4,5,2,1,2,3,1,1,4,2,3,3,2,2,0,2,1,4,1,1,3,2,2,2,3,1,1,2,2,3,1,1,2,2,3,99,99,9,9,99,99,9,9,12,150
1,186,9,3,5,2,2,8,5,5,3,1,5,7,2,1,1,1,1,2,3,2,3,3,2,2,2,2,1,1,2,1,4,2,2,2,2,9,1,2,2,5,2,2,2,2,3,99,99,9,9,99,99,9,9,12,110
1,186,10,3,4,2,2,8,8,4,2,1,5,5,1,1,2,6,3,3,3,3,4,1,2,3,3,2,1,2,2,1,4,2,2,1,3,1,1,2,1,1,2,1,2,4,3,99,99,9,9,99,99,9,9,12,61
1,186,11,3,5,2,2,8,7,4,3,1,7,9,1,1,3,6,3,2,4,1,3,3,1,1,1,3,1,1,2,3,3,1,3,1,3,1,1,2,1,3,0,2,2,2,2,99,99,9,9,99,99,9,9,12,52
1,186,12,3,5,1,3,8,7,4,3,1,7,9,3,1,2,9,1,1,4,2,2,1,1,2,1,1,1,2,2,3,3,1,1,1,3,2,1,1,1,2,1,3,2,1,3,99,99,9,9,99,99,9,9,12,122
