CARD.  1. CARD ONE 
DECK.  093. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
Q.1. WHAT IS YOUR RANK OR GRADE*  1. PRIVATE OR PRIVATE FIRST CLASS 2. CORPORAL OR TECHNICIAN 5TH GRADE 3. SERGEANT (ANY GRADE) OR TECHNICIAN 4TH GRADE 0. NO ANSWER X. QUESTIONS 2 AND 3 TO BE CODED TOGETHER. 
"Q.2. ARE YOU SINGLE, MARRIED, DIVORCED, SEPARATED OR WIDOWED* F. IF MARRIED:  Q.3. WERE YOU MARRIED BEFORE OR AFTER ENTERING THE ARMY*  1. SINGLE 2. MARRIED BEFORE ENTERING THE ARMY 3. MARRIED AFTER ENTERING THE ARMY 4. MARRIED, NO ANSWER WHEN 5. DIVORCED, SEPARATED, WIDOWED 0. NO ANSWER "
"Q.4. HOW FAR DID YOU GO IN SCHOOL* (PUT A CHECK BEFORE THE HIGHEST GRADE YOU COMPLETED.)  1. 6TH GRADE OR LESS 2. 7TH OR 8TH GRADE 3. SOME HIGH SCHOOL, BUT DID NOT GRADUATE 4. GRADUATED FROM HIGH SCHOOL 5. COLLEGE OR UNIVERSITY 0. NO ANSWER "
Q.5. HOW DID YOU COME INTO THE ARMY*  1. THROUGH SELECTIVE SERVICE 2. BY VOLUNTARY ENLISTMENT 3. BY CALLING UP OF THE NATIONAL GUARD 0. NO ANSWER 
Q.6. HOW LONG HAVE YOU BEEN IN THE ARMY*  1. 6 MONTHS OR LESS 2. OVER 6 MONTHS TO 1 YEAR 3. OVER 1 YEAR TO 2 YEARS 4. OVER 2 YEARS 0. NO ANSWER 
"Q.7. ON WHAT DATE DID YOU LEAVE THE UNITED STATES FOR OVERSEAS DUTY*  1. AUGUST, SEPTEMBER, OCTOBER, NOVEMBER, 1943 2. MAY, JUNE, JULY, 1943 3. FEBRUARY, MARCH, APRIL, 12.2 4. NOVEMBER, DECEMBER 1942; JANUARY, 1943 5. MAY, JUNE, JULY, AUGUST, SEPTEMBER, OCTOBER, 1942 6. BEFORE MAY, 1942 0. NO ANSWER "
Q.8. HOW MANY MONTHS SERVICE HAVE YOU HAD IN NEW GUINEA - INCLUDING THE NEARBY ISLANDS*  1. 1-2 MONTHS 2. 3-5 MONTHS 3. 6-8 MONTHS 4. 9-11 MONTHS 5. 12-18 MONTHS 6. 18 MONTHS AND OVER 7. HAVE NEVER SERVED IN NEW GUINEA 0. NO ANSWER 
Q.9. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  1. 18-19 YEARS OF AGE 2. 20-24 3. 25-29 4. 30-34 5. 35-39 6. 40 YEARS AND OVER 0. NO ANSWER 
"Q.10. WHAT BRANCH OF THE ARMY ARE YOU IN*  1. AIR CORPS 2. COAST ARTILLERY OR ANTI-AIRCRAFT 3. ENGINEERS 4. FIELD ARTILLERY 5. INFANTRY 6. MEDICAL 7. QUARTERMASTER 8. CAVALRY OR RECONNAISSANCE 9. OTHER NON-COMBAT TROOPS (SIGNAL, TRANSPORTATION, ORDNANCE, ETC.) 0. NO ANSWER "
"Q.11. DO YOU FEEL PROUD OF YOUR COMPANY (BATTERY, SQUADRON, TROOP)*  1. YES, VERY PROUD 2. YES, FAIRLY PROUD 3. NO, NOT PROUD 4. UNDECIDED 0. NO ANSWER "
Q.12. WOULD YOU CHANGE TO SOME OTHER ARMY JOB IF GIVEN A CHANCE*  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
"Q.13. IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS, OR IN LOW SPIRITS*  1. I AM USUALLY IN GOOD SPIRITS 2. I AM IN GOOD SPIRITS SOME OF THE TIME AND IN LOW SPIRITS SOME OF THE TIME 3. I AM USUALLY IN LOW SPIRITS 0. NO ANSWER "
"Q.14. WOULD YOU HONESTLY SAY THAT YOU USUALLY PUT ALL YOU HAVE INTO YOUR ARMY DUTIES, OR DO YOU USUALLY WORK JUST HARD ENOUGH TO GET BY*  1. I USUALLY PUT ALL I HAVE INTO IT 2. I USUALLY WORK JUST HARD ENOUGH TO GET BY 3. UNDECIDED 0. NO ANSWER "
Q.15. DO YOU EVER FEEL THAT YOU ARE NOT AS GOOD A SOLDIER AS MOST OF THE OTHER MEN IN YOUR OUTFIT*  1. I FEEL THAT WAY NEARLY ALL OF THE TIME 2. I FEEL THAT WAY FAIRLY OFTEN 3. I FEEL THAT WAY ONLY ONCE IN A WHILE 4. I ALMOST NEVER FEEL THAT WAY 0. NO ANSWER 
"Q.16. DO YOU THINK YOU MIGHT WANT TO STAY IN THE ARMY AFTER THE WAR*  1. YES, I WOULD WANT TO VERY MUCH 2. YES, I MIGHT WANT TO, BUT I,M NOT SURE 3. NO, I DON,T THINK I WOULD WANT TO 4. NO, I WOULD NOT WANT TO AT ALL 5. UNDECIDED 0. NO ANSWER P. THERE IS LITTLE INDICATION AT THIS TIME AS TO THE DURATION OF THE WAR OR WHEN IT WILL BE OVER. WHATEVER ITS LENGTH, HOWEVER, WHEN IT DOES FINALLY CONCLUDE, THE PROBLEMS IN THIS QUESTIONNAIRE WILL COME UP FOR CONSIDERATION. "
Q.17. WHEN THE WAR IS OVER DO YOU THINK THE ARMY SHOULD RELEASE ALL SOLDIERS BACK TO CIVILIAN LIFE AS SOON AS POSSIBLE OR SHOULD IT RELEASE THEM ONLY WHEN THERE ARE JOBS FOR THEM*  1. RELEASE MEN ONLY WHEN THERE ARE JOBS FOR THEM 2. RELEASE MEN AS SOON AS POSSIBLE WHETHER THERE ARE JOBS FOR THEM OR NOT 3. UNDECIDED 0. NO ANSWER 
Q.18. AFTER THE WAR DO YOU THINK SOLDIERS SHOULD BE GIVEN FIRST CHOICE OF THE JOBS THAT ARE OPEN OR DO YOU THINK EVERY- BODY SHOULD HAVE AN EQUAL CHANCE TO GET JOBS*  1. SOLDIERS SHOULD GET FIRST CHOICE 2. EVERYBODY SHOULD HAVE AN EQUAL CHANCE 3. UNDECIDED 0. NO ANSWER 
V.19G. MEN WITH DEPENDENTS*  1. 1 CHECK 2. 2 CHECKS 3. 3 CHECKS 4. NO CHECKS 0. INCONSISTENT OR NO ANSWER 
V.19H. MEN IN THE ARMY LONGEST*  1. 1 CHECK 2. 2 CHECKS 3. 3 CHECKS 4. NO CHECKS 0. INCONSISTENT OR NO ANSWER 
V.19I. MEN WHO HAVE SERVED OVERSEAS*  1. 1 CHECK 2. 2 CHECKS 3. 3 CHECKS 4. NO CHECKS 0. INCONSISTENT OR NO ANSWER 
V.19J. MEN OVER THIRTY YEARS OF AGE*  1. 1 CHECK 2. 2 CHECKS 3. 3 CHECKS 4. NO CHECKS 0. INCONSISTENT OR NO ANSWER 
"Q.20. DO YOU THINK THERE IS SOME OTHER GROUP OF SOLDIERS BESIDES THOSE LISTED IN THE QUESTION ABOVE THAT SHOULD BE LET OUT OF THE ARMY FIRST*  01. YES, MEN WHO HAVE BEEN OVERSEAS AND HAVE DEPENDENTS 02. YES, MEN WHO HAVE BEEN OVERSEAS LONGEST 03. YES, MEN WHO HAVE SERVED IN NEW GUINEA, TROPICS, ETC. 04. YES, MEN WHO ARE IN POOR PHYSICAL OR MENTAL HEALTH 05. YES, MEN ON FARMS 06. YES, MEN WHO HAVE BEEN IN COMBAT 07. YES, MEN WHO HAVE JOBS WAITING 08. YES, MEN WHO PLAN TO GET MORE EDUCATION 09. YES, AND NOT SPECIFIED 10. OTHER GROUPS 11. NO 00. NO ANSWER "
"Q.21. AFTER THE WAR, DO YOU THINK THE UNITED STATES COULD HAVE AN ARMY LARGE ENOUGH FOR THE COUNTRY,S NEEDS BY TAKING VOLUNTEERS ONLY*  1. YES, I THINK IT COULD 2. NO, I DO NOT THINK IT COULD 3. UNDECIDED 0. NO ANSWER "
