CARD.  1. CARD ONE 
DECK.  211. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. S-211A - A FORM 2. S-211B - B FORM 
Q.1. WHAT IS YOUR ARMY RANK OR GRADE*  1. PRIVATE OR PRIVATE FIRST CLASS 2. CORPORAL OR TECHNICIAN 5TH GRADE 3. SERGEANT OR TECHNICIAN 4TH GRADE 4. 1ST THREE GRADER 0. NO ANSWER 
Q.2. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  1. 19 YEARS OR YOUNGER 2. 20-24 YEARS 3. 25-29 YEARS 4. 30-34 YEARS 5. 35-39 YEARS 6. 40 YEARS AND OVER 0. NO ANSWER 
Q.3. HOW FAR DID YOU GO IN SCHOOL*  1. DID NOT FINISH GRADE SCHOOL 2. GRADUATED FROM GRADE SCHOOL 3. SOME HIGH SCHOOL BUT DID NOT GRADUATE 4. GRADUATED FROM HIGH SCHOOL 5. WENT TO COLLEGE 0. NO ANSWER 
"Q.4. HOW LONG HAVE YOU BEEN IN THE ARMY* E. IF YOU HAVE SERVED PREVIOUSLY IN THE ARMY, GIVE THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. IF YOU WERE A NATIONAL GUARDSMEN GIVE THE LENGTH OF TIME SINCE YOUR OUTFIT ENTERED THE ARMY.  ANP (ACTUAL NUMBER MONTHS) 03. 3 MONTHS . . . 99. 99 MONTHS OR OVER 00.NO ANSWER "
Q.5. HOW DID YOU COME INTO THE ARMY*  1. I VOLUNTEERED FOR THE REGULAR ARMY 2. I VOLUNTEERED THROUGH SELECTIVE SERVICE 3. I WAS IN THE NATIONAL GUARD 4. I WAS DRAFTED 5. SOME OTHER WAY 0. NO ANSWER 
Q.6. WERE YOU SENT BACK TO THE STATES UNDER THE ROTATION PLAN OR FOR SOME OTHER REASON*  1. I WAS SENT BACK UNDER THE ROTATION PLAN 2. WAS SENT BACK BECAUSE I WAS WOUNDED 3. I WAS SENT BACK BECAUSE OF NERVOUSNESS 4. I WAS SENT BACK FOR SOME OTHER REASON 5. I WAS A PRISONER OF WAR 0. NO ANSWER 
Q.7. HOW LONG HAVE YOU BEEN OVERSEAS OR OUTSIDE THE 48 UNITED STATES WITH THE ARMY IN THIS WAR*  ANP (ACTUAL NUMBER MONTHS) 01. 1 MONTH . . . 80. 80 MONTHS 00.NO ANSWER 
"Q.8. HAVE YOU BEEN IN COMBAT OR UNDER ENEMY FIRE IN THIS WAR*  1. YES, I HAVE BEEN IN ACTUAL COMBAT 2. YES, I HAVE BEEN UNDER ENEMY FIRE, BUT NOT IN ACTUAL COMBAT 3. NO 0. NO ANSWER "
