CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27A.,Q.27B.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37A.,Q.37B.,Q.38.,Q.39A.,Q.39B.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44A.,Q.44B.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.54.,Q.55.,Q.56.,Q.57.,Q.59.,Q.60.,Q.61.,CARD..1,DECK..1,BALLOT..1,BALLOT..2,Q.62.,V.64.,V.65.,V.66.,V.67.,V.68.
1,218,1,3,2,30,3,1,1,1,6,14,1,4,2,2,3,5,1,1,2,5,5,2,2,1,2,2,2,3,3,3,2,2,2,1,1,1,5,1,3,3,67,1,2,1,3,6,2,4,1,2,2,1,2,1,1,5,9,9,99,9,9,5,2,24,2,218,1,3,7,2,2,2,8,6
1,218,2,3,2,30,2,2,2,1,6,14,2,1,2,1,2,4,2,1,1,2,3,1,3,1,1,2,4,0,0,0,2,3,2,2,1,1,4,1,2,1,62,1,2,2,1,0,2,1,3,2,2,2,3,1,1,5,9,9,99,9,9,5,2,25,2,218,2,3,9,2,2,2,8,4
1,218,3,3,2,30,3,2,2,1,6,14,1,4,2,3,4,0,2,1,3,3,3,2,2,1,1,2,2,2,2,3,0,1,1,1,1,1,5,1,2,2,55,1,1,1,3,6,2,6,0,0,2,2,1,1,1,5,9,9,99,9,9,5,2,24,2,218,3,3,7,2,2,2,8,2
1,218,4,3,2,30,2,2,2,1,0,14,1,4,2,3,3,4,1,1,3,2,4,1,1,1,2,2,4,2,2,0,1,1,3,2,1,3,4,1,3,2,60,1,1,1,3,6,2,0,3,2,2,2,1,1,1,5,9,9,99,9,9,5,2,24,2,218,4,3,7,2,2,2,8,0
1,218,5,3,3,30,2,1,1,1,6,14,1,4,2,3,4,5,2,1,3,3,4,1,1,1,2,2,2,3,3,3,2,2,2,2,1,2,5,1,1,1,57,1,2,1,5,2,2,4,1,2,2,1,3,1,1,5,9,9,99,9,9,4,2,24,2,218,5,3,7,2,2,2,8,3
1,218,6,3,1,12,3,11,99,1,6,14,2,3,2,3,4,5,3,3,3,3,5,1,2,1,2,2,2,3,4,3,2,2,2,4,1,2,5,1,3,3,18,1,1,1,3,6,2,5,1,2,4,2,2,1,1,5,9,9,99,9,9,6,1,7,2,218,6,3,8,2,2,2,8,8
1,218,7,3,2,30,3,11,99,1,6,14,1,4,2,1,1,3,2,2,2,3,3,1,3,1,2,2,3,4,4,3,1,1,3,5,1,2,5,5,3,2,59,1,1,1,3,6,2,6,0,1,2,2,3,1,1,5,9,9,99,9,9,6,2,25,2,218,7,3,7,2,2,2,8,7
1,218,8,3,2,30,2,1,1,1,6,14,2,4,2,3,4,6,2,3,3,3,4,1,2,1,2,2,2,2,3,3,2,3,3,3,1,2,4,3,3,2,54,1,1,1,3,6,2,5,2,2,2,2,2,1,1,5,9,9,99,9,9,6,2,24,2,218,8,3,7,2,2,2,8,10
1,218,9,3,4,23,3,2,2,2,1,1,3,1,3,3,4,4,1,1,1,2,3,2,3,1,2,2,3,3,4,3,3,4,3,1,2,4,3,3,2,2,57,1,1,1,3,6,1,1,3,2,2,2,3,2,6,4,9,9,99,9,9,3,2,17,2,218,9,3,9,2,2,1,7,23
1,218,10,3,1,27,2,2,2,1,6,1,2,3,1,3,4,5,2,1,3,4,4,2,2,1,2,2,2,2,3,3,3,1,2,1,1,2,5,1,1,2,53,1,2,1,3,6,2,4,1,2,1,1,1,2,2,1,9,9,99,9,9,5,2,22,2,218,10,3,8,2,2,1,7,26
