CARD.  1. CARD ONE 
DECK.  077. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. S-077A 2. S-0XXX - B FORM 
Q.1. WHAT IS YOUR ARMY RANK OR GRADE*  1. PRIVATE 2. PRIVATE FIRST CLASS 3. NONCOM (CORPORAL OR ANY GRADE OF SERGEANT OR TECHNICIAN) 4. SOME OTHER RANK OR GRADE 0. NO ANSWER 
Q.2. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  01. 18 YEARS OR YOUNGER 02. 19 YEARS 03. 20 YEARS 04. 21 YEARS 05. 22 YEARS 06. 23 YEARS 07. 24 YEARS 08. 25 YEARS 09. 26-29 YEARS 10. 30-34 YEARS 11. 35 YEARS AND OVER 00. NO ANSWER 
Q.3. HOW FAR DID YOU GO IN SCHOOL*  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 0. NO ANSWER 
Q.4. IN WHAT STATE OF THE UNITED STATES DID YOU SPEND MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY* E. FIRST COLUMN:  01. ORIGINAL PUNCH OF 1 02. ORIGINAL PUNCH OF 2 03. ORIGINAL PUNCH OF 3 04. ORIGINAL PUNCH OF 4 05. ORIGINAL PUNCH OF 5 06. ORIGINAL PUNCH OF 6 07. ORIGINAL PUNCH OF 7 08. ORIGINAL PUNCH OF 8 09. ORIGINAL PUNCH OF 9 10. ORIGINAL PUNCH OF 0 11. ORIGINAL PUNCH OF X 12. ORIGINAL PUNCH OF V E. SECOND COLUMN: 
Q.4. IN WHAT STATE OF THE UNITED STATES DID YOU SPEND MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY* E. FIRST COLUMN:  381 01. ORIGINAL PUNCH OF 1 222 02. ORIGINAL PUNCH OF 2 475 03. ORIGINAL PUNCH OF 3 324 04. ORIGINAL PUNCH OF 4 79 05. ORIGINAL PUNCH OF 5 74 06. ORIGINAL PUNCH OF 6 50 07. ORIGINAL PUNCH OF 7 61 08. ORIGINAL PUNCH OF 8 25 09. ORIGINAL PUNCH OF 9 10. ORIGINAL PUNCH OF 0 11. ORIGINAL PUNCH OF X 12. ORIGINAL PUNCH OF V X. CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS. 
"Q.5. WHERE WERE YOU LIVING MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY - WAS IT IN THE COUNTRY, IN A TOWN, OR IN A CITY*  1. ON A FARM OR IN THE COUNTRY 2. IN A SMALL TOWN (FEWER THAN 2,500 PEOPLE) 3. IN A LARGE TOWN (WITH BETWEEN 2,500 AND 25,000 PEOPLE) 4. IN A CITY (BETWEEN 25,000 AND 100,000 PEOPLE) 5. IN A LARGE CITY (MORE THAN 100,000 PEOPLE) 0. NO ANSWER X. QUESTIONS 6 AND 7 CODED TOGETHER. "
"Q.6. ARE YOU SINGLE, MARRIED, DIVORCED OR SEPARATED, OR WIDOWED* Q.7. WERE YOU MARRIED BEFORE OR AFTER ENTERING THE ARMY*  1. SINGLE 2. DIVORCED OR SEPARATED 3. WIDOWED 4. MARRIED BEFORE ENTERING THE ARMY 5. MARRIED AFTER ENTERING THE ARMY 6. MARRIED, NO ANSWER AS TO WHEN 0. NO ANSWER "
Q.8. HOW DID YOU COME INTO THE ARMY*  1. I WAS DRAFTED 2. I VOLUNTEERED 3. I WAS IN THE NATIONAL GUARD 0. NO ANSWER 
