S0224.CARD.  1. CARD ONE 
S0224.DECK.  224. SURVEY NUMBER 
S0224.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S0224.Q1. HOW LONG HAVE YOU BEEN OVERSEA? COUNT FROM THE TIME YOU LEFT THE STATES.  1. 6 MONTHS OR LESS 2. OVER 6 MONTHS UP TO A YEAR 3. OVER 1 YEAR UP TO 1 1/2 YEARS 4. OVER 1 1/2 YEARS UP TO 2 YEARS 5. OVER 2 YEARS UP TO 2 1/2 YEARS 6. OVER 2 1/2 YEARS UP TO 3 YEARS 7. OVER 3 YEARS 0. NO ANSWER 
"S0224.Q2. HAVE YOU EVER BEEN IN ACTUAL COMBAT OR UNDER ENEMY FIRE IN THIS WA?  1. NO, I HAVE NOT BEEN IN COMBAT NOR UNDER ANY KIND OF ENEMY FIRE FROM THE GROUND OR AIR 2. I HAVE NOT BEEN IN ACTUAL COMBAT, BUT I HAVE BEEN UNDER SOME KIND OF ENEMY FIRE (GROUND OR AIR) 3. I HAVE BEEN IN ACTUAL COMBAT WITH THE ENEMY 0. NO ANSWER "
"S0224.Q3. HOW FAR DID YOU GO IN SCHOO?  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL, BUT DIDN'T FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 0. NO ANSWER "
S0224.Q4A. HOW LONG HAVE YOU BEEN IN THIS HOSPITA?  1. LESS THAN 8 DAYS 2. 8 DAYS TO 14 DAYS 3. 15 DAYS TO 21 DAYS 4. 22 DAYS TO 28 DAYS 5. 29 DAYS TO 35 DAYS 6. 36 DAYS OR MORE 0. NO ANSWER 
S0224.Q4B. ABOUT HOW MUCH TIME IN ALL HAVE YOU SPENT IN ARMY HOSPITALS IN THE EUROPEAN THEATER OF OPERATION?  1. LESS THAN 15 DAYS 2. 15 DAYS TO 28 DAYS 3. 29 DAYS TO 42 DAYS 4. 43 DAYS TO 56 DAYS 5. 57 DAYS TO 70 DAYS 6. 71 DAYS OR MORE 0. NO ANSWER 
"S0224.Q4C. DID YOU COME TO THIS HOSPITAL AFTER BEING HELD AS A PRISONER OF WAR BY THE GERMAN? (IF YES, HOW LONG WERE YOU IN GERMAN PRISON CAMP?)  1. NO 2. YES, LESS THAN 1 MONTH 3. YES, 1-3 MONTHS 4. YES, 3-6 MONTHS 5. YES, 6 MONTHS - 1 YEAR 6. YES, OVER 1 YEAR 0. NO ANSWER "
"S0224.Q5A. ARE YOU IN THE HOSPITAL BECAUSE OF AN INJURY OR WOUND YOU RECEIVED IN COMBA?  1. YES, BECAUSE OF AN INJURY OR WOUND RECEIVED IN COMBAT 2. NO 0. NO ANSWER "
"S0224.Q5B. EXACTLY WHAT KIND OF SICKNESS OR INJURY DO YOU HAV?  1. HEAD, FACE, OR NECK 2. HANDS, ARMS, FEET OR LEGS 3. CHEST 4. BACK OR SPINE 5. OTHER PARTS OF THE BODY 6. UNCLASSIFIED AND COMBINED 7. SICKNESS (ALL TYPES) 8. UNCLASSIFIED 0. NO ANSWER "
S0224.Q6A. WRITING MATERIAL?  1. HAVE ENOUGH 2. DO NOT HAVE ENOUGH 3. UNDECIDED 0. NO ANSWER 
S0224.Q6B. MAGAZINES AND NEWSPAPER?  1. HAVE ENOUGH 2. DO NOT HAVE ENOUGH 3. UNDECIDED 0. NO ANSWER 
S0224.Q6C. BOOK?  1. HAVE ENOUGH 2. DO NOT HAVE ENOUGH 3. UNDECIDED 0. NO ANSWER 
S0224.Q6D. ATHLETIC EQUIPMEN?  1. HAVE ENOUGH 2. DO NOT HAVE ENOUGH 3. UNDECIDED 0. NO ANSWER 
S0224.Q6E. MOVIE?  1. HAVE ENOUGH 2. DO NOT HAVE ENOUGH 3. UNDECIDED 0. NO ANSWER 
S0224.Q6F. PX SUPPLIE?  1. HAVE ENOUGH 2. DO NOT HAVE ENOUGH 3. UNDECIDED 0. NO ANSWER 
S0224.Q7A. HOW WOULD YOU RATE THE MEDICAL ATTENTION YOU HAVE RECEIVED SINCE BEING IN THIS HOSPITA?  1. VERY GOOD 2. GOOD 3. FAIR 4. POOR 5. VERY POOR 0. NO ANSWER X. QUESTION 7B NOT CODED. 
"S0224.Q8. ARE THERE ANY KINDS OF INFORMATION THAT YOU THINK PATIENTS COMING INTO THE HOSPITAL SHOULD BE GIVEN MORE O?  1. NO 2. YES, BUT NOTHING SPECIFIED 3. YES, AND SOMETHING SPECIFIED 0. NO ANSWER "
"S0224.Q9. HOW DO YOU FEEL ABOUT THE AMOUNT OF PAPER WORK (""RED TAPE"") THERE HAS BEEN IN YOUR PROCESSING AS A PATIEN?  1. FEEL THAT THERE WAS NO MORE PAPER WORK THAN WAS NECESSARY - WITH COMMENT 2. FEEL THAT THERE WAS NO MORE PAPER WORK THAN WAS NECESSARY - WITH NO COMMENT 3. FEEL THERE WAS TOO MUCH UNNECESSARY PAPER WORK - WITH COMMENT 4. FEEL THERE WAS TOO MUCH UNNECESSARY PAPER WORK WITH NO COMMENT 0. NO ANSWER "
S0224.Q10A. THE ARMY DOCTORS IN THIS HOSPITA?  1. VERY GOOD 2. GOOD 3. FAIR 4. POOR 5. VERY POOR 0. NO ANSWER 
S0224.Q10B. THE ARMY NURSES IN THIS HOSPITA?  1. VERY GOOD 2. GOOD 3. FAIR 4. POOR 5. VERY POOR 6. NO ANSWER 0. NO CODE OR NO DATA 
S0224.Q10C. THE ENLISTED MEN WHO WORK IN THIS HOSPITA?  1. VERY GOOD 2. GOOD 3. FAIR 4. POOR 5. VERY POOR 0. NO ANSWER X. QUESTIONS 11A AND 11B NOT CODED. 
S0224.Q12A. HOW DO YOU FEEL ABOUT THE AMOUNT OF MILITARY DRILL YOU GET AT THIS HOSPITA?  1. DO NOT GET ANY MILITARY DRILL 2. NOT NEARLY ENOUGH 3. NOT QUITE ENOUGH 4. ABOUT THE RIGHT AMOUNT 5. A LITTLE TOO MUCH 6. A GREAT DEAL TOO MUCH 0. NO ANSWER 
S0224.Q12B. HOW DO YOU FEEL ABOUT THE NUMBER OF MILITARY FORMATIONS YOU HAV?  1. DO NOT HAVE ANY FORMATIONS 2. NOT NEARLY ENOUGH 3. NOT QUITE ENOUGH 4. ABOUT THE RIGHT NUMBER 5. A LITTLE TOO MANY 6. A GREAT DEAL TOO MUCH 7. NO ANSWER 0. NO CODE OR NO DATA 
S0224.Q12C. HOW DO YOU FEEL ABOUT THE AMOUNT OF EXERCISES AND CALISTHENICS YOU HAV?  1. DO NOT HAVE ANY 2. NOT NEARLY ENOUGH 3. NOT QUITE ENOUGH 4. ABOUT THE RIGHT AMOUNT 5. A LITTLE TOO MUCH 6. A GREAT DEAL TOO MUCH 0. NO ANSWER 
S0224.Q12D. HOW ABOUT THE AMOUNT OF ATHLETICS YOU HAV?  1. DO NOT HAVE ANY 2. NOT NEARLY ENOUGH 3. NOT QUITE ENOUGH 4. ABOUT THE RIGHT AMOUNT 5. A LITTLE TOO MUCH 6. A GREAT DEAL TOO MUCH 0. NO ANSWER 
"S0224.Q13A. FROM YOUR EXPERIENCE IN THE ETO, HOW OFTEN DO YOU THINK IT HAPPENS THAT MEN ARE RETURNED TO DUTY TOO SOON AFTER BEING IN ARMY HOSPITAL?  1. VERY OFTEN 2. FAIRLY OFTEN 3. NOT VERY OFTEN 4. PRACTICALLY NEVER 0. NO ANSWER "
S0224.Q13B. HOW OFTEN DO YOU THINK IT HAPPENS THAT MEN ARE KEPT IN ARMY HOSPITALS IN THE ETO TOO LONG AFTER THEY ARE WELL ENOUGH TO BE RELEASED FROM THE HOSPITA?  1. VERY OFTEN 2. FAIRLY OFTEN 3. NOT VERY OFTEN 4. PRACTICALLY NEVER 5. NO ANSWER 0. NO CODE OR NO DATA 
"S0224.Q14A. ON THE WHOLE, HOW SATISFIED DO YOU FEEL ABOUT THE FOOD AT THIS HOSPITA?  1. ABOUT AS GOOD AS IT COULD BE UNDER THE CIRCUMSTANCES 2. COULD BE IMPROVED BUT IT WOULDN'T MAKE TOO MUCH DIFFERENCE TO ME 3. COULD BE IMPROVED AND IT WOULD HELP A LOT IF IT WERE 4. UNCERTAIN 0. NO ANSWER "
"S0224.Q14B. ON THE WHOLE, HOW SATISFIED DO YOU FEEL ABOUT THE RECREATIONAL FACILITIES AT THIS HOSPITA?  1. ABOUT AS GOOD AS IT COULD BE UNDER THE CIRCUMSTANCES 2. COULD BE IMPROVED BUT IT WOULDN'T MAKE TOO MUCH DIFFERENCE TO ME 3. COULD BE IMPROVED AND IT WOULD HELP A LOT IF IT WERE 4. UNCERTAIN 0. NO ANSWER "
"S0224.Q15. ON THE WHOLE, HOW SATISFIED DO YOU FEEL ABOUT THE MAIL SERVICE YOU HAVE BEEN GETTING IN THIS HOSPITA?  1. VERY WELL SATISFIED 2. FAIRLY WELL SATISFIED 3. NOT VERY WELL SATISFIED 4. NOT SATISFIED AT ALL 0. NO ANSWER "
"S0224.Q16. HOW DO YOU FEEL ABOUT THE AMOUNT OF FREE TIME YOU ARE GIVEN TO DO WHAT YOU WANT T?  1. HAVE TOO MUCH FREE TIME WITH NOTHING TO DO 2. HAVE ABOUT THE RIGHT AMOUNT OF FREE TIME 3. DO NOT HAVE QUITE ENOUGH FREE TIME 4. DO NOT HAVE NEARLY ENOUGH FREE TIME 0. NO ANSWER P. IF YOU ARE NOW WELL ENOUGH TO GO ON PASS FROM THE HOSPITAL, PLEASE ANSWER THE QUESTIONS 17A AND 17B. IF NOT, SKIP TO QUESTION 18. "
"S0224.Q17A. HOW WELL SATISFIED ARE YOU WITH THE NUMBER OF PASSES YOU ARE ALLOWED FROM THIS HOSPITA?  1. VERY WELL SATISFIED 2. FAIRLY WELL SATISFIED 3. NOT VERY WELL SATISFIED 4. NOT SATISFIED AT ALL 5. ENTIRE Q.17 NOT ANSWERED 0. NO ANSWER TO Q.17A, BUT ANSWERS Q.17B "
"S0224.Q17B. IN GENERAL, HOW WELL SATISFIED ARE YOU WITH THE WAY IN WHICH PASSES ARE HANDLED IN THIS HOSPITA?  1. VERY WELL SATISFIED 2. FAIRLY WELL SATISFIED 3. NOT VERY WELL SATISFIED 4. NOT SATISFIED AT ALL 5. ENTIRE Q.17 NOT ANSWERED 0. NO ANSWER TO Q.17B, BUT ANSWERS Q.17A "
