S101B.CARD.  1. CARD ONE 
S101B.DECK.  101. SURVEY NUMBER 
S101B.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S101B.FORM.  1. S-101B 2. S-101C 3. S-101D 4. S-101E 5. S-101F 
S101B.Q1. WHAT IS YOUR RAN?  1. CAPTAIN 2. 1ST LIEUTENANT 3. 2ND LIEUTENANT 0. NO ANSWER 
S101B.Q2. HOW LONG HAVE YOU BEEN IN YOUR PRESENT RAN?  0. NO ANSWER 1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 9 MONTHS 4. OVER 9 MONTHS UP TO 1 YEAR 5. OVER 1 YEAR UP TO 2 YEARS 6. OVER 2 YEARS 
"S101B.Q3. ARE YOU:  1. SINGLE 2. MARRIED AND HAVE NO CHILDREN 3. MARRIED AND DO HAVE CHILDREN 4. WIDOWED, DIVORCED, OR SEPARATED "
S101B.Q4. HOW LONG HAVE YOU BEEN OVERSEA? E. FOR NATIONAL GUARD TROOPS THIS MEANS ACTIVE SERVICE.  1. SIX MONTHS OR LESS 2. MORE THAN 6 MONTHS BUT NOT OVER 1 YEAR 3. MORE THAN 1 YEAR BUT NOT OVER 1 1/2 YEARS 4. MORE THAN 1 1/2 YEARS 
S101B.Q5. WHAT MONTH AND YEAR DID YOU JOIN THIS DIVISIO? E. MONTH:  01. JANUARY 02. FEBRUARY 03. MARCH 04. APRIL 05. MAY 06. JUNE 07. JULY 08. AUGUST 09. SEPTEMBER 10. OCTOBER 11. NOVEMBER 12. DECEMBER E. YEAR: 
S101B.Q5. WHAT MONTH AND YEAR DID YOU JOIN THIS DIVISIO? E. MONTH:  26 1. 1940 OR EARLIER 36 2. 1941 185 3. 1942 20 4. 1943 0 5. 1944 X. QUESTION 6A NOT CODED. 
"S101B.Q6B. ABOUT HOW MANY DAYS ALTOGETHER, HAVE YOU BEEN IN COMBAT NOT COUNTING THE DAYS YOU'VE SPENT BACK OF THE LINE OR AWAY FROM THE FRON?  ANP (ACTUAL NUMBER DAYS) 003. 3 DAYS . . . 252. 252 DAYS 000. NONE 999.NO ANSWER X. QUESTIONS 6C AND 6D NOT CODED. "
S101B.Q7. WHAT BRANCH OF THE ARMY ARE YOU IN NO?  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. OTHER 
"S101B.Q8. IF YOU HAD A CHOICE, WHICH ONE OF THESE BRANCHES OF THE ARMY WOULD YOU LIKE TO BE I?  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. ALL OTHERS 00. NO ANSWER "
S101B.Q9A. ARE YOU:  1. A LINE OFFICER 2. A STAFF OFFICER 0. NO ANSWER 
S101B.Q9B. IF YOU HAD A CHANCE TO CHOOSE WOULD YOU RATHER BE A LINE OFFICER OR A STAFF OFFICE?  1. RATHER BE A STAFF OFFICER 2. RATHER BE A LINE OFFICER 3. UNDECIDED 0. NO ANSWER 
S101B.Q9C. WHO HAVE THE BETTER CHANCE FOR PROMOTIO?  1. LINE OFFICERS 2. STAFF OFFICERS 3. ABOUT THE SAME 0. NO ANSWER 
S101B.Q9D. HOW DO YOU FEEL ABOUT THE COMPARATIVE PROMOTION OPPORTUNITIES OF LINE OFFICERS AND STAFF OFFICER?  1. I THINK THE PRESENT PRACTICE IS O.K. 2. I THINK THE PRESENT PRACTICE IS SOMEWHAT UNFAIR 3. I THINK THE PRESENT PRACTICE IS VERY UNFAIR 0. NO ANSWER X. QUESTION 10 NOT CODED. 
S101B.Q11. HOW MUCH OF THE TIME YOU WERE IN COMBAT WERE YOU A MEMBER OF THE COMPANY YOU ARE NOW I?  1. ALL OR MOST OF THE TIME 2. SOME OF THE TIME 3. LITTLE OR NONE OF THE TIME 0. NO ANSWER 
S101B.Q12. ABOUT HOW MANY BATTLE CASUALTIES (KILLED AND WOUNDED) HAS YOUR PRESENT COMPANY HAD SINCE YOU FIRST WENT INTO COMBAT WITH I?  1. MORE THAN HALF OF THE MEN HAVE BEEN CASUALTIES 2. BETWEEN A QUARTER AND A HALF HAVE BEEN CASUALTIES 3. LESS THAN A QUARTER HAVE BEEN CASUALTIES 4. DON'T KNOW 0. NO ANSWER 
"S101B.Q13. IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS OR IN LOW SPIRIT?  1. I AM USUALLY IN GOOD SPIRITS 2. I AM IN GOOD SPIRITS SOME OF THE TIME AND IN LOW SPIRITS SOME OF THE TIME 3. I AM USUALLY IN LOW SPIRITS "
"S101B.Q14. HOW DO YOU FEEL ABOUT THE IMPORTANCE OF THE RIFLEMAN'S JOB IN MODERN BATTL?  1. MORE IMPORTANT THAN MOST ANY OTHER SOLDIER'S JOB 2. IMPORTANT, BUT NO MORE SO THAN MANY OTHERS 3. NOT VERY IMPORTANT COMPARED WITH WHAT OTHER SOLDIERS CAN DO 0. NO ANSWER "
S101B.Q15. WHAT SORT OF TEAMWORK DID THE MEN IN YOUR COMPANY SHOW IN ACTUAL BATTL?  1. VERY GOOD 2. FAIRLY GOOD 3. NOT VERY GOOD 4. NOT GOOD AT ALL 0. NO ANSWER 
S101B.Q16. DO YOU USUALLY FEEL THAT WHAT YOU ARE DOING IN THE ARMY IS WORTHWHILE OR NO?  1. I USUALLY FEEL IT IS WORTHWHILE 2. I USUALLY FEEL IT IS NOT WORTHWHILE 3. UNDECIDED 0. NO ANSWER 
"S101B.Q17. WHEN YOU WERE FIGHTING IN A PARTICULAR BATTLE, DID YOU EVER HAVE THE FEELING THAT IT WASN'T WORTH THE COS?  1. YES, ALMOST ALWAYS 2. YES, SOMETIMES 3. NO, NEVER 4. UNDECIDED 0. NO ANSWER "
