S085.CARD.  1. CARD ONE 
S085.DECK.  085. SURVEY NUMBER 
S085.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S085.Q1. WHAT IS YOUR PRESENT GRAD?  1. SECOND LIEUTENANT 2. FIRST LIEUTENANT 3. CAPTAIN 4. MAJOR 0. NO ANSWER 
S085.Q2. HOW LONG HAVE YOU BEEN ON ACTIVE SERVICE AS A COMMISSIONED OFFICER IN THE ARM?  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 9 MONTHS 4. OVER 9 MONTHS UP TO 1 YEAR 5. OVER 1 YEAR UP TO 2 YEARS 6. OVER 2 YEARS 0. NO ANSWER 
"S085.Q3A. HAVE YOU SERVED OUTSIDE THE CONTINENTAL UNITED STATES IN THIS WA?  1. YES, AS AN ENLISTED MAN 2. YES, AS AN OFFICER 3. NO 0. NO ANSWER "
S085.Q3B. HAVE YOU BEEN IN ACTUAL COMBAT IN THIS WA?  1. YES 2. NO 0. NO ANSWER 
S085.Q4. HOW OLD WERE YOU ON YOUR LAST BIRTHDA?  01. 18 YEARS OR YOUNGER 02. 19 YEARS 03. 20 YEARS 04. 21 YEARS 05. 22 YEARS 06. 23 YEARS 07. 24 YEARS 08. 25 YEARS 09. 26 THRU 29 10. 30 THRU 34 11. 35 AND OVER 00. NO ANSWER 
S085.Q5. HOW MUCH EDUCATION HAVE YOU HA?  1. LESS THAN 8TH GRADE 2. FINISHED 8TH GRADE 3. SOME HIGH SCHOOL BUT DID NOT FINISH 4. GRADUATED FROM HIGH SCHOOL 5. SOME COLLEGE BUT DID NOT FINISH 6. GRADUATED FROM COLLEGE 7. GRADUATE STUDY IN COLLEGE OR UNIVERSITY 0. NO ANSWER X. QUESTIONS 6 AND 7 TO BE CODED TOGETHER. 
"S085.Q6. ARE YOU SINGLE, MARRIED, DIVORCED OR SEPARATED OR WIDOWE? F. IF MARRIED:  Q.7. WERE YOU MARRIED BEFORE OR AFTER ENTERING THE ARM?  1. SINGLE 2. DIVORCED OR SEPARATED 3. WIDOWED 4. MARRIED BEFORE ENTERING THE ARMY 5. MARRIED AFTER ENTERING THE ARMY 6. MARRIED, NO ANSWER AS TO WHEN 0. NO ANSWER "
S085.Q8. HOW MANY CHILDREN DO YOU HAV?  1. HAVE NO CHILDREN 2. HAVE ONE CHILD 3. HAVE TWO CHILDREN 4. HAVE THREE OR MORE CHILDREN 5. I'M NOT MARRIED 0. NO ANSWER 
