CARD.  1. CARD ONE 
DECK.  005. PLANNING SURVEY V 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. A FORM 2. B FORM 
"Q.1. WHAT IS YOUR RANK OR GRADE*  1. PRIVATE 2. PRIVATE FIRST CLASS 3. TECHNICIAN 5TH GRADE, CORPORAL 4. TECHNICIAN 4TH GRADE, SERGEANT 5. TECHNICIAN 3RD GRADE, STAFF SERGEANT 6. TECHNICAL SERGEANT 7. MASTER SERGEANT 8. NO ANSWER 0. NO CODE OR NO DATA "
Q.2. IN WHAT STATE OF THE UNITED STATES DID YOU SPEND MOST OF THE PAST FIVE YEARS OF YOUR CIVILIAN LIFE*  01. NEW ENGLAND 02. MIDDLE ATLANTIC 03. EAST NORTH CENTRAL 04. WEST NORTH CENTRAL 05. SOUTH ATLANTIC 06. EAST SOUTH CENTRAL 07. WEST SOUTH CENTRAL 08. MOUNTAIN 09. PACIFIC 10. FOREIGN 11. NO ANSWER 00. NO CODE OR NO DATA 
"Q.3. WHERE WAS YOUR HOME FOR MOST OF THE PAST FIVE YEARS BEFORE YOU ENTERED THE ARMY*  1. ON A FARM 2. IN A TOWN WITH FEWER THAN 2,500 PEOPLE 3. IN A CITY BETWEEN 2,500 AND 25,000 PEOPLE 4. IN A CITY BETWEEN 25,000 AND 100,000 PEOPLE 5. IN A CITY WITH MORE THAN 100,000 PEOPLE 6. NO ANSWER 0. NO CODE OR NO DATA "
Q.4. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  1. 19 YEARS OR UNDER 2. 20 YEARS 3. 21-24 YEARS 4. 25-27 YEARS 5. 28-29 YEARS 6. 30 TO 34 YEARS 7. 35 AND OVER 8. NO ANSWER 0. NO CODE OR NO DATA 
Q.5. HOW FAR DID YOU GO IN SCHOOL*  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL OR TRADE SCHOOL 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. COLLEGE GRADUATE 9. NO ANSWER 0. NO CODE OR NO DATA 
Q.6. ARE YOU:  1. SINGLE 2. MARRIED 3. DIVORCED 4. WIDOWED 5. SEPARATED 6. UNDESIGNATED CODE 7. NO ANSWER 0. NO CODE OR NO DATA 
"Q.7A. IF YOU ARE MARRIED, HOW LONG HAVE YOU BEEN MARRIED*  01. LESS THAN 2 MONTHS 02. 2 OR 3 MONTHS 03. 4 OR 5 MONTHS 04. 6 OR 7 MONTHS 05. 8 OR 9 MONTHS 06. 10 OR 11 MONTHS 07. 12 OR 13 MONTHS 08. 14 OR 15 MONTHS 09. 16 TO 22 MONTHS 10. 22 MONTHS OR MORE 98. NO ANSWER 99. INAPPLICABLE (SINGLE) 00. NO CODE OR NO DATA "
