CARD.  1. CARD ONE 
DECK.  115. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM:  1. S-115A 2. S-115B 3. S-115C 
Q.1. WHAT IS YOUR ARMY RANK OR GRADE*  1. PRIVATE 2. PRIVATE FIRST CLASS 3. TECHNICIAN 5TH GRADE OR CORPORAL 4. TECHNICIAN 4TH GRADE OR SERGEANT 5. TECHNICIAN 3RD GRADE OR STAFF SERGEANT 6. TECHNICAL SERGEANT 7. MASTER SERGEANT OR FIRST SERGEANT 
Q.2. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  01. 18 YEARS OR LESS 02. 19 YEARS 03. 20 YEARS 04. 21 YEARS 05. 22 YEARS 06. 23 YEARS 07. 24 YEARS 08. 25 YEARS 09. 26 THROUGH 29 YEARS 10. 30 THROUGH 34 YEARS 11. 35 YEARS OR MORE 00. NO ANSWER 
Q.3. HOW MANY YEARS OF SCHOOL DID YOU COMPLETE*  1. FIFTH GRADE OR LESS 2. FINISHED SIXTH GRADE 3. FINISHED SEVENTH GRADE 4. FINISHED EIGHTH GRADE 5. ATTENDED HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. ATTENDED COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 
"Q.4. WHERE DID YOU SPEND MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY*  1. ON A FARM IN THE COUNTRY 2. IN A SMALL TOWN (LESS THAN 2,500 PEOPLE) 3. IN A TOWN (WITH BETWEEN 2,500 AND 25,000 PEOPLE) 4. IN A CITY (WITH BETWEEN 25,000 AND 100,000 PEOPLE) 5. IN A LARGE CITY (MORE THAN 100,000 PEOPLE) "
Q.5. ARE YOU...*  1. SINGLE 2. MARRIED 3. DIVORCED OR SEPARATED 4. WIDOWED 
Q.6. WHAT BRANCH OF THE ARMY ARE YOU IN NOW*  01. ENGINEERS 02. CHEMICAL WARFARE 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL CORPS 06. SIGNAL CORPS 07. COAST ARTILLERY AND ANTI-AIRCRAFT 08. AIR CORPS 09. ORDNANCE 10. FIELD ARTILLERY 
"Q.7. IF YOU HAD A CHOICE, WHICH OF THE FOLLOWING BRANCHES OF THE ARMY WOULD YOU LIKE TO BE IN*  01. ENGINEERS 02. CHEMICAL WARFARE 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL CORPS 06. SIGNAL CORPS 07. COAST ARTILLERY AND ANTI-AIRCRAFT 08. AIR CORPS 09. ORDNANCE 10. FIELD ARTILLERY 11. OTHER 00. NO ANSWER "
"Q.8. HOW DID YOU COME INTO THE ARMY*  1. I CAME IN THROUGH THE NATIONAL GUARD 2. I WAS DRAFTED, BEFORE PEARL HARBOR 3. I WAS DRAFTED, AFTER PEARL HARBOR 4. I VOLUNTEERED, BEFORE PEARL HARBOR 5. I VOLUNTEERED, AFTER PEARL HARBOR 0. NO ANSWER "
"Q.9. HOW LONG HAVE YOU BEEN IN THE ARMY* P. IF YOU HAVE BEEN IN THE ARMY BEFORE, AND THEN WERE OUT FOR A WHILE, JUST CHECK THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. NATIONAL GUARDSMEN: CHECK THE LENGTH OF TIME SINCE YOUR OUTFIT ENTERED THE ARMY.  1. 9 MONTHS OR LESS 2. FROM 10 MONTHS UP TO 12 MONTHS 3. FROM 13 MONTHS UP TO 15 MONTHS 4. FROM 16 MONTHS UP TO 18 MONTHS 5. FROM 19 MONTHS UP TO 24 MONTHS 6. FROM 25 MONTHS UP TO 30 MONTHS 7. FROM 31 MONTHS UP TO 36 MONTHS 8. FROM 37 MONTHS UP TO 42 MONTHS 9. FROM 43 MONTHS UP TO 48 MONTHS 0. MORE THAN 48 MONTHS "
Q.10. HOW MANY MONTHS HAVE YOU BEEN STATIONED IN THE PANAMA CANAL DEPARTMENT*  ANP (MONTHS) 01. ONE MONTH OR LESS . . . 99. 99 MONTHS 00.NO ANSWER 
"Q.11. ARE YOU NOW STATIONED AT A POST (CAMP OR FORT) OR IN AN OUTLYING AREA (MOUNTAINS OR JUNGLE)*  1. POST (CAMP) 2. OUTLYING AREA (MOUNTAINS, JUNGLE) "
Q.12. HOW MANY MONTHS IN ALL HAVE YOU BEEN AT YOUR PRESENT POST OR POSITION WHERE YOU ARE NOW STATIONED* (LEAVE OUT THE MONTHS DURING WHICH YOU MAY HAVE BEEN STATIONED AWAY FROM YOUR POST OR POSITION.)  01. 1 MONTH OR LESS 02. 2 MONTHS 03. 3 MONTHS 04. 4 MONTHS 05. 5 MONTHS 06. 6 MONTHS 07. 7 MONTHS 08. 8 MONTHS 09. 9 MONTHS 10. 10 MONTHS 11. 11 MONTHS 12. 12 MONTHS 13. 13 MONTHS 14. 14 MONTHS 15. 15 MONTHS 16. 16 MONTHS 17. 17 MONTHS 18. 18 MONTHS 19. 19 MONTHS 20. 20 MONTHS 21. 21 MONTHS 22. 22 MONTHS 23. 23 MONTHS 24. 24 MONTHS 25. 25 MONTHS 26. 26 MONTHS 27. 27 MONTHS 28. 28 MONTHS OR MORE 00. NO ANSWER X. QUESTIONS 13A AND 13B NOT CODED. 
Q.14. HOW INTERESTED ARE YOU IN YOUR ARMY JOB*  1. VERY MUCH INTERESTED 2. A LITTLE BUT NOT MUCH 3. NOT INTERESTED AT ALL 0. NO ANSWER 
Q.15. WOULD YOU CHANGE TO SOME OTHER ARMY JOB IF GIVEN A CHANCE*  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
"Q.16. CONSIDERING EVERYTHING, DO YOU THINK THE ARMY DOES ALL IT CAN TO PROVIDE YOU WITH INTERESTING THINGS TO DO IN YOUR OFF-DUTY TIME*  1. YES, IT DOES ALL IT CAN 2. DOES A LOT, BUT COULD DO MORE 3. DOESN,T DO NEARLY ENOUGH, COULD DO A LOT MORE 0. NO ANSWER "
"Q.17. IN GENERAL, WHAT SORT OF A TIME DO YOU HAVE IN THE ARMY*  1. I HAVE A PRETTY GOOD TIME 2. IT,S ABOUT FIFTY-FIFTY 3. I HAVE A PRETTY ROTTEN TIME 0. NO ANSWER "
"Q.18. IN GENERAL, DO YOU FEEL THAT WHAT YOU ARE DOING IN THE ARMY IS WORTHWHILE OR NOT*  1. IN GENERAL I FEEL IT IS NOT WORTHWHILE 2. IN GENERAL I FEEL IT IS WORTHWHILE 3. UNDECIDED 0. NO ANSWER "
"Q.19. ON THE WHOLE, DO YOU THINK THE ARMY IS GIVING YOU A CHANCE TO SHOW WHAT YOU CAN DO*  1. A VERY GOOD CHANCE 2. A FAIRLY GOOD CHANCE 3. NOT MUCH OF A CHANCE 4. NO CHANCE AT ALL 5. UNDECIDED 0. NO ANSWER "
"Q.20. IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS OR IN LOW SPIRITS*  1. I AM USUALLY IN GOOD SPIRITS 2. I AM IN GOOD SPIRITS SOME OF THE TIME AND IN LOW SPIRITS SOME OF THE TIME 3. I AM USUALLY IN LOW SPIRITS "
"Q.21. DO YOU WORRY ABOUT HOW YOUR FAMILY IS DOING*  1. I DON,T WORRY ABOUT HOW THEY,RE DOING 2. I WORRY A LITTLE BUT NOT A WHOLE LOT ABOUT HOW THEY,RE DOING 3. I WORRY A FAIR AMOUNT ABOUT HOW THEY,RE DOING 4. I WORRY A GREAT DEAL ABOUT HOW THEY,RE DOING 0. NO ANSWER "
"Q.22. HOW DO YOU FEEL ABOUT YOUR PRESENT WORKING HOURS* (INCLUDE REGULAR DUTY, TRAINING, AND SPECIAL DETAILS.)  1. I WORK TOO MANY HOURS 2. I WORK (SOMEWHAT) TOO MANY HOURS 3. I WORK ABOUT THE RIGHT NUMBER OF HOURS 4. I WORK TOO FEW HOURS (I DON,T WORK ENOUGH HOURS) 0. NO ANSWER "
Q.23. HOW MUCH OF YOUR TRAINING OR DUTY TIME IS SPENT IN DOING THINGS THAT DO NOT SEEM IMPORTANT TO YOU*  1. A LOT OF IT 2. SOME OF IT 3. ONLY A LITTLE OF IT 4. NONE OF IT 0. NO ANSWER 
Q.24. DO YOU THINK YOU ARE IN BETTER OR IN WORSE PHYSICAL CONDITION NOW THAN WHEN YOU FIRST CAME TO THIS AREA*  1. I AM IN BETTER PHYSICAL CONDITION THAN WHEN I FIRST CAME TO THIS AREA 2. I AM IN ALMOST THE SAME PHYSICAL CONDITION AS WHEN I FIRST CAME TO THIS AREA 3. I AM IN WORSE PHYSICAL CONDITION THAN WHEN I FIRST CAME TO THIS AREA 0. NO ANSWER 
"Q.25. DO YOU FEEL PROUD OF YOUR BATTERY (COMPANY, SQUADRON, TROOP)*  1. YES, VERY PROUD 2. YES, FAIRLY PROUD 3. NO, NOT PROUD 4. UNDECIDED 0. NO ANSWER "
"Q.26. DO YOU THINK YOU WOULD WANT TO STAY IN THE ARMY AFTER THE WAR*  1. YES, I WOULD WANT TO VERY MUCH 2. YES, I MIGHT WANT TO, BUT I,M NOT SURE 3. NO, I DON,T THINK I WOULD WANT TO 4. NO, I WOULD NOT WANT TO AT ALL 5. UNDECIDED 0. NO ANSWER "
"Q.27A. IF YOU HAD YOUR CHOICE, WHAT KIND OF OUTFIT WOULD YOU RATHER BE IN*  1. IN A COMBAT OUTFIT (FIGHTING OUTFIT) 2. IN A NON-COMBAT OUTFIT 3. DOESN,T MATTER 0. NO ANSWER "
Q.27B. WHERE WOULD YOU LIKE THIS OUTFIT YOU JUST CHOSE TO SERVE*  1. IN MY COUNTRY 2. OVERSEAS IN A ZONE WHERE THERE IS NO FIGHTING 3. IN A FIGHTING ZONE 0. NO ANSWER 
