S0213.CARD.  1. CARD ONE 
S0213.DECK.  213. SURVEY NUMBER 
S0213.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S0213.Q1. WHAT IS YOUR RANK OR GRAD?  1. PRIVATE OR PRIVATE FIRST CLASS 2. CORPORAL OR TECHNICIAN 5TH GRADE 3. SERGEANT OR TECHNICIAN 4TH GRADE 4. TOP THREE GRADES 5. NO ANSWER 0. NO CODE OR NO DATA 
S0213.Q2. HOW OLD WERE YOU ON YOUR LAST BIRTHDA?  1. UNDER 20 YEARS OF AGE 2. 20 TO 24 3. 25 TO 29 4. 30 TO 34 5. 35 TO 37 6. 38 OR OVER 0. NO ANSWER 
"S0213.Q3. ARE YOU:  1. SINGLE 2. MARRIED, LIVING WITH WIFE ON OR NEAR POST 3. MARRIED, WIFE NOT LIVING NEAR POST 4. DIVORCED OR SEPARATED 5. WIDOWED 6. NO ANSWER 0. NO CODE OR NO DATA "
S0213.Q4. HOW FAR DID YOU GO IN SCHOO?  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 9. NO ANSWER 0. NO CODE OR NO DATA 
"S0213.Q5. HOW LONG HAVE YOU SERVED IN THE ARM? E. IF YOU HAVE SERVED PREVIOUSLY IN THE ARMY, CHECK THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. IF YOU WERE A NATIONAL GUARDSMAN, GIVE THE LENGTH OF TIME SINCE YOUR OUTFIT ENTERED THE ARMY.  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 1 YEAR 4. OVER 1 YEAR UP TO 2 YEARS 5. OVER 2 YEARS UP TO 3 YEARS 6. OVER 3 YEARS UP TO 4 YEARS 7. OVER 4 YEARS UP TO 5 YEARS 8. OVER 5 YEARS 9. NO ANSWER 0. NO CODE OR NO DATA "
"S0213.Q6. CHECK ALL THE BRANCHES OF THE SERVICE YOU HAVE SERVED IN DURING THIS WAR, INCLUDING THE ONE YOU ARE IN NOW. (AIR CORPS, ENGINEERS, QUARTERMASTER CORPS, MEDICAL DEPARTMENT, SIGNAL CORPS, TRANSPORTATION CORPS, ORDNANCE DEPARTMENT, CHEMICAL WARFARE SERVICE, MILITARY POLICE, INFANTRY, FIELD ARTILLERY, COAST ARTILLERY OR AAA, ARMORED FORCE OR TD, DEML (STATION COMPLEMENT), OTHER)  1. ONE BRANCH 2. TWO BRANCHES 3. THREE BRANCHES 4. FOUR BRANCHES 5. FIVE BRANCHES 6. SIX BRANCHES 7. SEVEN BRANCHES 8. EIGHT BRANCHES 9. NO ANSWER 0. NO CODE OR NO DATA "
"S0213.Q7. IN GENERAL, WHAT SORT OF PHYSICAL CONDITION WOULD YOU SAY YOU ARE IN AT THE PRESENT TIM?  1. VERY GOOD PHYSICAL CONDITION 2. GOOD PHYSICAL CONDITION 3. FAIR PHYSICAL CONDITION 4. POOR PHYSICAL CONDITION 5. VERY POOR PHYSICAL CONDITION 6. NO ANSWER 0. NO CODE OR NO DATA "
"S0213.Q8A. AS FAR AS YOU KNOW, ARE YOU NOW CLASSIFIED BY THE ARMY AS PHYSICALLY FIT FOR OVERSEAS DUT?  1. YES 2. NO 3. I DON'T KNOW 4. NO ANSWER 0. NO CODE OR NO DATA "
"S0213.Q8B. IN YOUR OWN OPINION, ARE YOU PHYSICALLY FIT FOR OVERSEAS DUT?  1. YES 2. NO 3. UNDECIDED 4. NO ANSWER 0. NO CODE OR NO DATA "
"S0213.Q9. DO YOU KNOW WHAT YOUR OWN SCORE IS UNDER THE ARMY SCORE CARD PLAN (POINT SYSTEM) FOR DECIDING WHICH MEN ARE ELIGIBLE TO BE DECLARED SURPLU?  ANP (ACTUAL SCORE) 01. 1 POINT . . . 93. 93 POINTS 94.94-99 POINTS 95.100-109 POINTS 96.100-119 POINTS 97.120 POINTS AND OVER 98.NO, I DO NOT KNOW WHAT MY POINT SCORE IS 99.NO ANSWER 00.NO CODE OR NO DATA "
