S101F.CARD.,S101F.DECK.,S101F.BALLOT.,S101F.FORM.,S101F.Q1.,S101F.Q2.,S101F.Q3.,S101F.Q4.,S101F.Q5.,S101F.Q5..1,S101F.Q6B.,S101F.Q7.,S101F.Q8.,S101F.Q9A.,S101F.Q9B.,S101F.Q9C.,S101F.Q9D.,S101F.Q11.,S101F.Q12.,S101F.Q13.,S101F.Q14.,S101F.Q15.,S101F.Q16.,S101F.Q17.,S101F.Q18.,S101F.Q19.,S101F.Q20.,S101F.Q21A.,S101F.Q21B.,S101F.Q22.,S101F.Q23.,S101F.Q24.,S101F.Q25.,S101F.Q26A.,S101F.Q26B.,S101F.Q27.,S101F.Q28.,S101F.Q29.,S101F.Q30A.,S101F.Q30B.,S101F.Q30C.,S101F.Q30D.,S101F.Q31A.,S101F.Q31B.,S101F.Q31C.,S101F.Q31D.,S101F.Q31E.,S101F.Q31F.,S101F.Q31G.,S101F.Q31H.,S101F.Q31I.,S101F.Q31J.,S101F.Q31K.,S101F.Q31L.,S101F.Q31M.,S101F.Q31N.,S101F.Q31O.,S101F.Q31P.,S101F.Q31Q.,S101F.Q31R.,S101F.Q31S.,S101F.Q31T.,S101F.Q32.,S101F.Q33.,S101F.Q34.,S101F.Q35A.,S101F.Q35B.,S101F.Q36A.,S101F.Q36B.,S101F.Q36C.,S101F.Q36D.,S101F.CARD..1,S101F.DECK..1,S101F.BALLOT..1,S101F.FORM..1,S101F.Q36E.,S101F.Q36F.,S101F.Q36G.,S101F.Q36I.,S101F.Q36J.,S101F.Q37A.,S101F.Q37B.,S101F.Q38.,S101F.Q39.,S101F.Q40A.,S101F.Q40B.,S101F.Q42.,S101F.Q43A.,S101F.Q43B.,S101F.Q43C.,S101F.Q43D.,S101F.Q43E.,S101F.Q43F.,S101F.Q43G.,S101F.Q43H.,S101F.Q43I.,S101F.Q43J.,S101F.Q44.,S101F.Q47A.,S101F.Q47B.,S101F.Q47C.,S101F.Q47D.,S101F.Q47E.,S101F.Q49.,S101F.Q50A.,S101F.Q50B.,S101F.Q50C.,S101F.Q50D.,S101F.Q51A.,S101F.Q51B.,S101F.Q53A.,S101F.Q53B.,S101F.Q54A.,S101F.Q54B.,S101F.Q54C.,S101F.Q54D.,S101F.Q54E.,S101F.Q55A.,S101F.Q55B.,S101F.Q56.,S101F.Q57.,S101F.Q58.,S101F.Q58..1,S101F.Q58..2,S101F.Q58..3,S101F.Q58..4,S101F.Q58..5,S101F.Q58..6,S101F.Q58..7,S101F.Q58..8,S101F.Q58..9,S101F.Q58..10,S101F.Q58..11,S101F.Q58..12,S101F.Q59.,S101F.Q60A.,S101F.Q60B.,S101F.Q61A.,S101F.Q61A..1,S101F.Q61B.,S101F.V63.
1,101,1,5,0,2,4,0,10,1,34,0,12,2,3,1,3,0,1,1,0,2,3,1,1,0,1,3,2,2,2,2,2,2,0,2,5,1,2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,1,5,1,3,3,3,13,0,241,34,44,4,4,4,4,4,4,4,4,1,1,5,5,5,1,4,1,2,1,2,1,0,0,2,0,0,2,5,7,5,0,0,0,0,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,2,5,1,5,1,4,8,2,10,5,5,2,1,1,1,1,3,2,1,1,1,2,1,2,8,1,1,2,3,2,2,2,0,4,1,1,1,2,1,1,4,1,4,0,4,4,4,1,1,4,4,2,1,4,4,4,1,4,4,4,2,3,4,3,3,3,1,1,3,2,101,2,5,1,3,1,1,3,1,1,1,4,1,1,1,2,2,4,4,2,4,4,4,4,4,1,2,1,2,1,1,4,1,2,1,2,1,3,1,1,0,50,49,1,0,2,4,3,3,2,2,2,2,2,2,1,2,2,2,2,1,2,2,3,2,4,3,3,1
1,101,3,5,3,5,2,3,4,4,3,4,6,1,1,3,2,1,3,1,2,2,2,2,3,1,8,3,2,3,3,0,1,2,1,3,2,3,1,2,2,2,4,4,1,4,4,4,1,4,4,4,4,1,4,1,1,4,4,4,4,4,4,1,1,3,3,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,3,5,1,1,1,1,21,1,112,13,34,4,4,4,4,4,4,4,4,3,1,1,2,1,1,3,1,1,2,2,1,3,1,0,0,0,0,0,5,0,0,0,0,0,2,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,0,6,2,3,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,4,5,1,5,3,4,12,3,3,4,11,2,1,3,1,1,3,2,2,1,2,3,1,1,8,1,3,2,2,2,2,1,1,0,1,1,1,0,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,2,1,1,1,1,2,101,4,5,1,1,2,1,1,1,0,1,4,2,2,1,4,3,3,3,4,4,4,4,4,4,1,1,1,1,1,1,4,1,1,1,1,1,2,2,2,10,83,5,1,1,1,4,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,1,3,3,3,4,3,1
1,101,5,5,1,4,3,2,10,4,4,5,5,0,0,2,1,1,3,2,2,1,2,3,1,1,8,1,2,2,1,3,2,1,1,3,1,1,1,1,1,1,4,1,4,4,1,1,1,1,4,4,4,4,4,1,4,4,4,4,4,4,2,2,4,3,2,1,1,1,3,2,101,5,5,1,1,3,1,1,1,4,1,1,2,2,1,2,2,3,4,3,4,2,4,4,4,1,1,1,1,1,5,3,1,3,1,1,1,1,2,2,20,75,3,2,0,2,4,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,4,3,2,1
1,101,6,5,2,1,1,4,11,3,2,4,4,1,2,3,1,1,3,2,2,2,2,3,1,1,8,1,2,2,2,3,2,2,1,0,2,3,3,2,3,3,4,4,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,1,4,1,4,3,3,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,6,5,1,1,2,1,31,0,0,1,34,2,4,4,4,4,4,4,2,1,2,1,5,5,5,4,1,2,1,3,1,0,1,2,0,0,9,0,1,0,0,0,0,0,1,0,3,3,2,2,2,2,2,2,2,1,2,2,2,2,1,0,6,6,4,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,7,5,2,1,1,3,12,3,3,4,4,2,1,3,1,3,3,1,1,1,2,4,1,1,8,1,3,2,3,2,2,1,2,0,1,1,2,2,2,2,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,1,2,2,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
