CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5A.,Q.5B.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39J.,Q.40.,Q.40A.,Q.41.,Q.42.,Q.43A.,Q.43B.,Q.43C.,Q.44.,Q.45.,Q.46.,Q.46A.,Q.46B.,Q.46C.,Q.46D.,Q.46E.,Q.47A.,Q.47B.,Q.47C.,Q.47D.,Q.47E.,Q.47F.,Q.47G.,Q.47H.,Q.48.,Q.49.,CARD..1,DECK..1,BALLOT..1,V.50.,V.51.,V.52.,V.53.
1,47,1,2,1,1,1,1,2,2,3,2,3,1,2,2,2,2,6,3,1,2,2,2,1,3,2,2,3,2,1,1,1,4,1,2,3,3,3,3,4,4,1,2,4,1,1,2,3,1,2,3,1,2,98,98,1,1,1,3,1,3,3,1,2,1,2,1,2,47,1,2,7,9,2027
1,47,2,3,1,2,1,1,2,7,3,2,3,1,1,3,1,2,6,2,1,1,2,1,2,1,2,2,2,3,3,1,4,4,1,1,1,3,2,2,7,1,1,4,1,1,1,1,3,1,1,1,3,9,99,99,99,9,3,1,3,1,1,1,1,1,2,1,2,47,2,8,6,9,2177
1,47,3,3,1,1,1,1,4,3,2,2,2,1,2,2,1,1,6,1,1,2,2,4,3,1,3,2,3,3,3,2,4,2,4,4,2,3,2,1,3,4,1,2,4,1,1,1,5,1,3,2,3,9,99,99,99,9,3,1,3,3,3,3,3,1,2,2,2,47,3,4,5,9,2142
1,47,4,5,1,1,1,7,7,2,3,2,3,2,1,1,1,2,6,1,1,1,2,4,1,1,1,2,3,3,3,3,4,1,1,3,3,3,3,1,4,3,1,1,2,1,1,1,1,1,1,1,1,2,98,98,1,1,1,1,1,1,1,1,1,1,1,1,2,47,4,6,9,9,2060
1,47,5,1,1,2,2,2,3,2,2,1,2,1,2,3,1,2,5,2,1,3,2,4,2,3,3,2,3,3,3,1,1,2,1,2,3,2,2,2,6,1,2,4,2,1,1,1,1,1,1,2,3,2,98,98,2,1,3,1,3,1,1,1,1,2,1,1,2,47,5,7,4,9,2056
1,47,6,2,1,1,2,4,6,5,3,2,1,2,2,3,2,3,5,2,1,2,1,1,1,3,3,2,3,2,2,1,2,2,1,1,1,3,2,3,7,2,1,3,4,1,3,2,3,1,3,3,3,1,10,2,3,1,3,3,3,3,1,2,1,3,2,1,2,47,6,4,7,9,2257
1,47,7,3,1,1,2,10,10,2,2,1,3,1,2,3,3,3,6,1,1,1,1,1,2,0,2,2,6,3,3,1,4,5,1,4,4,1,1,1,9,4,1,4,1,1,1,3,3,1,1,0,1,2,98,98,2,1,1,3,1,3,3,3,1,3,1,1,2,47,7,1,9,9,2118
1,47,8,2,1,2,2,2,4,5,3,1,1,1,2,3,2,2,6,2,1,2,2,2,2,3,3,2,3,3,2,1,0,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,3,2,1,3,1,9,99,99,99,9,1,1,3,3,3,3,3,1,1,1,2,47,8,2,10,9,2136
1,47,9,1,1,1,2,1,3,2,5,5,2,1,1,3,1,3,6,1,1,2,2,2,1,3,3,2,6,3,3,1,1,1,1,1,4,2,2,2,4,3,1,2,5,1,1,1,1,1,1,1,1,9,99,99,99,9,3,1,3,1,1,1,1,1,1,1,2,47,9,8,10,9,2057
1,47,10,3,1,1,2,1,2,2,1,1,1,1,1,3,3,1,6,1,1,1,2,3,1,0,3,2,6,2,2,3,4,4,3,3,4,1,1,4,4,5,1,5,5,1,1,1,2,1,1,3,1,2,98,98,2,1,3,2,3,2,2,1,2,1,1,1,2,47,10,4,9,9,2090
