S100A.CARD.  1. CARD ONE 
S100A.DECK.  100. SURVEY NUMBER 
S100A.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S100A.FORM:  1. S-100A 2. S-100B 3. S-100C 4. S-100D 5. S-100E 6. S-100F 7. S-100G 
S100A.Q1. WHAT IS YOUR ARMY RANK OR GRAD?  01. PRIVATE 02. PRIVATE FIRST CLASS 03. TECHNICIAN 5TH GRADE 04. CORPORAL 05. TECHNICIAN 4TH GRADE 06. SERGEANT 07. TECHNICIAN 3RD GRADE 08. STAFF SERGEANT 09. TECHNICAL SERGEANT 10. MASTER SERGEANT OR FIRST SERGEANT 11. OTHER 00. NO ANSWER 
S100A.Q2. HOW OLD WERE YOU ON YOUR LAST BIRTHDA?  01. 18 YEARS OR YOUNGER 02. 19 03. 20 04. 21 05. 22 06. 23 07. 24 08. 25 09. 26-29 10. 30-34 YEARS 11. 35 YEARS AND OLDER 00. NO ANSWER 
S100A.Q3. HOW FAR DID YOU GO IN SCHOO?  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. ATTENDED TRADE SCHOOL 7. GRADUATED FROM HIGH SCHOOL 8. SOME COLLEGE BUT DID NOT FINISH 9. GRADUATED FROM COLLEGE 0. NO ANSWER 
S100A.Q4. ARE YOU:  1. SINGLE 2. MARRIED 3. DIVORCED OR SEPARATED 4. WIDOWED 0. NO ANSWER 
S100A.Q5. HOW MANY CHILDREN DO YOU HAV?  1. I AM NOT MARRIED 2. HAVE NO CHILDREN 3. HAVE ONE CHILD 4. HAVE TWO CHILDREN 5. HAVE THREE OR MORE CHILDREN 0. NO ANSWER 
"S100A.Q6. HOW LONG HAVE YOU BEEN IN THE ARM? P. IF YOU HAVE BEEN IN THE ARMY BEFORE, THEN WERE OUT FOR A WHILE, JUST CHECK THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. IF YOU WERE IN THE NATIONAL GUARD, CHECK THE LENGTH OF TIME SINCE YOUR OUTFIT CAME INTO THE ARMY ON ACTIVE DUTY.  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 9 MONTHS 4. OVER 9 MONTHS UP TO 1 YEAR 5. OVER 1 YEAR UP TO 2 YEARS 6. OVER 2 YEARS UP TO 3 YEARS 7. OVER 3 YEARS 0. NO ANSWER "
