S0136.CARD.  1. CARD ONE 
S0136.DECK.  136. SURVEY NUMBER 
S0136.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S0136.Q1. WHAT KIND OF A SQUADRON ARE YOU I?  1. SERVICE SQUADRON IN A FIGHTER OR BOMBER GROUP 2. FIGHTER SQUADRON 3. BOMBER SQUADRON 4. SOME OTHER TYPE OF OUTFIT 0. NO ANSWER 
"S0136.Q2. WHAT TYPE OF JOB DO YOU HAVE AT PRESEN?  1. COMBAT FLYING JOB 2. GROUND CREW - ""LINE"" JOB WORKING ON PLANES 3. OTHER GROUND JOB 0. NO ANSWER "
S0136.V3. TYPE OF PERSONNEL TO QUESTION 3A:  1. COMBAT PERSONNEL 2. NON-COMBAT PERSONNEL 
"S0136.Q3A. IF YOU HAVE A COMBAT FLYING JOB, HOW MUCH COMBAT FLYING HAVE YOU DONE UP TO NO? (DO NOT COUNT PRACTICE MISSIONS OR ABORTIONS) E. NUMBER OF COMBAT MISSIONS COMPLETED:  ANP 01. 1 COMBAT MISSION COMPLETED . . . 99. 99 OR MORE MISSIONS COMPLETED 97.NONE 98.NO ANSWER 00.INAPPLICABLE (NON-COMBAT) E. NUMBER OF HOURS OF COMBAT FLYING: "
"S0136.Q3A. IF YOU HAVE A COMBAT FLYING JOB, HOW MUCH COMBAT FLYING HAVE YOU DONE UP TO NO? (DO NOT COUNT PRACTICE MISSIONS OR ABORTIONS) E. NUMBER OF COMBAT MISSIONS COMPLETED:  ANP 003. 3 HOURS OF COMBAT FLYING . . . 999. 999 HOURS OR MORE OF COMBAT FLYING 997.NONE 998.NO ANSWER 000.INAPPLICABLE (NON-COMBAT) "
S0136.Q4. HOW IMPORTANT A PART DO YOU THINK YOUR TYPE OF OUTFIT WILL PLAY IN WINNING THE WAR AGAINST GERMAN?  1. VERY IMPORTANT 2. FAIRLY IMPORTANT 3. NOT VERY IMPORTANT 4. NOT IMPORTANT AT ALL 0. NO ANSWER 
S0136.Q5. HOW IMPORTANT A PART DO YOU THINK YOUR TYPE OF OUTFIT WILL PLAY IN WINNING THE WAR AGAINST JAPA?  1. VERY IMPORTANT 2. FAIRLY IMPORTANT 3. NOT VERY IMPORTANT 4. NOT IMPORTANT AT ALL 0. NO ANSWER 
"S0136.Q6. IF YOU ARE IN EUROPEAN THEATER OPERATIONS WHEN GERMANY IS DEFEATED, DO YOU THINK YOU WILL BE NEEDED IN ANOTHER THEATER IN ORDER TO HELP BEAT JAPA?  1. YES, ALMOST IMMEDIATELY AFTER GERMANY'S DEFEAT 2. YES, BUT NOT UNTIL SOME TIME LATER 3. NO 4. HAVEN'T ANY IDEA 0. NO ANSWER "
S0136.Q7. ABOUT HOW MUCH LONGER FROM NOW DO YOU THINK THE WAR WILL LAST WITH GERMAN?  1. LESS THAN 3 MONTHS FROM NOW 2. 3 TO 6 MONTHS FROM NOW 3. MORE THAN 6 MONTHS UP TO A YEAR FROM NOW 4. MORE THAN A YEAR UP TO 1 1/2 YEARS FROM NOW 5. MORE THAN 1 1/2 YEARS FROM NOW 0. NO ANSWER 
"S0136.Q8. AFTER GERMANY IS DEFEATED, ABOUT HOW MUCH LONGER DO YOU THINK THE WAR WILL LAST WITH JAPA?  1. LESS THAN 3 MONTHS FROM THE TIME GERMANY IS DEFEATED 2. 3 TO 6 MONTHS FROM THE TIME GERMANY IS DEFEATED 3. MORE THAN 6 MONTHS UP TO A YEAR FROM THE TIME GERMANY IS DEFEATED 4. MORE THAN A YEAR UP TO 1 1/2 YEARS FROM THE TIME GERMANY IS DEFEATED 5. MORE THAN 1 1/2 YEARS FROM THE TIME GERMANY IS DEFEATED 0. NO ANSWER "
