CARD.  1. CARD ONE 
DECK.  032. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. SAMPLE OF NEGRO ENLISTED MEN 2. SAMPLE OF WHITE ENLISTED MEN 
Q.1. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  1. 19 YEARS OR YOUNGER 2. 20 YEARS 3. 21-24 4. 25-27 5. 28-29 6. 30-34 7. 35 YEARS OR OLDER 0. NO ANSWER 
Q.2. HOW FAR DID YOU GO IN SCHOOL*  01. LESS THAN 4TH GRADE 02. FINISHED 4TH GRADE 03. FINISHED 5TH GRADE 04. FINISHED 6TH GRADE 05. FINISHED 7TH GRADE 06. FINISHED 8TH GRADE 07. SOME HIGH SCHOOL OR TRADE SCHOOL 08. GRADUATED FROM HIGH SCHOOL 09. SOME COLLEGE BUT DID NOT FINISH 10. GRADUATED FROM COLLEGE 00. NO ANSWER 
Q.3. HOW DID YOU COME INTO THE ARMY*  1. I WAS DRAFTED 2. I VOLUNTEERED 3. I WAS IN THE NATIONAL GUARD 0. NO ANSWER 
"Q.4. WHAT BRANCH OF THE SERVICE ARE YOU IN* (IF YOUR BRANCH IS NOT LISTED, WRITE IT OUT)  01. CAVALRY 02. ENGINEERS 03. INFANTRY 04. FIELD ARTILLERY 05. SIGNAL CORPS 06. MEDICAL CORPS 07. ORDNANCE DEPARTMENT 08. QUARTERMASTER CORPS 09. ARMORED FORCE (TANK CORPS) 10. CHEMICAL WARFARE 11. AIR CORPS 12. D.E.M.L. 13. STATION COMPLEMENT 14. FINANCE OFFICE 15. MILITARY POLICE 16. COAST ARTILLERY 00. NO ANSWER "
"Q.5. IF YOU COULD HAVE A FREE CHANCE TO CHOOSE YOUR BRANCH OF SERVICE NOW, WHICH ONE WOULD YOU RATHER BE IN* (IF THE BRANCH YOU WOULD CHOOSE IS NOT LISTED, WRITE IT OUT)  1. CAVALRY 2. NOT CHOSEN "
"Q.5. IF YOU COULD HAVE A FREE CHANCE TO CHOOSE YOUR BRANCH OF SERVICE NOW, WHICH ONE WOULD YOU RATHER BE IN* (IF THE BRANCH YOU WOULD CHOOSE IS NOT LISTED, WRITE IT OUT)  172 1. ENGINEERS 4621 2. NOT CHOSEN "
"Q.5. IF YOU COULD HAVE A FREE CHANCE TO CHOOSE YOUR BRANCH OF SERVICE NOW, WHICH ONE WOULD YOU RATHER BE IN* (IF THE BRANCH YOU WOULD CHOOSE IS NOT LISTED, WRITE IT OUT)  149 1. INFANTRY 4644 2. NOT CHOSEN "
"Q.5. IF YOU COULD HAVE A FREE CHANCE TO CHOOSE YOUR BRANCH OF SERVICE NOW, WHICH ONE WOULD YOU RATHER BE IN* (IF THE BRANCH YOU WOULD CHOOSE IS NOT LISTED, WRITE IT OUT)  341 1. FIELD ARTILLERY 4452 2. NOT CHOSEN "
"Q.5. IF YOU COULD HAVE A FREE CHANCE TO CHOOSE YOUR BRANCH OF SERVICE NOW, WHICH ONE WOULD YOU RATHER BE IN* (IF THE BRANCH YOU WOULD CHOOSE IS NOT LISTED, WRITE IT OUT)  220 1. SIGNAL CORPS 4573 2. NOT CHOSEN "
"Q.5. IF YOU COULD HAVE A FREE CHANCE TO CHOOSE YOUR BRANCH OF SERVICE NOW, WHICH ONE WOULD YOU RATHER BE IN* (IF THE BRANCH YOU WOULD CHOOSE IS NOT LISTED, WRITE IT OUT)  241 1. MEDICAL CORPS 4552 2. NOT CHOSEN "
"Q.5. IF YOU COULD HAVE A FREE CHANCE TO CHOOSE YOUR BRANCH OF SERVICE NOW, WHICH ONE WOULD YOU RATHER BE IN* (IF THE BRANCH YOU WOULD CHOOSE IS NOT LISTED, WRITE IT OUT)  378 1. ORDNANCE DEPARTMENT 4415 2. NOT CHOSEN "
"Q.5. IF YOU COULD HAVE A FREE CHANCE TO CHOOSE YOUR BRANCH OF SERVICE NOW, WHICH ONE WOULD YOU RATHER BE IN* (IF THE BRANCH YOU WOULD CHOOSE IS NOT LISTED, WRITE IT OUT)  501 1. QUARTERMASTER CORPS 4292 2. NOT CHOSEN "
"Q.5. IF YOU COULD HAVE A FREE CHANCE TO CHOOSE YOUR BRANCH OF SERVICE NOW, WHICH ONE WOULD YOU RATHER BE IN* (IF THE BRANCH YOU WOULD CHOOSE IS NOT LISTED, WRITE IT OUT)  132 1. ARMORED FORCE (TANK CORPS) 4661 2. NOT CHOSEN "
"Q.5. IF YOU COULD HAVE A FREE CHANCE TO CHOOSE YOUR BRANCH OF SERVICE NOW, WHICH ONE WOULD YOU RATHER BE IN* (IF THE BRANCH YOU WOULD CHOOSE IS NOT LISTED, WRITE IT OUT)  39 1. CHEMICAL WARFARE 4754 2. NOT CHOSEN "
"Q.5. IF YOU COULD HAVE A FREE CHANCE TO CHOOSE YOUR BRANCH OF SERVICE NOW, WHICH ONE WOULD YOU RATHER BE IN* (IF THE BRANCH YOU WOULD CHOOSE IS NOT LISTED, WRITE IT OUT)  2152 1. AIR CORPS 2641 2. NOT CHOSEN "
