CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.4..1,Q.5B.,Q.5C.,Q.6.,Q.7.,Q.8A.,Q.8B.,Q.8C.,Q.9.,Q.10.,Q.11.,Q.12A.,Q.12B.,Q.13.,Q.14.,Q.15A.,Q.16.,Q.17.,Q.18A.,Q.18B.,Q.19.,Q.20A.,Q.20B.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25A.,Q.25B.,Q.26.,Q.27.,Q.28A.,Q.28B.,Q.28C.,Q.29.,Q.30.,Q.31.,Q.32A.,Q.32B.,Q.33.,Q.34.,Q.35A.,Q.35B.,Q.35C.,Q.35D.,Q.35E.,Q.35F.,Q.35G.,Q.36.,Q.37.,Q.38A.,Q.38B.,Q.39A.,Q.39B.,Q.39C.,Q.39D.,Q.39E.,Q.39F.,Q.39G.,Q.39H.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.40A.,Q.40B.,Q.40C.,Q.40D.,Q.40E.,Q.41.,Q.42.,Q.43A.,Q.43B.,Q.43C.,Q.43D.,Q.43E.,Q.43F.,Q.43G.,Q.43H.,Q.43I.,Q.43J.,Q.44A.,Q.44B.,Q.45.,Q.46.,Q.48A.,Q.48B.,Q.49A.,Q.49B.,Q.50A.,Q.50B.,Q.50C.,Q.50D.,Q.50E.,Q.51D.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57A.,Q.57B.,Q.57C.,Q.58.,Q.59.,Q.60A.,Q.60B.,Q.61.,Q.62.,Q.63.,Q.63..1,Q.63..2,Q.63..3,Q.63..4,Q.63..5,Q.63..6,Q.63..7,Q.63..8,Q.63..9,Q.63..10,Q.63..11,Q.63..12,Q.63..13,Q.63..14,Q.64.,V.66.,V.67.,V.68.
1,100,14,7,3,4,9,9,4,120,14,1,4,1,3,1,4,3,1,1,1,1,2,6,1,1,2,2,8,1,0,1,5,3,3,2,2,3,4,4,4,4,2,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,2,100,14,7,2,2,1,1,2,3,2,1,1,1,1,2,2,1,1,4,1,2,1,1,1,3,5,3,3,5,1,5,5,2,3,3,1,7,4,2,1,2,2,2,2,1,3,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,0,0,2,57
1,100,15,7,5,4,3,1,5,110,1,1,4,7,1,3,3,3,2,1,3,1,2,6,2,2,2,1,8,1,2,4,8,2,3,1,1,2,4,4,4,5,4,1,3,2,3,5,1,1,1,0,0,0,1,0,1,1,3,3,1,1,1,1,1,2,2,2,2,100,15,7,1,3,3,3,3,2,1,2,2,3,2,4,4,2,4,4,4,1,1,1,2,1,4,1,1,5,1,5,5,1,4,1,1,6,4,2,2,1,1,3,2,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,1,83
1,100,16,7,2,4,8,1,5,38,14,1,4,2,1,2,4,3,2,1,1,1,1,1,1,1,2,2,8,0,3,1,4,2,2,1,1,1,1,4,1,1,1,1,2,1,1,1,4,0,0,0,0,0,0,1,1,5,2,1,1,1,1,1,1,2,2,2,2,100,16,7,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,4,1,2,1,1,1,1,1,1,2,2,3,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,0,3,22
1,100,17,7,2,4,3,9,4,90,2,1,4,3,1,2,1,3,1,1,1,1,3,1,3,3,2,1,0,1,1,3,8,3,1,1,1,1,3,3,4,4,4,3,3,2,2,1,1,1,0,0,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,2,2,100,17,7,1,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,1,1,5,1,1,1,1,5,2,3,9,2,2,1,1,2,1,1,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,0,1,13
1,100,18,7,4,4,10,9,4,120,99,1,4,3,2,7,1,2,2,1,1,3,4,6,3,1,2,1,8,1,0,2,3,3,3,1,1,2,3,4,5,5,2,1,1,1,3,5,2,1,1,1,1,1,1,1,1,5,3,1,1,1,1,1,1,1,1,2,2,100,18,7,2,1,1,1,2,3,1,1,2,4,1,1,4,1,4,4,4,2,1,1,1,1,5,2,2,5,1,5,5,1,1,2,1,9,4,2,1,1,2,2,1,1,3,1,3,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,4,0,1,30
1,100,19,7,2,4,4,9,4,90,90,1,3,2,1,2,1,2,2,1,1,1,3,2,1,1,1,1,8,1,1,4,3,2,3,2,0,1,2,1,1,1,4,1,1,3,3,2,4,1,1,0,0,0,0,0,2,2,1,1,1,1,1,1,1,3,2,1,2,100,19,7,0,0,0,0,0,1,1,2,2,4,4,4,4,4,4,4,4,2,1,1,2,1,5,2,2,1,1,1,1,1,1,1,3,7,2,2,1,1,2,1,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,0,1,66
1,100,20,7,2,4,10,9,4,60,20,1,2,7,3,4,1,3,2,2,1,2,1,6,3,1,2,2,8,1,2,1,8,3,3,1,1,2,4,4,4,4,1,2,2,3,2,3,4,1,0,0,0,0,0,0,1,2,3,1,1,1,1,1,1,3,2,2,2,100,20,7,1,1,1,1,1,3,2,1,1,2,1,2,2,1,3,4,1,2,2,1,1,1,3,1,2,4,3,2,1,1,3,2,3,9,4,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,48
1,100,21,7,2,4,0,0,5,999,98,1,4,0,3,2,0,0,0,0,2,1,0,6,3,0,2,2,8,0,3,0,2,0,0,0,0,2,2,0,2,5,0,0,0,0,0,3,2,1,1,1,1,1,1,1,0,4,0,0,0,0,0,2,1,3,0,1,2,100,21,7,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,1,0
1,100,22,7,2,4,8,9,4,999,98,1,3,2,3,2,2,2,2,1,2,3,2,6,3,1,2,2,8,2,2,2,9,3,2,2,1,2,2,2,2,3,2,1,4,2,2,5,0,1,1,1,0,0,1,0,1,3,0,1,1,1,2,1,1,2,1,1,2,100,22,7,1,2,1,1,1,2,4,1,2,4,4,4,4,2,4,4,4,2,1,0,0,1,4,3,1,1,1,2,1,1,1,3,1,7,4,1,1,1,1,1,2,2,1,3,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,3,75
1,100,23,7,5,4,4,9,4,240,15,1,2,3,3,7,1,1,2,1,1,1,3,2,3,1,2,2,8,1,3,1,8,1,2,1,2,3,2,2,3,2,4,3,3,2,2,2,4,1,1,1,0,0,0,0,2,5,1,1,1,1,1,2,1,3,2,2,2,100,23,7,3,3,2,3,3,1,1,2,4,2,1,4,4,4,4,2,1,1,2,1,1,2,4,2,2,1,1,1,1,1,2,5,2,10,4,2,1,1,1,2,1,1,2,3,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,3,0,2,32
1,100,24,7,2,4,9,9,4,999,98,1,4,0,2,1,4,3,3,1,1,1,2,3,3,0,2,2,8,3,1,3,3,1,2,1,1,1,1,3,3,3,1,1,1,1,3,3,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,2,1,3,2,2,2,100,24,7,3,3,3,3,3,3,1,4,4,4,4,4,4,4,4,4,4,1,1,1,2,1,2,1,3,5,1,1,2,1,2,2,1,9,3,2,1,2,2,2,1,4,3,1,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,0,1,60
1,100,25,7,2,4,13,11,3,150,99,1,2,2,1,2,1,2,2,4,3,3,2,1,2,2,1,1,8,1,1,1,4,3,3,2,2,1,5,4,4,4,2,1,4,3,3,3,4,1,1,0,1,0,1,1,2,1,3,3,1,1,1,2,1,3,2,2,2,100,25,7,2,2,2,2,2,2,2,1,1,2,2,1,2,2,4,4,1,1,2,1,1,1,4,2,2,1,1,1,1,1,4,1,2,6,3,2,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,1,80
1,100,26,7,4,4,1,9,4,100,14,2,3,3,2,7,1,1,1,1,1,3,2,6,3,2,2,1,8,0,2,2,3,2,2,1,1,1,4,5,5,4,3,1,4,3,3,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,3,2,2,2,100,26,7,3,3,3,2,2,1,1,3,4,4,4,4,4,2,4,4,4,1,2,1,2,1,4,2,2,2,1,2,0,1,2,3,1,7,4,2,1,1,2,2,1,1,1,4,0,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,45
1,100,27,7,2,4,10,10,4,999,8,2,4,6,1,5,1,2,1,1,1,3,1,6,1,1,2,2,0,1,0,1,3,2,2,1,1,0,2,1,1,1,2,1,2,1,1,1,1,0,0,0,0,1,0,0,2,2,3,1,1,1,1,2,3,2,2,2,2,100,27,7,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2,1,2,1,3,2,1,0,2,1,1,1,4,2,1,4,2,2,1,2,2,2,2,1,2,3,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,4,2,3,64
1,100,28,7,3,4,9,1,5,14,7,1,3,0,1,6,1,1,2,1,1,1,3,1,1,1,1,1,8,1,1,2,9,3,1,2,2,1,2,1,1,1,4,1,3,2,2,3,4,1,1,1,1,1,1,1,2,1,3,1,1,1,1,2,3,2,2,2,2,100,28,7,1,3,2,2,1,1,0,1,1,4,4,1,4,0,4,4,4,1,0,1,2,2,3,1,2,1,1,5,2,1,2,4,2,2,2,2,2,1,1,1,2,1,1,2,3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,42
1,100,29,7,2,4,8,9,4,120,14,1,2,2,2,7,1,2,2,1,2,1,2,6,2,2,2,1,0,2,2,1,4,3,2,1,1,3,2,3,4,4,2,1,4,3,2,2,2,1,1,1,0,0,0,0,2,1,3,1,1,1,1,3,2,3,2,2,2,100,29,7,1,3,1,1,3,3,3,2,2,2,0,2,0,2,0,0,0,0,1,1,2,1,3,1,1,1,1,5,1,1,5,1,1,9,3,2,1,1,2,2,2,2,2,2,0,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,36
1,100,30,7,5,4,3,9,4,150,99,1,4,5,2,1,1,3,1,2,1,1,2,3,1,1,2,1,0,0,1,4,4,3,3,1,1,3,4,4,4,4,1,3,1,3,1,2,4,1,1,1,1,1,1,1,3,5,3,3,2,1,1,1,2,3,2,1,2,100,30,7,3,3,3,3,3,2,1,2,2,4,3,4,4,3,4,4,2,2,0,3,2,1,3,2,2,1,1,1,1,1,5,3,1,5,2,2,1,1,2,1,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,43
1,100,31,7,4,4,9,1,5,110,2,1,4,2,1,2,1,2,1,1,1,1,2,6,1,3,2,2,0,1,2,4,7,1,3,2,1,2,2,4,4,3,4,3,4,2,2,5,4,1,1,1,0,0,1,0,1,5,3,3,1,2,1,1,2,2,2,2,2,100,31,7,3,3,3,3,2,2,4,3,3,4,4,3,4,2,4,4,4,1,1,1,2,1,4,3,2,2,1,5,1,1,2,1,1,5,2,2,1,2,1,1,2,1,3,3,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,82
1,100,32,7,3,4,9,9,4,90,60,1,3,2,3,2,2,2,2,1,2,1,3,3,3,3,2,1,8,1,2,4,9,2,2,2,1,3,2,4,2,2,3,1,4,2,3,3,3,1,1,3,3,3,1,3,1,5,1,1,1,2,1,1,2,3,2,1,2,100,32,7,3,2,2,1,3,2,3,1,2,2,2,1,4,3,4,4,3,1,1,1,2,1,4,3,1,2,1,1,3,1,5,4,1,6,2,2,1,1,1,3,2,2,4,3,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,18
1,100,33,7,4,4,2,9,4,106,99,1,4,3,2,1,2,2,2,1,3,3,2,3,3,1,1,1,8,1,2,1,4,3,2,1,1,1,3,4,4,4,3,1,4,1,3,1,4,1,0,0,0,0,1,0,2,1,1,3,1,2,1,1,2,1,1,2,2,100,33,7,2,3,3,2,1,3,3,1,2,3,2,1,2,2,3,3,3,1,2,1,1,3,3,3,1,2,1,1,1,1,5,1,1,6,3,1,1,2,2,2,2,2,3,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,32
1,100,34,7,1,4,3,9,4,999,15,1,3,4,2,2,2,3,2,2,2,3,4,6,3,1,2,1,0,1,3,2,4,3,3,1,1,3,3,4,5,5,4,3,4,3,3,4,3,1,1,3,3,3,1,3,1,5,3,1,1,0,2,2,2,3,2,2,2,100,34,7,2,2,2,2,3,2,4,2,2,2,2,2,4,4,4,4,2,2,1,1,2,2,3,1,1,5,1,1,3,1,4,3,1,5,3,2,2,2,0,2,3,2,3,3,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,62
1,100,35,7,2,4,3,1,5,120,15,1,4,7,3,2,1,2,2,1,2,1,2,6,3,1,1,1,8,2,2,4,9,2,2,2,2,6,2,1,2,3,3,3,4,3,3,2,4,1,1,1,3,1,1,3,1,1,2,1,1,1,2,2,2,3,2,2,2,100,35,7,1,2,1,1,2,2,4,1,2,1,2,3,4,4,4,3,2,2,1,1,1,1,3,2,2,4,1,1,1,1,2,4,1,7,2,2,2,1,2,2,2,2,3,3,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,29
1,100,36,7,1,4,9,1,5,80,11,1,2,3,1,2,1,2,2,2,1,1,2,6,3,1,2,2,8,1,3,4,4,2,3,1,2,3,4,4,3,3,3,3,4,3,3,2,4,1,1,1,3,3,1,3,2,1,3,1,1,1,2,2,2,3,2,2,2,100,36,7,1,2,1,1,2,3,2,1,4,2,0,1,2,1,4,3,2,2,1,1,2,1,3,2,2,2,2,2,1,1,4,4,2,4,2,2,3,1,1,2,3,2,2,2,3,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,3,86
1,100,37,7,6,4,2,9,4,120,90,1,2,5,0,2,2,2,1,2,1,1,2,1,2,2,2,1,8,2,2,2,3,2,2,2,2,6,3,4,3,3,2,2,4,3,3,2,2,1,1,1,1,1,1,1,2,1,3,1,1,1,2,2,2,3,2,2,2,100,37,7,1,2,1,1,2,3,3,1,2,2,2,2,4,1,2,4,4,2,1,1,2,1,3,1,1,1,1,5,1,2,2,2,1,5,4,2,1,1,2,1,2,1,1,3,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,1,39
1,100,38,7,1,4,3,9,4,120,14,1,2,2,3,1,1,2,1,1,2,1,2,6,3,2,2,0,8,2,1,1,11,2,2,2,2,3,4,4,4,4,2,3,4,3,3,2,3,1,1,1,0,0,0,0,2,2,3,2,1,1,2,2,2,3,2,2,2,100,38,7,2,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,2,1,1,2,1,3,3,3,1,1,1,2,1,4,2,1,6,3,2,1,1,2,3,2,2,3,2,0,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,41
1,100,39,7,2,4,10,10,4,78,7,1,3,5,1,3,1,2,2,1,3,1,2,1,1,1,2,1,8,2,2,1,4,3,2,1,1,0,3,3,3,3,2,1,4,3,2,3,4,1,1,1,3,3,1,3,1,1,1,1,1,1,2,2,2,2,2,1,2,100,39,7,2,1,1,3,2,2,4,1,3,4,4,1,4,2,4,4,4,1,1,1,2,1,5,2,2,5,1,5,5,1,3,3,1,5,4,2,1,1,1,2,1,1,2,4,3,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,10
1,100,40,7,2,4,13,9,4,45,98,1,4,5,1,2,1,2,1,1,1,1,2,1,1,1,0,0,0,1,0,2,11,2,3,2,2,0,2,2,1,1,4,1,2,2,2,2,3,1,1,1,0,0,1,0,1,1,1,1,2,1,0,2,2,2,1,2,2,100,40,7,1,2,1,2,1,3,2,1,0,2,0,2,0,2,0,0,0,1,1,1,1,1,3,1,1,2,1,1,5,1,4,1,1,9,4,2,1,1,1,1,2,2,3,2,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,42
1,100,41,7,3,4,2,9,4,240,15,1,2,3,3,7,2,2,2,1,2,1,4,1,3,1,2,2,1,1,3,1,7,3,2,2,2,3,2,4,5,5,2,1,1,3,2,2,4,1,1,3,3,1,1,3,1,1,1,1,2,1,1,2,2,2,2,2,2,100,41,7,2,3,3,2,3,2,4,1,2,2,4,1,4,3,4,4,3,1,1,3,1,1,4,1,2,5,2,2,1,1,4,3,1,7,4,2,2,0,2,2,2,2,4,4,3,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,35
1,100,42,7,2,4,10,9,4,120,99,1,4,2,2,3,1,2,1,2,1,1,1,6,3,3,0,0,0,1,1,1,8,3,3,1,1,3,3,4,4,4,4,2,2,3,3,3,4,1,1,0,0,0,1,0,3,2,3,3,1,2,1,2,2,2,2,2,2,100,42,7,2,3,1,2,1,3,3,2,1,2,1,2,3,4,4,3,1,1,1,1,1,1,5,1,2,2,1,1,1,1,5,3,1,5,3,2,2,1,0,2,2,1,2,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,9
1,100,43,7,3,4,10,9,4,60,6,1,4,3,1,3,2,2,2,2,3,1,2,6,2,1,2,2,8,2,2,4,4,2,2,2,1,3,2,1,1,3,3,3,2,1,2,1,3,1,1,3,1,3,1,3,1,1,1,1,1,2,1,2,2,3,2,2,2,100,43,7,2,1,3,1,1,3,1,2,2,3,1,2,4,2,4,4,2,1,1,1,2,1,3,1,3,2,1,2,4,1,4,2,1,5,4,2,1,0,2,3,2,2,1,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,67
1,100,44,7,0,4,2,5,5,10,98,1,4,6,3,1,3,2,2,2,2,1,1,6,3,1,2,1,1,1,3,4,7,2,2,1,2,3,4,4,4,5,2,2,4,1,3,2,2,1,0,0,0,0,0,0,1,5,1,1,1,1,2,3,1,2,1,2,2,100,44,7,1,2,1,2,2,3,2,1,4,2,4,2,4,1,4,4,2,2,1,2,2,2,3,1,2,1,5,1,2,1,4,2,2,5,1,2,1,1,1,2,2,3,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3,73
