CARD.    1. CARD ONE 
DECK.   . SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.    1. S- E - ENLISTED MEN 0 2. S- O - OFFICERS 
Q.1. WHAT IS YOUR RANK OR GRADE*     . PRIVATE    . PRIVATE FIRST CLASS    . TECHNICIAN 5TH GRADE    . CORPORAL    . TECHNICIAN 4TH GRADE    . SERGEANT 3  . TECHNICIAN 3RD GRADE    . STAFF SERGEANT 5  . TECHNICAL SERGEANT    . MASTER SERGEANT OR FIRST SERGEANT 0  . OTHER    . NO ANSWER 
"Q.2. IN WHAT STATE OF THE UNITED STATES DID YOU SPEND MOST OF THE PAST FIVE YEARS OF YOUR CIVILIAN LIFE*     . NEW ENGLAND: CONNECTICUT, MAINE, MASSACHUSETTS, NEW HAMPSHIRE, RHODE ISLAND, VERMONT    . MIDDLE ATLANTIC: NEW JERSEY, NEW YORK, PENNSYLVANIA    . EAST NORTH CENTRAL: ILLINOIS, INDIANA, MICHIGAN, OHIO, WISCONSIN    . WEST NORTH CENTRAL: IOWA, KANSAS, MINNESOTA, MISSOURI, NEBRASKA, NORTH DAKOTA, SOUTH DAKOTA    . SOUTH ATLANTIC: DELAWARE, DISTRICT OF COLUMBIA, FLORIDA, GEORGIA, MARYLAND, NORTH CAROLINA, SOUTH CAROLINA, VIRGINIA, WEST VIRGINIA    . EAST SOUTH CENTRAL: ALABAMA, KENTUCKY, MISSISSIPPI, TENNESSEE    . WEST SOUTH CENTRAL: ARKANSAS, LOUISIANA, OKLAHOMA, TEXAS    . MOUNTAIN: ARIZONA, COLORADO, IDAHO, MONTANA, NEVADA, NEW MEXICO, UTAH, WYOMING    . PACIFIC: CALIFORNIA, OREGON, WASHINGTON 2  . FOREIGN - U.S. POSSESSION 0  . FOREIGN - NOT U.S. 7  . U.S. - STATE NOT SPECIFIED    . NO ANSWER "
Q.3. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*    1.   YEARS OR YOUNGER   2.   YEARS   3.   TO   YEARS   4.   TO   YEARS   5.   TO   YEARS   6.   YEARS OR OVER   0. NO ANSWER 
Q.4. HOW FAR DID YOU GO IN SCHOOL*    1. LESS THAN 6TH GRADE   2. FINISHED 6TH GRADE   3. FINISHED 7TH GRADE   4. FINISHED 8TH GRADE   5. SOME HIGH SCHOOL OR TRADE SCHOOL   6. GRADUATED FROM HIGH SCHOOL   7. SOME COLLEGE BUT DID NOT FINISH   8. COLLEGE GRADUATE   0. NO ANSWER X. QUESTIONS 5 AND 6 CODED TOGETHER. 
"Q.5. ARE YOU SINGLE, MARRIED, DIVORCED, WIDOWED OR SEPARATED*  Q.6. IF YOU ARE MARRIED, DID YOU GET MARRIED BEFORE OR AFTER ENTERING THE ARMY*    1. SINGLE   2. DIVORCED   3. WIDOWED   4. SEPARATED   5. MARRIED, BEFORE ENTERING THE ARMY   6. MARRIED, AFTER ENTERING THE ARMY 2 7. MARRIED, NO ANSWER   0. NO ANSWER "
"Q.7. IF YOU ARE OR HAVE BEEN MARRIED, HOW MANY CHILDREN DO YOU HAVE*    1. ONE   2. TWO   3. THREE OR MORE   4. NONE   9. INAPPLICABLE, NO ANSWER "
Q.8. HOW LONG HAVE YOU BEEN IN THE ARMY*    1. 3 MONTHS OR LESS   2. OVER 3 MONTHS UP TO 6 MONTHS   3. OVER 6 MONTHS UP TO 1 YEAR   4. OVER 1 YEAR   0. NO ANSWER 
"Q.9. WHEN YOU ENTERED THE ARMY, DID YOU COME IN AS A:    1. DRAFTEE THROUGH SELECTIVE SERVICE   2. VOLUNTEER   3. MEMBER OF THE NATIONAL GUARD   0. NO ANSWER "
Q.10. WHAT BRANCH OF SERVICE ARE YOU IN*  3  . CAVALRY 1  . ENGINEERS    . INFANTRY    . FIELD ARTILLERY 0  . SIGNAL CORPS 0  . MEDICAL CORPS 0  . ORDNANCE DEPARTMENT 0  . QUARTERMASTER CORPS 0  . ARMORED FORCE (TANK CORPS) 0  . CHEMICAL WARFARE 0  . AIR CORPS 5  . NO ANSWER 
"Q.11. WHAT WAS YOUR MAIN CIVILIAN OCCUPATION*     . PROFESSIONAL OR SEMI-PROFESSIONAL OCCUPATION (I.E. DOCTORS, DENTISTS, LAWYERS, TEACHERS, ENGINEERS, SOCIAL WORKERS, ETC.)    . CLERICAL AND SALES OCCUPATIONS (I.E. BOOKKEEPERS, CLERKS, TELEPHONE OPERATORS, ETC.)    . SERVICE OCCUPATIONS (I.E. DOMESTIC SERVICE: COOKS, SERVANTS, ETC.; PERSONAL SERVICE: DOORMEN, USHERS, BEAUTICIANS, BARBERS, SHIP-STEWARDS, ETC.; PROTECTIVE SERVICES: FIREMEN, POLICEMEN, GUARDS, ETC.)    . AGRICULTURE, FISHERY, AND FORESTRY (EXCEPT LOGGING) (I.E. FARMERS, FISHERMEN, HUNTERS AND TRAPPERS)    . SKILLED OCCUPATIONS (I.E. CARPENTERS, PRESSMEN, TYPOGRAPHERS, WEAVERS, JEWELERS, TOOLMAKERS, ETC.)    . SEMI-SKILLED OCCUPATIONS    . UNSKILLED OCCUPATIONS (INCLUDING FACTORY WORKERS, JOB NOT SPECIFIED)    . MANAGERIAL AND OFFICIALS (HIGHER TYPE)    . MERCHANTS, SHOPKEEPERS, TRADESMEN, ETC.    . STUDENT    . MISCELLANEOUS UNCLASSIFIABLE 5  . UNEMPLOYED (INCLUDING CCC, WPA, ETC.)    . NO ANSWER "
"Q.12. WHAT KIND OF WORK WOULD YOU LIKE TO DO AFTER THE WAR*    1. STAY IN ARMY OR ANYTHING ELSE, PLUS STAY IN ARMY   2. SAME GENERAL LINE AS BEFORE   3. NEW OCCUPATION   4. OTHER   5. NO IDEA OR DON,T KNOW   0. NO ANSWER "
Q.13. WHAT KIND OF A CHANCE DO YOU THINK YOU WILL HAVE OF ACTUALLY DOING THIS KIND OF WORK*    1. GOOD   2. FAIR   3. POOR   4. UNCERTAIN   0. NO ANSWER X. QUESTION  A NOT CODED. 
"Q.14A. BEFORE THE WAR, DID YOU HAVE THE SAME JOB PLANS FOR THE FUTURE THAT YOU HAVE NOW*  Q.14B. IF BEFORE THE WAR YOUR JOB PLANS WERE DIFFERENT FROM NOW, WHAT DID YOU THEN HAVE IN MIND*    1. NO, CONTINUE IN SAME JOB AS BEFORE   2. NO, PLANNED TO ADVANCE IN SOME LINE OF WORK AS BEFORE E.G. ""GO INTO BUSINESS FOR MYSELF"", ""BECOME PARTNER IN FIRM FOR WHICH I WAS SALESMAN""   3. NO, CONTINUE EDUCATION   4. NO, PLANNED TO GO INTO A DIFFERENT JOB   5. NO, STAY IN THE ARMY A WHILE, THEN GO BACK TO WORK   6. NO, NOTHING DEFINITE, UNCERTAIN   7. NO, NO ANSWER   8. YES TO PART A   0. NO ANSWER "
"Q.15. DO YOU FEEL THAT YOU NEED ANY MORE FORMAL EDUCATION IN ORDER TO DO WHAT YOU WANT TO DO AFTER THE WAR*    1. YES, IT IS ABSOLUTELY NECESSARY   2. YES, IT WOULD BE QUITE IMPORTANT   3. NO, NOT NEEDED   4. NOT SURE WHAT I WILL WANT TO DO   0. NO ANSWER "
Q.16. DO YOU THINK YOU WILL GO TO SCHOOL OR COLLEGE AFTER THE WAR*    1. YES   2. NO   3. UNCERTAIN   0. NO ANSWER P. HERE ARE SOME QUESTIONS ABOUT THE TRAINING YOU ARE GETTING: 
Q.17A. DO YOU THINK YOU SHOULD BE GETTING MORE OF ANY KIND OF DRILL OR INSTRUCTION THAN YOU GET NOW*    1. VERY MUCH MORE   2. SOME MORE   3. NO MORE   0. NO ANSWER 
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. DRILL (CLOSE-ORDER DRILL, MANUAL OF ARMS, MARCHING, ETC.   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. TRAINING IN DISCIPLINE, MILITARY COURTESY, ETC.   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. PHYSICAL CONDITIONING   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. BACKGROUND INFORMATION ABOUT ARMS AND SERVICES   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:  8 1. MORE REASONS SHOULD BE GIVEN FOR INSTRUCTIONS OR DRILL FOR TRAINING   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. JUST ""BASIC"" OR ""BASIC TRAINING"" WITHOUT EXPLANATION   2. NOT CHOSEN E. TACTICAL TRAINING FOR VARIOUS UNITS (KINDS): "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. INDIVIDUAL TRAINING FOR RESPONSIBILITY AND INITIATIVE IN COMBAT   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. SCOUTING AND PATROLLING   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. ""SMALL UNIT"" (SQUAD, PLATOON, OR COMPANY) TACTICS OR PROBLEMS; RSOP   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. LARGE UNIT (BATTALION, REGIMENT OR DIVISION) TACTICS OR PROBLEMS AND MANEUVERS   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. HAND TO HAND COMBAT TRAINING - SELF PROTECTION   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. TRAINING IN ENEMY TACTICS, OR TACTICS OF OTHER BRANCHES   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. JUST ""TACTICS"", ""TACTICAL TRAINING"", ETC. - INFILTRATION   2. NOT CHOSEN E. CONDITIONS OF TRAINING - REALISM: "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:  9 1. COMMANDO TRAINING, RANGER TRAINING   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. NIGHT PROBLEMS   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. TRAINING FOR VARIED TERRAIN (JUNGLE, DESERT, ETC.)   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. TRAINING WITH LIVE AMMUNITION, FIRING AT SURPRISE TARGETS, ETC.   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:  7 1. ACTUAL COMBAT LIVING CONDITIONS   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. OPERATION OF VEHICLES UNDER COMBAT OR OTHER SPECIAL EQUIPMENT   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. ""MORE REALISTIC TRAINIG"" - NOT SPECIFICALLY DESIGNATED (MORE PRACTICAL)   2. NOT CHOSEN E. TRAINING WITH WEAPONS: "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. MORE FIRING OF WEAPONS, ""FIRING"", ""SHOOTING"", COMBAT RANGE FIRING   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. MORE TECHNICAL KNOWLEDGE ON WEAPONS AND THEIR USE; USE OF RANGE FINDERS, AIMING CIRCLES   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. TRAINING WITH WEAPONS OTHER THAN THOSE THAT ONE REGULARLY USED, AUXILIARY WEAPONS   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. BAYONET PRACTICE, HAND GRENADES, ETC.   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:  6 1. DIRECT LAYING   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:  9 1. MECHANIZED AND ANTI-TANK DEFENSE   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:  3 1. ANTI-AIRCRAFT DEFENSE   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. TRAINING WITH WEAPONS REGULARLY USED RATHER THAN AUXILIARY WEAPONS   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. JUST ""WEAPONS"" OR ANY NAMED WEAPON   2. NOT CHOSEN E. SPECIAL TECHNICAL INSTRUCTION: "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:  7 1. TRAINING OF NON-COMMISSIONED OFFICERS (NCO,S)   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. MAP READING, COMPASS WORK   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. CAMOUFLAGE   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:  4 1. DEMOLITION AND BOOBY TRAPS, ROAD BLOCKS, LAND MINES   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. SIGNALLING, COMMUNICATIONS   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. GAS - CHEMICAL WARFARE   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:  5 1. IDENTIFICATION OF AIRCRAFT, TANKS AND OTHER EQUIPMENT   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:  1 1. AIRBOURNE TRAINING   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. ""TECHNICAL TRAINING"", ""SPECIALIZED TRAINING"", ETC. MOTOR MAINTENANCE, MATHEMATICS, ENEMY EQUIPMENT   2. NOT CHOSEN "
"Q.17B. IF MORE OF ANY KIND OF DRILL OR INSTRUCTION IS NEEDED, JUST WHAT IS NEEDED* E. BASIC TRAINING:    1. MISCELLANEOUS REMARKS NOT MENTIONED ELSEWHERE UNDER ANY HEADING   2. NOT CHOSEN "
Q.18A. DO YOU THINK THAT SOME OF THE DRILL OR INSTRUCTION YOU ARE NOW GETTING IS NOT NEEDED TO MAKE MEN GOOD SOLDIERS*    1. MUCH OF IT IS NOT NEEDED   2. SOME OF IT IS NOT NEEDED   3. ALL OF IT IS NEEDED   0. NO ANSWER 
"Q.18B. IF SOME OF THE DRILL OR INSTRUCTION NOW GIVEN IS NOT NEEDED, JUST WHAT IS NOT NEEDED* E. OBJECTION IS TO KIND OF DRILL OR INSTRUCTION NOW GIVEN:    1. ""EYE-WASH"" OR ""SPIT AND POLISH"" (E.G. FORMATIONS; INSPECTIONS; REVIEWS; PARADES; GUARD MOUNT; EMPHASIS ON SALUTING, MILITARY COURTESY AND DISCIPLINE; REHEARSALS BEFORE TESTS)   2. NOT CHOSEN "
"Q.18B. IF SOME OF THE DRILL OR INSTRUCTION NOW GIVEN IS NOT NEEDED, JUST WHAT IS NOT NEEDED* E. OBJECTION IS TO KIND OF DRILL OR INSTRUCTION NOW GIVEN:    1. CLOSE-ORDER DRILL; MANUAL OF ARMS   2. NOT CHOSEN "
"Q.18B. IF SOME OF THE DRILL OR INSTRUCTION NOW GIVEN IS NOT NEEDED, JUST WHAT IS NOT NEEDED* E. OBJECTION IS TO KIND OF DRILL OR INSTRUCTION NOW GIVEN:    1. HOUSEKEEPING DUTIES; GARRISON TRAINING OR DRILL (E.G. POLICING BARRACKS AND AREA; KP; FATIGUE DETAILS; GUARD DUTY)   2. NOT CHOSEN "
"Q.18B. IF SOME OF THE DRILL OR INSTRUCTION NOW GIVEN IS NOT NEEDED, JUST WHAT IS NOT NEEDED* E. OBJECTION IS TO KIND OF DRILL OR INSTRUCTION NOW GIVEN:    1. PHYSICAL TRAINING (EITHER TOO MUCH OR TOO STRENUOUS)   2. NOT CHOSEN "
