CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.5..1,Q.6B.,Q.7.,Q.8.,Q.9A.,Q.9B.,Q.9C.,Q.9D.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21A.,Q.21B.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26A.,Q.26B.,Q.27.,Q.28.,Q.29.,Q.30A.,Q.30B.,Q.30C.,Q.30D.,Q.31A.,Q.31B.,Q.31C.,Q.31D.,Q.31E.,Q.31F.,Q.31G.,Q.31H.,Q.31I.,Q.31J.,Q.31K.,Q.31L.,Q.31M.,Q.31N.,Q.31O.,Q.31P.,Q.31Q.,Q.31R.,Q.31S.,Q.31T.,Q.32.,Q.33.,Q.34.,Q.35A.,Q.35B.,Q.36A.,Q.36B.,Q.36C.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.36D.,Q.36E.,Q.36F.,Q.36G.,Q.36H.,Q.36I.,Q.37A.,Q.37B.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.42.,Q.43A.,Q.43B.,Q.43C.,Q.43D.,Q.43E.,Q.43F.,Q.43G.,Q.43H.,Q.43I.,Q.43J.,Q.44.,Q.47A.,Q.47B.,Q.47C.,Q.47D.,Q.47E.,Q.49.,Q.50A.,Q.50B.,Q.50C.,Q.50D.,Q.51A.,Q.51B.,Q.53A.,Q.53B.,Q.54A.,Q.54B.,Q.54C.,Q.54D.,Q.54E.,Q.55A.,Q.55B.,Q.56.,Q.57.,Q.58.,Q.58..1,Q.58..2,Q.58..3,Q.58..4,Q.58..5,Q.58..6,Q.58..7,Q.58..8,Q.58..9,Q.58..10,Q.58..11,Q.58..12,Q.59.,Q.60A.,Q.60B.,Q.61A.,Q.61A..1,Q.61B.,V.63.
1,101,11,1,1,2,1,4,9,1,70,4,9,1,1,1,1,1,3,1,1,1,2,2,2,3,8,1,1,1,3,2,2,1,1,6,1,1,1,2,1,1,2,2,3,2,3,3,3,1,2,4,1,3,3,4,4,4,4,3,3,3,3,1,1,3,3,1,1,2,2,101,11,1,3,1,1,3,3,2,1,1,1,2,3,1,3,1,1,2,1,2,4,3,4,4,4,1,1,1,3,1,1,2,2,3,2,3,1,2,1,1,0,5,0,0,95,2,1,2,3,2,2,2,2,1,2,2,2,2,2,1,2,2,4,2,2,4,3,4,3
1,101,12,1,2,5,1,4,8,3,70,4,13,1,2,1,1,1,1,1,1,1,2,2,3,3,0,3,1,1,3,2,1,1,2,2,3,2,1,2,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,3,2,3,0,2,1,1,3,2,101,12,1,1,1,1,1,3,1,1,2,1,1,1,1,2,1,4,2,4,4,4,2,4,4,4,1,3,1,2,1,2,2,1,4,1,4,1,1,1,1,0,0,95,5,0,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,4,2,1,3,0,1,1
1,101,13,1,1,5,3,4,4,2,999,4,0,1,1,3,1,1,3,1,2,1,2,3,2,2,8,1,2,4,3,2,1,1,2,4,2,2,1,2,1,1,4,4,4,2,4,1,2,4,4,4,4,4,4,4,4,4,4,4,1,1,4,1,1,3,3,1,1,1,2,101,13,1,1,1,1,1,3,1,1,3,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,1,1,1,5,1,1,3,2,2,2,2,1,1,1,2,0,60,30,10,0,1,2,3,3,2,2,1,2,2,2,2,1,2,2,2,2,2,1,3,3,4,3,2,1
1,101,14,1,2,5,2,4,5,3,80,4,4,1,2,3,1,2,3,1,1,1,1,3,1,2,8,2,2,4,3,1,2,1,2,3,2,3,1,2,1,1,4,4,4,1,4,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,3,3,1,1,1,2,101,14,1,1,1,1,1,3,1,1,3,1,1,1,1,2,2,3,3,4,3,4,3,4,4,1,3,1,1,2,1,3,2,1,3,1,3,2,1,1,2,4,12,78,4,2,1,3,3,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,3,4,4,3,3,2
1,101,15,1,3,1,1,4,8,3,60,4,4,1,2,3,1,3,0,2,2,1,1,3,1,2,2,3,3,4,3,1,1,2,2,5,2,2,1,2,2,1,1,1,4,3,1,2,2,4,1,3,1,1,2,1,4,2,2,4,2,2,4,2,3,3,3,1,1,3,2,101,15,1,2,1,1,1,1,1,2,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,1,2,4,1,3,2,3,2,4,1,1,1,1,7,8,35,50,0,2,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,4,3,1,3
1,101,16,1,2,5,1,4,6,3,34,4,10,1,2,3,1,2,3,1,1,0,1,2,2,1,8,2,2,4,3,2,2,2,2,4,4,2,2,2,2,2,2,1,1,3,1,1,3,1,1,2,2,1,2,1,2,2,1,3,3,2,4,2,4,3,3,1,1,2,2,101,16,1,3,1,1,3,3,1,1,2,2,1,1,1,1,1,1,4,2,1,4,4,2,4,4,3,5,1,5,2,1,4,1,4,1,3,1,1,2,2,0,0,80,10,10,2,3,3,3,2,1,1,2,2,2,2,2,2,2,2,2,2,4,2,2,4,3,3,2
1,101,17,1,1,3,1,4,8,3,78,4,4,1,2,3,1,2,3,2,1,1,1,2,1,3,5,1,2,4,9,1,2,2,2,4,2,2,1,2,1,1,2,1,1,3,3,1,1,4,1,4,4,1,2,1,1,1,1,1,2,4,4,1,3,3,3,1,1,2,2,101,17,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1,2,4,4,2,4,4,4,4,4,1,2,1,2,1,1,3,1,3,1,3,3,1,2,2,0,5,65,35,0,1,1,3,3,2,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,3,4,4,2
1,101,18,1,2,5,1,4,6,3,71,4,2,1,1,3,1,3,3,1,1,2,1,2,1,1,8,1,1,3,3,2,2,2,2,2,3,2,1,2,1,2,4,1,1,2,1,4,1,2,1,2,1,1,2,2,1,1,1,2,2,1,3,2,2,3,3,1,1,3,2,101,18,1,3,1,1,1,3,1,1,2,1,1,1,1,1,2,2,2,2,4,4,4,4,4,4,1,5,1,4,2,2,2,2,3,2,3,1,1,1,1,0,10,30,20,40,2,3,3,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,3,2,4,4,1
1,101,19,1,2,2,1,3,10,3,53,4,4,1,2,3,1,3,4,1,1,2,1,3,1,1,8,2,3,2,2,1,1,1,1,6,2,5,1,1,1,2,1,4,1,1,1,1,1,4,4,1,4,1,1,4,4,4,1,4,1,2,4,1,1,3,2,1,1,2,2,101,19,1,2,1,1,3,3,3,2,1,1,1,2,2,1,2,4,4,4,2,4,2,4,4,4,3,1,1,1,1,1,2,1,2,1,3,3,1,1,2,0,10,88,2,0,1,1,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,3,4,3,4,3
1,101,20,1,1,5,1,4,7,2,84,4,9,1,2,3,1,1,3,1,2,2,1,2,1,1,8,2,2,2,2,2,2,1,1,3,1,1,1,2,2,2,4,1,2,2,2,1,4,1,2,4,4,1,2,4,4,2,2,1,2,2,4,3,2,2,2,1,1,1,2,101,20,1,1,1,1,1,3,1,1,1,1,1,3,3,1,2,1,4,4,2,4,2,4,4,4,1,1,1,2,1,1,3,1,3,1,3,1,1,1,2,0,54,41,0,5,2,1,3,3,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,4,0,1,1
1,101,21,1,2,2,1,4,8,3,73,4,9,1,2,3,1,3,3,1,2,2,1,3,1,2,0,1,2,2,3,2,2,2,2,6,2,5,2,2,1,2,2,2,2,2,3,3,2,2,3,3,2,2,3,0,2,3,2,3,2,2,4,1,4,3,2,1,1,2,2,101,21,1,2,1,1,3,3,3,2,1,2,2,1,1,1,3,3,4,4,4,4,4,4,4,4,1,5,1,5,1,1,4,2,2,2,3,1,1,0,0,0,5,90,3,2,2,1,2,0,2,2,2,2,1,2,2,2,2,2,2,1,2,0,5,3,3,4,4,3
1,101,22,1,3,4,1,4,7,1,80,4,4,1,2,3,1,2,4,2,2,2,1,3,3,1,8,1,2,2,3,2,2,1,1,3,2,1,0,2,2,1,1,4,1,4,4,1,4,4,1,4,4,2,1,4,4,4,1,1,4,2,4,1,4,3,3,1,1,1,2,101,22,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,4,4,1,4,4,4,4,4,1,1,1,2,2,5,4,2,3,3,3,1,1,1,2,0,10,80,10,0,2,1,2,3,2,2,2,2,1,2,2,2,2,2,1,2,2,4,3,3,3,4,2,2
1,101,23,1,2,1,1,3,11,3,85,4,9,1,3,3,1,3,4,1,2,2,2,2,3,3,8,1,2,2,3,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,1,2,2,2,1,2,4,4,1,1,1,3,1,2,1,2,3,1,3,3,3,1,1,2,2,101,23,1,1,1,1,3,3,0,2,1,2,1,1,1,3,2,1,3,1,1,4,3,4,4,2,1,2,1,5,3,1,2,1,2,1,3,2,2,1,2,0,5,60,0,35,3,1,4,3,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,3,4,3,4,2
1,101,24,1,1,5,1,4,8,3,90,4,9,1,1,3,1,1,3,1,2,1,3,2,1,2,8,2,2,2,3,2,2,1,1,3,2,2,1,1,2,1,4,1,4,2,4,4,4,4,1,1,4,1,3,1,2,2,2,3,3,2,3,1,1,3,3,1,1,1,2,101,24,1,3,1,1,1,3,1,1,1,2,5,3,1,1,2,3,3,4,3,4,2,4,4,4,1,2,1,2,5,1,2,1,3,1,3,2,2,1,2,1,5,87,5,2,2,1,4,3,2,2,1,2,2,2,2,2,1,2,2,2,2,2,3,6,3,2,4,3
1,101,25,1,2,1,1,4,10,2,120,4,6,1,2,3,1,1,3,2,1,1,1,2,1,2,8,2,2,2,3,2,2,1,1,4,2,3,1,2,1,2,4,4,2,3,4,1,2,0,4,4,4,4,2,4,4,4,4,2,3,3,2,1,4,3,3,1,1,1,2,101,25,1,1,1,1,3,3,3,1,1,1,1,3,1,1,2,2,4,4,2,4,4,4,4,4,1,5,1,5,1,5,2,1,3,1,3,3,1,2,2,0,75,25,0,0,2,1,3,3,2,2,2,2,2,2,2,2,2,1,2,1,2,4,2,3,3,4,4,2
1,101,26,1,2,2,1,3,4,4,10,4,4,1,2,3,1,1,3,1,2,2,1,3,2,1,8,2,2,2,2,1,1,1,1,3,2,2,1,2,1,1,4,4,4,4,4,4,4,4,4,4,1,2,1,4,4,4,4,1,4,4,4,3,1,3,2,1,1,1,2,101,26,1,1,1,1,3,3,3,1,3,1,1,3,3,2,1,2,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2,1,3,1,1,1,2,10,20,30,40,0,3,1,3,3,2,2,2,1,2,2,2,2,2,2,1,2,2,2,6,6,3,4,1,2
1,101,27,1,1,1,1,4,5,3,45,4,4,1,1,3,1,1,2,1,1,1,1,3,1,2,2,2,2,2,2,1,2,1,2,2,1,5,1,2,1,1,1,2,1,3,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,4,3,2,3,3,1,1,0,2,101,27,1,0,1,1,3,3,3,1,1,1,1,2,1,3,2,4,4,4,4,4,2,4,4,4,1,1,1,3,2,1,3,1,3,1,4,1,1,1,2,0,0,85,15,0,2,1,3,3,2,1,2,2,2,1,2,2,2,2,2,2,2,4,3,2,3,0,4,2
1,101,28,1,1,3,1,4,5,3,35,4,4,1,2,3,1,3,0,2,1,1,1,3,1,2,2,2,2,2,3,1,2,2,2,3,2,2,1,2,1,1,4,1,4,1,4,1,4,4,4,4,4,1,2,4,4,4,4,1,4,4,4,3,2,3,3,1,1,2,2,101,28,1,2,1,1,3,3,3,1,1,1,1,1,1,3,2,2,2,3,4,0,3,4,4,4,1,1,1,5,2,1,4,1,3,1,3,3,1,1,2,1,23,56,10,10,1,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,6,6,2,2
1,101,29,1,1,5,1,4,2,2,54,4,13,1,3,3,2,3,4,1,2,2,1,3,1,2,8,1,2,2,5,2,2,2,2,6,2,5,2,2,1,2,1,4,1,2,4,2,1,4,1,1,4,1,2,1,1,1,1,3,1,1,4,1,4,3,3,1,1,1,2,101,29,1,1,1,1,3,3,1,2,1,1,1,1,1,2,4,2,4,4,4,4,4,4,4,4,1,3,1,2,3,1,4,1,3,2,3,3,1,1,2,0,20,73,4,3,2,1,3,3,2,2,1,2,2,2,2,1,2,2,2,2,2,3,2,2,4,3,4,3
1,101,30,1,1,5,3,4,8,2,90,4,4,1,1,3,1,1,3,1,1,1,1,2,1,2,8,2,2,2,2,2,1,2,2,3,2,4,1,2,1,2,1,4,4,1,4,2,4,4,4,4,4,1,1,1,4,4,1,2,4,4,4,2,3,3,3,1,1,3,2,101,30,1,3,1,1,3,3,3,1,1,2,1,2,1,1,2,2,4,4,4,4,4,4,4,4,3,1,1,1,1,1,2,1,3,1,3,1,1,2,2,2,20,78,0,0,1,1,3,3,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,5,4,3,2,3
1,101,31,1,1,2,2,4,9,1,60,4,4,1,2,3,1,1,3,2,2,1,3,3,1,1,8,1,3,2,2,2,2,2,1,3,2,0,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,4,1,4,4,3,4,3,3,1,1,1,2,101,31,1,3,1,1,3,3,2,1,1,1,1,3,1,1,1,4,3,4,4,4,4,4,4,4,1,1,1,1,5,1,4,2,3,1,4,1,1,1,2,0,75,25,0,0,2,1,3,3,2,1,2,2,2,2,1,2,2,2,2,2,2,3,1,6,4,0,1,3
1,101,32,1,2,2,1,4,6,3,999,4,4,1,2,3,1,3,4,1,1,1,1,3,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,4,4,2,2,4,1,2,4,4,2,1,1,2,1,2,4,1,2,1,1,4,3,3,3,2,1,1,2,2,101,32,1,1,1,1,1,3,1,1,1,2,1,1,1,1,2,4,2,4,2,4,4,4,4,4,3,5,1,5,5,5,3,2,3,2,3,1,1,1,2,3,17,60,10,10,2,1,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,5,2,4,3,4,2
1,101,33,1,2,2,3,3,6,4,30,4,4,1,2,3,1,2,2,2,1,1,1,3,1,1,2,1,2,2,9,2,2,2,1,4,2,2,1,2,1,2,1,2,1,1,2,1,2,1,1,2,1,2,2,1,4,4,1,1,2,1,4,1,4,3,3,1,1,1,2,101,33,1,1,1,1,1,3,3,2,1,1,1,2,1,1,2,2,4,4,2,4,4,4,4,4,1,1,1,5,1,5,3,1,3,1,3,1,1,2,2,5,15,65,10,5,2,1,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,3,6,6,5,2,3,3
1,101,34,1,1,4,2,4,2,2,50,4,3,1,1,3,1,1,3,1,2,1,1,3,1,1,8,2,2,2,3,2,2,2,2,6,2,5,3,2,3,2,1,4,4,3,4,4,2,4,4,1,1,4,1,2,1,1,4,1,3,4,4,1,4,3,3,1,1,1,2,101,34,1,3,1,1,3,3,2,2,1,1,1,2,2,1,1,1,4,4,4,4,2,4,4,4,3,5,1,5,4,1,3,1,5,1,3,1,1,2,2,9,5,77,7,2,2,1,3,3,2,2,2,2,1,2,2,2,2,2,2,2,1,2,3,3,4,2,4,3
1,101,35,1,2,4,1,4,11,3,86,4,4,1,2,3,2,1,3,1,1,1,1,3,1,3,2,2,2,2,2,1,2,2,2,3,3,5,2,2,1,1,3,4,4,2,4,1,3,1,4,1,4,4,1,4,2,4,4,4,2,1,4,3,4,3,3,1,0,3,2,101,35,1,3,2,1,3,3,1,1,3,2,1,0,0,4,3,3,2,4,4,4,2,4,4,2,1,1,1,5,2,5,2,2,3,2,3,2,1,1,1,0,20,75,5,0,2,1,3,3,2,2,2,2,1,2,2,2,2,2,1,2,2,3,6,6,2,4,4,2
1,101,36,1,2,1,1,4,12,1,85,4,4,1,3,3,1,3,3,1,2,1,3,2,2,3,2,1,3,2,3,2,1,2,2,3,1,1,1,2,1,1,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,2,4,3,3,3,1,3,2,101,36,1,1,1,1,1,3,2,1,1,2,1,1,1,4,2,4,4,4,4,4,2,4,4,4,1,2,1,1,1,1,3,1,1,1,2,3,1,1,2,10,10,70,10,0,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,4,3,6,4,0,3,2
1,101,37,1,2,3,1,4,11,3,53,4,4,1,2,3,3,3,3,1,2,1,1,4,3,3,8,0,2,2,2,1,1,2,1,5,2,3,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,4,1,4,1,4,3,2,1,1,1,2,101,37,1,1,1,1,0,0,1,1,3,1,1,2,2,1,2,2,4,4,3,4,4,4,4,4,1,3,1,5,3,3,2,1,1,1,1,1,1,0,0,0,50,47,0,3,2,1,3,3,2,1,2,2,2,2,2,1,2,2,2,2,2,3,5,5,5,0,4,2
1,101,38,1,1,4,1,4,1,3,50,4,6,1,2,3,1,1,2,1,1,1,1,2,1,2,8,1,1,2,3,1,2,1,1,3,2,2,0,2,0,0,1,4,4,3,1,1,1,1,1,1,1,4,4,1,1,3,1,1,1,4,3,1,4,3,3,1,1,1,2,101,38,1,1,1,1,1,3,1,2,1,2,1,2,2,1,2,2,2,4,4,4,4,4,4,4,3,4,1,4,2,1,1,1,4,1,4,1,1,2,2,5,5,85,5,0,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,6,5,4,3,4,1
1,101,39,1,2,2,1,3,11,3,47,4,9,1,2,3,0,3,0,1,2,1,1,1,1,1,1,3,1,2,3,2,2,1,2,3,2,3,2,2,2,1,4,2,4,3,1,4,4,1,4,1,4,1,1,4,1,1,1,4,1,4,3,2,3,3,3,1,1,3,2,101,39,1,3,1,3,0,3,1,1,1,2,2,3,1,1,4,4,4,4,4,4,4,4,4,4,3,5,1,5,1,5,3,1,3,2,3,1,1,1,2,0,0,80,20,0,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,1,4,5,5,1
1,101,40,1,2,3,1,4,9,3,60,4,9,1,2,3,1,3,3,2,2,2,1,3,2,1,5,1,2,2,9,3,2,2,1,3,2,5,2,2,1,2,1,2,1,1,4,1,1,4,4,1,4,2,1,1,1,2,1,2,1,1,4,1,1,2,3,1,1,1,2,101,40,1,1,1,1,3,3,1,1,3,2,1,1,1,1,1,2,4,4,4,4,3,4,4,4,1,1,1,1,2,2,4,1,2,1,3,3,1,1,2,10,40,50,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,4,0,5,3
1,101,41,1,1,5,3,4,8,3,54,4,4,1,2,3,1,1,3,1,2,1,1,2,1,1,8,1,2,2,2,1,2,2,1,6,2,5,1,1,1,2,4,1,4,1,4,1,4,4,4,4,4,1,1,4,4,4,1,1,1,4,2,3,4,3,3,1,1,1,2,101,41,1,1,1,1,1,3,2,1,1,1,1,3,1,1,2,2,3,2,4,4,3,4,4,4,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,50,30,10,5,5,2,1,2,3,2,2,2,2,1,2,2,2,1,2,2,2,2,1,3,3,2,3,3,3
1,101,42,1,2,5,1,4,8,3,120,4,11,1,2,3,1,1,3,1,2,1,1,1,2,3,8,2,2,2,3,2,1,1,1,3,2,5,1,2,1,1,4,1,4,1,4,0,4,1,4,4,4,1,1,1,1,4,1,1,1,4,1,1,3,2,2,1,1,3,2,101,42,1,3,3,1,1,3,3,2,1,1,1,1,1,1,2,4,4,4,4,4,2,4,4,4,1,3,2,4,5,3,2,1,1,3,3,2,1,2,2,2,10,80,8,0,2,1,4,3,2,2,2,2,2,2,2,1,2,2,1,2,2,2,3,5,2,3,5,1
