CARD.  1. CARD ONE 
DECK.  116. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
"Q.1. WHAT IS YOUR RANK OR GRADE*  1. PRIVATE OR PRIVATE FIRST CLASS 2. CORPORAL OR TECHNICIAN 5TH GRADE 3. SERGEANT OR TECHNICIAN 4TH GRADE 4. STAFF SERGEANT OR TECHNICIAN 3RD GRADE 5. TECHNICAL SERGEANT, MASTER SERGEANT, OR FIRST SERGEANT 0. NO ANSWER "
Q.2. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  1. UNDER 20 YEARS 2. 21 - 24 YEARS 3. 25 - 29 YEARS 4. 30 - 34 YEARS 5. 35 YEARS AND OVER 6. NO ANSWER 0. NO CODE OR NO DATA 
"Q.3. ARE YOU:  1. SINGLE 2. MARRIED BEFORE JOING ARMY 3. MARRIED AFTER JOINING ARMY 4. WIDOWED, DIVORCED, OR SEPARATED 5. NO ANSWER 0. NO CODE OR NO DATA "
Q.4. ABOUT HOW LONG HAVE YOU BEEN IN THE ARMY*  1. LESS THAN SIX MONTHS 2. SIX MONTHS TO ONE YEAR 3. ONE YEAR TO 18 MONTHS 4. EIGHTEEN MONTHS TO TWO YEARS 5. OVER TWO YEARS 0. NO ANSWER 
Q.5. CHECK THE ANSWER THAT TELLS BEST HOW FAR YOU WENT IN SCHOOL:  1. DID NOT FINISH GRADE SCHOOL 2. FINISHED GRADE SCHOOL 3. HAD SOME HIGH SCHOOL BUT DID NOT GRADUATE 4. GRADUATED FROM HIGH SCHOOL 5. HAD SOME COLLEGE BUT DID NOT GRADUATE 6. GRADUATED FROM COLLEGE 0. NO ANSWER 
Q.6. ABOUT HOW LONG HAVE YOU BEEN IN THE BRITISH ISLES*  1. THREE MONTHS OR LESS 2. OVER THREE MONTHS BUT NOT OVER SIX MONTHS 3. SIX MONTHS TO ONE YEAR 4. ONE YEAR TO EIGHTEEN MONTHS 5. OVER EIGHTEEN MONTHS 0. NO ANSWER 
Q.7. IN WHAT STATE OF THE UNITED STATES DID YOU SPEND MOST OF OF THE LAST EIGHT YEARS*  01. ORIGINAL PUNCH OF 1 02. ORIGINAL PUNCH OF 2 03. ORIGINAL PUNCH OF 3 04. ORIGINAL PUNCH OF 4 05. ORIGINAL PUNCH OF 5 06. ORIGINAL PUNCH OF 6 07. ORIGINAL PUNCH OF 7 08. ORIGINAL PUNCH OF 8 09. ORIGINAL PUNCH OF 9 10. ORIGINAL PUNCH OF 0 11. ORIGINAL PUNCH OF X 00. NO CODE OR NO DATA X. CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS. 
"Q.8. ON THE WHOLE, DO YOU THINK THE ARMY IS GIVING YOU A CHANCE TO SHOW WHAT YOU CAN DO*  1. A VERY GOOD CHANCE 2. A FAIRLY GOOD CHANCE 3. NOT MUCH OF A CHANCE 4. NO CHANCE AT ALL 5. UNDECIDED 6. NO ANSWER 0. NO CODE OR NO DATA "
"Q.9. DO YOU FEEL PROUD OF YOUR COMPANY OR SQUADRON*  1. YES, VERY PROUD 2. YES, FAIRLY PROUD 3. NO, NOT VERY PROUD 4. UNDECIDED 0. NO ANSWER "
