CARD.  1. CARD ONE 
DECK.  205. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. S-205U - UNITED STATES FORM 2. S-205E - EUROPEAN THEATER OF OPERATIONS FORM 3. S-20XX - CENTRAL PACIFIC BASE COMMAND FORM 4. S-205I - CHINA-INDIA-BURMA FORM 
Q.1. WHAT IS YOUR RANK OR GRADE*  1. PRIVATE 2. PRIVATE FIRST CLASS 3. CORPORAL OR TECHNICIAN 5TH GRADE 4. SERGEANT (ANY GRADE) OR TECHNICIAN 3RD OR 4TH GRADE 0. NO ANSWER 
"Q.2. HOW LONG HAVE YOU BEEN IN THE ARMY* E. IF YOU HAVE SERVED PREVIOUSLY IN THE ARMY, GIVE THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. IF YOU WERE A NATIONAL GUARDSMAN GIVE THE LENGTH OF TIME SINCE YOUR OUTFIT ENTERED THE ARMY.  ANP (ACTUAL NUMBER MONTHS) 07. 7 MONTHS . . . 99. 99 MONTHS OR MORE 97.NO ANSWER 00.NO CODE OR NO DATA "
"Q.3. HAVE YOU BEEN IN ACTUAL COMBAT IN THIS WAR*  1. YES, I HAVE BEEN IN ACTUAL COMBAT 2. YES, I HAVE BEEN UNDER ENEMY FIRE, BUT NOT IN ACTUAL COMBAT 3. NO 4. NO ANSWER 0. NO CODE OR NO DATA "
"Q.4. ARE YOU ENTITLED TO WEAR ANY CAMPAIGN STARS* IF YES, HOW MANY*  01. YES, ONE CAMPAIGN STAR 02. YES, TWO CAMPAIGN STARS 03. YES, THREE CAMPAIGN STARS 04. YES, FOUR CAMPAIGN STARS 05. YES, FIVE CAMPAIGN STARS OR ONE SILVER CAMPAIGN STAR (A SILVER CAMPAIGN COUNTS AS FIVE CAMPAIGN STARS) 06. YES, SIX CAMPAIGN STARS 07. YES, SEVEN CAMPAIGN STARS 08. YES, EIGHT CAMPAIGN STARS 09. YES, NINE OR MORE CAMPAIGN STARS 10. YES, NO ANSWER 11. NO 00. NO ANSWER "
"Q.5. WHICH OF THE FOLLOWING DECORATIONS OR AWARDS DO YOU HAVE* (DISTINGUISHED-SERVICE CROSS, LEGION OF MERIT, SILVER STAR, DISTINGUISHED-FLYING CROSS, SOLDIER,S MEDAL, BRONZE STAR MEDAL (NOT CAMPAIGN STAR), AIR MEDAL, PURPLE HEART) Z. COUNT EACH STAR, AWARD, AND OAK LEAF CLUSTER SEPARATELY AND CODE THE TOTAL.  ANP (TOTAL NUMBER) 01. TOTAL OF ONE . . . 40. TOTAL OF FORTY 98.I DON,T HAVE ANY AWARDS OR DECORATIONS 99.NO ANSWER 00.NO CODE OR NO DATA "
"Q.6. ARE YOU:  1. SINGLE 2. MARRIED 3. WIDOWED, DIVORCED, OR SEPARATED 4. NO ANSWER 0. NO CODE OR NO DATA "
"Q.7. HAVE YOU ANY CHILDREN UNDER 18 YEARS OF AGE* IF YES, HOW MANY*  1. YES, ONE CHILD 2. YES, TWO CHILDREN 3. YES, THREE CHILDREN 4. YES, FOUR OR MORE CHILDREN 5. YES, HOW MANY NOT SPECIFIED 6. NO 7. NO ANSWER 0. NO CODE OR NO DATA "
Q.8. WHAT BRANCH OF THE ARMY ARE YOU IN NOW*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED (TANKS) 07. SIGNAL CORPS 08. COAST ARTILLERY 09. ANTI-AIRCRAFT 10. AIR CORPS 11. TRANSPORTATION CORPS 12. ORDNANCE DEPARTMENT 13. CHEMICAL WARFARE SERVICE 14. MILITARY POLICE 15. TANK DESTROYER 16. OTHER 00. NO ANSWER 
Q.9. HOW CLEAR AN IDEA DO YOU HAVE OF WHY WE ARE FIGHTING THIS WAR*  1. I HAVE A VERY CLEAR IDEA 2. I HAVE A FAIRLY CLEAR IDEA 3. I AM NOT SO CLEAR 4. I AM NOT AT ALL CLEAR 5. NO ANSWER 0. NO CODE OR NO DATA 
Q.10. DO YOU EVER GET THE FEELING THAT THIS WAR IS NOT WORTH FIGHTING*  1. VERY OFTEN 2. SOMETIMES 3. ONLY ONCE IN A GREAT WHILE 4. NEVER 5. NO ANSWER 0. NO CODE OR NO DATA 
"Q.11. IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS OR IN LOW SPIRITS*  1. I AM USUALLY IN GOOD SPIRITS 2. I AM IN GOOD SPIRITS SOME OF THE TIME AND IN LOW SPIRITS SOME OF THE TIME 3. I AM USUALLY IN LOW SPIRITS 4. NO ANSWER 0. NO CODE OR NO DATA "
"Q.12. CONSIDERING EVERYTHING, HOW DO YOU FEEL ABOUT FURTHER SERVICE IN THE ARMY*  1. I SHOULD BE DISCHARGED NOW 2. I SHOULD SERVE A WHILE LONGER, BUT I SHOULD NOT HAVE TO STAY IN UNTIL JAPAN IS DEFEATED 3. I SHOULD BE DISCHARGED AS SOON AFTER JAPAN IS DEFEATED AS IS POSSIBLE 4. I WANT TO REMAIN IN THE ARMY AFTER THE WAR 0. NO ANSWER X. QUESTIONS 13 AND 14 CODED TOGETHER. "
Q.13. HOW GOOD DO YOU THINK YOUR CHANCES ARE OF BEING DISCHARGED FROM THE ARMY BEFORE THE WAR WITH JAPAN IS OVER*  Q.14. WHAT ARE THE REASONS FOR YOUR ANSWER TO QUESTION 13*  1. VERY GOOD CHANCE 2. FAIRLY GOOD CHANCE 3. NOT MUCH OF A CHANCE 4. NO CHANCE AT ALL 5. VERY GOOD OR FAIRLY GOOD CHANCE (MEDICAL REASON GIVEN IN QUESTION 14) 6. NO ANSWER 0. NO CODE OR NO DATA 
Q.15. WHAT IS YOUR BEST GUESS AS TO HOW MUCH LONGER YOU WILL BE IN THE ARMY BEFORE YOU ARE DISCHARGED*  1. LESS THAN 3 MONTHS 2. 3 MONTHS UP TO BUT NOT INCLUDING 6 MONTHS 3. 6 MONTHS UP TO BUT NOT INCLUDING 1 YEAR 4. 1 YEAR UP TO BUT NOT INCLUDING 1 1/2 YEARS 5. 1 1/2 YEARS UP TO BUT NOT INCLUDING 2 YEARS 6. 2 YEARS UP TO BUT NOT INCLUDING 3 YEARS 7. 3 YEARS OR MORE 8. NO ANSWER 0. NO CODE OR NO DATA 
"Q.16. COMPARED WITH OTHER PEOPLE, HOW GOOD DO YOU THINK YOUR CHANCES WILL BE OF GETTING THE KIND OF JOB YOU WANT BY THE TIME YOU GET OUT OF THE ARMY*  1. MY CHANCES WILL BE BETTER THAN MOST PEOPLE,S 2. MY CHANCES WILL BE ABOUT THE SAME AS MOST PEOPLE,S 3. MY CHANCES WILL BE WORSE THAN MOST PEOPLE,S 4. NO ANSWER 0. NO CODE OR NO DATA "
"Q.17. IF THE JAPS OFFERED TO STOP FIGHTING NOW AND TRY TO WORK OUT A PEACE IN WHICH BOTH SIDES WOULD HAVE SOMETHING TO SAY ABOUT THE PEACE TERMS, WHICH OF THESE DO YOU THINK WE SHOULD DO*  1. WE SHOULD KEEP ON FIGHTING UNTIL THEY ARE COMPLETELY BEATEN 2. WE SHOULD STOP AND TRY TO WORK OUT PEACE TERMS WITH THE JAPS NOW 3. UNDECIDED 4. NO ANSWER 0. NO CODE OR NO DATA "
