CARD.  1. CARD ONE 
DECK.  205. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. S-205U - UNITED STATES FORM 2. S-20XX - EUROPEAN THEATER OF OPERATIONS FORM 3. S-205C - CENTRAL PACIFIC BASE COMMAND FORM 
Q.1. WHAT IS YOUR RANK OR GRADE*  1. PRIVATE 2. PRIVATE FIRST CLASS 3. CORPORAL OR TECHNICIAN 5TH GRADE 4. SERGEANT (ANY GRADE) OR TECHNICIAN 3RD OF 4TH GRADE 0. NO ANSWER 
"Q.2. HOW LONG HAVE YOU BEEN IN THE ARMY* E. IF YOU HAVE SERVED PREVIOUSLY IN THE ARMY, GIVE THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. IF YOU WERE A NATIONAL GUARDSMAN GIVE THE LENGTH OF TIME SINCE YOUR OUTFIT ENTERED THE ARMY.  ANP (ACTUAL NUMBER MONTHS) 06. 6 MONTHS . . . 68. 68 MONTHS 00.NO ANSWER "
"Q.3A. HAVE YOU EVER BEEN IN ACTUAL COMBAT OR UNDER ENEMY FIRE IN THIS WAR*  1. I HAVE BEEN IN ACTUAL COMBAT WITH THE ENEMY 2. I HAVE NOT BEEN IN ACTUAL COMBAT, BUT I HAVE BEEN UNDER SOME KIND OF ENEMY FIRE (GROUND OR AIR) 3. NO, I HAVE NOT BEEN IN COMBAT NOR UNDER ANY KIND OF ENEMY FIRE FROM THE GROUND OR AIR 0. NO ANSWER "
"Q.3B. ON THE LIST BELOW, CHECK ALL THE KINDS OF ENEMY FIRE YOU YOURSELF HAVE BEEN UNDER.  1. ENEMY ARTILLERY OR MORTAR, BUT NOT RIFLE FIRE 2. NOT CHOSEN "
"Q.3B. ON THE LIST BELOW, CHECK ALL THE KINDS OF ENEMY FIRE YOU YOURSELF HAVE BEEN UNDER.  1078 1. RIFLE FIRE AND ARTILLERY OR MORTAR 1959 2. NOT CHOSEN "
"Q.3B. ON THE LIST BELOW, CHECK ALL THE KINDS OF ENEMY FIRE YOU YOURSELF HAVE BEEN UNDER.  110 1. FLAK OR TERM DENOTING SAME (WITH OR WITHOUT BUZZ, BOMBING RAIDS, STRAFING) 2927 2. NOT CHOSEN "
"Q.3B. ON THE LIST BELOW, CHECK ALL THE KINDS OF ENEMY FIRE YOU YOURSELF HAVE BEEN UNDER.  482 1. STRAFING WITH OR WITHOUT (BUZZ BOMBS OR BOMBING RAIDS) BUT NO ARTILLERY, RIFLE OR FLAK 2555 2. NOT CHOSEN "
"Q.3B. ON THE LIST BELOW, CHECK ALL THE KINDS OF ENEMY FIRE YOU YOURSELF HAVE BEEN UNDER.  302 1. BUZZ BOMBS OR/AND BOMBING RAIDS BUT NOTHING ELSE 2735 2. NOT CHOSEN "
"Q.3B. ON THE LIST BELOW, CHECK ALL THE KINDS OF ENEMY FIRE YOU YOURSELF HAVE BEEN UNDER.  26 1. RIFLE FIRE - NOTHING ELSE 3011 2. NOT CHOSEN "
"Q.3B. ON THE LIST BELOW, CHECK ALL THE KINDS OF ENEMY FIRE YOU YOURSELF HAVE BEEN UNDER.  64 1. RIFLE FIRE - NO ARTILLERY OR MORTAR, BUT SOMETHING ELSE 2973 2. NOT CHOSEN "
"Q.3B. ON THE LIST BELOW, CHECK ALL THE KINDS OF ENEMY FIRE YOU YOURSELF HAVE BEEN UNDER.  442 1. I HAVE NEVER BEEN UNDER ENEMY FIRE 2595 2. NOT CHOSEN "
"Q.3B. ON THE LIST BELOW, CHECK ALL THE KINDS OF ENEMY FIRE YOU YOURSELF HAVE BEEN UNDER.  48 1. NO ANSWER 2989 2. NOT CHOSEN "
"Q.4. ARE YOU ENTITLED TO WEAR ANY CAMPAIGN STARS* IF YES, HOW MANY*  01. YES, ONE CAMPAIGN STAR 02. YES, TWO CAMPAIGN STARS 03. YES, THREE CAMPAIGN STARS 04. YES, FOUR CAMPAIGN STARS 05. YES, FIVE CAMPAIGN STARS OR ONE SILVER CAMPAIGN STAR (A SILVER CAMPAIGN STAR COUNTS AS FIVE CAMPAIGN STARS) 06. YES, SIX CAMPAIGN STARS 07. YES, SEVEN CAMPAIGN STARS 08. YES, EIGHT CAMPAIGN STARS 09. YES, NINE OR MORE CAMPAIGN STARS 10. YES, NO ANSWER 11. NO 00. NO ANSWER "
"Q.5. WHICH OF THE FOLLOWING DECORATIONS OR AWARDS DO YOU HAVE* (DISTINGUISHED-SERVICE CROSS, LEGION OF MERIT, SILVER STAR, DISTINGUISHED-FLYING CROSS, SOLDIER,S MEDAL, BRONZE STAR MEDAL (NOT CAMPAIGN STAR), AIR MEDAL, PURPLE HEART) Z. COUNT EACH STAR, AWARD AND OAK LEAF CLUSTER SEPARATELY AND CODE THE TOTAL.  ANP (TOTAL NUMBER) 01. TOTAL OF ONE . . . 34. TOTAL OF THIRTY-FOUR 99.I DON,T HAVE ANY AWARDS OR DECORATIONS 00.NO ANSWER "
"Q.6. ARE YOU:  1. SINGLE 2. MARRIED 3. WIDOWED, DIVORCED, OR SEPARATED 0. NO ANSWER "
"Q.7. HAVE YOU ANY CHILDREN UNDER 18 YEARS OF AGE* IF YES, HOW MANY*  1. YES, ONE CHILD 2. YES, TWO CHILDREN 3. YES, THREE CHILDREN 4. YES, FOUR OR MORE CHILDREN 5. YES, HOW MANY NOT SPECIFIED 6. NO 0. NO ANSWER "
Q.8. WHAT BRANCH OF THE ARMY ARE YOU IN NOW*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED (TANKS) 07. SIGNAL CORPS 08. COAST ARTILLERY 09. ANTI-AIRCRAFT 10. AIR CORPS 11. TRANSPORTATION CORPS 12. ORDNANCE DEPARTMENT 13. CHEMICAL WARFARE SERVICE 14. MILITARY POLICE 15. TANK DESTROYER 16. OTHER 00. NO ANSWER 
Q.9. HOW CLEAR AN IDEA DO YOU HAVE OF WHY WE ARE FIGHTING THIS WAR*  1. I HAVE A VERY CLEAR IDEA 2. I HAVE A FAIRLY CLEAR IDEA 3. I AM NOT SO CLEAR 4. I AM NOT AT ALL CLEAR 0. NO ANSWER 
Q.10. DO YOU EVER GET THE FEELING THAT THIS WAR IS NOT WORTH FIGHTING*  1. VERY OFTEN 2. SOMETIMES 3. ONLY ONCE IN A GREAT WHILE 4. NEVER 0. NO ANSWER 
"Q.11. IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS OR IN LOW SPIRITS*  1. I AM USUALLY IN GOOD SPIRITS 2. I AM IN GOOD SPIRITS SOME OF THE TIME AND IN LOW SPIRITS SOME OF THE TIME 3. I AM USUALLY IN LOW SPIRITS 0. NO ANSWER "
"Q.12. CONSIDERING EVERYTHING, HOW DO YOU FEEL ABOUT FURTHER SERVICE IN THE ARMY*  1. I SHOULD BE DISCHARGED NOW 2. I SHOULD SERVE A WHILE LONGER, BUT I SHOULD NOT HAVE TO STAY IN UNTIL JAPAN IS DEFEATED 3. I SHOULD BE DISCHARGED AS SOON AFTER JAPAN IS DEFEATED AS IS POSSIBLE 4. I WANT TO REMAIN IN THE ARMY AFTER THE WAR 0. NO ANSWER X. QUESTIONS 13 AND 14 CODED TOGETHER. "
