CARD.  1. CARD ONE 
DECK.  233. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
"Q.1. WHAT IS YOUR ARMY RANK OR GRADE*  1. PRIVATE OR PRIVATE FIRST CLASS 2. CORPORAL OR TECHNICIAN, 5TH GRADE 3. SERGEANT (ANY GRADE) OR TECHNICIAN, 3RD OR 4TH GRADE 4. NO ANSWER 0. NO CODE OR NO DATA "
Q.2. HOW FAR DID YOU GO IN SCHOOL*  01. LESS THAN 6TH GRADE 02. FINISHED 6TH GRADE 03. FINISHED 7TH GRADE 04. FINISHED 8TH GRADE 05. FINISHED 1ST YEAR OF HIGH SCHOOL 06. FINISHED 2ND YEAR OF HIGH SCHOOL 07. FINISHED 3RD YEAR OF HIGH SCHOOL 08. GRADUATED FROM HIGH SCHOOL 09. SOME COLLEGE BUT DID NOT FINISH 10. GRADUATED FROM COLLEGE 00. NO ANSWER 
Q.3. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  1. 19 YEARS OR YOUNGER 2. 20-24 3. 25-29 4. 30-34 5. 35 YEARS OR MORE 6. NO ANSWER 0. NO CODE OR NO DATA 
"Q.4. IN WHAT STATE DID YOU SPEND MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY* E. SECTION:  1. SOUTH (ALABAMA, ARKANSAS, FLORIDA, GEORGIA, LOUISIANA, MISSISSIPPI, NORTH CAROLINA, OKLAHOMA, SOUTH CAROLINA, TENNESSEE, TEXAS, VIRGINIA) 2. BORDER (DELAWARE, D.C., KENTUCKY, MARYLAND, MISSOURI, WEST VIRGINIA) 3. NORTH (CONNECTICUT, ILLINOIS, INDIANA, IOWA, KANSAS, MAINE, MASSACHUSETTS, MICHIGAN, MINNESOTA, NEBRASKA, NEW HAMPSHIRE, NEW JERSEY, NEW YORK, NORTH DAKOTA, OHIO, PENNSYLVANIA, RHODE ISLAND, SOUTH DAKOTA, VERMONT, WISCONSIN) 4. WEST (ARIZONA, CALIFORNIA, COLORADO, IDAHO, MONTANA, NEVADA, NEW MEXICO, OREGON, UTAH, WASHINGTON, WYOMING) 5. OTHER THAN STATES 6. NO ANSWER 0. NO CODE OR NO DATA "
"Q.5. WHERE WERE YOU LIVING MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY*  1. ON A FARM OR IN THE COUNTRY 2. IN A SMALL TOWN (FEWER THAN 2,500 PEOPLE) 3. IN A TOWN (WITH BETWEEN 2,500 AND 25,000 PEOPLE) 4. IN A CITY (BETWEEN 25,000 AND 100,000 PEOPLE) 5. IN A LARGE CITY (MORE THAN 100,000 PEOPLE) 6. NO ANSWER 0. NO CODE OR NO DATA X. QUESTIONS 6A AND 6B TO BE CODED TOGETHER. "
"Q.6A. ARE YOU A CHURCH MEMBER*  Q.6B. WHETHER YOU ARE A CHURCH MEMBER OR NOT, DO YOU CONSIDER YOURSELF CATHOLIC, JEWISH, PROTESTANT OR OTHER* IF OTHER, WHAT*  01. YES, CATHOLIC 02. YES, JEWISH 03. YES, PROTESTANT 04. YES, OTHER 05. YES, NO ANSWER 06. NO OR NO ANSWER, CATHOLIC 07. NO OR NO ANSWER, JEWISH 08. NO OR NO ANSWER, PROTESTANT 09. NO OR NO ANSWER, ATHEIST 10. NO OR NO ANSWER, OTHER 11. NO, NO ANSWER 00. NO ANSWER "
"Q.7. HOW LONG HAVE YOU BEEN IN THE ARMY* E. IF YOU WERE IN THE NATIONAL GUARD, CHECK THE LENGTH OF TIME SINCE YOUR OUTFIT CAME INTO THE ARMY ON ACTIVE DUTY.  1. LESS THAN 1 YEAR 2. 1 YEAR UP TO 2 YEARS 3. 2 YEARS UP TO 3 YEARS 4. 3 YEARS UP TO 4 YEARS 5. 4 YEARS UP TO 5 YEARS 6. 5 YEARS AND OVER 0. NO ANSWER "
Q.8. HOW LONG HAVE YOU BEEN OVERSEAS* (COUNT FROM THE TIME YOU LEFT THE STATES.)  1. LESS THAN 3 MONTHS 2. 3 MONTHS UP TO 6 MONTHS 3. 6 MONTHS UP TO 1 YEAR 4. 1 YEAR UP TO 2 YEARS 5. 2 YEARS UP TO 3 YEARS 6. 3 YEARS AND OVER 0. NO ANSWER 
"Q.9. HAVE YOU BEEN IN ACTUAL COMBAT IN THIS WAR* (THAT IS, HAVE YOU HAD A JOB WHICH KEPT YOU REGULARLY WITHIN THE RANGE OF ENEMY ARTILLERY*)  1. YES 2. NO 3. NO ANSWER 0. NO CODE OR NO DATA "
Q.10. HOW LONG HAS YOUR OUTFIT BEEN LOCATED AT THIS PARTICULAR PLACE*  1. LESS THAN 1 MONTH 2. 1 MONTH UP TO 3 MONTHS 3. 3 MONTHS UP TO 6 MONTHS 4. 6 MONTHS UP TO 1 YEAR 5. 1 YEAR OR OVER 0. NO ANSWER X. QUESTIONS 11 AND 12 TO BE CODED TOGETHER. 
"Q.11. ARE YOU SINGLE, MARRIED, DIVORCED OR SEPARATED, OR WIDOWED* F. IF MARRIED:  Q.12. HOW MANY CHILDREN DO YOU HAVE*  01. SINGLE 02. DIVORCED OR SEPARATED, NO CHILDREN OR NO ANSWER 03. WIDOWED, NO CHILDREN OR NO ANSWER 04. MARRIED, NO CHILDREN 05. MARRIED, 1 CHILD 06. MARRIED, 2 CHILDREN 07. MARRIED, 3 OR MORE CHILDREN 08. MARRIED, NO ANSWER 09. DIVORCED OR SEPARATED, 1 OR MORE CHILDREN 10. WIDOWED, 1 OR MORE CHILDREN 11. SINGLE, 1 OR MORE CHILDREN 00. NO ANSWER X. QUESTIONS 13A AND 13B TO BE CODED TOGETHER. "
"Q.13A. BEFORE YOU LEFT FOR OVERSEAS, WAS THERE ANY GIRL BACK IN THE STATES THAT YOU EXPECTED TO MARRY AFTER THE WAR*  Q.13B. SO FAR AS YOU KNOW, HAS SHE STAYED LOYAL TO YOU*  1. YES, YES, I AM SURE SHE HAS STAYED LOYAL 2. YES, YES, I THINK SHE HAS STAYED LOYAL, BUT I,M NOT SURE 3. YES, NO, I DON,T THINK SHE HAS STAYED LOYAL, BUT I,M NOT SURE 4. YES, NO, I AM SURE SHE HAS NOT STAYED LOYAL 5. YES, UNDECIDED 6. YES, NO ANSWER 7. NO, THERE WASN,T ANYONE I EXPECTED TO MARRY 8. I,M ALREADY MARRIED 0. NO ANSWER "
"Q.14. CAN YOU FIND INTERESTING THINGS TO DO IN YOUR OFF-DUTY FREE TIME*  1. YES, USUALLY 2. YES, SOMETIMES 3. NO, HARDLY EVER 4. NO, NEVER 5. NO ANSWER 0. NO CODE OR NO DATA "
Q.15. DO YOU CONSIDER YOUR OWN PRESENT JOB OR DUTY IN THE ARMY AN IMPORTANT ONE IN THE WAR EFFORT*  1. VERY IMPORTANT 2. PRETTY IMPORTANT 3. NOT SO IMPORTANT 4. NOT IMPORTANT AT ALL 5. UNDECIDED 0. NO ANSWER 
Q.16. HOW SATISFIED ARE YOU ABOUT BEING IN YOUR PRESENT ARMY JOB INSTEAD OF SOME OTHER ARMY JOB*  1. VERY SATISFIED 2. SATISFIED 3. VERY DISSATISFIED 4. DISSATISFIED 5. IT DOES NOT MAKE ANY DIFFERENCE TO ME 0. NO ANSWER 
Q.17. DO YOU LIKE TO WORK WITH THE OTHER FELLOWS IN YOUR COMPANY*  1. WITH MOST OF THEM 2. WITH ABOUT HALF OF THEM 3. WITH ONLY A FEW OF THEM 4. UNDECIDED 0. NO ANSWER 
Q.18. HOW WOULD YOU SAY PEOPLE YOU KNOW FEEL ABOUT YOU*  1. ALMOST ALL OF THEM LIKE ME 2. MOST OF THEM LIKE ME 3. A FEW OF THEM LIKE ME 4. ALMOST NONE OF THEM LIKE ME 0. NO ANSWER 
"Q.19. IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS OR IN LOW SPIRITS*  1. I AM USUALLY IN GOOD SPIRITS 2. I AM IN GOOD SPIRITS SOME OF THE TIME AND IN LOW SPIRITS SOME OF THE TIME 3. I AM USUALLY IN LOW SPIRITS 0. NO ANSWER "
"Q.20. IN GENERAL, HOW WOULD YOU SAY YOUR HEALTH IS*  1. BETTER THAN MOST MEN 2. ABOUT THE SAME AS MOST MEN 3. NOT AS GOOD AS MOST MEN 0. NO ANSWER "
"Q.21. HOW WOULD YOU FEEL ABOUT A SOLDIER IN YOUR OUTFIT WHO TRIES TO GET OUT OF DOING HIS JOB BY GOING ON SICK CALL WHEN HE DOESN,T REALLY NEED TO* X. RESPONSES 4-7 REPRESENT (REASONS FOR ""SOMETHING ELSE"").  1. I DON,T HAVE ANY USE FOR A FELLOW WHO WOULD DO THAT 2. IT DOESN,T MAKE ANY DIFFERENCE TO ME ONE WAY OR THE OTHER 3. IT,S O.K. WITH ME, IF HE CAN GET AWAY WITH IT 4. MOST OF THOSE WHO GO REALLY NEED MEDICAL CARE 5. MISCELLANEOUS - FRIENDLY TO THOSE WHO GO ON SICK CALL 6. MISCELLANEOUS - UNFRIENDLY TO THOSE WHO GO ON SICK CALL 7. MISCELLANEOUS - CANNOT DETERMINE WHETHER FRIENDLY OR UNFRIENDLY 0. NO ANSWER, DON,T KNOW, IRRELEVANT "
"Q.22. HOW WOULD YOU FEEL ABOUT A SOLDIER IN YOUR OUTFIT WHO GOES AWOL* X. RESPONSES 4-7 REPRESENT (REASONS FOR ""SOMETHING ELSE"").  1. I DON,T HAVE ANY USE FOR A FELLOW WHO WOULD DO THAT 2. IT DOESN,T MAKE ANY DIFFERENCE TO ME ONE WAY OR THE OTHER 3. IT,S O.K. WITH ME, IF HE CAN GET AWAY WITH IT 4. IT DEPENDS ON CIRCUMSTANCES, ON PERSON, ON WHETHER MAN CAN GET MEDICAL ATTENTION OR NOT, ETC. (PARTIAL SYMPATHY TOWARD AWOL) 5. MISCELLANEOUS - FRIENDLY TOWARD AWOL 6. MISCELLANEOUS - UNFRIENDLY TOWARD AWOL 7. MISCELLANEOUS - CANNOT DETERMINE WHETHER FRIENDLY OR UNFRIENDLY 0. NO ANSWER, DON,T KNOW, IRRELEVANT X. QUESTIONS 23 AND 24 CODED TOGETHER. "
"Q.23. HAVE YOU EVER HAD SEXUAL INTERCOURSE SINCE YOU HAVE BEEN IN ITALY*  Q.24. ABOUT HOW MANY TIMES HAVE YOU HAD SEXUAL INTERCOURSE DURING THE LAST 3 MONTHS*  1. YES, 1 TIME 2. YES, 2 OR 3 TIMES 3. YES, 4 TO 6 TIMES 4. YES, 7 TO 12 TIMES 5. YES, MORE THAN 12 TIMES (ONCE A WEEK) 6. YES, NO TIMES AT ALL 7. YES, NO ANSWER 8. NO, I HAVE NOT HAD SEXUAL INTERCOURSE SINCE I,VE BEEN IN ITALY 0. NO ANSWER "
"Q.25. REGARDLESS OF WHAT YOU HAVE DONE IN THE PAST, DO YOU THINK YOU WILL HAVE SEXUAL INTERCOURSE, IN THE FUTURE, WHILE YOU ARE IN ITALY*  1. YES, I PROBABLY WILL 2. I MIGHT, BUT IT DEPENDS ON A LOT OF THINGS 3. NO, I NEVER EXPECT TO HAVE INTERCOURSE DURING THE REST OF THE TIME I,M IN ITALY 4. NO ANSWER 0. NO CODE OR NO DATA "
"Q.26. WHEN YOU HAVE SEXUAL INTERCOURSE OVER HERE, WHAT DO YOU PAY FOR IT*  1. USUALLY PAY NOTHING 2. USUALLY PAY CASH 3. USUALLY PAY WITH CIGARETTES 4. USUALLY PAY WITH FOOD 5. USUALLY PAY WITH CLOTHING 6. I HAVE NOT HAD SEXUAL INTERCOURSE SINCE I,VE BEEN IN ITALY 0. NO ANSWER "
