S192B.CARD.  1. CARD ONE 
S192B.DECK.  192. SURVEY NUMBER 
S192B.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S192B.FORM.  1. S-192A 2. S-192B 
S192B.Q1. WHAT IS YOUR PRESENT RAN?  1. SECOND LIEUTENANT 2. FIRST LIEUTENANT 3. CAPTAIN 4. MAJOR 
S192B.Q2. DO YOU THINK A NURSE WITH ABILITY HAS A GOOD CHANCE FOR PROMOTION IN THE ARM?  1. A VERY GOOD CHANCE 2. A FAIRLY GOOD CHANCE 3. NOT MUCH OF A CHANCE 4. NO CHANCE AT ALL 5. UNDECIDED 0. NO ANSWER 
S192B.Q3. HOW OLD WERE YOU ON YOUR LAST BIRTHDA?  1. 22 YEARS 2. 23 3. 24 4. 25 5. 26-29 YEARS 6. 30-34 YEARS 7. 35 YEARS AND OVER 0. NO ANSWER 
S192B.Q4. HOW FAR DID YOU GO IN SCHOO?  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 0. NO ANSWER 
S192B.Q5. ARE YOU:  1. SINGLE 2. MARRIED 3. DIVORCED OR SEPARATED 4. WIDOWED 
S192B.Q6. WERE YOU MARRIED BEFORE OR AFTER ENTERING THE ARM?  1. MARRIED BEFORE ENTERING THE ARMY 2. MARRIED AFTER ENTERING THE ARMY 3. I'M NOT MARRIED 
S192B.Q7. HOW MANY CHILDREN DO YOU HAV?  1. HAVE ONE CHILD 2. HAVE TWO CHILDREN 3. HAVE THREE OR MORE CHILDREN 4. HAVE NO CHILDREN 5. I'M NOT MARRIED 
S192B.Q8A. DO YOU APPROVE OR DISAPPROVE OF THIS POLIC?  1. I APPROVE OF THIS POLICY 2. I DISAPPROVE OF THIS POLICY 0. NO ANSWER 
"S192B.Q8B. IF THE PRESENT POLICY PROHIBITING MARRIAGE WERE TO BE CHANGED TO PERMIT A NURSE TO MARRY WHILE IN THE INDIA- BURMA THEATER DO YOU THINK YOU WOULD GET MARRIED DURING THE TIME YOU ARE GOING TO BE OVER HER?  1. YES, I'M SURE I'D GET MARRIED OVER HERE 2. NO, I WOULD NOT GET MARRIED OVER HERE 3. I MIGHT, BUT I'M NOT SURE 4. I AM ALREADY MARRIED "
S192B.Q9. HOW LONG HAVE YOU BEEN IN THE ARM?  1. 6 MONTHS OR LESS 2. OVER 6 MONTHS UP TO 9 MONTHS 3. OVER 9 MONTHS UP TO 1 YEAR 4. OVER 1 YEAR UP TO 2 YEARS 5. OVER 2 YEARS UP TO 3 YEARS 6. OVER 3 YEARS 
S192B.Q10. HOW LONG HAVE YOU BEEN IN THE INDIA-BURMA THEATE?  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 9 MONTHS 4. OVER 9 MONTHS UP TO 1 YEAR 5. OVER 1 YEAR UP TO 18 MONTHS 6. OVER 18 MONTHS UP TO 2 YEARS 7. OVER 2 YEARS 0. NO ANSWER 
S192B.Q11. HOW LONG HAVE YOU BEEN STATIONED AT THIS PARTICULAR PLAC?  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 9 MONTHS 4. OVER 9 MONTHS UP TO 1 YEAR 5. OVER 1 YEAR UP TO 18 MONTHS 6. OVER 18 MONTHS UP TO 2 YEARS 7. OVER 2 YEARS 
"S192B.Q12. IN GENERAL, HOW WELL DO YOU THINK THE ARMY IS RU?  1. IT IS RUN VERY WELL 2. IT IS RUN PRETTY WELL 3. IT IS NOT RUN SO WELL 4. IT IS RUN VERY POORLY 5. UNDECIDED 0. NO ANSWER "
"S192B.Q13. IN YOUR OPINION, HOW IMPORTANT IS THE JOB OF THE ARMY NURSE CORPS IN WINNING THE WA?  1. VERY IMPORTANT 2. PRETTY IMPORTANT 3. NOT SO IMPORTANT 4. NOT IMPORTANT AT ALL 0. NO ANSWER "
S192B.Q14. WHAT IS YOUR MAIN ARMY JOB NO?  1. ADMINISTRATIVE WORK 2. GENERAL NURSING WORK 3. DIETICIAN WORK 4. PHYSIOTHERAPY WORK 0. NO ANSWER 
"S192B.Q15. DO YOU FEEL PROUD OF YOUR PRESENT JOB OR DUT?  1. YES, VERY PROUD 2. YES, FAIRLY PROUD 3. NO, NOT PROUD 4. UNDECIDED 0. NO ANSWER "
S192B.Q16. HOW INTERESTED ARE YOU IN YOUR ARMY JO?  1. VERY MUCH INTERESTED 2. A LITTLE BUT NOT MUCH 3. NOT INTERESTED AT ALL 0. NO ANSWER 
S192B.Q17. HOW MUCH OF YOUR DUTY TIME IS USED IN DOING THINGS THAT DO NOT SEEM IMPORTANT TO YO?  1. A LOT OF IT 2. SOME OF IT 3. ONLY A LITTLE OF IT 4. NONE OF IT 
S192B.Q18. DO YOU CONSIDER YOUR OWN PRESENT JOB OR DUTY IN THE ARMY AN IMPORTANT ONE IN THE WAR EFFOR?  1. VERY IMPORTANT 2. PRETTY IMPORTANT 3. NOT SO IMPORTANT 4. NOT IMPORTANT AT ALL 5. UNDECIDED 0. NO ANSWER 
"S192B.Q19. DO YOU THINK THE COMMANDING OFFICER OF YOUR HOSPITAL UNIT CONSIDERS YOUR JOB AN IMPORTANT ONE IN THE WAR EFFOR?  1. YES, HE CONSIDERS IT IMPORTANT 2. NO, HE DOES NOT CONSIDER IT IMPORTANT 3. I HAVE NO IDEA WHETHER OR NOT HE CONSIDERS IT IMPORTANT 0. NO ANSWER "
S192B.Q20. DO YOU USUALLY FEEL THAT WHAT YOU ARE DOING IN THE ARMY IS WORTHWHILE OR NO?  1. I USUALLY FEEL IT IS WORTHWHILE 2. I USUALLY FEEL IT IS NOT WORTHWHILE 3. UNDECIDED 0. NO ANSWER 
S192B.Q21. DO YOU THINK YOU ARE MAKING GOOD IN THE ARM?  1. I FEEL PRETTY SURE I AM MAKING GOOD 2. I AM NOT SO SURE I AM MAKING GOOD 3. UNDECIDED 0. NO ANSWER 
"S192B.Q22. IN GENERAL, WHAT SORT OF A TIME DO YOU HAVE IN THE ARM?  1. I HAVE A PRETTY GOOD TIME 2. IT'S ABOUT FIFTY-FIFTY 3. I HAVE A PRETTY ROTTEN TIME 0. NO ANSWER "
S192B.Q23. DO YOU EVER FEEL THAT YOU ARE NOT AS GOOD A NURSE AS MOST OF THE OTHER NURSES IN YOUR HOSPITAL UNI?  1. I FEEL THAT WAY NEARLY ALL OF THE TIME 2. I FEEL THAT WAY FAIRLY OFTEN 3. I FEEL THAT WAY ONLY ONCE IN A WHILE 4. I ALMOST NEVER FEEL THAT WAY 0. NO ANSWER 
