CARD.  1. CARD ONE 
DECK.  135. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. S-135A - A FORM 2. S-135B - B FORM 
"Q.1. WHAT IS YOUR MAIN FLYING DUTY* IF GUNNER, WHAT POSITION*  01. PILOT 02. CO-PILOT 03. NAVIGATOR 04. BOMBARDIER 05. ENGINEER 06. RADIO OPERATOR 07. GUNNER, BALL TURRET (B.T.) 08. GUNNER, TAIL 09. GUNNER, WAIST (""RIGHT WAIST"", LEFT WAIST"", ETC. AS WAIST GUNNER) 10. GUNNER, POSITION NOT SPECIFIED AND OTHER GUNNERS 11. BOMBARDIER AND NAVIGATOR BOTH CHECKED 12. OTHER (EXCEPT ""ENLISTED BOMBARDIER"", ""GUNNER BOMBARDIER"") 00. NO ANSWER "
"Q.2A. GIVE THE APPROXIMATE DATE WHEN YOU WENT ON YOUR FIRST COMBAT MISSION:  01. AUGUST, 1943 OR EARLIER 02. SEPTEMBER, OCTOBER, 1943 03. NOVEMBER, 1943 04. DECEMBER, 1943 05. JANUARY, 1944 06. FEBRUARY, 1944 07. MARCH, 1944 08. APRIL, 1944 09. MAY 1-15, 1944 10. MAY 16-31, 1944 11. JUNE, 1944 00. NO ANSWER "
"Q.2B. GIVE THE APPROXIMATE DATE WHEN YOU FIRST CAME TO YOUR PRESENT GROUP:  01. AUGUST, 1943 OR EARLIER 02. SEPTEMBER, OCTOBER, 1943 03. NOVEMBER, 1943 04. DECEMBER, 1943 05. JANUARY, 1944 06. FEBRUARY, 1944 07. MARCH, 1944 08. APRIL, 1944 09. MAY 1-15, 1944 10. MAY 16-31, 1944 11. JUNE, 1944 00. NO ANSWER "
Q.3. WHAT IS YOUR RANK OR GRADE*  01. MAJORS 02. CAPTAIN 03. 1ST LIEUTENANT 04. 2ND LIEUTENANT 05. FLIGHT OFFICER 06. MASTER SERGEANT OR TECHNICAL SERGEANT 07. STAFF SERGEANT OR TECHNICIAN 3RD GRADE 08. SERGEANT OR TECHNICIAN 4TH GRADE 09. CORPORAL OR TECHNICIAN 5TH GRADE 10. PRIVATE OR PRIVATE FIRST CLASS 
Q.4. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  01. 18 YEARS OR LESS 02. 19 YEARS 03. 20 04. 21 05. 22 06. 23 07. 24 08. 25 09. 26-29 YEARS 10. 30-34 YEARS 11. 35 YEARS AND OVER 00. NO ANSWER 
"Q.5A. HOW WELL SATISFIED ARE YOU WITH YOUR PRESENT ASSIGNMENT, AS COMPARED WITH OTHER TYPES OF COMBAT FLYING ASSIGNMENTS* IF YOU WOULD BE BETTER SATISFIED IN SOME OTHER TYPE OF COMBAT FLYING ASSIGNMENT, WHAT TYPE OF ASSIGNMENT*  1. BETTER SATISFIED THAN I WOULD BE WITH ANY OTHER COMBAT FLYING ASSIGNMENT 2. AS WELL SATISFIED AS I WOULD BE WITH ANY OTHER 3. WOULD BE BETTER SATISFIED IN SOME OTHER TYPE OF COMBAT FLYING ASSIGNMENT, SPECIFIES AN ASSIGNMENT 4. WOULD BE BETTER SATISFIED IN SOME OTHER TYPE OF COMBAT FLYING ASSIGNMENT, NO ASSIGNMENT SPECIFIED 5. NO ANSWER 0. NO CODE OR NO DATA "
"Q.5B. HOW WELL DO YOU THINK YOU ARE NOW FITTED FOR YOUR PRESENT ASSIGNMENT, AS COMPARED WITH OTHER TYPES OF COMBAT FLYING ASSIGNMENTS* IF FEEL BETTER FITTED FOR SOME OTHER TYPE OF COMBAT FLYING ASSIGNMENT, WHAT TYPE OF ASSIGNMENT*  1. BETTER FITTED FOR MY PRESENT ASSIGNMENT THAN FOR ANY OTHER 2. AS WELL FITTED FOR MY PRESENT ASSIGNMENT AS FOR ANY OTHER 3. FEEL BETTER FITTED FOR SOME OTHER TYPE OF COMBAT FLYING ASSIGNMENT, SPECIFIES AN ASSIGNMENT 4. FEEL BETTER FITTED FOR SOME OTHER TYPE OF COMBAT FLYING ASSIGNMENT, NO ASSIGNMENT SPECIFIED 5. NO ANSWER 0. NO CODE OR NO DATA "
