CARD.  1. CARD ONE 
DECK.  047. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
Q.1. WHEN DID YOU COME INTO THE ARMY*  1. 1943 2. DECEMBER 1942 3. NOVEMBER 1942 4. OCTOBER 1942 5. SEPTEMBER 1942 6. PRIOR TO SEPTEMBER 1942 0. NO ANSWER 
Q.2. HOW DID YOU COME INTO THE ARMY*  1. I WAS DRAFTED 2. I VOLUNTEERED 3. I WAS IN THE NATIONAL GUARD 0. NO ANSWER 
"Q.3. AT THE TIME YOU CAME INTO THE ARMY DID YOU THINK YOU SHOULD HAVE BEEN DEFERRED*  1. NO 2. YES (DEPENDENTS WHO NEEDED MY SUPPORT, THE IMPORTANCE OF MY JOB, MY PHYSICAL CONDITION WAS NOT GOOD, OTHER REASONS) 3. NO ANSWER 0. NO CODE OR NO DATA "
Q.4. ARE YOU*  1. SINGLE 2. MARRIED 3. DIVORCED 4. SEPARATED 5. WIDOWED 0. NO ANSWER 
"Q.5A. WITH GERMANY*  01. LESS THAN A YEAR OR JUST ""1943"" - NOT OVER A YEAR 02. ONE YEAR - ABOUT A YEAR 03. OVER ONE YEAR BUT LESS THAN TWO, OR JUST ""1944"" - AT LEAST A YEAR 04. TWO YEARS 05. OVER TWO YEARS BUT LESS THAN THREE, OR JUST ""1945"" - AT LEAST TWO YEARS 06. THREE YEARS 07. OVER THREE YEARS 08. INDEFINITE ANSWER INDICATING A SHORT TIME - E.G. ""NOT LONG"" 09. INDEFINITE ANSWER INDICATING A LONG TIME - E.G. ""SEVERAL YEARS YET"" 10. INDEFINITE ANSWER WITH NO INDICATION OF TIME - E.G. ""WILL LAST UNTIL WE STOP IT"" 11. DON,T KNOW, UNDECIDED 00. NO ANSWER "
"Q.5B. WITH JAPAN*  01. LESS THAN A YEAR OR JUST ""1943"" - NOT OVER A YEAR 02. ONE YEAR - ABOUT A YEAR 03. OVER ONE YEAR BUT LESS THAN TWO, OR JUST ""1944"" - AT LEAST A YEAR 04. TWO YEARS 05. OVER TWO YEARS BUT LESS THAN THREE, OR JUST ""1945"" - AT LEAST TWO YEARS 06. THREE YEARS 07. OVER THREE YEARS 08. INDEFINITE ANSWER INDICATING A SHORT TIME - E.G. ""NOT LONG"" 09. INDEFINITE ANSWER INDICATING A LONG TIME - E.G. ""SEVERAL YEARS YET"" 10. INDEFINITE ANSWER WITH NO INDICATION OF TIME - E.G. ""WILL LAST UNTIL WE STOP IT"" 11. DON,T KNOW, UNDECIDED 00. NO ANSWER "
Q.6. HOW LONG HAVE YOU BEEN IN THIS CAMP*  1. 0-4 DAYS 2. 5-7 DAYS 3. 8-9 DAYS 4. 10-14 DAYS 5. 15-21 DAYS 6. 22-30 DAYS 7. OVER 30 DAYS 8. NO ANSWER 0. NO CODE OR NO DATA 
"Q.7. ARE THE SPORTS AND ATHLETIC PROGRAMS IN YOUR CAMP WELL ARRANGED*  1. YES, VERY WELL 2. YES, FAIRLY WELL 3. NO, POORLY 4. NO, VERY POORLY 5. UNDECIDED 0. NO ANSWER "
"Q.8. HOW DO YOU FEEL ABOUT ARMY FOOD*  1. IT IS GOOD QUALITY, AND WELL PREPARED 2. IT IS GOOD QUALITY, BUT POORLY PREPARED 3. IT IS POOR QUALITY, BUT WELL PREPARED 4. IT IS POOR QUALITY, AND POORLY PREPARED 5. UNDECIDED 0. NO ANSWER "
