CARD.  1. CARD ONE 
DECK.  035. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. REGULAR FORM 2. A FORM 0. NO CODE OR NO DATA 
Q.1. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  1. 19 YEARS OR YOUNGER 2. 20 TO 24 YEARS 3. 25 TO 29 YEARS 4. 30 TO 34 YEARS 5. 35 TO 37 YEARS 6. 38 AND OVER 7. NO ANSWER 0. NO CODE OR NO DATA 
Q.2. HOW FAR DID YOU GO IN SCHOOL*  1. LESS THAN 6TH GRADE 2. FINISHED 7TH GRADE 3. FINISHED 8TH GRADE 4. SOME HIGH SCHOOL OR TRADE SCHOOL 5. GRADUATED FROM HIGH SCHOOL 6. SOME COLLEGE BUT DID NOT FINISH 7. GRADUATED FROM COLLEGE 8. NO ANSWER 0. NO CODE OR NO DATA 
Q.3. HOW DID YOU GO INTO THE ARMY*  1. DRAFTED THROUGH SELECTIVE SERVICE 2. VOLUNTEER THROUGH SELECTIVE SERVICE 3. VOLUNTEER IN THE REGULAR ARMY 4. MEMBER OF THE NATIONAL GUARD 5. NO ANSWER 0. NO CODE OR NO DATA 
"Q.4. IN WHAT STATE OF THE UNITED STATES DID YOU SPEND MOST OF THE PAST FIVE YEARS OF YOUR CIVILIAN LIFE* E. SECTION:  01. NEW ENGLAND: CONNECTICUT, MAINE, MASSACHUSETTS, NEW HAMPSHIRE, RHODE ISLAND, VERMONT 02. MIDDLE ATLANTIC: NEW JERSEY, NEW YORK, PENNSYLVANIA 03. EAST NORTH CENTRAL: ILLINOIS, INDIANA, MICHIGAN, OHIO, WISCONSIN 04. WEST NORTH CENTRAL: IOWA, KANSAS, MINNESOTA MISSOURI, NEBRASKA, NORTH DAKOTA, SOUTH DAKOTA 05. SOUTH ATLANTIC: DELAWARE, DISTRICT OF COLUMBIA FLORIDA, GEORGIA, MARYLAND, NORTH CAROLINA, SOUTH CAROLINA, VIRGINIA, WEST VIRGINIA 06. EAST SOUTH CENTRAL: ALABAMA, KENTUCKY, MISSISSIPPI, TENNESSEE 07. WEST SOUTH CENTRAL: ARKANSAS, LOUISIANA, OKLAHOMA, TEXAS 08. MOUNTAIN: ARIZONA, COLORADO, IDAHO, MONTANA, NEVADA, NEW MEXICO, UTAH, WYOMING 09. PACIFIC CALIFORNIA, OREGON, WASHINGTON 10. FOREIGN - U.S. POSSESSION 11. FOREIGN - NOT U.S. POSSESSION 12. U.S. - STATE NOT SPECIFIED 00. NO ANSWER "
"Q.5. WHERE DID YOU LIVE FOR MOST OF THE PAST FIVE YEARS BEFORE YOU ENTERED THE ARMY*  1. ON A FARM OR IN THE COUNTRY 2. IN A TOWN WITH FEWER THAN 2,500 PEOPLE 3. IN A CITY BETWEEN 2,500 AND 25,000 PEOPLE 4. IN A CITY BETWEEN 25,000 AND 100,000 PEOPLE 5. IN A CITY WITH MORE THAN 100,000 PEOPLE 6. NO ANSWER 0. NO CODE OR NO DATA "
Q.6. WHAT IS YOUR RANK OR GRADE*  1. PRIVATE OR PRIVATE FIRST CLASS 2. CORPORAL OR TECHNICIAN 5TH GRADE 3. SERGEANT ANY GRADE OR TECHNICIAN 3RD OR 4TH GRADE 4. NO ANSWER 0. NO CODE OR NO DATA 
"Q.7. HOW LONG HAVE YOU BEEN IN THE ARMY* E. IF YOU HAVE SERVED PREVIOUSLY IN THE ARMY, PUT DOWN THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. IF YOU WERE A NATIONAL GUARDSMAN, GIVE THE LENGTH OF TIME SINCE YOUR OUTFIT ENTERED THE ARMY.  1. 3 MONTHS OR LESS 2. MORE THAN 3 MONTHS UP TO 6 MONTHS 3. MORE THAN 6 MONTHS UP TO A YEAR 4. OVER A YEAR 5. NO ANSWER 0. NO CODE OR NO DATA "
