CARD.  1. CARD ONE 
DECK.  133. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. FORM A 2. FORM B 
Q.1A. WHAT IS YOUR ARMY RANK OR GRADE*  01. PRIVATE 02. PRIVATE FIRST CLASS 03. TECHNICIAN 5TH GRADE 04. CORPORAL 05. TECHNICIAN 4TH GRADE 06. SERGEANT 07. TECHNICIAN 3RD GRADE 08. STAFF SERGEANT 09. TECHNICAL SERGEANT 10. MASTER SERGEANT OR FIRST SERGEANT 00. NO ANSWER 
Q.1B. HOW LONG HAVE YOU HELD YOUR PRESENT RANK*  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 9 MONTHS 4. OVER 9 MONTHS UP TO 1 YEAR 5. OVER 1 YEAR UP TO 18 MONTHS 6. OVER 18 MONTHS UP TO 2 YEARS 7. OVER 2 YEARS UP TO 3 YEARS 8. OVER 3 YEARS 0. NO ANSWER 
Q.2. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  01. 18 YEARS OR YOUNGER 02. 19 YEARS 03. 20 04. 21 05. 22 06. 23 07. 24 08. 25 09. 26-29 YEARS 10. 30-34 YEARS 11. 35 YEARS AND OVER 00. NO ANSWER 
Q.3. HOW FAR DID YOU GO IN SCHOOL*  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL (BUSINESS COLLEGE) 7. SOME COLLEGE BUT DID NOT FINISH (JUNIOR COLLEGE) 8. GRADUATED FROM COLLEGE 0. NO ANSWER X. QUESTIONS 4 AND 5 CODED TOGETHER. 
"Q.4. ARE YOU SINGLE, MARRIED, DIVORCED OR SEPARATED, OR WIDOWED* F. IF MARRIED:  Q.5. WERE YOU MARRIED BEFORE OR AFTER ENTERING THE ARMY*  1. SINGLE 2. DIVORCED OR SEPARATED 3. WIDOWED 4. MARRIED BEFORE ENTERING THE ARMY 5. MARRIED AFTER ENTERING THE ARMY 0. NO ANSWER "
"Q.6. HOW MANY CHILDREN DO YOU HAVE*  1. HAVE ONE CHILD 2. HAVE TWO CHILDREN 3. HAVE THREE OR MORE CHILDREN 4. HAVE NO CHILDREN 5. I,M NOT MARRIED 0. NO ANSWER "
"Q.7. HOW DID YOU COME INTO THE ARMY*  1. I WAS DRAFTED 2. I VOLUNTEERED 3. I WAS IN THE NATIONAL GUARD 4. OTHER (ENLISTED RESERVE CORPS, REGULAR ARMY RESERVE, RESERVE OFFICER TRAINING CORPS, ETC.) 0. NO ANSWER "
