CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8A.,Q.8B.,Q.10A.,Q.10B.,Q.10C.,Q.13.,Q.14A.,Q.14B.,Q.15.,Q.17.,Q.18.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26A.,Q.26B.,Q.27.,Q.1..1,Q.2..1,Q.3..1,Q.4..1,Q.5..1,Q.6..1,Q.7..1,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13..1,Q.14.,Q.15..1,Q.16.,Q.17..1,Q.18..1,Q.19.,Q.20..1,Q.21..1,Q.22..1,Q.23..1,Q.24..1,Q.25..1,Q.26.,Q.27..1,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.82.,Q.83.,Q.84.,Q.85.,Q.86.,Q.87.,Q.88.,Q.1..2,Q.2..2,Q.3..2,Q.4..2,Q.5..2,Q.6..2,Q.7..2,Q.8..1,V.9F.,Q.1..3,Q.4..3,Q.6..3,Q.7..3,Q.8..2,Q.9..1,Q.10..1,V.11.,V.12.
1,234,11,2,4,2,4,7,0,0,0,0,0,1,4,1,2,1,1,1,4,4,3,3,1,2,1,2,2,2,1,1,0,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,1,2,1,1,2,1,1,2,1,2,2,2,1,1,1,2,2,2,234,11,2,2,1,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,5,3,3,1,3,4,1,0,4,9
1,234,12,2,4,1,4,8,5,15,3,2,4,2,0,0,2,1,1,2,4,4,3,3,1,1,2,1,1,2,1,1,2,2,0,2,1,2,2,1,1,0,2,2,2,0,1,1,2,1,2,1,1,2,1,1,2,1,0,2,2,2,2,1,2,2,2,2,2,1,2,2,0,2,2,234,12,2,1,1,0,1,1,1,1,1,2,2,2,1,1,1,2,0,1,2,2,1,2,2,2,1,0,1,1,0,1,1,2,0,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2,6,6,3,3,2,2,4,1,2,3,24
1,234,13,2,3,2,3,6,5,9,2,2,4,1,1,3,2,1,1,1,6,1,3,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,234,13,2,2,1,2,2,2,1,0,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,5,3,3,2,3,4,1,2,2,50
1,234,14,2,2,4,3,7,5,2,2,1,5,1,1,1,2,1,1,1,6,1,3,2,1,3,1,2,2,1,1,1,1,2,1,1,2,1,1,2,1,1,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,2,234,14,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,2,1,2,2,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,10,3,3,2,2,4,1,2,2,14
1,234,15,2,3,1,3,8,4,3,3,2,1,2,0,0,2,1,1,2,5,1,3,2,1,3,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,1,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,234,15,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,1,1,2,2,1,2,1,1,2,2,1,2,2,0,2,2,5,6,3,3,2,3,4,1,1,6,22
1,234,16,2,4,2,4,6,5,9,1,2,1,2,0,0,2,1,1,1,5,1,3,3,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,234,16,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,5,8,3,3,2,2,4,1,3,1,2
1,234,17,2,3,3,2,8,5,9,1,2,1,1,1,3,2,1,1,2,4,1,1,3,2,4,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,234,17,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,0,2,2,1,7,3,3,2,3,4,1,2,7,18
1,234,18,2,3,4,3,6,5,3,3,1,5,1,2,2,2,1,1,1,6,1,2,3,2,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,2,2,0,2,1,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,234,18,2,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,1,2,1,2,2,1,2,1,2,2,2,1,7,3,3,1,3,4,1,2,6,35
1,234,19,2,3,3,3,8,5,14,3,2,4,2,0,0,1,3,1,3,4,1,3,2,2,2,2,1,1,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1,1,1,0,2,234,19,2,1,0,0,2,2,2,2,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,0,0,0,0,2,1,1,0,2,2,1,2,1,2,2,2,2,1,1,2,1,2,2,2,1,2,3,5,9,3,3,2,2,4,1,1,5,1
1,234,20,2,3,2,3,7,5,3,3,2,1,1,2,3,1,1,1,3,6,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,1,1,2,2,1,1,2,234,20,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1,2,2,1,2,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,3,1,0,3,3,1,8,3,3,2,2,4,1,2,6,7
1,234,21,2,3,4,3,8,5,2,2,2,1,2,0,0,2,1,1,1,6,1,2,0,0,0,0,1,1,2,1,2,2,1,2,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,1,2,1,1,2,1,2,1,1,1,1,1,1,2,234,21,2,1,1,2,1,1,2,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,1,1,1,2,5,9,3,3,2,2,4,1,1,2,41
1,234,22,2,4,3,3,8,6,9,1,2,4,1,1,3,2,1,1,4,4,1,3,3,3,5,2,3,2,3,3,1,2,2,1,1,2,1,2,2,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,234,22,2,1,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,3,2,2,4,4,3,3,2,2,4,1,2,1,39
1,234,23,2,2,3,2,7,4,4,2,1,5,1,2,1,2,1,1,1,5,2,3,3,1,3,2,1,1,2,1,1,2,2,2,1,1,2,1,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,2,1,1,2,1,2,1,1,1,1,2,1,1,2,234,23,2,1,1,2,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,2,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,2,1,3,2,1,7,3,3,1,2,4,1,2,6,38
1,234,24,2,2,4,3,7,5,4,2,1,5,1,2,1,2,1,1,2,6,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,1,1,1,2,2,2,2,1,2,1,1,2,1,1,1,2,2,1,1,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,234,24,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2,1,1,2,2,1,8,3,3,1,2,4,1,2,2,38
1,234,25,2,3,3,2,7,5,4,2,1,5,1,2,3,1,1,1,3,6,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,2,234,25,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,8,3,3,2,2,4,1,2,6,51
1,234,26,2,3,4,3,5,5,3,3,1,5,1,2,2,2,1,1,2,5,1,1,2,2,2,2,1,1,3,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,2,0,1,2,234,26,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,4,3,3,2,2,4,1,2,6,48
1,234,27,2,3,1,3,8,5,6,2,2,4,1,2,1,2,1,1,2,3,1,3,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,234,27,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,9,3,3,1,3,4,1,2,4,27
1,234,28,2,3,2,3,7,5,3,3,2,1,2,0,0,2,1,1,1,6,1,3,2,3,5,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,2,234,28,2,2,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2,5,10,3,3,1,3,4,1,2,6,59
1,234,29,2,2,3,3,8,6,2,2,2,4,1,3,2,0,1,1,1,3,1,3,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,1,1,2,1,2,2,2,1,2,1,2,1,2,234,29,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,2,2,1,2,2,1,2,2,2,10,3,3,2,4,4,1,2,2,30
1,234,30,2,3,1,3,6,6,3,3,2,4,2,0,0,2,1,1,1,6,0,3,2,2,2,1,1,2,2,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,1,2,234,30,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,5,10,3,3,2,4,4,1,1,6,43
1,234,31,2,2,2,2,7,5,3,3,1,5,2,0,0,2,1,1,2,4,2,3,2,2,2,2,3,3,2,1,2,2,1,2,1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,234,31,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,2,2,5,0,2,3,1,4,4,1,2,6,25
1,234,32,2,2,3,2,7,5,2,2,2,4,1,2,1,2,1,1,2,6,2,3,1,2,2,1,1,1,2,1,2,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,0,1,1,1,1,1,1,2,234,32,2,1,1,2,1,1,0,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,2,1,1,1,1,2,0,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,3,2,1,7,3,3,1,3,3,1,2,2,5
1,234,33,2,3,3,3,7,5,2,2,1,5,1,2,1,3,1,1,3,6,2,3,3,2,4,2,0,2,2,1,1,2,1,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,0,1,2,1,2,1,2,0,2,2,1,1,2,234,33,2,1,1,2,1,1,1,0,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,2,0,1,2,0,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,7,2,3,1,3,4,1,2,2,47
1,234,34,2,2,1,2,6,3,3,3,2,4,2,0,0,2,1,1,2,5,1,1,1,2,2,2,1,1,2,1,2,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,1,2,1,2,2,0,1,1,1,2,2,2,2,1,1,2,1,2,2,1,2,1,1,0,1,2,234,34,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,1,1,1,2,2,0,2,2,1,1,1,2,2,2,0,0,2,2,2,2,2,1,1,3,3,5,8,3,3,1,3,4,1,2,6,12
1,234,35,2,2,2,3,7,5,4,2,1,5,1,1,3,2,1,1,2,1,4,3,3,2,5,1,1,1,3,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,234,35,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,3,2,2,2,9,3,3,2,4,4,1,0,6,52
1,234,36,2,3,1,3,6,6,2,2,2,4,1,1,1,2,1,1,3,6,1,1,3,1,3,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,2,234,36,2,1,1,1,1,2,2,2,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,2,2,1,6,2,3,1,3,4,1,2,2,16
1,234,37,2,3,2,3,5,5,3,3,2,4,1,3,2,2,1,1,2,6,1,3,3,1,3,1,2,2,1,1,2,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,1,2,2,2,1,1,2,1,2,2,1,2,1,2,1,2,1,1,1,1,2,2,1,2,2,1,1,2,234,37,2,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,6,3,3,0,3,4,1,2,6,55
1,234,38,2,3,1,2,6,4,3,0,2,4,2,0,0,2,1,1,2,4,1,1,3,1,3,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,2,2,1,2,234,38,2,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,6,10,2,3,1,3,4,1,2,6,36
1,234,39,2,2,3,2,8,5,4,2,2,4,2,0,0,2,1,2,2,6,0,3,2,1,2,2,2,3,3,1,2,2,2,2,1,1,2,2,1,1,1,2,2,1,2,1,2,1,1,2,1,2,2,2,1,2,2,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,2,234,39,2,2,1,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,0,2,2,5,5,2,3,1,3,4,1,2,6,13
1,234,40,2,2,3,4,8,5,4,2,2,4,2,0,0,2,1,1,2,5,1,3,2,1,1,2,2,2,3,1,1,2,2,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,234,40,2,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,5,4,3,3,2,4,4,1,2,6,37
1,234,41,2,3,3,4,8,5,3,1,2,1,2,0,0,2,1,1,1,5,4,3,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,234,41,2,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,3,2,5,5,3,3,2,2,4,1,1,7,21
1,234,42,2,4,3,4,8,5,3,3,1,5,2,0,0,2,1,1,1,5,1,1,2,1,1,1,1,3,3,1,1,1,2,0,1,2,2,1,2,1,1,1,0,2,0,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,2,2,1,1,2,1,1,2,234,42,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,1,2,1,0,1,1,0,1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,1,2,1,0,0,2,6,6,1,3,2,1,4,1,2,6,19
1,234,43,2,3,1,2,7,5,0,3,2,4,1,2,1,2,1,1,1,6,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,2,2,1,1,2,2,1,1,2,234,43,2,1,1,1,2,1,1,0,1,2,2,2,2,1,1,2,1,1,2,2,1,2,2,1,1,2,1,1,1,1,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,1,1,2,1,0,2,2,1,6,3,3,1,3,3,1,2,2,2
