CARD.  1. CARD ONE 
DECK.  157. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. S-157E - ENLISTED MEN 2. S-157O - OFFICERS *****************************PART I*****************************
Q.1. WHAT IS YOUR ARMY RANK OR GRADE*  01. PRIVATE 02. PRIVATE FIRST CLASS 03. TECHNICIAN 5TH GRADE 04. CORPORAL 05. TECHNICIAN 4TH GRADE 06. BUCK SERGEANT 07. TECHNICIAN 3RD GRADE 08. STAFF SERGEANT 09. TECHNICAL SERGEANT 10. MASTER SERGEANT OR 1ST SERGEANT 11. OTHER 00. NO ANSWER 
Q.2. HOW LONG HAVE YOU HELD YOUR PRESENT RANK*  01. 1 MONTH OR LESS 02. OVER 1 MONTH UP TO 2 MONTHS 03. OVER 2 MONTHS UP TO 3 MONTHS 04. OVER 3 MONTHS UP TO 4 MONTHS 05. OVER 4 MONTHS UP TO 5 MONTHS 06. OVER 5 MONTHS UP TO 6 MONTHS 07. OVER 6 MONTHS UP TO 9 MONTHS 08. OVER 9 MONTHS UP TO 1 YEAR 09. OVER 1 YEAR UP TO 18 MONTHS 10. OVER 18 MONTHS UP TO 2 YEARS 11. OVER 2 YEARS 00. NO ANSWER 
Q.3. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  01. 18 YEARS OR YOUNGER 02. 19 03. 20 04. 21 05. 22 06. 23 07. 24 08. 25 09. 26-29 YEARS 10. 30-34 YEARS 11. 35 YEARS AND OLDER 00. NO ANSWER 
Q.4. ARE YOU:  1. SINGLE 2. MARRIED 3. DIVORCED OR SEPARATED 4. WIDOWED 0. NO ANSWER 
"Q.5. HOW MANY CHILDREN DO YOU HAVE*  1. HAVE ONE CHILD 2. HAVE TWO CHILDREN 3. HAVE THREE OR MORE CHILDREN 4. HAVE NO CHILDREN 5. I,M NOT MARRIED 0. NO ANSWER "
"Q.6. IS YOUR WIFE LIVING AT OR NEAR THIS ARMY POST*  1. YES 2. NO 3. I,M NOT MARRIED 0. NO ANSWER "
Q.7. HOW FAR DID YOU GO IN SCHOOL*  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 0. NO ANSWER 
