CARD.  1. CARD ONE 
DECK.  192. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. S-192A 2. S-192B 
Q.1. WHAT IS YOUR PRESENT GRADE*  1. SECOND LIEUTENANT 2. FIRST LIEUTENANT 3. CAPTAIN OR HIGHER 0. NO ANSWER 
Q.2. HOW MANY MONTHS HAVE YOU BEEN IN YOUR PRESENT GRADE*  ANP 01. 1 MONTH . . . 99. 99 MONTHS OR MORE 00. NO ANSWER 
Q.3. HOW LONG HAVE YOU BEEN IN THE ARMY*  1. LESS THAN 6 MONTHS 2. 6 MONTHS TO 12 MONTHS 3. 12 MONTHS TO 18 MONTHS 4. 18 MONTHS TO 24 MONTHS 5. 24 MONTHS TO 36 MONTHS 6. OVER 36 MONTHS 0. NO ANSWER 
Q.4. HOW LONG HAVE YOU BEEN OVERSEAS IN THE ARMY* (COUNT FROM THE TIME YOU SAILED FROM THE MAINLAND.)  1. LESS THAN 6 MONTHS 2. 6 MONTHS TO 12 MONTHS 3. 12 MONTHS TO 18 MONTHS 4. 18 MONTHS TO 24 MONTHS 5. 24 MONTHS TO 30 MONTHS 6. 30 MONTHS TO 36 MONTHS 7. OVER 36 MONTHS 0. NO ANSWER 
Q.5. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  1. UNDER 25 YEARS 2. 25 TO 29 YEARS 3. 30 YEARS OR MORE 0. NO ANSWER 
"Q.6. IN GENERAL, WHAT SORT OF TIME DO YOU HAVE IN THE ARMY*  1. I HAVE A PRETTY GOOD TIME 2. IT,S ABOUT FIFTY-FIFTY 3. I HAVE A PRETTY ROTTEN TIME 0. NO ANSWER "
"Q.7. ON THE WHOLE, HOW DO YOU FEEL ABOUT THE ARMY*  1. I LIKE THE ARMY VERY MUCH 2. I LIKE IT FAIRLY WELL 3. I RATHER DISLIKE IT 4. I DISLIKE THE ARMY VERY MUCH 0. NO ANSWER "
"Q.8. ON THE WHOLE, HOW IS THE MORALE OF THE NURSES IN YOUR HOSPITAL OR ORGANIZATION*  1. VERY HIGH 2. FAIRLY HIGH 3. JUST SO-SO 4. FAIRLY LOW 5. VERY LOW 0. NO ANSWER "
