CARD.  1. CARD ONE 
DECK.  186. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
Q.1. WHAT IS YOUR RANK OR GRADE*  1. PRIVATE 2. PRIVATE FIRST CLASS 3. CORPORAL OR TECHNICIAN 5TH GRADE 4. SERGEANT (ANY GRADE) OR TECHNICIAN 3RD OR 4TH GRADE 0. NO ANSWER 
"Q.2. HOW LONG HAVE YOU BEEN IN THE ARMY* E. IF YOU HAVE SERVED PREVIOUSLY IN THE ARMY, CHECK THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. IF YOU WERE A NATIONAL GUARDSMAN GIVE THE LENGTH OF TIME SINCE YOUR OUTFIT ENTERED THE ARMY.  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 1 YEAR 4. OVER 1 YEAR UP TO 2 YEARS 5. 2 YEARS UP TO 3 YEARS 6. MORE THAN 3 YEARS 0. NO ANSWER "
"Q.3. ARE YOU:  1. SINGLE 2. MARRIED 3. WIDOWED, DIVORCED, OR SEPARATED 0. NO ANSWER "
Q.4. IN WHICH STATE WERE YOU BORN*  01. ORIGINAL CODE OF 1 02. ORIGINAL CODE OF 2 03. ORIGINAL CODE OF 3 04. ORIGINAL CODE OF 4 05. ORIGINAL CODE OF 5 06. ORIGINAL CODE OF 6 07. ORIGINAL CODE OF 7 08. ORIGINAL CODE OF 8 09. ORIGINAL CODE OF 9 10. ORIGINAL CODE OF 0 11. ORIGINAL CODE OF X 12. ORIGINAL CODE OF V X. CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS. 
Q.5. WHEN WERE YOU BORN*  1. APRIL 1926 OR LATER - 18 YEARS OR YOUNGER 2. APRIL 1925 TO MARCH 1926 - 19 YEARS 3. APRIL 1924 TO MARCH 1925 - 20 YEARS 4. APRIL 1923 TO MARCH 1924 - 21 YEARS 5. APRIL 1920 TO MARCH 1923 - 22-24 YEARS 6. APRIL 1915 TO MARCH 1920 - 25-29 YEARS 7. APRIL 1910 TO MARCH 1915 - 30-34 YEARS 8. MARCH 1910 OR EARLIER - 35 YEARS OR MORE 0. NO ANSWER 
Q.6. HOW FAR DID YOU GO IN SCHOOL BEFORE ENTERING THE ARMY*  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 0. NO ANSWER 
Q.7. WHAT BRANCH OF THE ARMY ARE YOU IN NOW*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY 09. ANTI-AIRCRAFT 10. AIR CORPS 11. TRANSPORTATION CORPS 12. ORDNANCE DEPARTMENT 13. CHEMICAL WARFARE SERVICE 14. MILITARY POLICE 15. TANK DESTROYER 16. OTHER 00. NO ANSWER 
"Q.8. HOW DO YOU SIZE UP THE WAR AHEAD IN THE PACIFIC - HAVE WE ALREADY DONE MOST OF THE JOB OR DO WE STILL HAVE THE HARDEST PART OF THE JOB AHEAD OF US*  1. WE HAVE ALREADY PRACTICALLY WON THE WAR AGAINST JAPAN 2. WE STILL HAVE A BIG JOB AHEAD, BUT IT SHOULDN,T BE SO VERY TOUGH 3. WE STILL HAVE TO FACE A HARD STRUGGLE IN WHICH AMERICA WILL SUFFER GREAT LOSSES IN MEN AND MATERIALS 0. NO ANSWER "
"Q.9. SOME PEOPLE HAVE SAID THAT THE JOB OF DEFEATING JAPAN WILL TAKE AT LEAST TWO YEARS AFTER GERMANY,S DEFEAT. DO YOU AGREE OR DISAGREE WITH THIS*  1. I AGREE, IT WILL TAKE TWO YEARS OR MORE 2. I DISAGREE 0. NO ANSWER X. QUESTION 10 NOT CODED. "
"Q.11. WHAT IS YOUR GUESS AS TO HOW LONG IT WILL PROBABLY TAKE US TO BEAT JAPAN AFTER GERMANY,S DEFEAT*  01. LESS THAN 6 MONTHS 02. 6 MONTHS UP TO 1 YEAR 03. 1 YEAR UP TO 1 1/2 YEARS 04. 1 1/2 YEARS UP TO 2 YEARS 05. 2 YEARS UP TO 2 1/2 YEARS 06. 2 1/2 YEARS UP TO 3 YEARS 07. 3 YEARS UP TO 4 YEARS 08. 4 YEARS UP TO 5 YEARS 09. 5 YEARS OR MORE 10. INDEFINITE OR INDETERMINATE 00. NO ANSWER "
Q.12. WHAT IS THE VERY LONGEST YOU THINK JAPAN MIGHT HOLD OUT AGAINST US*  01. LESS THAN 6 MONTHS 02. 6 MONTHS UP TO 1 YEAR 03. 1 YEAR UP TO 1 1/2 YEARS 04. 1 1/2 YEARS UP TO 2 YEARS 05. 2 YEARS UP TO 2 1/2 YEARS 06. 2 1/2 YEARS UP TO 3 YEARS 07. 3 YEARS UP TO 4 YEARS 08. 4 YEARS UP TO 5 YEARS 09. 5 YEARS OR MORE 10. INDEFINITE OR INDETERMINATE 00. NO ANSWER 
Q.13. WHAT IS YOUR OPINION OF THE FIGHTING ABILITY OF THE AVERAGE JAP SOLDIER - IS HE HARD TO DEFEAT OR EASY TO DEFEAT*  1. VERY HARD TO DEFEAT 2. FAIRLY HARD TO DEFEAT 3. FAIRLY EASY TO DEFEAT 4. VERY EASY TO DEFEAT 0. NO ANSWER 
