CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.4..1,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15A.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33A.,Q.34.,Q.35A.,Q.36.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45A.,Q.46A.,Q.47.,Q.48A.,Q.49.,Q.50.,Q.51A.,Q.52A.,Q.53.,Q.54.,V.58.,V.59.
1,174,1,1,0,5,7,72,4,4,3,4,2,3,4,5,4,4,2,2,1,1,4,3,4,4,4,4,2,1,5,0,2,3,2,6,4,2,5,4,2,3,3,6,3,4,2,5,3,2,1,2,1,2,1,3,4,5,38
1,174,2,2,9,2,4,43,4,2,3,4,1,4,3,3,3,3,1,1,1,1,4,4,2,2,2,3,1,1,1,2,2,0,3,2,2,2,5,4,1,2,2,3,1,2,4,5,1,2,1,2,2,1,1,3,3,5,60
1,174,3,2,11,3,7,74,4,3,3,4,1,1,3,3,5,3,4,2,1,1,4,4,3,5,3,3,1,2,4,2,0,1,3,0,4,2,4,4,0,2,0,6,1,0,0,5,0,2,1,1,2,3,1,3,2,5,37
1,174,4,0,9,2,7,74,5,3,3,0,3,3,5,5,5,3,4,2,1,1,4,4,5,3,3,3,1,3,3,2,2,1,2,3,3,1,4,4,1,3,3,3,2,2,4,5,3,2,1,2,2,2,1,1,2,5,53
1,174,5,3,11,1,4,41,5,3,3,4,2,4,4,5,2,5,1,2,3,1,5,1,2,5,3,3,2,1,4,2,1,3,0,3,1,1,2,4,1,1,2,3,2,2,3,4,3,2,1,1,1,1,1,2,2,5,98
1,174,6,5,8,6,7,72,3,4,3,1,2,1,2,5,2,1,2,2,0,0,5,2,2,2,2,5,3,1,1,2,2,3,3,6,2,2,5,4,1,1,2,3,2,1,4,5,4,2,1,1,1,2,3,1,1,5,77
1,174,7,1,6,3,7,72,5,3,3,4,3,3,5,5,4,3,1,1,1,1,5,3,5,1,4,4,1,2,2,2,2,3,3,6,5,2,5,4,4,3,3,3,1,3,1,4,4,3,1,4,4,3,3,3,4,5,74
1,174,8,2,8,1,5,56,1,3,3,4,3,4,5,5,2,4,4,1,1,1,5,3,4,5,3,4,1,1,3,2,1,3,3,2,5,2,5,4,1,3,3,6,1,4,4,5,4,2,4,1,4,3,3,3,3,5,95
1,174,9,2,8,4,5,59,1,3,2,1,2,2,2,3,1,4,2,1,1,2,1,1,2,4,3,3,3,3,4,1,2,3,2,6,5,1,1,4,1,3,3,4,2,3,3,4,1,2,1,1,2,1,1,0,2,5,6
1,174,10,1,7,6,7,74,1,3,2,1,2,1,3,3,3,2,1,1,3,3,1,1,4,2,2,3,1,1,1,2,1,3,2,1,2,2,1,4,1,1,3,4,1,1,4,2,1,1,0,0,0,0,0,0,0,5,17
