CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16A.,Q.16B.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21A....DID,Q.21B....DID,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,CARD..1,DECK..1,BALLOT..1,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.82.,Q.83.,Q.84.,Q.85.,Q.86.,Q.87.,Q.88.,Q.89.,Q.90.,Q.91.,Q.92.,Q.93.,Q.94.,Q.95.,Q.96.,Q.97.,Q.98.,Q.99.,Q.100.,Q.101.,Q.102.,Q.103.,Q.104.,Q.105.,Q.106.,Q.106A.,Q.106B.,Q.106C.,Q.106D.,Q.106E.,Q.106F.,Q.106G.,Q.107.,Q.108.,Q.109.,Q.110.,Q.111.,Q.112.,Q.113.,Q.114.,N.116.,N.117.,N.118.
1,177,1,1,1,4,1,3,1,4,2,4,11,7,2,2,4,7,6,7,3,2,2,1,1,1,1,1,2,3,2,1,1,2,2,4,5,5,1,2,1,2,3,1,3,1,1,4,3,1,8,1,1,2,1,2,4,2,1,2,2,3,3,2,2,0,1,1,2,177,1,1,12,2,2,4,4,3,2,1,2,2,3,2,2,3,1,2,2,2,2,12,5,2,3,2,3,3,3,1,2,1,2,2,2,1,5,2,2,1,1,2,2,2,4,2,4,1,4,4,2,2,3,3,1,3,4,2,2,22,737,0
1,177,2,1,1,4,1,3,4,4,1,4,5,6,1,2,1,6,5,3,3,2,2,1,1,1,2,2,3,5,1,1,1,10,1,2,4,1,3,4,1,3,1,1,5,1,1,1,1,1,3,1,4,1,3,1,1,2,2,1,2,2,2,2,3,3,2,6,2,177,2,3,1,2,2,3,2,4,3,1,1,2,4,4,4,3,3,2,1,3,4,9,1,3,3,3,1,3,3,3,3,2,2,3,2,2,1,2,2,1,3,1,1,3,2,3,2,2,3,3,3,1,4,3,3,3,4,2,1,56,832,0
1,177,3,1,1,4,2,3,5,4,1,3,2,7,8,7,4,7,6,0,3,2,1,1,1,1,1,1,2,5,1,1,1,5,4,1,2,5,2,2,1,4,3,1,2,2,1,2,4,1,12,4,4,2,3,4,5,3,1,2,2,4,1,2,2,1,3,6,2,177,3,4,12,1,2,2,1,1,4,2,1,1,1,4,1,1,1,1,2,2,3,11,5,2,3,3,3,3,3,3,3,2,1,2,2,2,4,2,2,1,1,2,1,1,4,4,4,1,4,4,1,2,3,2,2,3,4,3,2,54,427,0
1,177,4,1,1,4,2,3,5,4,1,4,7,6,3,2,4,6,5,5,3,2,2,6,1,1,1,2,1,5,1,1,1,12,1,1,4,4,1,2,1,2,3,1,3,1,1,1,2,1,5,4,4,1,3,4,1,2,2,1,1,1,1,3,2,1,1,1,2,177,4,2,12,1,1,1,1,1,4,1,1,1,2,1,2,1,2,1,1,4,3,10,5,3,3,3,2,3,4,1,3,2,1,1,2,2,5,2,2,1,1,2,1,2,1,3,3,2,3,3,1,2,2,3,1,3,4,2,1,21,642,0
1,177,5,1,1,4,2,3,4,4,1,3,5,7,2,2,4,5,5,11,3,2,3,1,1,1,2,2,2,5,1,1,1,12,1,2,5,5,2,1,1,2,2,1,2,1,1,3,2,1,4,4,4,2,1,2,3,3,2,3,2,2,3,2,2,2,3,2,2,177,5,4,11,2,1,2,1,1,4,1,1,2,4,4,1,2,1,2,2,2,3,3,5,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,2,1,1,2,1,2,2,1,2,2,3,3,1,2,3,3,1,3,3,3,2,55,758,0
1,177,6,1,1,4,2,3,4,4,1,5,5,4,4,2,4,6,5,6,2,1,5,1,1,1,1,2,1,5,1,1,1,7,1,2,2,3,2,2,1,2,2,1,1,1,1,3,2,1,7,4,4,2,1,1,3,2,1,2,3,5,1,2,2,2,1,5,2,177,6,4,1,1,3,2,3,3,2,1,1,2,5,9,2,2,1,2,1,3,3,7,2,1,1,2,2,3,3,2,2,2,0,3,3,2,1,2,1,5,2,2,2,2,2,1,3,1,3,2,2,3,3,2,3,3,4,1,3,33,689,0
1,177,7,1,1,4,1,3,5,4,1,2,0,6,4,1,1,6,5,0,3,2,1,1,1,1,2,2,2,5,2,1,3,12,0,3,3,5,5,2,1,2,0,2,3,1,5,4,2,1,4,4,4,4,3,3,2,3,2,1,2,2,5,3,2,2,2,5,2,177,7,4,12,2,3,2,2,2,3,2,1,3,3,12,2,2,2,2,2,2,2,1,5,2,3,2,2,2,3,3,0,3,2,2,3,3,6,2,2,2,1,2,1,2,3,3,2,2,3,3,1,2,3,2,2,3,3,2,2,21,654,0
1,177,8,1,1,4,1,3,5,4,1,4,8,7,1,1,4,6,5,8,3,2,2,2,2,1,1,1,2,5,2,1,1,7,1,1,3,5,1,2,4,2,1,2,5,5,1,2,2,1,8,4,4,3,3,4,3,1,2,1,2,3,2,2,1,1,2,5,2,177,8,4,1,2,3,3,2,3,2,1,1,2,4,10,2,1,2,1,2,2,2,4,1,2,2,2,2,1,3,2,3,1,1,1,2,2,1,1,2,1,1,2,1,2,3,3,3,2,2,3,1,2,3,3,2,2,3,1,2,45,888,0
1,177,9,1,1,4,1,3,4,4,1,5,10,7,2,2,4,7,4,6,2,2,1,1,1,1,2,2,2,5,1,1,1,5,1,2,4,1,1,2,1,2,2,3,1,1,1,3,2,1,8,4,4,3,3,4,4,1,2,3,4,4,1,2,2,2,3,5,2,177,9,4,12,2,2,2,2,2,2,1,1,1,5,12,1,1,1,1,3,2,2,12,5,3,3,2,2,2,3,1,2,1,2,2,3,1,6,2,2,1,1,2,1,2,1,1,2,2,1,2,1,3,2,1,1,3,3,3,1,21,459,0
1,177,10,1,1,4,1,3,4,4,1,0,4,6,1,1,4,6,8,0,3,3,0,1,1,1,0,2,1,0,1,1,1,12,1,1,0,3,5,0,0,0,0,0,0,0,1,0,0,0,12,0,5,0,5,5,0,0,3,0,0,0,0,0,0,0,0,0,2,177,10,0,12,0,0,0,0,0,5,6,5,6,6,12,5,6,1,1,4,5,5,12,5,0,0,0,0,4,5,4,0,0,0,0,5,4,7,3,3,1,6,2,1,4,4,4,4,4,4,4,4,2,3,5,5,3,4,2,1,56,838,0
1,177,11,1,1,4,1,3,4,4,1,4,0,7,3,1,4,6,5,0,3,1,5,3,1,1,2,2,2,5,1,1,1,12,4,3,2,4,2,4,1,2,2,1,1,2,1,4,2,1,12,4,4,2,1,4,2,1,3,1,2,1,3,2,1,2,3,6,2,177,11,4,12,1,1,2,1,3,3,1,1,1,3,12,3,1,1,1,2,2,3,12,1,1,2,2,1,1,2,1,3,2,2,1,2,2,6,2,2,1,1,3,2,1,4,1,4,4,4,4,1,2,4,2,3,3,3,3,2,43,628,0
