S0108.CARD.  1. CARD ONE 
S0108.DECK.  108. SURVEY NUMBER 
S0108.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S0108.Q1. WHAT IS YOUR RAC?  1. NEGRO 2. WHITE 3. OTHER 
S0108.Q2. HOW OLD WERE YOU ON YOUR LAST BIRTHDA?  01. 18 YEARS OR YOUNGER 02. 19 YEARS 03. 20 04. 21 05. 22 06. 23 07. 24 08. 25 09. 26-29 YEARS 10. 30-34 YEARS 11. 35 YEARS AND OLDER 00. NO ANSWER 
S0108.Q3. HOW FAR DID YOU GO IN SCHOO?  1. GRADE OR GRAMMAR SCHOOL 2. SOME HIGH SCHOOL BUT DID NOT FINISH 3. GRADUATED FROM HIGH SCHOOL 4. SOME COLLEGE BUT DID NOT FINISH 5. GRADUATED FROM COLLEGE 0. NO ANSWER 
S0108.Q4. ARE YOU:  1. SINGLE 2. MARRIED 3. DIVORCED OR SEPARATED 4. WIDOWED 
"S0108.Q5. WHERE DID YOU LIVE MOST OF THE TIME BEFORE YOU WERE 16 YEARS OL?  1. ON A FARM OR IN THE COUNTRY 2. IN A SMALL TOWN (FEWER THAN 2,500 PEOPLE) 3. IN A TOWN (WITH BETWEEN 2,500 AND 25,000 PEOPLE) 4. IN A CITY (BETWEEN 25,000 AND 100,000 PEOPLE) 5. IN A LARGE CITY (MORE THAN 100,000 PEOPLE) "
"S0108.Q6. UP TO NOW, HOW MANY DIFFERENT STATES OF THE UNITED STATES HAVE YOU BEEN IN TO LIVE OR WOR?  01. ONE STATE 02. TWO 03. THREE 04. FOUR 05. FIVE 06. SIX 07. SEVEN 08. EIGHT 09. NINE 10. TEN STATES 11. MORE THAN TEN STATES 00. NO ANSWER "
S0108.Q7. HOW MANY BROTHERS AND SISTERS OLDER THAN YOU DO YOU HAV?  1. NONE 2. ONE 3. TWO 4. THREE OR MORE 
S0108.Q8. HOW MANY BROTHERS AND SISTERS YOUNGER THAN YOU DO YOU HAV?  1. NONE 2. ONE 3. TWO 4. THREE OR MORE 0. NO ANSWER 
S0108.Q9. HOW MANY JOBS DID YOU HAVE IN THE LAST TWO YEAR?  1. NONE 2. ONE 3. TWO 4. THREE 5. FOUR 6. FIVE 7. SIX OR MORE 
S0108.Q10. HAVE YOU EVER BEEN FIRED OR ASKED TO RESIGN FROM A JO?  1. YES 2. NO 3. I NEVER HAD A JOB 0. NO ANSWER 
"S0108.Q11. ABOUT HOW OFTEN DO YOU GO TO CHURC?  1. ONCE A WEEK, OR MORE 2. TWO OR THREE TIMES A MONTH 3. ABOUT ONCE A MONTH 4. SEVERAL TIMES A YEAR 5. ALMOST NEVER 0. NO ANSWER "
S0108.Q12. WHAT SORT OF A TIME DO YOU HAVE IN GENERA?  1. I HAVE A PRETTY GOOD TIME 2. IT'S ABOUT FIFTY-FIFTY 3. I HAVE A PRETTY ROTTEN TIME 0. NO ANSWER 
"S0108.Q13. DO YOU THINK YOU CAN MAKE GOOD IN THE ARM?  1. I FEEL VERY SURE I CAN MAKE GOOD 2. I THINK I CAN MAKE GOOD, BUT I'M NOT SURE 3. I DON'T THINK I CAN MAKE GOOD 4. UNDECIDED 0. NO ANSWER "
"S0108.Q14. IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS OR IN LOW SPIRIT?  1. I AM USUALLY IN GOOD SPIRITS 2. I AM IN GOOD SPIRITS SOME OF THE TIME AND IN LOW SPIRITS SOME OF THE TIME 3. I AM USUALLY IN LOW SPIRITS "
"S0108.Q15. DO YOU THINK YOU SHOULD HAVE BEEN DEFERRE?  1. YES, BECAUSE OF DEPENDENTS WHO NEED MY SUPPORT 2. YES, BECAUSE OF THE IMPORTANCE OF MY JOB 3. YES, BECAUSE OF MY HEALTH OR PHYSICAL CONDITION 4. YES, BECAUSE OF SOME OTHER REASON 5. TWO OR MORE REASONS CHECKED, ONE OF WHICH IS HEALTH CODE 3 6. TWO OR MORE REASONS CHECKED, NEITHER OF WHICH IS HEALTH CODE 3 7. NO, I DO NOT THINK I SHOULD HAVE BEEN DEFERRED 0. NO ANSWER "
S0108.Q16. ARE YOU EVER WORRIED AND UPSE?  1. I AM HARDLY EVER WORRIED AND UPSET 2. I AM SOMETIMES WORRIED AND UPSET 3. I AM OFTEN WORRIED AND UPSET 
