S100E.CARD.  1. CARD ONE 
S100E.DECK.  100. SURVEY NUMBER 
S100E.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S100E.FORM:  1. S-100A 2. S-100B 3. S-100C 4. S-100D 5. S-10XX 6. S-100F 7. S-100G 
"S100E.Q1. WHAT IS YOUR RANK OR GRAD?  1. PRIVATE 2. PRIVATE FIRST CLASS 3. CORPORAL OR TECHNICAN 5TH GRADE 4. SERGEANT OR TECHNICIAN 4TH GRADE 5. STAFF SERGEANT OR TECHNICIAN 3RD GRADE 6. TECHNICAL SERGEANT, MASTER SERGEANT, OR FIRST SERGEANT 0. NO ANSWER "
S100E.Q2. WHAT BRANCH OF THE ARMY ARE YOU IN NO?  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. OTHER 00. NO ANSWER 
"S100E.Q3. IF YOU HAD A CHOICE, WHICH ONE OF THESE BRANCHES OF THE ARMY WOULD YOU LIKE TO BE I?  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. OTHER 00. NO ANSWER "
S100E.Q4. WHAT MONTH AND YEAR DID YOU JOIN THIS DIVISIO? E. MONTH:  01. JANUARY 02. FEBRUARY 03. MARCH 04. APRIL 05. MAY 06. JUNE 07. JULY 08. AUGUST 09. SEPTEMBER 10. OCTOBER 11. NOVEMBER 12. DECEMBER 00. NO ANSWER E. YEAR: 
S100E.Q4. WHAT MONTH AND YEAR DID YOU JOIN THIS DIVISIO? E. MONTH:  281 1. 1940 OR EARLIER 691 2. 1941 738 3. 1942 230 4. 1943 3 5. 1944 18 6. NO ANSWER 19 0. NO CODE OR NO DATA X. QUESTION 5A NOT CODED. 
S100E.Q5B. ABOUT HOW MANY DAYS ALTOGETHER HAVE YOU BEEN IN COMBAT NOT COUNTING THE DAYS YOU'VE SPENT BACK OF THE LINE OR AWAY FROM THE FRON?  ANP (DAYS) X. QUESTIONS 5C AND 5D NOT CODED. 
S100E.Q6. HOW MUCH OF THE TIME YOU WERE IN COMBAT WERE YOU A MEMBER OF THE COMPANY YOU ARE NOW I?  1. ALL OR MOST OF THE TIME 2. SOME OF THE TIME 3. LITTLE OR NONE OF THE TIME 0. NO ANSWER 
S100E.Q7. ABOUT HOW MANY BATTLE CASUALTIES (KILLED AND WOUNDED) HAS YOUR PRESENT COMPANY HAD SINCE YOU FIRST WENT INTO COMBAT WITH I?  1. MORE THAN HALF OF THE MEN HAVE BEEN CASUALTIES 2. BETWEEN A QUARTER AND A HALF HAVE BEEN CASUALTIES 3. LESS THAN A QUARTER HAVE BEEN CASUALTIES 4. DON'T KNOW 0. NO ANSWER 
S100E.Q8A. HOW MANY OF YOUR PRESENT COMPANY OFFICERS ARE THE SAME OFFICERS YOU HAD WHEN YOU FIRST GOT INTO THE FIGHTIN?  1. ONE 2. TWO 3. THREE 4. FOUR 5. FIVE 6. SIX 7. NONE 0. NO ANSWER 
S100E.Q8B. NOW THINK OF THESE COMPANY OFFICERS YOU HAD WITH YOU WHEN YOU FIRST GOT INTO THE FIGHTING AND WHO ARE STILL IN YOUR OUTFIT. ON THE WHOLE DO YOU HAVE MORE CONFIDENCE OR LESS CONFIDENCE IN THEM AS LEADERS IN BATTLE NOW THAN YOU HAD AT THE BEGINNING OF COMBA?  1. I HAVE MORE CONFIDENCE 2. I HAVE LESS CONFIDENCE 3. I HAVE ABOUT THE SAME AMOUNT OF CONFIDENCE 0. NO ANSWER 
S100E.Q8C. AGAIN THINK OF THESE COMPANY OFFICERS YOU HAD WITH YOU WHEN YOU FIRST GOT INTO THE FIGHTING AND WHO ARE STILL IN YOUR OUTFIT. HOW MANY OF THEM DO YOU HAVE CONFIDENCE IN AS LEADERS IN BATTL?  1. ONE 2. TWO 3. THREE 4. FOUR 5. FIVE 6. SIX 7. NONE 0. NO ANSWER 
"S100E.Q9. DO YOU FEEL PROUD OF YOUR COMPAN?  1. YES, VERY PROUD 2. YES, FAIRLY PROUD 3. NO, NOT PROUD 4. UNDECIDED 0. NO ANSWER "
"S100E.Q10. IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS OR IN LOW SPIRIT?  1. I AM USUALLY IN GOOD SPIRITS 2. I AM IN GOOD SPIRITS SOME OF THE TIME AND IN LOW SPIRITS SOME OF THE TIME 3. I AM USUALLY IN LOW SPIRITS 0. NO ANSWER "
"S100E.Q11. HOW DO YOU FEEL ABOUT THE IMPORTANCE OF THE RIFLEMAN'S JOB IN MODERN BATTL?  1. MORE IMPORTANT THAN MOST ANY OTHER SOLDIER'S JOB 2. IMPORTANT, BUT NO MORE SO THAN MANY OTHERS 3. NOT VERY IMPORTANT COMPARED WITH WHAT OTHER SOLDIERS CAN DO 0. NO ANSWER "
S100E.Q12A. WHAT SORT OF TEAMWORK DID THE MEN IN YOUR COMPANY SHOW IN ACTUAL BATTL?  1. VERY GOOD 2. FAIRLY GOOD 3. NOT VERY GOOD 4. NOT GOOD AT ALL 0. NO ANSWER 
S100E.Q12B. HOW IMPORTANT A PART DO YOU THINK YOUR COMPANY WILL PLAY IN WINNING THE WA?  1. A VERY IMPORTANT PART 2. A FAIRLY IMPORTANT PART 3. NOT A VERY IMPORTANT PART 4. NOT IMPORTANT AT ALL 0. NO ANSWER 
S100E.Q13. DO YOU USUALLY FEEL THAT WHAT YOU ARE DOING IN THE ARMY IS WORTHWHILE OR NO?  1. I USUALLY FEEL IT IS NOT WORTHWHILE 2. I USUALLY FEEL IT IS WORTHWHILE 3. UNDECIDED 0. NO ANSWER 
"S100E.Q14. WHEN YOU WERE FIGHTING IN A PARTICULAR BATTLE, DID YOU EVER HAVE THE FEELING THAT IT WASN'T WORTH THE COS?  1. YES, ALMOST ALWAYS 2. YES, SOMETIMES 3. NO, NEVER 4. UNDECIDED 0. NO ANSWER X. QUESTIONS 15A AND 15B TO BE CODED TOGETHER. "
"S100E.Q15A. DID YOU EVER HAVE ANY CONTACT WITH JAPANESE PRISONER?  Q.15B. HOW DID SEEING JAPANESE PRISONERS MAKE YOU FEEL ABOUT THE JAPANES?  1. I FELT ALL THE MORE LIKE KILLING THEM 2. I FELT THAT THEY ARE MEN JUST LIKE US AND IT IS TOO BAD THAT WE HAVE TO BE FIGHTING THEM 3. I DIDN'T HAVE ANY FEELING ONE WAY OR ANOTHER 4. SOME OTHER FEELING 5. YES TO PART A, BUT NO ANSWER TO PART B 6. NO 0. NO ANSWER "
