S195A.CARD.  1. CARD ONE 
S195A.DECK.  195. SURVEY NUMBER 
S195A.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S195A.FORM:  1. S-195A 2. S-195B 3. S-195C 
S195A.Q1. WHAT IS YOUR ARMY RANK OR GRAD?  1. PRIVATE 2. PRIVATE FIRST CLASS 3. NONCOM (CORPORAL OR ANY GRADE OF SERGEANT OR TECHNICIAN) 4. SOME OTHER RANK OR GRADE 0. NO ANSWER 
S195A.Q2. HOW OLD WERE YOU ON YOUR LAST BIRTHDA?  1. 19 YEARS OR YOUNGER 2. 20 TO 24 YEARS 3. 25 TO 29 YEARS 4. 30 TO 34 YEARS 5. 35 YEARS OR OLDER 0. NO ANSWER 
S195A.Q3. HOW FAR DID YOU GO IN SCHOO?  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 0. NO ANSWER 
S195A.Q4A. DO YOU CONSIDER YOUR OWN PRESENT JOB OR DUTY IN THE ARMY AN IMPORTANT ONE IN THE WAR EFFOR?  1. VERY IMPORTANT 2. PRETTY IMPORTANT 3. NOT SO IMPORTANT 4. NOT IMPORTANT AT ALL 5. UNDECIDED 0. NO ANSWER 
S195A.Q4B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"S195A.Q5A. AFTER THE WAR, DO YOU THINK THE UNITED STATES COULD OR COULD NOT HAVE AN ARMY SUFFICIENT FOR THE COUNTRY'S NEEDS BY TAKING VOLUNTEERS ONL?  1. YES, I THINK IT COULD 2. NO, I THINK IT COULD NOT 3. UNDECIDED 0. NO ANSWER "
S195A.Q5B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"S195A.Q6A. DO YOU AGREE OR DISAGREE WITH THIS STATEMENT: ""THE BEST WAY TO PROTECT THE UNITED STATES AGAINST ANOTHER WAR IS TO MAKE HER SO STRONG MILITARILY THAT NO ONE WOULD DARE TO ATTACK HER.""  1. AGREE 2. DISAGREE 3. UNDECIDED 0. NO ANSWER "
S195A.Q6B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"S195A.Q7A. DO YOU AGREE OR DISAGREE WITH THIS STATEMENT: ""AFTER THE WAR, IT WILL BE NECESSARY FOR THE NATIONAL SAFETY OF THE UNITED STATES TO HAVE A LARGE ARMY.""  1. AGREE 2. DISAGREE 3. UNDECIDED 0. NO ANSWER "
S195A.Q7B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"S195A.Q8A. AFTER THE WAR, DO YOU THINK THE UNITED STATES SHOULD DRAFT ALL YOUNG MEN FOR A CERTAIN AMOUNT OF ARMY TRAINING OR SHOULD WE GO BACK TO THE REGULAR ARMY SYSTEM OF VOLUNTEERS ONL?  1. DRAFT ALL YOUNG MEN FOR A CERTAIN AMOUNT OF TRAINING 2. GO BACK TO TAKING VOLUNTEERS ONLY 3. UNDECIDED 0. NO ANSWER "
S195A.Q8B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
