CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4.,Q.4..1,Q.5B.,Q.6.,Q.7.,Q.8A.,Q.8B.,Q.8C.,Q.9.,Q.10.,Q.11.,Q.12A.,Q.12B.,Q.13.,Q.14.,Q.15A.,Q.16.,Q.17.,Q.18A.,Q.18B.,Q.19.,Q.20A.,Q.20B.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25A.,Q.25B.,Q.26.,Q.27.,Q.28A.,Q.28B.,Q.28C.,Q.29.,Q.30.,Q.31.,Q.32A.,Q.32B.,Q.33.,Q.34.,Q.35A.,Q.35B.,Q.35C.,Q.35D.,Q.35E.,Q.35F.,Q.35G.,Q.35I.,Q.35J.,Q.36.,Q.37.,Q.38A.,Q.38B.,Q.39A.,Q.39B.,Q.39C.,Q.39D.,Q.39E.,Q.39F.,Q.39G.,Q.39H.,CARD..1,DECK..1,BALLOT..1,NA.1,Q.40A.,Q.40B.,Q.40C.,Q.40D.,Q.40E.,Q.41.,Q.42.,Q.43A.,Q.43B.,Q.43C.,Q.43D.,Q.43E.,Q.43F.,Q.43G.,Q.43H.,Q.43I.,Q.43J.,Q.44A.,Q.44B.,Q.45.,Q.46.,Q.48A.,Q.48B.,Q.49A.,Q.49B.,Q.50A.,Q.50B.,Q.50C.,Q.50D.,Q.50E.,Q.51D.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.57B.,Q.57C.,Q.58.,Q.59.,Q.60A.,Q.60B.,Q.61.,Q.62.,Q.63.,Q.63..1,Q.63..2,Q.63..3,Q.63..4,Q.63..5,Q.63..6,Q.63..7,Q.63..8,Q.63..9,Q.63..10,Q.63..11,Q.63..12,Q.63..13,Q.64.,V.66.,V.67.,V.68.
1,100,11,6,4,4,4,1,3,5,3,3,2,1,2,1,1,1,1,2,2,3,1,1,1,2,2,9,2,3,2,3,2,1,1,1,3,2,2,2,3,2,1,1,3,2,1,1,1,1,3,3,3,2,1,3,1,1,2,3,1,2,3,1,4,3,3,2,1,2,100,11,6,1,2,3,1,3,2,1,1,2,4,4,2,4,4,4,4,4,2,2,1,1,1,2,1,3,1,1,1,1,1,2,3,1,7,4,2,1,2,1,3,1,1,4,3,3,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,7,7,12
1,100,12,6,2,4,2,1,2,3,3,4,4,1,5,1,1,1,1,1,0,1,1,1,1,2,2,8,2,0,3,2,1,1,1,1,0,4,1,1,1,4,1,2,3,3,3,1,1,1,0,1,1,1,1,1,1,1,1,3,3,2,2,1,4,3,2,2,1,2,100,12,6,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,2,2,3,1,1,3,2,1,1,1,1,1,1,5,1,1,8,4,2,1,1,1,3,2,1,1,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,6,3,84
1,100,13,6,3,4,3,2,3,3,1,3,2,1,2,2,2,1,1,3,2,1,6,1,1,2,2,8,3,2,2,3,3,2,2,0,2,4,4,2,3,1,1,1,3,3,3,1,1,1,0,0,1,1,2,1,1,1,5,3,1,2,3,1,3,3,2,2,1,2,100,13,6,2,3,2,3,2,2,2,1,2,4,4,2,4,3,4,4,2,2,2,1,1,3,3,1,3,3,5,5,3,2,3,3,1,8,4,2,1,1,1,2,3,2,3,2,4,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,6,4,75
1,100,14,6,2,4,9,9,2,2,1,3,5,1,5,2,3,2,1,2,1,3,1,1,1,2,1,8,3,3,4,6,3,3,2,2,3,2,3,3,3,4,1,1,3,3,3,2,1,1,3,3,3,1,1,3,1,1,1,1,1,3,2,2,3,3,2,2,2,2,100,14,6,0,2,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,2,2,1,2,1,3,1,1,2,1,5,2,1,5,4,1,7,4,2,1,1,0,3,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,55
1,100,15,6,4,4,9,10,1,3,1,3,2,1,2,4,3,1,1,1,2,4,3,1,1,2,2,8,1,1,1,6,3,2,1,1,3,2,3,2,4,2,3,4,3,3,2,2,1,1,1,3,1,1,2,3,1,1,5,3,3,2,2,2,4,3,2,2,1,2,100,15,6,0,0,0,0,2,2,1,3,1,3,3,2,4,3,0,0,4,2,2,1,2,3,3,1,3,5,5,5,5,1,3,1,1,6,4,2,1,2,1,3,1,2,3,4,4,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,7,4,49
1,100,16,6,5,4,8,10,1,4,1,3,2,1,2,1,3,1,1,1,3,2,1,1,2,2,0,0,3,1,1,10,3,3,1,1,2,3,4,2,3,2,3,4,1,2,2,1,1,1,3,3,3,1,3,0,1,1,5,3,1,1,2,2,4,3,3,2,1,2,100,16,6,3,2,1,1,1,2,3,1,1,4,0,3,4,3,4,4,4,2,2,1,2,1,1,1,1,1,0,5,1,1,5,4,1,4,4,2,1,0,2,3,1,2,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,6,4,52
1,100,17,6,2,4,10,7,4,3,1,3,5,1,3,2,3,2,2,1,1,2,1,1,1,2,0,8,3,2,1,6,3,3,1,1,3,3,4,4,4,2,1,2,3,3,3,1,1,1,1,3,1,1,2,2,1,1,1,3,3,2,3,2,3,2,2,2,1,2,100,17,6,2,0,1,1,2,3,2,2,2,2,2,4,4,2,4,4,4,2,2,3,1,2,3,3,3,2,2,3,1,1,5,1,2,3,2,2,1,1,2,3,2,2,4,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,6,1,64
1,100,18,6,2,4,9,1,4,3,1,3,2,1,2,1,1,1,1,1,2,3,1,1,1,1,1,8,2,2,2,3,2,2,1,1,0,4,4,4,4,4,3,3,2,3,2,1,1,1,3,3,1,1,3,2,1,1,5,1,1,2,3,2,3,2,3,2,1,2,100,18,6,3,3,2,1,2,2,2,2,1,4,3,2,4,2,4,4,4,2,2,3,2,1,3,1,1,1,1,1,1,1,1,3,3,4,3,2,1,1,1,3,2,2,1,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,6,4,70
1,100,19,6,5,4,8,1,2,1,1,3,4,1,4,1,2,2,1,1,2,3,3,1,1,2,2,8,1,3,2,3,2,2,1,1,3,2,1,1,1,4,3,4,2,2,1,1,1,1,0,1,1,1,2,2,1,1,5,1,1,2,2,2,3,3,3,2,1,2,100,19,6,2,2,2,1,1,3,2,2,3,4,3,3,4,3,4,4,4,2,2,1,1,1,1,3,2,5,1,1,5,5,1,1,4,9,4,2,1,1,1,3,2,1,1,4,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,6,5,41
1,100,20,6,2,4,3,12,3,6,1,3,4,1,4,2,3,2,2,2,2,2,4,2,1,2,2,8,3,2,1,5,2,3,2,1,4,3,3,2,2,1,0,1,3,3,3,4,1,1,3,3,1,1,1,2,1,1,2,1,1,2,2,2,3,3,2,1,1,2,100,20,6,0,0,0,1,2,2,3,3,2,3,3,3,4,2,3,4,3,2,2,2,2,1,2,3,3,1,1,1,2,3,4,4,2,6,3,2,1,1,1,1,2,1,4,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,0,6,6,65
1,100,21,6,2,4,1,2,4,3,1,4,5,1,5,2,1,2,2,2,3,4,1,1,1,2,2,0,1,0,2,2,1,2,1,1,0,2,2,2,2,4,3,2,3,2,2,1,1,1,3,0,3,1,0,0,1,1,5,3,3,2,2,2,3,3,2,2,1,2,100,21,6,2,2,1,1,2,3,1,3,4,4,4,4,4,4,4,4,4,2,2,1,1,1,2,1,1,1,1,1,1,1,3,2,1,3,2,2,1,1,1,3,3,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,1,76
1,100,22,6,2,4,9,10,2,3,1,3,3,1,3,1,1,2,1,0,2,2,6,1,1,2,2,8,2,0,4,3,2,2,1,1,3,2,0,0,0,4,1,3,3,3,2,2,1,1,3,3,1,0,1,0,1,1,1,1,1,2,3,2,3,3,3,2,1,2,100,22,6,3,3,3,1,2,2,2,2,2,2,2,2,4,2,4,4,3,2,2,1,1,1,3,3,3,5,1,5,4,1,3,3,1,9,4,2,1,1,2,3,2,1,0,4,4,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,7,2,58
1,100,23,6,5,4,10,2,2,2,1,3,3,1,4,1,2,1,1,1,3,4,6,1,1,2,2,8,3,2,2,2,2,2,1,1,0,2,2,2,3,2,3,4,3,3,0,1,1,1,1,3,1,1,1,3,1,1,5,1,1,2,3,2,3,3,2,2,1,2,100,23,6,3,3,2,1,2,3,1,2,2,4,3,3,4,2,4,4,4,2,2,1,1,1,2,3,3,2,2,2,1,1,2,2,2,9,4,2,1,1,1,3,2,2,1,4,4,2,2,2,2,2,2,1,2,2,2,2,2,1,2,3,7,3,4
1,100,24,6,2,4,9,1,2,3,1,3,5,1,3,1,2,2,2,1,2,2,2,1,1,2,2,8,1,2,1,3,2,2,2,2,3,3,3,3,4,1,1,2,3,2,2,1,1,1,0,0,1,1,1,0,1,1,2,1,1,2,3,2,4,2,2,2,1,2,100,24,6,2,2,2,1,1,2,3,3,4,2,4,3,4,3,4,4,4,2,2,1,1,1,2,1,1,1,2,5,5,1,5,3,1,9,4,2,2,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,0,7,1,5
1,100,25,6,5,4,9,10,1,3,1,3,5,1,5,1,2,2,1,2,2,4,6,1,1,2,1,8,2,2,2,2,1,2,2,1,2,2,2,1,1,2,3,2,3,3,1,1,1,1,3,3,1,1,1,3,1,1,1,2,3,2,3,2,4,2,3,2,1,2,100,25,6,2,3,3,1,2,2,2,2,2,4,3,2,4,2,4,4,3,2,2,1,1,1,2,3,3,2,2,5,2,1,1,3,1,5,4,2,1,1,1,3,1,1,0,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,7,2,48
1,100,26,6,6,4,9,12,3,1,1,3,3,1,3,1,2,1,1,1,3,3,1,1,1,2,1,1,2,2,2,6,2,2,1,1,3,3,4,2,4,3,3,4,3,3,2,1,1,1,3,3,1,1,2,3,1,1,5,1,3,2,3,2,4,2,2,2,1,2,100,26,6,2,2,2,1,2,3,3,2,2,2,2,2,4,4,4,4,4,2,2,1,1,1,3,3,3,1,1,1,5,1,0,3,1,8,4,2,1,1,1,3,1,1,4,3,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,0,7,4,31
1,100,27,6,5,4,8,2,2,4,1,3,5,1,3,1,2,2,2,2,3,2,2,1,1,2,0,8,3,2,1,3,1,2,2,2,2,3,3,4,4,3,1,1,3,3,2,1,1,1,1,2,1,1,2,3,1,1,2,1,1,3,2,2,3,3,3,2,2,2,100,27,6,1,3,3,1,2,2,2,3,3,3,3,4,4,4,4,4,4,2,2,1,2,1,2,3,3,1,1,2,4,1,2,4,1,8,4,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,7,1,71
1,100,28,6,2,4,13,1,4,3,1,3,2,1,2,3,2,2,1,4,1,2,3,1,1,2,2,8,1,2,4,4,2,2,1,0,3,4,5,5,5,3,1,1,3,3,3,1,1,1,3,3,1,1,2,1,1,1,5,3,1,3,2,2,3,3,2,2,1,2,100,28,6,3,2,3,1,2,2,1,2,2,2,3,2,4,3,4,4,4,2,2,1,1,1,4,1,1,1,1,2,2,2,4,2,1,4,3,2,1,1,1,3,2,2,4,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,7,4,46
1,100,29,6,2,4,3,1,4,3,1,3,2,1,2,1,2,1,1,2,2,3,6,1,1,2,1,8,1,2,2,3,2,2,1,1,4,3,2,2,4,4,1,1,2,2,3,2,1,1,1,1,1,1,2,1,1,1,5,3,3,3,2,2,3,3,1,1,1,2,100,29,6,2,3,2,1,3,3,1,4,3,4,4,3,4,3,4,4,4,2,2,1,2,1,3,1,1,1,1,1,1,1,1,4,2,4,3,2,1,2,1,3,3,2,1,2,4,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,4,40
1,100,30,6,5,4,11,10,1,3,1,3,5,1,3,1,2,1,1,1,3,3,6,1,3,2,2,8,3,3,4,3,2,3,1,2,3,2,3,2,3,3,2,2,3,3,2,1,1,1,3,3,1,1,1,3,1,1,5,1,1,2,2,2,4,3,3,2,1,2,100,30,6,2,3,2,1,2,1,1,2,2,4,4,4,4,4,4,4,2,2,2,1,1,1,3,1,0,1,1,5,5,1,2,3,1,9,4,2,1,2,1,3,1,1,1,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,7,1,62
1,100,31,6,4,4,9,2,3,4,1,3,5,1,4,1,1,1,1,2,2,3,1,1,1,2,2,1,2,2,1,3,1,1,1,1,3,2,3,3,3,4,1,3,3,3,2,4,1,1,1,1,1,1,2,0,1,1,1,2,2,2,2,2,4,3,3,2,1,2,100,31,6,3,3,3,1,3,2,3,1,2,4,4,2,4,4,4,4,4,2,2,1,2,1,3,1,2,1,1,2,2,1,2,3,1,5,4,2,1,2,2,3,1,1,3,3,3,2,2,2,2,2,1,2,2,1,2,2,2,2,2,4,7,2,45
1,100,32,6,6,4,9,9,1,4,1,3,5,1,5,1,2,1,1,2,2,2,1,1,2,2,1,9,3,2,4,3,2,3,2,2,3,2,2,4,3,3,3,3,3,3,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,3,2,4,3,3,2,1,2,100,32,6,2,1,3,1,2,2,2,2,2,4,3,2,4,4,4,4,4,2,2,1,1,1,2,2,2,2,1,2,2,1,4,4,1,6,4,2,1,1,1,3,2,1,3,3,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,4,9,2,42
1,100,33,6,2,4,11,10,1,15,1,3,4,1,3,1,2,2,1,1,2,4,2,1,1,2,2,8,2,2,2,3,2,2,2,0,2,3,2,2,2,2,1,3,2,2,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,2,3,3,3,2,1,2,100,33,6,1,2,1,1,2,3,1,2,2,2,3,3,4,3,4,4,2,2,2,1,2,1,4,1,1,2,1,5,5,1,3,3,2,9,4,2,1,2,2,3,2,1,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,3,6,6,16
1,100,34,6,2,4,8,1,4,3,1,3,2,1,2,1,1,2,1,1,3,2,6,3,1,2,2,8,1,3,1,4,2,3,1,1,0,2,2,2,2,2,1,2,3,3,2,3,3,1,1,3,3,3,2,3,1,1,5,1,1,2,2,2,3,3,2,2,1,2,100,34,6,3,3,2,2,3,3,2,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,3,3,0,2,1,1,1,1,3,2,1,5,3,2,1,0,1,2,2,1,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,6,4,15
1,100,35,6,2,4,10,9,1,4,1,3,4,1,4,1,2,2,2,3,2,2,1,1,2,2,2,8,1,3,2,6,2,2,3,2,3,3,1,1,2,3,2,4,1,3,2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,2,2,3,3,3,2,1,2,100,35,6,3,3,2,2,2,3,2,2,4,4,4,2,4,2,2,4,2,2,2,3,1,1,2,1,1,1,2,3,2,1,2,3,1,6,4,2,1,1,1,3,2,2,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,6,6,36
1,100,36,6,2,4,9,10,1,2,1,3,4,1,3,4,2,2,2,2,3,3,4,1,1,2,1,8,2,2,2,6,1,2,1,1,2,3,3,4,4,3,1,4,1,2,3,1,1,1,1,3,1,1,2,3,1,1,2,3,3,3,2,2,3,3,2,2,2,2,100,36,6,3,2,2,2,3,2,4,2,3,4,4,4,4,4,4,4,4,2,2,1,2,2,3,1,3,1,5,5,3,5,3,3,1,3,4,2,2,2,2,3,0,1,4,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,7,5,79
1,100,37,6,2,4,7,3,1,4,1,3,2,1,2,1,1,2,2,3,1,3,4,1,1,0,1,1,1,2,2,9,2,2,2,2,2,2,2,1,4,3,3,4,2,3,3,1,1,1,3,3,1,3,2,1,1,1,5,1,1,3,2,2,3,3,2,1,2,2,100,37,6,3,3,2,2,3,2,1,4,4,4,4,4,4,3,4,4,2,2,2,3,2,1,3,1,3,1,1,2,5,3,3,3,1,6,4,1,1,2,1,3,2,1,4,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,7,4,33
1,100,38,6,2,4,9,5,3,3,1,4,5,1,3,4,2,1,2,2,3,4,6,1,1,2,2,8,2,3,2,3,2,2,1,1,1,2,2,2,2,3,3,4,2,3,1,1,1,3,3,3,3,1,1,1,1,0,5,1,1,2,3,2,4,3,3,2,1,2,100,38,6,2,3,2,2,2,2,3,2,2,4,4,4,4,4,4,4,4,2,2,3,1,2,3,1,3,3,2,2,2,1,3,2,1,4,3,2,2,2,1,1,2,2,3,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,0,8,1,2
1,100,39,6,5,4,3,10,1,3,1,3,4,1,4,1,2,1,1,2,2,3,6,1,1,2,2,8,2,3,2,3,2,2,1,1,3,1,1,1,2,4,1,3,2,2,2,1,3,1,3,3,1,1,1,3,1,1,5,1,1,2,3,2,4,3,3,2,1,2,100,39,6,2,3,2,2,2,2,4,2,3,4,4,3,4,3,4,4,4,2,2,1,1,1,2,3,3,1,1,1,1,1,1,4,1,7,4,2,1,1,1,3,2,2,3,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,0,8,3,13
1,100,40,6,2,4,9,1,2,0,1,4,3,1,3,1,2,2,1,1,2,4,6,1,1,2,2,8,1,3,4,3,2,3,1,1,3,4,4,4,4,2,3,4,3,3,5,3,3,3,3,3,3,3,3,3,3,1,5,1,1,2,2,2,3,3,1,1,1,2,100,40,6,3,3,2,2,1,3,4,2,2,2,2,2,4,2,4,4,4,2,2,1,1,1,3,3,3,2,2,2,5,2,2,1,2,9,4,2,1,1,1,3,2,2,4,4,4,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,6,0,6
1,100,41,6,2,4,1,1,4,2,1,3,4,1,4,2,2,2,2,3,3,2,2,1,1,1,2,9,1,2,2,3,2,2,2,1,3,2,2,2,3,3,1,3,3,3,3,1,1,1,3,1,1,1,2,2,1,1,5,1,1,2,2,2,3,3,3,2,1,2,100,41,6,2,2,2,2,1,3,4,1,0,2,4,3,4,3,4,4,1,2,2,3,1,1,3,3,3,2,1,5,5,1,4,4,1,4,3,2,1,0,0,3,2,2,4,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,6,3,25
1,100,42,6,2,4,8,6,4,3,1,4,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,8,2,2,4,4,2,2,2,2,6,2,4,2,4,4,3,4,3,3,2,1,1,1,1,3,1,1,2,3,1,1,2,3,3,2,2,2,3,3,3,1,1,2,100,42,6,2,3,3,3,1,2,1,1,1,4,4,2,4,4,4,4,3,2,2,3,2,1,2,1,3,1,1,1,1,1,5,5,1,4,2,2,1,2,2,3,2,1,1,3,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,6,4,25
1,100,43,6,2,4,3,10,1,4,2,3,5,1,3,1,2,2,1,1,3,3,1,1,1,2,2,8,2,3,1,3,1,2,2,2,3,2,2,0,2,4,3,3,3,3,2,1,1,1,1,1,1,1,1,0,1,1,5,1,1,2,3,2,4,2,2,2,2,2,100,43,6,3,3,3,3,3,3,2,2,4,4,4,4,4,3,4,4,4,2,2,1,1,1,2,1,1,5,1,5,5,1,3,3,1,7,4,1,1,1,1,3,2,2,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,7,1,15
1,100,44,6,2,4,10,2,2,3,1,3,5,1,5,1,1,2,1,1,2,3,1,1,1,2,2,8,1,3,3,3,2,2,1,1,2,1,1,1,1,3,1,3,2,1,1,1,1,1,0,0,1,1,1,0,1,1,5,3,3,2,3,2,4,2,2,2,1,2,100,44,6,3,3,3,3,3,2,4,4,3,4,4,3,4,3,4,4,4,2,2,2,1,1,3,1,1,1,1,1,1,1,3,2,1,9,4,2,1,1,1,3,2,1,4,3,3,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,7,1,50
