CARD.  1. CARD ONE 
DECK.  219. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. 219A 2. 219B 3. 219C 
Q.1. WHAT IS YOUR RANK OR GRADE*  1. SECOND LIEUTENANT 2. FIRST LIEUTENANT 3. CAPTAIN 4. FIELD GRADE OFFICER 5. FLIGHT OR WARRANT OFFICER 0. NO ANSWER 
Q.2. HOW LONG HAVE YOU BEEN IN THE ARMY*  1. 6 MONTHS OR LESS 2. OVER 6 MONTHS UP TO 1 YEAR 3. OVER 1 YEAR UP TO 2 YEARS 4. OVER 2 YEARS UP TO 3 YEARS 5. OVER 3 YEARS UP TO 4 YEARS 6. OVER 4 YEARS UP TO 5 YEARS 7. OVER 5 YEARS 
"Q.3. HAVE YOU BEEN IN ACTUAL COMBAT IN THIS WAR*  1. NO 2. YES, I HAVE BEEN UNDER ENEMY FIRE, BUT NOT IN ACTUAL COMBAT 3. YES, I HAVE BEEN IN ACTUAL COMBAT 0. NO ANSWER "
Q.4. HOW FAR DID YOU GO IN SCHOOL BEFORE ENTERING THE ARMY*  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 
"Q.5. ARE YOU:  1. SINGLE 2. MARRIED 3. WIDOWED, DIVORCED, OR SEPARATED "
"Q.6. HAVE YOU ANY CHILDREN UNDER 18 YEARS OF AGE*  1. YES, ONE CHILD 2. YES, TWO CHILDREN 3. YES, THREE CHILDREN 4. YES, FOUR OR MORE CHILDREN 5. YES, NO ANSWER AS TO HOW MANY 6. NO 0. NO ANSWER "
Q.7. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  1. 19 YEARS OR YOUNGER 2. 20-24 3. 25-29 4. 30-34 5. 35-39 6. 40 YEARS AND OVER 0. NO ANSWER 
