S0142.CARD.  1. CARD ONE 
S0142.DECK.  142. SURVEY NUMBER 
S0142.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S0142.Q1. WHAT IS YOUR RANK OR GRAD?  1. MAJOR 2. CAPTAIN 3. 1ST LIEUTENANT 4. 2ND LIEUTENANT 5. FLIGHT OFFICER 0. NO ANSWER 
"S0142.Q2A. GIVE THE APPROXIMATE DATE WHEN YOU WENT ON YOUR FIRST COMBAT MISSION:  01. AUGUST, 1943 OR EARLIER 02. SEPTEMBER, OCTOBER, 1943 03. NOVEMBER, 1943 04. DECEMBER, 1943 05. JANUARY, 1944 06. FEBRUARY, 1944 07. MARCH, 1944 08. APRIL, 1944 09. MAY 1-15, 1944 10. MAY 16-31, 1944 11. JUNE, 1944 00. NO ANSWER "
"S0142.Q2B. GIVE THE APPROXIMATE DATE WHEN YOU FIRST CAME TO YOUR PRESENT GROUP:  01. AUGUST, 1943 OR EARLIER 02. SEPTEMBER, OCTOBER, 1943 03. NOVEMBER, 1943 04. DECEMBER, 1943 05. JANUARY, 1944 06. FEBRUARY, 1944 07. MARCH, 1944 08. APRIL, 1944 09. MAY 1-15, 1944 10. MAY 16-31, 1944 11. JUNE, 1944 00. NO ANSWER "
S0142.Q3. HOW OLD WERE YOU ON YOUR LAST BIRTHDA?  01. 18 YEARS OR LESS 02. 19 YEARS 03. 20 04. 21 05. 22 06. 23 07. 24 08. 25 09. 26-29 YEARS 10. 30-34 YEARS 11. 35 YEARS AND OVER 00. NO ANSWER 
"S0142.Q4. HOW WELL SATISFIED ARE YOU WITH HAVING AN ASSIGNMENT AS A FIGHTER PILOT, AS COMPARED WITH OTHER TYPES OF COMBAT FLYING ASSIGNMENT?  1. BETTER SATISFIED THAN I WOULD BE WITH ANY OTHER COMBAT FLYING ASSIGNMENT 2. AS WELL SATISFIED AS I WOULD BE WITH ANY OTHER 3. WOULD BE BETTER SATISFIED IN SOME OTHER TYPE OF COMBAT FLYING ASSIGNMENT 0. NO ANSWER "
S0142.Q5A. ABOUT HOW MANY HOURS COMBAT FLYING HAVE YOU COMPLETED UP TO NO?  ANP (ACTUAL NUMBER HOURS) 004. 4 HOURS . . . 480. 480 HOURS 889.NO ANSWER 000.NO CODE OR NO DATA 
S0142.Q5B. HOW MANY COMBAT MISSIONS HAVE YOU FLOWN UP TO NO? E. MISSIONS COMPLETED:  ANP (ACTUAL NUMBER MISSIONS) 01. 1 MISSION COMPLETED . . . 99. 99 OR MORE MISSIONS COMPLETED 89.NO ANSWER 00.NO CODE OR NO DATA E. MISSIONS ABORTED: 
S0142.Q5B. HOW MANY COMBAT MISSIONS HAVE YOU FLOWN UP TO NO? E. MISSIONS COMPLETED:  153 01. ONE MISSION ABORTED 97 02. TWO 62 03. THREE 37 04. FOUR 35 05. FIVE 19 06. SIX 12 07. SEVEN 9 08. EIGHT 1 09. NINE 11 10. TEN OR MORE MISSIONS ABORTED 180 11. NONE 38 00. NO ANSWER 
