S0112.CARD.  1. CARD ONE 
S0112.DECK.  112. SURVEY NUMBER 
S0112.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
"S0112.Q1. WHAT IS YOUR RANK OR GRAD?  1. PRIVATE OR PRIVATE FIRST CLASS 2. CORPORAL OR TECHNICIAN 5TH GRADE 3. SERGEANT OR TECHNICIAN 4TH GRADE 4. STAFF SERGEANT OR TECHNICIAN 3RD GRADE 5. TECHNICAL SERGEANT, MASTER SERGEANT, OR FIRST SERGEANT 0. NO ANSWER "
S0112.Q2. HOW OLD WERE YOU ON YOUR LAST BIRTHDA?  1. 24 YEARS OR LESS 2. 25 TO 29 YEARS 3. 30 TO 34 YEARS 4. 35 YEARS OR MORE 5. NO ANSWER 0. NO CODE OR NO DATA 
"S0112.Q3. ARE YOU:  1. SINGLE 2. MARRIED BEFORE JOINING ARMY 3. MARRIED AFTER JOINING ARMY 4. WIDOWED, DIVORCED OR SEPARATED 5. NO ANSWER 0. NO CODE OR NO DATA "
S0112.Q4. CHECK THE ANSWER THAT TELLS BEST HOW FAR YOU WENT IN SCHOOL:  1. DID NOT FINISH GRADE SCHOOL 2. FINISHED GRADE SCHOOL 3. HAD SOME HIGH SCHOOL BUT DID NOT GRADUATE 4. GRADUATED FROM HIGH SCHOOL 5. HAD SOME COLLEGE BUT DID NOT GRADUATE 6. GRADUATED FROM COLLEGE 0. NO ANSWER 
S0112.Q5. ABOUT HOW LONG HAVE YOU BEEN IN THE ARM?  1. LESS THAN SIX MONTHS 2. SIX MONTHS TO ONE YEAR 3. ONE YEAR TO 18 MONTHS 4. EIGHTEEN MONTHS TO TWO YEARS 5. OVER TWO YEARS 6. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q6. ABOUT HOW LONG HAVE YOU BEEN IN THE BRITISH ISLE?  1. THREE MONTHS OR LESS 2. OVER THREE MONTHS BUT NOT OVER SIX MONTHS 3. SIX MONTHS TO ONE YEAR 4. ONE YEAR TO EIGHTEEN MONTHS 5. OVER EIGHTEEN MONTHS 0. NO ANSWER 
S0112.Q7. ON THE WHOLE HOW DO YOU FEEL ABOUT THE ARM?  1. I LIKE THE ARMY VERY MUCH 2. I LIKE IT FAIRLY WELL 3. I RATHER DISLIKE IT 4. I DISLIKE THE ARMY VERY MUCH 5. NO ANSWER 0. NO CODE OR NO DATA 
"S0112.Q8. DO YOU THINK YOU MIGHT WANT TO STAY IN THE ARMY AFTER THE WA?  1. YES, I WOULD WANT TO VERY MUCH 2. YES, I MIGHT WANT TO, BUT I'M NOT SURE 3. NO, I DON'T THINK I WOULD WANT TO 4. NO, I WOULD NOT WANT TO AT ALL 5. UNDECIDED 6. NO ANSWER 0. NO CODE OR NO DATA "
"S0112.Q9. ON THE WHOLE, DO YOU THINK THE ARMY IS GIVING YOU A CHANCE TO SHOW WHAT YOU CAN D?  1. A VERY GOOD CHANCE 2. A FAIRLY GOOD CHANCE 3. NOT MUCH OF A CHANCE 4. NO CHANCE AT ALL 5. UNDECIDED 0. NO ANSWER "
"S0112.Q10. DO YOU FEEL PROUD OF YOUR COMPAN?  1. YES, VERY PROUD 2. YES, FAIRLY PROUD 3. NO, NOT VERY PROUD 4. UNDECIDED 0. NO ANSWER "
S0112.Q11. HOW WELL HAVE YOU BEEN ABLE TO FIT YOURSELF INTO ARMY LIF?  1. VERY WELL ON THE WHOLE 2. PRETTY WELL ON THE WHOLE 3. FIT IN MORE OR LESS 4. NOT WELL ON THE WHOLE 5. HAVEN'T BEEN ABLE TO FIT INTO ARMY LIFE AT ALL 0. NO ANSWER 
"S0112.Q12. WHEN YOU ARE ON YOUR JOB, HOW ENTHUSIASTIC DO YOU USUALLY FEEL ABOUT WHAT YOU ARE DOIN?  1. VERY ENTHUSIASTIC 2. FAIRLY ENTHUSIASTIC 3. NOT VERY ENTHUSIASTIC 4. HAVE NO ENTHUSIASM AT ALL 0. NO ANSWER "
S0112.Q13. WHICH OF THE FOLLOWING WOULD YOU SAY BEST APPLIES TO YOUR JO?  1. TIME ALWAYS PASSES QUICKLY 2. TIME PASSES QUICKLY MOST OF THE TIME 3. ENJOY WORKING PART OF THE TIME BUT IT DRAGS AT OTHER TIMES 4. TIME DRAGS MOST OF THE TIME 5. TIME ALWAYS DRAGS 0. NO ANSWER 
"S0112.Q14. ON THE WHOLE, HOW IS THE MORALE OF THE MEN IN YOUR COMPAN?  1. VERY HIGH 2. FAIRLY HIGH 3. JUST SO-SO 4. FAIRLY LOW 5. VERY LOW 6. NO ANSWER 0. NO CODE OR NO DATA "
S0112.Q15. ABOUT HOW MUCH OF THE TIME DO YOU HAVE WORK ENOUGH TO KEEP YOU BUS?  1. WE ARE ALWAYS BUSY 2. WE ARE BUSY MOST OF THE TIME BUT NOT ALWAYS 3. BUSY ABOUT HALF THE TIME 4. BUSY LESS THAN HALF THE TIME 5. RARELY EVER BUSY 0. NO ANSWER 
"S0112.Q16. IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS OR IN LOW SPIRIT?  1. I AM USUALLY IN GOOD SPIRITS 2. I AM IN GOOD SPIRITS SOME OF THE TIME AND IN LOW SPIRITS SOME OF THE TIME 3. I AM USUALLY IN LOW SPIRITS 0. NO ANSWER "
S0112.Q17. DO YOU FEEL THAT YOU REALLY BELONG IN YOUR COMPANY AND ARE AN IMPORTANT PART OF I?  1. VERY MUCH SO 2. FAIRLY MUCH SO 3. NOT VERY MUCH 4. NOT AT ALL 5. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q18. WHAT SORT OF TEAMWORK AND COOPERATION DO THE MEN IN YOUR COMPANY HAVE ON THE JO?  1. VERY GOOD 2. FAIRLY GOOD 3. NOT VERY GOOD 4. NOT GOOD AT ALL 5. NO ANSWER 0. NO CODE OR NO DATA 
"S0112.Q19. IF YOU ARE ORDERED TO DO SOMETHING AND NOT TOLD THE REASON WHY, HOW DO YOU FEE?  1. I OBEY CHEERFULLY ALWAYS 2. I OBEY BUT NEVER LIKE IT 3. I OBEY CHEERFULLY, PROVIDED I FEEL THERE IS A GOOD PURPOSE IN NOT TELLING THE REASON WHY, - OTHERWISE I OBEY BUT DON'T LIKE IT 4. I TRY TO GET OUT OF DOING IT IF I CAN 5. NO ANSWER 0. NO CODE OR NO DATA "
S0112.Q20. HOW IMPORTANT A PART DO YOU THINK YOUR COMPANY WILL PLAY IN WINNING THE WA?  1. A VERY IMPORTANT PART 2. A FAIRLY IMPORTANT PART 3. NOT A VERY IMPORTANT PART 4. NOT IMPORTANT AT ALL 5. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q21. HOW SUCCESSFUL ARE YOUR OFFICERS IN GETTING WILLING AND WHOLEHEARTED COOPERATION FROM THE ME?  1. VERY SUCCESSFUL 2. FAIRLY SUCCESSFUL 3. NOT VERY SUCCESSFUL 4. UNSUCCESSFUL 5. NOT SURE 6. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q22. HOW SUCCESSFUL ARE YOUR NONCOMS IN GETTING WILLING AND WHOLEHEARTED COOPERATION FROM THE ME?  1. VERY SUCCESSFUL 2. FAIRLY SUCCESSFUL 3. NOT VERY SUCCESSFUL 4. UNSUCCESSFUL 5. NOT SURE 0. NO ANSWER 
S0112.Q23. DO YOU USUALLY FEEL THAT WHAT YOU ARE DOING IN THE ARMY IS WORTHWHILE OR NO?  1. I USUALLY FEEL IT IS NOT WORTHWHILE 2. I USUALLY FEEL IT IS WORTHWHILE 3. UNDECIDED 0. NO ANSWER 
S0112.Q24. DO YOU EVER FEEL THAT YOU ARE NOT AS GOOD A SOLDIER AS MOST OF THE OTHER MEN IN YOUR OUTFI?  1. I FEEL THAT WAY NEARLY ALL OF THE TIME 2. I FEEL THAT WAY FAIRLY OFTEN 3. I FEEL THAT WAY ONLY ONCE IN A WHILE 4. I ALMOST NEVER FEEL THAT WAY 5. NO ANSWER 0. NO CODE OR NO DATA 
"S0112.Q25. WHICH COMES CLOSEST TO YOUR IDEA OF HOW HARD IT IS GOING TO BE TO BEAT THE GERMAN?  1. IT WILL NOT BE VERY HARD 2. IT WILL BE A TOUGH JOB BUT OUR LOSSES WON'T BE TOO HEAVY 3. IT WILL BE A TOUGH JOB, WITH HEAVY LOSSES OF MEN AND EQUIPMENT 0. NO ANSWER "
S0112.Q26. DO YOU THINK THE EQUIPMENT OF THE AMERICAN ARMY IS BETTER OR WORSE THAN THE EQUIPMENT OF THE GERMAN ARM?  1. ALL OF OUR EQUIPMENT IS BETTER 2. MOST OF OUR EQUIPMENT IS BETTER 3. OUR EQUIPMENT IS ABOUT THE SAME AS THAT OF THE GERMAN ARMY 4. MOST OF OUR EQUIPMENT IS WORSE 5. ALL OF OUR EQUIPMENT IS WORSE 6. DON'T KNOW 7. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q27. HOW MUCH DO THE THINGS THAT THIS WAR IS BEING FOUGHT OVER MEAN TO YOU PERSONALL?  1. THEY MEAN EVERYTHING TO ME 2. THEY MEAN QUITE A BIT TO ME 3. THEY DON'T MEAN VERY MUCH TO ME 4. NOT SURE WHETHER THEY MEAN ANYTHING TO ME OR NOT 5. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q28. HOW MUCH CHANCE DO YOU FEEL THERE IS THAT AFTER THE WAR THINGS WILL BE WORKED OUT PRETTY MUCH TO THE BEST INTERESTS OF THE MOST PEOPL?  1. A VERY GOOD CHANCE 2. A FAIRLY GOOD CHANCE 3. NOT A VERY GOOD CHANCE 4. NO CHANCE AT ALL 5. NO ANSWER 0. NO CODE OR NO DATA 
"S0112.Q29. IN GENERAL, HOW WELL DO YOU LIKE WORKING IN YOUR PRESENT ARMY JO?  1. I REALLY ENJOY MY WORK VERY MUCH 2. I LIKE IT FAIRLY WELL 3. I DISLIKE IT A LITTLE 4. I DISLIKE IT VERY MUCH 5. NO ANSWER 0. NO CODE OR NO DATA "
"S0112.Q30. WOULD YOU SAY THAT MOST OF THE MEN IN YOUR COMPANY USUALLY PUT ALL THAT THEY HAVE INTO THEIR REGULAR DUTIES, OR DO THEY USUALLY WORK JUST HARD ENOUGH TO GET B?  1. MOST OF THE MEN USUALLY PUT ALL THAT THEY HAVE INTO IT 2. MOST OF THE MEN USUALLY WORK JUST HARD ENOUGH TO GET BY 3. UNDECIDED 0. NO ANSWER "
"S0112.Q31. HOW ABOUT YOURSELF - WOULD YOU HONESTLY SAY THAT YOU USUALLY PUT ALL YOU HAVE INTO YOUR REGULAR DUTIES, OR DO YOU USUALLY WORK JUST HARD ENOUGH TO GET B?  1. I USUALLY PUT ALL I HAVE INTO IT 2. I USUALY WORK JUST HARD ENOUGH TO GET BY 3. UNDECIDED 0. NO ANSWER "
S0112.Q32. HOW MUCH PRIDE DO MOST OF THE MEN IN YOUR COMPANY TAKE IN THE WAY THEY HANDLE THEIR JOB OR ASSIGNMEN?  1. A GREAT DEAL OF PRIDE 2. QUITE A BIT 3. NOT VERY MUCH 4. ALMOST NO PRIDE AT ALL 5. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q33. HOW SATISFIED ARE YOU ABOUT BEING IN YOUR PRESENT ARMY JOB INSTEAD OF SOME OTHER ARMY JO?  1. VERY SATISFIED 2. SATISFIED 3. IT DOES NOT MAKE ANY DIFFERENCE TO ME 4. SOMEWHAT DISSATISFIED 5. VERY MUCH DISSATISFIED 0. NO ANSWER 
"S0112.Q34. HOW MUCH EFFORT DO YOU FEEL HAS BEEN MADE TO PLACE YOU IN THE KIND OF ARMY JOB WHERE YOU CAN FIT IN BEST AND BE OF MOST VALU?  1. EVERY POSSIBLE EFFORT WAS MADE 2. A REASONABLE EFFORT WAS MADE 3. SOME EFFORT, BUT NOT MUCH 4. NO EFFORT WAS MADE AT ALL 5. NO ANSWER 0. NO CODE OR NO DATA "
S0112.Q35. DO YOU FEEL YOUR OFFICERS KNOW WHAT YOUR ABILITIES ARE AND WHAT YOU ARE ABLE TO D?  1. THEY HAVE A GOOD IDEA 2. THEY HAVE A FAIR IDEA 3. THEY KNOW LITTLE OR NOTHING ABOUT MY ABILITIES 0. NO ANSWER 
S0112.Q36. DO YOU FEEL THAT YOUR NONCOMS KNOW WHAT YOUR ABILITIES ARE AND WHAT YOU ARE ABLE TO D?  1. THEY HAVE A GOOD IDEA 2. THEY HAVE A FAIR IDEA 3. THEY KNOW LITTLE OR NOTHING ABOUT MY ABILITIES 0. NO ANSWER 
