CARD.  1. CARD ONE 
DECK.  174. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
Q.1. WHAT IS YOUR ARMY RANK OR GRADE*  1. PRIVATE 2. PRIVATE FIRST CLASS 3. TECHNICIAN 5TH GRADE OR CORPORAL 4. TECHNICIAN 4TH GRADE OR SERGEANT 5. TECHNICIAN 3RD GRADE OR STAFF SERGEANT 6. TECHNICAL SERGEANT 7. MASTER SERGEANT OR FIRST SERGEANT 0. NO ANSWER 
Q.2. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  01. 18 YEARS OR LESS 02. 19 YEARS 03. 20 04. 21 05. 22 06. 23 07. 24 08. 25 09. 26-29 YEARS 10. 30-34 YEARS 11. 35 YEARS AND OVER 00. NO ANSWER 
Q.3. HOW FAR DID YOU GO IN SCHOOL*  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. WENT TO COLLEGE 0. NO ANSWER 
Q.4. IN WHAT STATE OF THE UNITED STATES DID YOU SPEND MOST OF THE LAST FIVE YEARS OF YOUR LIFE BEFORE YOU CAME INTO THE ARMY* E. SECTION:  01. NEW ENGLAND 02. MIDDLE ATLANTIC 03. EAST NORTH CENTRAL 04. WEST NORTH CENTRAL 05. SOUTH ATLANTIC 06. EAST SOUTH CENTRAL 07. WEST SOUTH CENTRAL 08. MOUNTAIN 09. PACIFIC 10. OUTSIDE U.S. OR OUTSIDE TERRITORIES BELONGING TO U.S. 11. TERRITORIES BELONGING TO U.S. 00. NO ANSWER E. STATE: 
Q.4. IN WHAT STATE OF THE UNITED STATES DID YOU SPEND MOST OF THE LAST FIVE YEARS OF YOUR LIFE BEFORE YOU CAME INTO THE ARMY* E. SECTION:  1 01. OUTSIDE U.S. OR OUTSIDE TERRITORIES BELONGING TO U.S. 0 02. TERRITORIES BELONGING TO U.S. 11. MAINE 0 12. NEW HAMPSHIRE 0 13. VERMONT 1 14. MASSACHUSETTS 0 15. RHODE ISLAND 3 16. CONNECTICUT 113 21. NEW YORK 70 22. NEW JERSEY 28 23. PENNSYLVANIA 13 31. OHIO 3 32. INDIANA 39 33. ILLINOIS 12 34. MICHIGAN 0 35. WISCONSIN 3 41. MINNESOTA 7 42. IOWA 17 43. MISSOURI 0 44. NORTH DAKOTA 0 45. SOUTH DAKOTA 3 46. NEBRASKA 4 47. KANSAS 11 51. DELAWARE 11 52. MARYLAND 22 53. SOUTH CAROLINA 29 54. VIRGINIA 0 55. WEST VIRGINIA 27 56. NORTH CAROLINA 10 57. DIST. OF COLUMBIA 27 58. FLORIDA 34 59. GEORGIA 7 61. KENTUCKY 19 62. TENNESSEE 36 63. ALABAMA 70 64. MISSISSIPPI 21 71. ARKANSAS 82 72. LOUISIANA 2 73. OKLAHOMA 165 74. TEXAS 0 81. MONTANA 0 82. IDAHO 0 83. WYOMING 1 84. COLORADO 2 85. NEW MEXICO 2 86. ARIZONA 0 87. UTAH 0 88. NEVADA 0 91. WASHINGTON 1 92. OREGON 34 93. CALIFORNIA 00. NO ANSWER 
"Q.5. WHERE WERE YOU LIVING MOST THE LAST FIVE YEARS OF YOUR LIFE BEFORE YOU CAME INTO THE ARMY*  1. ON A FARM OR IN THE COUNTRY 2. IN A SMALL TOWN (FEWER THAN 2,500 PEOPLE) 3. IN A TOWN (WITH BETWEEN 2,500 AND 25,000 PEOPLE) 4. IN A CITY (BETWEEN 25,000 AND 100,000 PEOPLE) 5. IN A LARGE CITY (MORE THAN 100,000 PEOPLE) 0. NO ANSWER "
Q.6. HOW LONG HAVE YOU BEEN IN THE ARMY*  1. 1 YEAR OR LESS 2. 1 YEAR TO 2 YEARS 3. 2 YEARS TO 3 YEARS 4. 3 YEARS TO 4 YEARS 5. OVER 4 YEARS 0. NO ANSWER 
"Q.7. IN GENERAL, WHAT SORT OF A TIME DO YOU HAVE IN THE ARMY*  1. I HAVE A PRETTY GOOD TIME 2. IT,S ABOUT FIFTY-FIFTY 3. I HAVE A PRETTY ROTTEN TIME 0. NO ANSWER "
