S101F.CARD.  1. CARD ONE 
S101F.DECK.  101. SURVEY NUMBER 
S101F.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S101F.FORM.  1. S-101B 2. S-101C 3. S-101D 4. S-101E 5. S-10XX 
S101F.Q1. WHAT IS YOUR RAN?  1. CAPTAIN 2. 1ST LIEUTENANT 3. 2ND LIEUTENANT 0. NO ANSWER 
S101F.Q2. HOW LONG HAVE YOU BEEN IN YOUR PRESENT RAN?  0. NO ANSWER 1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 9 MONTHS 4. OVER 9 MONTHS UP TO 1 YEAR 5. OVER 1 YEAR UP TO 2 YEARS 6. OVER 2 YEARS 
"S101F.Q3. ARE YOU:  1. SINGLE 2. MARRIED AND HAVE NO CHILDREN 3. MARRIED AND DO HAVE CHILDREN 4. WIDOWED, DIVORCED, OR SEPARATED "
S101F.Q4. HOW LONG HAVE YOU BEEN OVERSEA?  1. SIX MONTHS OR LESS 2. MORE THAN 6 MONTHS BUT NOT OVER 1 YEAR 3. MORE THAN 1 YEAR BUT NOT OVER 1.2 YEARS 4. MORE THAN 1.2 YEARS 0. NO ANSWER 
S101F.Q5. WHAT MONTH AND YEAR DID YOU JOIN THIS OUTFI? E. MONTH:  01. JANUARY 02. FEBRUARY 03. MARCH 04. APRIL 05. MAY 06. JUNE 07. JULY 08. AUGUST 09. SEPTEMBER 10. OCTOBER 11. NOVEMBER 12. DECEMBER 00. NO ANSWER E. YEAR: 
S101F.Q5. WHAT MONTH AND YEAR DID YOU JOIN THIS OUTFI? E. MONTH:  19 1. 1940 OR EARLIER 9 2. 1941 20 3. 1942 42 4. 1943 1 5. 1944 1 0. NO ANSWER X. QUESTION 6A NOT CODED. 
"S101F.Q6B. ABOUT HOW MANY DAYS ALTOGETHER, HAVE YOU BEEN IN COMBAT NOT COUNTING THE DAYS YOU'VE SPENT BACK OF THE LINE OR AWAY FROM THE FRON?  ANP (ACTUAL NUMBER DAYS) 001. 1 DAY . . . 034. 34 DAYS 999.NO ANSWER X. QUESTIONS 6C AND 6D NOT CODED. "
S101F.Q7. WHAT BRANCH OF THE ARMY ARE YOU IN NO?  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. OTHER 00. NO ANSWER 
"S101F.Q8. IF YOU HAD A CHOICE, WHICH ONE OF THESE BRANCHES OF THE ARMY WOULD YOU LIKE TO BE I?  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. ALL OTHERS "
S101F.Q9A. ARE YOU:  1. A LINE OFFICER 2. A STAFF OFFICER 0. NO ANSWER 
S101F.Q9B. IF YOU HAD A CHANCE TO CHOOSE WOULD YOU RATHER BE A LINE OFFICER OR A STAFF OFFICE?  1. RATHER BE A STAFF OFFICER 2. RATHER BE A LINE OFFICER 3. UNDECIDED 0. NO ANSWER 
S101F.Q9C. WHO HAVE A BETTER CHANCE FOR PROMOTIO?  1. LINE OFFICERS 2. STAFF OFFICERS 3. ABOUT THE SAME 0. NO ANSWER 
S101F.Q9D. HOW DO YOU FEEL ABOUT THE COMPARATIVE PROMOTION OPPORTUNITIES OF LINE OFFICERS AND STAFF OFFICER?  1. I THINK THE PRESENT PRACTICE IS O.K. 2. I THINK THE PRESENT PRACTICE IS SOMEWHAT UNFAIR 3. I THINK THE PRESENT PRACTICE IS VERY UNFAIR X. QUESTION 10 NOT CODED. 
S101F.Q11. HOW MUCH OF THE TIME YOU WERE IN COMBAT WERE YOU A MEMBER OF THE COMPANY YOU ARE NOW I?  1. ALL OR MOST OF THE TIME 2. SOME OF THE TIME 3. LITTLE OR NONE OF THE TIME 0. NO ANSWER 
S101F.Q12. ABOUT HOW MANY BATTLE CASUALTIES (KILLED AND WOUNDED) HAS YOUR PRESENT COMPANY HAD SINCE YOU FIRST WENT INTO COMBAT WITH I?  1. MORE THAN HALF OF THE MEN HAVE BEEN CASUALTIES 2. BETWEEN A QUARTER AND A HALF HAVE BEEN CASUALTIES 3. LESS THAN A QUARTER HAVE BEEN CASUALTIES 4. DON'T KNOW 0. NO ANSWER 
