CARD.  1. CARD ONE 
DECK.  160. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM:  1. S-160A 2. S-160X 
"Q.1. WHAT IS YOUR RANK OR GRADE*  1. PRIVATE 2. PRIVATE FIRST CLASS 3. CORPORAL OR TECH 5 4. SERGEANT OR TECH 4 5. STAFF SERGEANT OR TECH 3 6. TECHNICAL SERGEANT, MASTER SERGEANT, OR FIRST SERGEANT 0. NO ANSWER "
Q.2. WHAT BRANCH OF THE ARMY ARE YOU IN NOW*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL CORPS 06. ARMORED COMMAND 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. OTHER 15. NO ANSWER 00. NO CODE OR NO DATA 
"Q.3. WHAT IS YOUR MAIN ARMY JOB AT THE PRESENT TIME* (TELL EXACTLY WHAT IT IS, AS ""SQUAD LEADER IN RIFLE COMPANY"", ""DRIVER IN HEAVY TRUCKING COMPANY"", ""TANK COMMANDER (MEDIUM TANKS)"", ""COOK IN REGIMENTAL MESS"", ""CLERK IN DIVISION CP"", OR WHATEVER YOUR JOB IS.)  1. LINE JOB IN INFANTRY CO. 2. NON-LINE JOB IN INFANTRY CO. 3. INFANTRY JOB - NOT IN LINE CO. 4. ARMORED COMMAND JOB 5. TANK DESTROYERS JOB 6. FIELD ARTILLERY JOB 7. SOS JOB 8. UNCLASSIFIED 0. NO ANSWER "
Q.4. HOW LONG HAVE YOU BEEN OVERSEAS*  1. LESS THAN 3 MONTHS 2. 3 MONTHS TO 6 MONTHS 3. 6 MONTHS TO 1 YEAR 4. 1 YEAR TO 2 YEARS 5. OVER 2 YEARS 0. NO ANSWER P. THE NEXT FEW QUESTIONS ASK ABOUT FIELD RATIONS: 
"Q.5. WHEN YOU USE K RATIONS DO YOU FIND THAT ONE UNIT AT EACH MEAL IS FILLING ENOUGH*  1. YES, ALWAYS ENOUGH 2. YES, USUALLY ENOUGH 3. NO, USUALLY NOT ENOUGH 4. NO ANSWER 0. NO CODE OR NO DATA "
"Q.6. ON THE WHOLE, WHICH ONE OF THE K RATION UNITS DO YOU LIKE BEST*  1. BREAKFAST 2. DINNER 3. SUPPER 0. NO ANSWER "
