CARD.  1. CARD ONE 
DECK.  195. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM:  1. S-195A 2. S-195B 3. S-195C 
Q.1. WHAT IS YOUR ARMY RANK OR GRADE*  1. PRIVATE 2. PRIVATE FIRST CLASS 3. NONCOM (CORPORAL OR ANY GRADE OF SERGEANT OR TECHNICIAN) 4. SOME OTHER RANK OR GRADE 0. NO ANSWER 
Q.2. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  1. 19 YEARS OR YOUNGER 2. 20 TO 24 YEARS 3. 25 TO 29 YEARS 4. 30 TO 34 YEARS 5. 35 YEARS OR OLDER 0. NO ANSWER 
Q.3. HOW FAR DID YOU GO IN SCHOOL* (CHECK ONLY ONE ANSWER - THE HIGHEST GRADE OF SCHOOL YOU COMPLETED.)  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 0. NO ANSWER 
Q.4A. IN YOUR OPINION HOW NECESSARY IS IT FOR THE WAR EFFORT TO HAVE WOMEN IN THE ARMY*  1. VERY NECESSARY 2. PRETTY NECESSARY 3. NOT SO NECESSARY 4. NOT NECESSARY AT ALL 5. UNDECIDED 0. NO ANSWER 
Q.4B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. NOT STRONGLY AT ALL 2. NOT SO STRONGLY 3. FAIRLY STRONGLY 4. VERY STRONGLY 0. NO ANSWER 
"Q.5A. SUPPOSE A GIRL FRIEND OF YOURS WAS CONSIDERING JOINING THE WAC, WOULD YOU ADVISE HER TO JOIN OR NOT TO JOIN*  1. I WOULD ADVISE HER TO JOIN 2. I WOULD ADVISE HER NOT TO JOIN 3. UNDECIDED 0. NO ANSWER "
Q.5B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. NOT STRONGLY AT ALL 2. NOT SO STRONGLY 3. FAIRLY STRONGLY 4. VERY STRONGLY 0. NO ANSWER 
"Q.6A. IN YOUR OPINION ARE THE JOBS WHICH WOMEN IN THE WAC DO MORE IMPORTANT OR LESS IMPORTANT THAN THE JOBS WHICH ARE DONE BY MEN IN THE ARMY WHO ARE NOT ON COMBAT DUTY, OR ARE THEY EQUALLY IMPORTANT*  1. THE WAC DOES MORE IMPORTANT JOBS 2. THE WAC DOES LESS IMPORTANT JOBS 3. THE JOBS ARE EQUALLY IMPORTANT 0. NO ANSWER "
Q.6B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. NOT STRONGLY AT ALL 2. NOT SO STRONGLY 3. FAIRLY STRONGLY 4. VERY STRONGLY 0. NO ANSWER 
"Q.7A. IF YOU HAD A SISTER, 21 YEARS OR OLDER, WOULD YOU LIKE TO SEE HER JOIN THE WAC OR NOT*  1. YES 2. UNDECIDED 3. NO 0. NO ANSWER "
Q.7B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. NOT STRONGLY AT ALL 2. NOT SO STRONGLY 3. FAIRLY STRONGLY 4. VERY STRONGLY 0. NO ANSWER P. HERE ARE SOME STATEMENTS MADE ABOUT THE WAC. YOU WILL FIND THAT YOU AGREE WITH SOME AND DISAGREE WITH OTHERS. THERE ARE NO RIGHT OR WRONG ANSWERS. WE WANT YOUR OWN OPINION - WHAT YOU PERSONALLY AGREE OR DISAGREE WITH. 
Q.8A. A WOMAN CAN DO MORE FOR HER COUNTRY IN THE WAC THAN SHE CAN DO BY WORKING IN A WAR INDUSTRY.  1. AGREE 2. DISAGREE 3. UNDECIDED 0. NO ANSWER 
Q.8B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. NOT STRONGLY AT ALL 2. NOT SO STRONGLY 3. FAIRLY STRONGLY 4. VERY STRONGLY 0. NO ANSWER 
Q.9A. THE TRAINING A WOMAN GETS IN THE WAC WILL BE USEFUL IN CIVILIAN LIFE.  1. AGREE 2. DISAGREE 3. UNDECIDED 0. NO ANSWER 
Q.9B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. NOT STRONGLY AT ALL 2. NOT SO STRONGLY 3. FAIRLY STRONGLY 4. VERY STRONGLY 0. NO ANSWER 
Q.10A. MOST OF THE JOBS IN THE WAC ARE INTERESTING AND AGREEABLE.  1. AGREE 2. DISAGREE 3. UNDECIDED 0. NO ANSWER 
Q.10B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. NOT STRONGLY AT ALL 2. NOT SO STRONGLY 3. FAIRLY STRONGLY 4. VERY STRONGLY 0. NO ANSWER 
"Q.11A. BEING A WAC IS BAD FOR A GIRL,S REPUTATION.  1. AGREE 2. DISAGREE 3. UNDECIDED 0. NO ANSWER "
Q.11B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. NOT STRONGLY AT ALL 2. NOT SO STRONGLY 3. FAIRLY STRONGLY 4. VERY STRONGLY 0. NO ANSWER 
Q.12A. THE ARMY IS NO PLACE FOR A GIRL.  1. AGREE 2. DISAGREE 3. UNDECIDED 0. NO ANSWER 
Q.12B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. NOT STRONGLY AT ALL 2. NOT SO STRONGLY 3. FAIRLY STRONGLY 4. VERY STRONGLY 0. NO ANSWER 
Q.13A. WAC OFFICERS DESERVE A SALUTE JUST THE SAME AS MEN OFFICERS.  1. AGREE 2. DISAGREE 3. UNDECIDED 0. NO ANSWER 
Q.13B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. NOT STRONGLY AT ALL 2. NOT SO STRONGLY 3. FAIRLY STRONGLY 4. VERY STRONGLY 0. NO ANSWER 
"Q.14A. WAC,S GET RATINGS A LOT EASIER THAN MEN DO.  1. AGREE 2. DISAGREE 3. UNDECIDED 0. NO ANSWER "
Q.14B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. NOT STRONGLY AT ALL 2. NOT SO STRONGLY 3. FAIRLY STRONGLY 4. VERY STRONGLY 0. NO ANSWER 
"Q.15A. IN GENERAL, WHAT SORT OF A TIME DO YOU HAVE IN THE ARMY*  1. I HAVE A PRETTY GOOD TIME 2. IT,S ABOUT FIFTY-FIFTY 3. I HAVE A PRETTY ROTTEN TIME 0. NO ANSWER "
Q.15B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"Q.16A. IS ARMY LIFE, IN GENERAL, BETTER OR WORSE THAN YOU EXPECTED IT TO BE*  1. MUCH BETTER THAN I EXPECTED 2. BETTER THAN I EXPECTED 3. ABOUT THE SAME AS I EXPECTED 4. WORSE THAN I EXPECTED 5. MUCH WORSE THAN I EXPECTED "
Q.16B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
Q.17A. DO YOU THINK YOU CAN MAKE GOOD IN THE ARMY*  1. I FEEL PRETTY SURE I CAN MAKE GOOD 2. I AM NOT SO SURE I CAN MAKE GOOD 3. UNDECIDED 0. NO ANSWER 
Q.17B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"Q.18A. ON THE WHOLE, HOW IS YOUR MORALE*  1. VERY HIGH 2. FAIRLY HIGH 3. JUST SO-SO 4. FAIRLY LOW 5. VERY LOW 0. NO ANSWER "
Q.18B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"Q.19A. IN GENERAL, HOW WELL DO YOU THINK THE ARMY IS RUN*  1. IT IS RUN VERY WELL 2. IT IS RUN PRETTY WELL 3. IT IS NOT RUN SO WELL 4. IT IS RUN VERY POORLY 5. UNDECIDED 0. NO ANSWER "
Q.19B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"Q.20A. WHAT DO YOU THINK OF THE STATEMENT THAT ""THE ARMY MAKES A MAN OUT OF YOU""*  1. THERE,S A LOT TO IT 2. THERE MAY BE SOMETHING TO IT, BUT I,M STILL DOUBTFUL 3. THERE IS NOT MUCH TO IT 4. NO OPINION 0. NO ANSWER "
Q.20B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"Q.21A. DO YOU GET A KICK OUT OF GIVING A SNAPPY SALUTE*  1. YES, VERY MUCH 2. YES, A LITTLE 3. UNDECIDED 4. NO, NOT PARTICULARLY 5. NO, NONE AT ALL 0. NO ANSWER "
Q.21B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
Q.22A. ARE YOU EVER WORRIED AND UPSET*  1. I AM HARDLY EVER WORRIED AND UPSET 2. I AM SOMETIMES WORRIED AND UPSET 3. I AM OFTEN WORRIED AND UPSET 0. NO ANSWER 
Q.22B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
Q.23A. HOW MUCH HOMESICKNESS DO YOU FEEL*  1. A GREAT DEAL 2. QUITE A BIT 3. A LITTLE 4. NONE 0. NO ANSWER 
Q.23B. HOW STRONGLY DO YOU FEEL ABOUT THIS*  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
