CARD.  1. CARD ONE 
DECK.  198. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  5. ENLISTED MEN: FORM A (AMS-198E) 6. ENLISTED MEN: FORM B (AMS-198E) 7. ENLISTED MEN: FORM X (AMS-198E) 1. OFFICERS: FORM A (AMS-198O) 2. OFFICERS: FORM B (AMS-198O) 3. REDISTRIBUTION CENTER OFFICERS: FORM A (AMS-198RO) 4. REDISTRIBUTION CENTER OFFICERS: FORM B (AMS-198RO) 
Q.1. WHAT IS YOUR ARMY RANK OR GRADE*  01. PRIVATE 02. PRIVATE FIRST CLASS 03. TECHNICIAN 5TH GRADE 04. CORPORAL 05. TECHNICIAN 4TH GRADE 06. BUCK SERGEANT 07. TECHNICIAN 3RD GRADE 08. STAFF SERGEANT 09. TECH SERGEANT 10. MASTER SERGEANT OR 1ST SERGEANT 11. OTHER (WHAT*) 00. NO ANSWER 
Q.2. HOW LONG HAVE YOU BEEN IN YOUR PRESENT GRADE*  1. 6 MONTHS OR LESS 2. OVER 6 MONTHS TO 1 YEAR 3. OVER 1 YEAR TO 2 YEARS 4. OVER 2 YEARS 0. NO ANSWER 
Q.3. HOW DID YOU COME INTO THE ARMY*  1. I WAS DRAFTED 2. I VOLUNTEERED AFTER PEARL HARBOR 3. I VOLUNTEERED BEFORE PEARL HARBOR 4. I WAS IN THE NATIONAL GUARD 5. I WAS IN THE E.R.C. (ENLISTED RESERVE) 0. NO ANSWER 
"Q.4. HOW LONG HAVE YOU BEEN IN THE ARMY* P. NOTE: IF YOU HAVE BEEN IN THE ARMY BEFORE, THEN WERE OUT FOR AWHILE, JUST CHECK THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. IF YOU WERE IN THE NATIONAL GUARD, CHECK THE LENGTH OF TIME SINCE YOUR OUTFIT CAME INTO THE ARMY.  1. 6 MONTHS OR LESS 2. OVER 6 MONTHS TO 1 YEAR 3. OVER 1 YEAR TO 2 YEARS 4. OVER 2 YEARS TO 3 YEARS 5. OVER 3 YEARS TO 4 YEARS 6. OVER 4 YEARS TO 5 YEARS 7. OVER 5 YEARS TO 10 YEARS 8. OVER 10 YEARS 0. NO ANSWER "
Q.5. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  01. EIGHTEEN YEARS OF AGE 02. NINETEEN 03. TWENTY 04. TWENTY-ONE 05. TWENTY-TWO 06. TWENTY-THREE 07. TWENTY-FOUR 08. TWENTY-FIVE 09. 26-29 YEARS OF AGE 10. 30-34 11. 35 YEARS AND OVER 00. NO ANSWER 
Q.6A. ARE YOU:  1. SINGLE 2. MARRIED 3. DIVORCED OR SEPARATED 4. WIDOWED 0. NO ANSWER 
"Q.6B. HOW MANY CHILDREN DO YOU HAVE*  1. I,M NOT MARRIED 2. HAVE NO CHILDREN 3. HAVE ONE CHILD 4. HAVE TWO CHILDREN 5. HAVE THREE OR MORE CHILDREN 0. NO ANSWER "
