CARD.  1. CARD ONE 
DECK.  207. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. S-207F 2. S-20XX 
"Q.1. HOW LONG HAVE YOU BEEN IN THE ARMY* E. IF YOU HAVE BEEN IN THE ARMY BEFORE, THEN WERE OUT FOR A WHILE, JUST CHECK THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. IF YOU WERE IN THE NATIONAL GUARD, CHECK THE LENGTH OF TIME SINCE YOUR OUTFIT CAME INTO THE ARMY.  1. 6 MONTHS OR LESS 2. OVER 6 MONTHS UP TO 1 YEAR 3. OVER 1 YEAR UP TO 2 YEARS 4. OVER 2 YEARS UP TO 3 YEARS 5. OVER 3 YEARS UP TO 5 YEARS 6. OVER 5 YEARS 0. NO ANSWER "
Q.2. HOW LONG HAVE YOU BEEN IN YOUR PRESENT GROUP OR BASE UNIT*  1. ONE MONTH OR LESS 2. OVER ONE MONTH UP TO 2 MONTHS 3. OVER 2 MONTHS UP TO 3 MONTHS 4. OVER 3 MONTHS UP TO 6 MONTHS 5. OVER 6 MONTHS UP TO 1 YEAR 6. OVER 1 YEAR 0. NO ANSWER 
Q.3. WHEN WERE YOU BORN*  01. 1926 - 18 YEARS OLD 02. 1925 - 19 YEARS OLD 03. 1924 - 20 YEARS OLD 04. 1923 - 21 YEARS OLD 05. 1922 - 22 YEARS OLD 06. 1921 - 23 YEARS OLD 07. 1920 - 24 YEARS OLD 08. 1919 - 25 YEARS OLD 09. 1915-1918 - 26-29 YEARS OLD 10. 1910-1914 - 30-34 YEARS OLD 11. 1909 AND BEFORE - 35 YEARS OLD AND OVER 00. NO ANSWER 
Q.4. ARE YOU:  1. SINGLE 2. MARRIED 3. DIVORCED OR SEPARATED 4. WIDOWED 0. NO ANSWER 
Q.5. WERE YOU EVER AN AIR CADET*  1. YES 2. NO 0. NO ANSWER 
"Q.6A. WHAT IS YOUR PRESENT JOB IN THE AIR FORCE*  1. CREW CHIEF 2. GROUND CREW, AIRCRAFT MAINTENANCE AND REPAIR 3. SOME OTHER GROUND JOB 4. FLYING 0. NO ANSWER "
Q.6B. ARE YOU DRAWING FLYING PAY*  1. YES 2. NO 0. NO ANSWER 
Q.7. WHAT IS YOUR ARMY RANK OR GRADE*  1. MASTER SERGEANT 2. TECHNICAL SERGEANT 3. STAFF SERGEANT OR TECHNICIAN 3RD GRADE 4. BUCK SERGEANT OR TECHNICIAN 4TH GRADE 5. CORPORAL OR TECHNICIAN 5TH GRADE 6. PRIVATE FIRST CLASS OR PRIVATE 0. NO ANSWER 
Q.8. HOW LONG HAVE YOU HELD YOUR PRESENT RANK*  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 1 YEAR 4. OVER 1 YEAR UP TO 2 YEARS 5. OVER 2 YEARS 6. NO ANSWER 0. NO CODE OR NO DATA 
"Q.9A. SO FAR AS YOU KNOW, WHAT IS THE HIGHEST RATING A MAN CAN HOLD FOR THE JOB YOU ARE NOW DOING IN YOUR PRESENT OUTFIT*  1. MASTER SERGEANT 2. TECHNICAL SERGEANT 3. STAFF SERGEANT OR TECHNICIAN 3RD GRADE 4. BUCK SERGEANT OR TECHNICIAN 4TH GRADE 5. CORPORAL OR TECHNICIAN 5TH GRADE 6. PRIVATE FIRST CLASS OR PRIVATE 0. NO ANSWER "
"Q.9B. WHAT DO YOU THINK THE TOP RATING REALLY SHOULD BE* (IF YOU THINK THE ONE YOU MARKED IN THE LAST QUESTION IS O.K., CHECK IT AGAIN. IF YOU THINK IT SHOULD BE HIGHER OR LOWER, CHECK WHAT YOU THINK IT SHOULD BE.)  1. COMMISSIONED OFFICER 2. FLIGHT OFFICER 3. MASTER SERGEANT 4. TECHNICAL SERGEANT 5. STAFF SERGEANT OR TECHNICIAN 3RD GRADE 6. BUCK SERGEANT OR TECHNICIAN 4TH GRADE 7. CORPORAL OR TECHNICIAN 5TH GRADE 8. PRIVATE FIRST CLASS OR PRIVATE 0. NO ANSWER "
Q.10. HOW DO YOU FEEL ABOUT YOUR PRESENT CHANCES FOR PROMOTION*  1. VERY WELL SATISFIED 2. FAIRLY WELL SATISFIED 3. SOMEWHAT DISSATISFIED 4. VERY DISSATISFIED 5. UNDECIDED 0. NO ANSWER 
"Q.11. HOW DO YOU THINK THE MEN IN YOUR OUTFIT ARE SELECTED FOR PROMOTION*  1. ABILITY 2. BOOTLICKING OR PLAYING POLITICS 3. LUCK 4. BEEN IN THE ARMY A LONG TIME 5. AUTOMATIC (""UP TO T/O LIMITS,"" ""MASS PROMOTION,"" ""UP TO WHATEVER THE JOB CALLS FOR""; LENGTH OF TIME IN GRADE, UNIT, ETC.; OPENINGS IN RATINGS) 6. OTHER 7. MISCELLANEOUS 0. NO ANSWER "
Q.12. DO YOU FEEL THAT YOU HAVE RECEIVED OR ARE RECEIVING SUFFICIENT TRAINING FOR THE KINDS OF JOBS YOU HAVE TO DO*  1. HAVE SUFFICIENT TRAINING 2. HAVE NEED FOR MORE TRAINING IN SOME ASPECTS OF MY JOB 3. HAVE NEED FOR MORE TRAINING IN ALL ASPECTS OF MY JOB 0. NO ANSWER 
"Q.13. HOW DO YOU FEEL ABOUT THE IMPORTANCE OF THE WORK YOU ARE DOING NOW AS COMPARED WITH OTHER JOBS YOU MIGHT BE DOING IN THE ARMY*  1. IT IS AS IMPORTANT AS ANY OTHER JOB I COULD DO 2. IT IS FAIRLY IMPORTANT, BUT I COULD DO MORE IMPORTANT WORK 3. IT HARDLY SEEMS IMPORTANT AT ALL 0. NO ANSWER "
Q.14. DOES THE ARMY JOB YOU NOW HAVE GIVE YOU A CHANCE TO USE YOUR SKILL AND EXPERIENCE*  1. A VERY GOOD CHANCE 2. A FAIRLY GOOD CHANCE 3. NOT MUCH OF A CHANCE 4. NO CHANCE AT ALL 5. UNDECIDED 0. NO ANSWER 
