S195B.CARD.  1. CARD ONE 
S195B.DECK.  195. SURVEY NUMBER 
S195B.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S195B.FORM:  1. S-195A 2. S-195B 3. S-195C 
S195B.Q1. WHAT IS YOUR ARMY RANK OR GRAD?  1. PRIVATE 2. PRIVATE FIRST CLASS 3. NONCOM (CORPORAL OR ANY GRADE OF SERGEANT OR TECHNICIAN) 4. SOME OTHER RANK OR GRADE 0. NO ANSWER 
S195B.Q2. HOW OLD WERE YOU ON YOUR LAST BIRTHDA?  1. 19 YEARS OR YOUNGER 2. 20 TO 24 YEARS 3. 25 TO 29 YEARS 4. 30 TO 34 YEARS 5. 35 YEARS OR OLDER 0. NO ANSWER 
S195B.Q3. HOW FAR DID YOU GO IN SCHOO?  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 0. NO ANSWER 
"S195B.Q4A. HOW DO YOU FEEL ABOUT THE IMPORTANCE OF THE WORK YOU ARE DOING RIGHT NOW AS COMPARED WITH OTHER JOBS YOU MIGHT BE DOING IN THE ARM?  1. IT IS AS IMPORTANT AS ANY OTHER JOB I COULD DO 2. IT IS FAIRLY IMPORTANT, BUT I COULD DO MORE IMPORTANT WORK 3. IT HARDLY SEEMS IMPORTANT AT ALL 0. NO ANSWER "
S195B.Q4B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q5A. HOW INTERESTED ARE YOU IN YOUR ARMY JO?  1. VERY MUCH INTERESTED 2. A LITTLE BUT NOT MUCH 3. NOT INTERESTED AT ALL 0. NO ANSWER 
S195B.Q5B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q6A. HOW SATISFIED ARE YOU ABOUT BEING IN YOUR PRESENT ARMY JOB INSTEAD OF SOME OTHER ARMY JO?  1. VERY SATISFIED 2. SATISFIED 3. IT DOES NOT MAKE ANY DIFFERENCE TO ME 4. DISSATISFIED 5. VERY DISSATISFIED 0. NO ANSWER 
S195B.Q6B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q7A. WOULD YOU CHANGE TO SOME OTHER ARMY JOB IF GIVEN A CHANC?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
S195B.Q7B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q8A. DO YOU FEEL THAT EVERYTHING POSSIBLE HAS BEEN DONE TO PLACE YOU IN THE ARMY JOB WHERE YOU BEST FI?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
S195B.Q8B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q9A. DO YOU CONSIDER YOUR OWN PRESENT JOB OR DUTY IN THE ARMY AN IMPORTANT ONE IN THE WAR EFFOR?  1. VERY IMPORTANT 2. PRETTY IMPORTANT 3. NOT SO IMPORTANT 4. NOT IMPORTANT AT ALL 5. UNDECIDED 0. NO ANSWER 
S195B.Q9B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"S195B.Q10A. ON THE WHOLE, DO YOU THINK THE ARMY IS GIVING YOU A CHANCE TO SHOW WHAT YOU CAN D?  1. A VERY GOOD CHANCE 2. A FAIRLY GOOD CHANCE 3. NOT MUCH OF A CHANCE 4. NO CHANCE AT ALL 5. UNDECIDED 0. NO ANSWER "
S195B.Q10B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q11A. DO YOU USUALLY FEEL THAT WHAT YOU ARE DOING IN THE ARMY IS WORTHWHILE OR NO?  1. I USUALLY FEEL IT IS NOT WORTHWHILE 2. I USUALLY FEEL IT IS WORTHWHILE 3. UNDECIDED 0. NO ANSWER 
S195B.Q11B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"S195B.Q12A. WHICH OF THE FOLLOWING WOULD YOU SAY BEST APPLIES TO YOUR JO?  1. TIME ALWAYS PASSES QUICKLY 2. TIME PASSES QUICKLY MOST OF THE TIME 3. ENJOY WORKING PART OF THE TIME, BUT IT DRAGS AT OTHER TIMES 4. TIME DRAGS MOST OF THE TIME 5. TIME ALWAYS DRAGS 0. NO ANSWER "
S195B.Q12B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"S195B.Q13A. WOULD YOU HONESTLY SAY THAT YOU USUALLY PUT ALL YOU HAVE INTO YOUR ARMY DUTIES, OR DO YOU USUALLY WORK JUST HARD ENOUGH TO GET B?  1. I USUALLY PUT ALL I HAVE INTO IT 2. I USUALLY WORK JUST HARD ENOUGH TO GET BY 3. UNDECIDED 0. NO ANSWER "
S195B.Q13B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q14A. IN YOUR OPINION IS IT NECESSARY FOR THE WAR EFFORT TO HAVE WOMEN IN THE ARM?  1. YES 2. NO 0. NO ANSWER 
S195B.Q14B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"S195B.Q15A. SUPPOSE A GIRL FRIEND OF YOURS WAS CONSIDERING JOINING THE WAC, WOULD YOU ADVISE HER TO JOIN OR NOT TO JOI?  1. YES 2. NO 0. NO ANSWER "
S195B.Q15B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q16A. IN YOUR OPINION ARE THE JOBS WHICH WOMEN IN THE WAC DO LESS IMPORTANT THAN THE JOBS WHICH ARE DONE BY MEN IN THE ARMY WHO ARE NOT ON COMBAT DUT?  1. YES 2. NO 0. NO ANSWER 
S195B.Q16B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"S195B.Q17A. IF YOU HAD A SISTER, 21 YEARS OR OLDER, WOULD YOU LIKE TO SEE HER JOIN THE WAC OR NO?  1. YES 2. NO 0. NO ANSWER "
S195B.Q17B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q18A. CAN A WOMAN DO MORE FOR HER COUNTRY IN THE WAC THAN SHE CAN BY WORKING IN A WAR INDUSTR?  1. YES 2. NO 0. NO ANSWER 
S195B.Q18B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q19A. WILL THE TRAINING A WOMAN GETS IN THE WAC BE USEFUL IN CIVILIAN LIF?  1. YES 2. NO 0. NO ANSWER 
S195B.Q19B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q20A. ARE MOST OF THE JOBS IN THE WAC INTERESTING AND AGREEABL?  1. YES 2. NO 0. NO ANSWER 
S195B.Q20B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q21A. IS BEING A WAC BAD FOR A GIRL'S REPUTATIO?  1. YES 2. NO 0. NO ANSWER 
S195B.Q21B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q22A. IS THE ARMY ANY PLACE FOR A GIRL TO B?  1. YES 2. NO 0. NO ANSWER 
S195B.Q22B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q23A. DO WAC OFFICERS DESERVE A SALUTE JUST THE SAME AS MEN OFFICER?  1. YES 2. NO 0. NO ANSWER 
S195B.Q23B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
S195B.Q24A. DO WAC'S GET RATINGS A LOT EASIER THAN ME?  1. YES 2. NO 0. NO ANSWER 
S195B.Q24B. HOW STRONGLY DO YOU FEEL ABOUT THI?  1. VERY STRONGLY 2. FAIRLY STRONGLY 3. NOT STRONGLY 0. NO ANSWER 
"S195B.Q25. DO YOUR OFFICERS GIVE YOU A GOOD CHANCE TO ASK QUESTIONS AS TO THE REASON WHY THINGS ARE DONE THE WAY THEY AR?  1. YES, ALWAYS 2. YES, USUALLY 3. UNDECIDED 4. NO, NOT VERY OFTEN 5. NO, ALMOST NEVER 0. NO ANSWER "
S195B.Q26. HOW OFTEN DOES IT HAPPEN THAT YOU ARE CALLED DOWN OR PUNISHED FOR SOMETHING YOU DIDN'T D?  1. VERY OFTEN 2. OFTEN 3. SOMETIMES 4. HARDLY EVER 5. NEVER 0. NO ANSWER 
S195B.Q27. HOW MANY OF YOUR OFFICERS TAKE A PERSONAL INTEREST IN THEIR ME?  1. ALL OF THEM DO 2. MOST OF THEM DO 3. ABOUT HALF OF THEM DO 4. FEW OF THEM DO 5. NONE OF THEM DO 0. NO ANSWER 
"S195B.Q28. DO YOU THINK THAT YOUR OFFICERS GENERALLY DO WHAT THEY CAN TO HELP YO?  1. YES, ALL THE TIME 2. YES, MOST OF THE TIME 3. NO, THEY OFTEN DO NOT 4. NO, THEY ALMOST NEVER DO 0. NO ANSWER "
S195B.Q29. HOW WELL DO YOU FEEL THAT YOUR OFFICERS UNDERSTAND YOUR PROBLEMS AND NEED?  1. THEY ARE VERY MUCH AWARE OF MY PROBLEMS AND NEEDS 2. THEY ARE FAIRLY WELL AWARE OF MY PROBLEMS AND NEEDS 3. THEY DO NOT KNOW VERY MUCH ABOUT MY REAL PROBLEMS OR NEEDS 0. NO ANSWER 
"S195B.Q30. DO YOU FEEL THAT YOUR OFFICERS RECOGNIZE YOUR ABILITIES AND WHAT YOU ARE ABLE TO D?  1. YES, I'M SURE THEY DO 2. YES, I THINK THEY DO BUT I'M NOT SURE 3. NO, I DON'T THINK THEY DO 4. UNDECIDED 0. NO ANSWER "
"S195B.Q31. IN GENERAL, HOW GOOD WOULD YOU SAY YOUR OFFICERS AR?  1. VERY GOOD 2. FAIRLY GOOD 3. ABOUT AVERAGE 4. PRETTY POOR 5. VERY POOR 0. NO ANSWER "
S195B.Q32. HOW MANY OF YOUR OFFICERS USE THEIR RANK IN WAYS THAT SEEM UNNECESSARY TO YO?  1. ALMOST ALL OF THEM DO 2. MOST OF THEM DO 3. SOME OF THEM DO 4. ONLY A FEW OF THEM DO 5. NONE OF THEM DO 0. NO ANSWER 
S195B.Q33. WHEN YOU DO A PARTICULARLY GOOD JOB DO YOU USUALLY GET RECOGNITION OR PRAISE FOR IT FROM YOUR OFFICER?  1. ALWAYS 2. USUALLY 3. RARELY 4. NEVER 0. NO ANSWER 
"S195B.Q34. HOW MANY OF THE OFFICERS IN YOUR COMPANY (BATTERY, SQUADRON, TROOP) ARE THE KIND YOU WOULD WANT TO SERVE UNDER IN COMBA?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 0. NO ANSWER "
S195B.Q35. HOW MUCH DO YOU PERSONALLY LIKE YOUR OFFICER?  1. VERY MUCH 2. PRETTY MUCH 3. NOT SO MUCH 4. NOT AT ALL 0. NO ANSWER 
"S195B.Q36. WHEN YOUR OFFICERS GIVE YOU SOMETHING TO DO, DO THEY TELL YOU ENOUGH ABOUT IT SO THAT YOU CAN DO A GOOD JO?  1. ALWAYS TELL ME ENOUGH 2. USUALLY TELL ME ENOUGH 3. OFTEN DO NOT TELL ME ENOUGH 4. ALMOST NEVER TELL ME ENOUGH 5. UNDECIDED 0. NO ANSWER "
S195B.Q37. HOW MANY OF YOUR COMPANY OFFICERS ARE THE KIND WHO ARE WILLING TO GO THROUGH ANYTHING THEY ASK THEIR MEN TO GO THROUG?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 0. NO ANSWER 
S195B.Q38. HOW DO YOU FEEL ABOUT THE OFFICERS THAT HAVE BEEN PICKED FOR YOUR OUTFI?  1. THEY ARE THE BEST ONES THAT COULD HAVE BEEN PICKED 2. THEY ARE AS GOOD AS ANY THAT COULD HAVE BEEN PICKED 3. SOMEWHAT BETTER ONES COULD HAVE BEEN PICKED 4. MUCH BETTER ONES COULD HAVE BEEN PICKED 5. UNDECIDED 0. NO ANSWER 
