,CARD,DECK,BALLOT,S79.Q1,S79.Q2,S79.Q3,S79.Q4,S79.Q5,S79.Q6.x,S79.Q8,S79.Q9,S79.Q10,S79.Q11,S79.Q12,S79.Q13,S79.Q14,S79.Q15,S79.Q16,S79.Q17,S79.Q18,S79.Q19,S79.Q20,S79.Q21,S79.Q22,S79.Q23,S79.Q24,S79.Q25,S79.Q26,S79.Q27,S79.Q28,S79.Q29,S79.Q30,S79.Q31,S79.Q32,S79.Q33,S79.Q34,S79.Q35,S79.Q36,S79.Q37,S79.Q38,S79.Q39,S79.Q40,S79.Q41,S79.Q42,S79.Q43,S79.Q44,S79.Q45,S79.Q46,S79.Q47,S79.Q48,S79.Q49,S79.Q50,S79.Q51A,S79.Q51B.n,S79.Q52A,S79.Q52B.n,S79.Q53,S79.Q54,S79.Q55,S79.Q56,S79.Q57,S79.Q58,S79.Q59,S79.Q60,S79.Q61,S79.Q62,S79.Q63A,S79.Q63B.n,S79.Q64,S79.Q65,CARD..1,DECK..1,BALLOT..1,S79.Q66,S79.Q67,S79.Q68,S79.Q69,S79.Q70,S79.Q71,S79.Q72,S79.Q73,S79.Q74,S79.Q75,S79.Q76,S79.Q77,S79.Q78,S79.Q79,S79.Q80.n,S79.V81
10,1.0,79.0,11.0,2.0,9.0,3.0,2.0,4.0,1.0,5.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,8.0,2.0,8.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,6.0,4.0,1.0,2.0,2.0,3.0,,2.0,,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,79.0,11.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,,5571.0
11,1.0,79.0,12.0,3.0,8.0,6.0,2.0,3.0,1.0,5.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,8.0,1.0,1.0,2.0,4.0,5.0,3.0,,2.0,,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,,1.0,3.0,2.0,79.0,12.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,1.0,2.0,2.0,3.0,,9461.0
12,1.0,79.0,13.0,1.0,8.0,4.0,2.0,4.0,1.0,5.0,3.0,1.0,6.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,4.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,,3.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,,0.0,0.0,2.0,79.0,13.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,14221.0
13,1.0,79.0,14.0,1.0,8.0,5.0,2.0,3.0,1.0,5.0,3.0,1.0,5.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,3.0,,3.0,,4.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,,2.0,2.0,2.0,79.0,14.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,5.0,5.0,5.0,1.0,2.0,2.0,3.0,,8441.0
14,1.0,79.0,15.0,2.0,8.0,5.0,3.0,1.0,1.0,5.0,3.0,1.0,5.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,4.0,3.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,,2.0,,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,,2.0,2.0,2.0,79.0,15.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,1.0,2.0,2.0,4.0,,5211.0
15,1.0,79.0,16.0,3.0,8.0,4.0,2.0,1.0,5.0,1.0,2.0,1.0,6.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,8.0,1.0,4.0,2.0,4.0,,3.0,,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,,2.0,1.0,2.0,79.0,16.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,1.0,5.0,5.0,1.0,2.0,2.0,2.0,,9881.0
16,1.0,79.0,17.0,4.0,8.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,2.0,79.0,17.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,,8291.0
17,1.0,79.0,18.0,4.0,8.0,5.0,0.0,1.0,1.0,5.0,3.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,8.0,4.0,8.0,1.0,3.0,4.0,1.0,,1.0,,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,,3.0,2.0,2.0,79.0,18.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,1.0,2.0,2.0,3.0,,13731.0
18,1.0,79.0,19.0,2.0,8.0,3.0,3.0,5.0,1.0,5.0,3.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,6.0,4.0,1.0,3.0,4.0,3.0,,2.0,,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,,1.0,2.0,2.0,79.0,19.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,,5781.0
19,1.0,79.0,20.0,4.0,8.0,6.0,3.0,5.0,5.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,1.0,1.0,2.0,3.0,,2.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,2.0,2.0,2.0,79.0,20.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,2991.0
20,1.0,79.0,21.0,4.0,8.0,6.0,4.0,3.0,4.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,,3.0,,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,,2.0,4.0,2.0,79.0,21.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,,3771.0
21,1.0,79.0,22.0,5.0,8.0,7.0,9.0,3.0,5.0,1.0,2.0,1.0,6.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,,1.0,,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,,1.0,3.0,2.0,79.0,22.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,,5931.0
22,1.0,79.0,23.0,1.0,8.0,7.0,3.0,5.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,1.0,4.0,4.0,1.0,1.0,11.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,10.0,1.0,7.0,4.0,3.0,4.0,3.0,,3.0,,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,,1.0,2.0,2.0,79.0,23.0,5.0,3.0,2.0,2.0,1.0,2.0,4.0,1.0,5.0,1.0,1.0,2.0,2.0,4.0,,6501.0
23,1.0,79.0,24.0,5.0,8.0,6.0,1.0,3.0,5.0,1.0,2.0,1.0,5.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,6.0,2.0,8.0,1.0,1.0,2.0,3.0,,3.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,,1.0,2.0,2.0,79.0,24.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,,6181.0
24,1.0,79.0,25.0,3.0,8.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,6.0,1.0,6.0,1.0,4.0,5.0,3.0,,4.0,,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,1.0,2.0,79.0,25.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,3.0,4.0,,9701.0
25,1.0,79.0,26.0,3.0,8.0,6.0,2.0,4.0,1.0,5.0,3.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,,2.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,2.0,2.0,2.0,79.0,26.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,1.0,2.0,2.0,3.0,,7001.0
26,1.0,79.0,27.0,1.0,8.0,5.0,4.0,5.0,1.0,5.0,3.0,1.0,5.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,,2.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,2.0,2.0,2.0,79.0,27.0,2.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,,13741.0
27,1.0,79.0,28.0,2.0,8.0,4.0,0.0,4.0,2.0,2.0,3.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,3.0,1.0,10.0,4.0,10.0,4.0,4.0,4.0,3.0,,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,,1.0,1.0,2.0,79.0,28.0,2.0,4.0,5.0,2.0,2.0,4.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,4.0,,14551.0
28,1.0,79.0,29.0,4.0,8.0,6.0,3.0,4.0,5.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,7.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,9.0,1.0,8.0,2.0,3.0,4.0,3.0,,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,,0.0,0.0,2.0,79.0,29.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,,4171.0
29,1.0,79.0,30.0,2.0,8.0,3.0,7.0,3.0,4.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,4.0,1.0,6.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,6.0,4.0,1.0,2.0,3.0,3.0,,3.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,79.0,30.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,1.0,2.0,2.0,3.0,,5491.0
30,1.0,79.0,31.0,5.0,8.0,5.0,2.0,5.0,5.0,1.0,2.0,1.0,6.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,1.0,11.0,1.0,1.0,11.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,,1.0,,4.0,3.0,2.0,3.0,1.0,1.0,5.0,0.0,1.0,4.0,2.0,,2.0,3.0,2.0,79.0,31.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,,6871.0
31,1.0,79.0,32.0,4.0,8.0,3.0,3.0,1.0,4.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,11.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,,2.0,,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,,1.0,2.0,2.0,79.0,32.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,,2881.0
32,1.0,79.0,33.0,3.0,8.0,7.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,10.0,3.0,1.0,2.0,3.0,3.0,2.0,,2.0,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,,3.0,2.0,2.0,79.0,33.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,,1881.0
33,1.0,79.0,34.0,3.0,8.0,5.0,7.0,1.0,1.0,5.0,3.0,1.0,5.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,3.0,,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,,2.0,3.0,2.0,79.0,34.0,2.0,2.0,3.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,10191.0
34,1.0,79.0,35.0,1.0,8.0,5.0,7.0,1.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,4.0,4.0,1.0,8.0,3.0,3.0,5.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,4.0,4.0,2.0,,2.0,,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,79.0,35.0,2.0,3.0,3.0,4.0,2.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,,381.0
35,1.0,79.0,36.0,1.0,8.0,4.0,1.0,4.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,,2.0,,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,,1.0,2.0,2.0,79.0,36.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,0.0,2.0,2.0,,2331.0
